"symbol","date","open","high","low","close","volume"
"CHRS","2001-01-02","6.11","6.31","5.88","6.19","466500"
"CHRS","2001-01-03","6.25","6.88","6.06","6.75","470700"
"CHRS","2001-01-04","6.28","6.5","5.88","6.0","194600"
"CHRS","2001-01-05","6.0","6.09","5.75","6.06","92400"
"CHRS","2001-01-08","5.98","6.06","5.62","5.88","385200"
"CHRS","2001-01-09","5.88","5.88","5.66","5.81","368400"
"CHRS","2001-01-10","5.75","6.0","5.75","5.88","234100"
"CHRS","2001-01-11","5.86","5.88","5.75","5.88","183900"
"CHRS","2001-01-12","5.84","6.06","5.75","6.0","148500"
"CHRS","2001-01-16","5.89","6.94","5.88","6.88","710800"
"CHRS","2001-01-17","6.81","6.88","6.38","6.5","314700"
"CHRS","2001-01-18","6.5","6.56","6.12","6.38","487000"
"CHRS","2001-01-19","6.31","6.33","6.03","6.25","238100"
"CHRS","2001-01-22","6.2","6.88","6.19","6.75","650800"
"CHRS","2001-01-23","6.75","6.81","6.5","6.56","154000"
"CHRS","2001-01-24","6.62","6.81","6.5","6.75","611300"
"CHRS","2001-01-25","6.75","7.06","6.72","6.94","873000"
"CHRS","2001-01-26","6.97","7.0","6.81","6.94","267300"
"CHRS","2001-01-29","6.94","7.06","6.84","7.06","324600"
"CHRS","2001-01-30","7.0","7.0","6.88","7.0","108300"
"CHRS","2001-01-31","6.98","7.0","6.88","7.0","95700"
"CHRS","2001-02-01","7.0","7.12","6.81","7.12","229800"
"CHRS","2001-02-02","7.02","7.12","6.62","6.62","110900"
"CHRS","2001-02-05","6.62","7.0","6.38","6.62","127300"
"CHRS","2001-02-06","6.62","7.06","6.5","6.75","277500"
"CHRS","2001-02-07","6.64","6.75","6.44","6.75","107400"
"CHRS","2001-02-08","6.75","7.12","6.73","6.75","873200"
"CHRS","2001-02-09","6.86","6.88","6.56","6.69","236900"
"CHRS","2001-02-12","6.62","6.84","6.56","6.81","259900"
"CHRS","2001-02-13","6.81","6.97","6.56","6.56","447600"
"CHRS","2001-02-14","6.52","6.84","6.38","6.81","143400"
"CHRS","2001-02-15","6.75","7.0","6.62","7.0","160300"
"CHRS","2001-02-16","6.84","6.88","6.75","6.75","48700"
