"symbol","date","open","high","low","close","volume"
"CIL","2000-01-03","117.5","117.5","115.0","381.1","200"
"CIL","2000-01-04","111.9","111.9","108.0","357.9","0"
"CIL","2000-01-05","109.8","109.8","109.4","362.54","0"
"CIL","2000-01-06","108.4","112.3","108.4","372.15","0"
"CIL","2000-01-07","113.0","113.0","111.8","370.49","0"
"CIL","2000-01-10","110.8","110.8","110.5","366.19","0"
"CIL","2000-01-11","106.8","106.8","103.5","342.99","0"
"CIL","2000-01-12","103.0","103.0","102.0","338.02","0"
"CIL","2000-01-13","103.2","106.2","103.2","351.94","0"
"CIL","2000-01-14","109.0","111.5","109.0","369.5","0"
"CIL","2000-01-17","111.3","111.3","110.4","365.86","0"
"CIL","2000-01-18","108.7","108.7","106.7","353.59","0"
"CIL","2000-01-19","105.2","105.2","103.5","342.99","0"
"CIL","2000-01-20","105.0","105.0","103.5","342.99","0"
"CIL","2000-01-21","103.4","107.0","103.4","354.59","0"
"CIL","2000-01-24","105.7","105.7","101.8","337.36","0"
"CIL","2000-01-25","103.2","97.5","103.0","323.11","0"
"CIL","2000-01-26","98.2","98.2","94.5","313.16","0"
"CIL","2000-01-27","95.2","95.2","94.5","313.16","0"
"CIL","2000-01-28","94.8","96.0","94.8","318.13","0"
"CIL","2000-01-31","95.0","95.0","90.0","298.25","0"
"CIL","2000-02-01","91.9","93.0","88.3","292.62","100"
"CIL","2000-02-02","89.2","89.2","86.5","286.65","0"
"CIL","2000-02-03","83.5","86.4","83.5","286.32","0"
"CIL","2000-02-04","88.5","89.0","88.5","294.94","0"
"CIL","2000-02-07","90.8","90.8","89.4","296.26","0"
"CIL","2000-02-08","88.0","88.0","88.0","291.62","0"
"CIL","2000-02-09","86.5","86.5","86.4","286.32","0"
"CIL","2000-02-10","86.4","86.4","85.5","283.34","0"
"CIL","2000-02-11","86.9","87.0","86.9","288.31","0"
"CIL","2000-02-14","88.0","88.0","86.0","285.0","0"
"CIL","2000-02-15","88.5","88.5","87.5","289.97","0"
"CIL","2000-02-16","84.8","85.5","83.5","276.71","0"
"CIL","2000-02-17","80.7","83.0","80.7","275.05","0"
"CIL","2000-02-18","83.0","83.0","83.0","275.05","0"
"CIL","2000-02-21","80.4","80.4","77.2","255.83","0"
"CIL","2000-02-22","78.3","80.4","78.3","266.44","100"
"CIL","2000-02-23","81.0","82.5","81.0","273.4","0"
"CIL","2000-02-24","81.3","81.3","78.3","259.48","0"
"CIL","2000-02-25","79.2","79.2","76.0","251.86","0"
"CIL","2000-02-28","76.6","77.0","76.6","255.17","0"
"CIL","2000-02-29","77.0","77.0","77.0","255.17","0"
"CIL","2000-03-01","76.5","79.2","76.5","262.46","0"
"CIL","2000-03-02","79.5","79.5","79.0","261.8","0"
"CIL","2000-03-03","78.3","78.3","77.5","256.83","0"
"CIL","2000-03-06","78.0","78.0","78.0","258.48","0"
"CIL","2000-03-07","79.7","80.2","79.7","265.78","0"
"CIL","2000-03-08","80.3","82.0","79.0","261.8","100"
"CIL","2000-03-09","79.0","79.0","76.5","253.51","0"
"CIL","2000-03-10","76.0","76.0","75.3","249.54","0"
"CIL","2000-03-13","75.3","75.3","75.3","249.54","0"
"CIL","2000-03-14","79.2","79.5","79.2","263.46","0"
"CIL","2000-03-15","79.5","80.0","79.5","265.11","0"
"CIL","2000-03-16","83.3","84.0","83.3","278.37","0"
"CIL","2000-03-17","83.0","83.0","82.5","273.4","0"
"CIL","2000-03-20","83.0","84.5","83.0","280.02","0"
"CIL","2000-03-21","85.2","86.5","85.2","286.65","0"
"CIL","2000-03-22","87.5","90.0","87.5","298.25","0"
"CIL","2000-03-23","87.5","88.0","87.5","291.62","0"
"CIL","2000-03-24","87.3","87.5","87.3","289.97","0"
"CIL","2000-03-27","88.0","88.0","87.98","291.56","0"
"CIL","2000-03-28","87.89","87.89","84.5","280.02","0"
"CIL","2000-03-29","85.5","85.5","84.5","280.02","100"
"CIL","2000-03-30","86.0","88.0","86.0","291.62","0"
"CIL","2000-03-31","88.0","88.2","88.0","292.29","0"
"CIL","2000-04-03","89.5","90.5","89.5","299.91","0"
"CIL","2000-04-04","91.0","92.0","91.0","304.88","0"
"CIL","2000-04-05","92.5","92.5","92.2","305.54","0"
"CIL","2000-04-06","92.0","92.0","89.0","294.94","0"
"CIL","2000-04-07","90.0","90.0","88.3","292.62","0"
"CIL","2000-04-10","89.5","89.5","88.2","292.29","0"
"CIL","2000-04-11","87.5","87.5","86.7","287.32","0"
"CIL","2000-04-12","86.9","86.9","86.2","285.66","0"
"CIL","2000-04-13","86.1","86.1","85.5","283.34","0"
"CIL","2000-04-14","88.6","89.5","88.6","296.59","0"
"CIL","2000-04-17","85.5","87.5","85.5","288.31","100"
"CIL","2000-04-18","88.0","88.3","88.0","292.62","0"
"CIL","2000-04-19","87.8","87.8","86.8","287.65","0"
"CIL","2000-04-20","89.5","89.6","89.5","296.93","0"
"CIL","2000-04-21","89.6","89.6","89.6","296.93","0"
"CIL","2000-04-24","89.6","89.6","89.6","296.93","0"
"CIL","2000-04-25","90.1","92.9","90.1","307.86","0"
"CIL","2000-04-26","94.0","94.0","93.0","308.19","0"
"CIL","2000-04-27","93.1","93.1","92.3","305.87","0"
"CIL","2000-04-28","93.8","93.8","93.8","310.84","0"
"CIL","2000-05-01","93.8","93.8","93.8","310.84","0"
"CIL","2000-05-02","90.9","90.9","90.9","301.23","0"
"CIL","2000-05-03","92.6","92.6","92.6","306.87","0"
"CIL","2000-05-04","89.3","89.3","88.6","293.61","0"
"CIL","2000-05-05","89.6","89.6","89.6","296.93","0"
"CIL","2000-05-08","90.4","91.5","90.4","303.22","0"
"CIL","2000-05-09","91.5","91.5","91.5","303.22","0"
"CIL","2000-05-10","92.0","92.0","91.3","302.56","0"
"CIL","2000-05-11","90.7","92.6","90.7","306.87","0"
"CIL","2000-05-12","92.6","92.6","92.6","306.87","0"
"CIL","2000-05-15","91.3","91.3","91.3","302.56","0"
"CIL","2000-05-16","92.3","92.3","92.3","305.87","0"
"CIL","2000-05-17","94.6","94.6","93.8","310.84","0"
"CIL","2000-05-18","93.2","93.2","93.2","308.86","0"
"CIL","2000-05-19","92.5","92.5","92.5","306.54","0"
"CIL","2000-05-22","91.2","92.5","91.2","306.54","0"
"CIL","2000-05-23","91.6","91.6","91.0","302.89","100"
"CIL","2000-05-24","89.9","89.9","88.1","291.95","0"
"CIL","2000-05-25","88.3","89.7","88.3","297.26","0"
"CIL","2000-05-26","86.7","86.7","85.8","284.33","0"
"CIL","2000-05-29","86.1","86.1","86.1","285.33","0"
"CIL","2000-05-30","84.3","84.3","83.2","275.72","0"
"CIL","2000-05-31","82.8","82.8","82.8","274.39","0"
"CIL","2000-06-01","83.1","83.4","83.1","276.38","0"
"CIL","2000-06-02","83.6","83.6","83.6","277.04","0"
"CIL","2000-06-05","83.4","83.4","83.4","276.38","0"
"CIL","2000-06-06","83.2","83.2","83.2","275.72","0"
"CIL","2000-06-07","83.3","83.3","83.3","276.05","0"
"CIL","2000-06-08","83.6","83.6","83.6","277.04","0"
"CIL","2000-06-09","82.1","82.1","82.1","272.07","0"
"CIL","2000-06-12","82.0","82.0","82.0","271.74","0"
"CIL","2000-06-13","82.4","82.4","82.4","273.07","0"
"CIL","2000-06-14","80.4","80.4","80.4","266.44","0"
"CIL","2000-06-15","81.6","81.6","81.6","270.41","0"
"CIL","2000-06-16","80.5","80.5","80.5","266.77","0"
"CIL","2000-06-19","80.5","80.5","80.5","266.77","0"
"CIL","2000-06-20","80.0","80.0","80.0","265.11","0"
"CIL","2000-06-21","78.9","78.9","78.9","261.47","0"
"CIL","2000-06-22","77.3","77.3","77.3","256.16","0"
"CIL","2000-06-23","77.2","77.2","77.2","255.83","0"
"CIL","2000-06-26","80.4","80.4","80.4","266.44","0"
"CIL","2000-06-27","81.3","81.3","81.1","268.76","100"
"CIL","2000-06-28","82.1","82.3","82.1","272.73","200"
"CIL","2000-06-29","82.6","82.6","82.6","273.73","0"
"CIL","2000-06-30","81.3","81.3","81.3","269.42","0"
"CIL","2000-07-03","81.0","81.0","81.0","268.43","0"
"CIL","2000-07-04","82.5","82.5","82.5","273.4","0"
"CIL","2000-07-05","83.4","83.4","83.4","276.38","0"
"CIL","2000-07-06","81.8","81.8","81.8","271.08","0"
"CIL","2000-07-07","81.8","81.8","81.8","271.08","0"
"CIL","2000-07-10","84.6","84.6","84.6","280.36","0"
"CIL","2000-07-11","84.2","84.2","84.2","279.03","0"
"CIL","2000-07-12","85.8","85.8","85.8","284.33","0"
"CIL","2000-07-13","89.2","89.2","89.2","295.6","0"
"CIL","2000-07-14","88.0","88.0","88.0","291.62","0"
"CIL","2000-07-17","88.0","88.0","88.0","291.62","0"
"CIL","2000-07-18","87.2","87.2","87.2","288.97","0"
"CIL","2000-07-19","86.3","86.3","86.3","285.99","0"
"CIL","2000-07-20","85.7","85.7","85.7","284.0","0"
"CIL","2000-07-21","87.6","87.6","87.6","290.3","0"
"CIL","2000-07-24","87.6","87.6","87.6","290.3","0"
"CIL","2000-07-25","88.45","88.45","86.6","286.98","100"
"CIL","2000-07-26","86.8","86.8","86.8","287.65","0"
"CIL","2000-07-27","86.8","86.8","86.8","287.65","0"
"CIL","2000-07-28","84.0","84.0","84.0","278.37","0"
"CIL","2000-07-31","83.5","83.5","83.5","276.71","0"
"CIL","2000-08-01","83.0","83.0","83.0","275.05","0"
"CIL","2000-08-02","85.0","85.0","85.0","281.68","0"
"CIL","2000-08-03","84.3","84.3","84.3","279.36","0"
"CIL","2000-08-04","86.5","86.5","86.5","286.65","0"
"CIL","2000-08-07","87.3","87.3","87.3","289.3","0"
"CIL","2000-08-08","88.2","88.2","87.5","289.97","200"
"CIL","2000-08-09","87.5","87.5","87.5","289.97","0"
"CIL","2000-08-10","86.4","86.4","86.4","286.32","0"
"CIL","2000-08-11","87.8","87.8","87.8","290.96","0"
"CIL","2000-08-14","89.1","89.1","89.1","295.27","0"
"CIL","2000-08-15","87.0","87.0","87.0","288.31","0"
"CIL","2000-08-16","87.1","87.1","87.1","288.64","0"
"CIL","2000-08-17","87.6","87.6","87.6","290.3","0"
"CIL","2000-08-18","86.2","86.2","86.2","285.66","0"
"CIL","2000-08-21","86.8","86.8","86.8","287.65","0"
"CIL","2000-08-22","87.5","87.5","87.5","289.97","0"
"CIL","2000-08-23","84.6","84.6","84.6","280.36","100"
"CIL","2000-08-24","83.1","83.1","83.1","275.39","0"
"CIL","2000-08-25","84.7","84.7","84.7","280.69","0"
"CIL","2000-08-28","85.0","85.0","83.2","275.72","300"
"CIL","2000-08-29","83.9","83.9","83.9","278.04","0"
"CIL","2000-08-30","83.6","83.6","83.6","277.04","0"
"CIL","2000-08-31","83.45","83.45","83.45","276.55","0"
"CIL","2000-09-01","84.1","84.1","84.1","278.7","0"
"CIL","2000-09-04","85.6","85.6","85.6","283.67","0"
"CIL","2000-09-05","86.3","86.3","86.3","285.99","0"
"CIL","2000-09-06","87.2","87.2","87.2","288.97","0"
"CIL","2000-09-07","85.3","85.3","85.3","282.68","0"
"CIL","2000-09-08","89.1","89.1","88.3","292.62","100"
"CIL","2000-09-11","87.6","87.6","87.6","290.3","0"
"CIL","2000-09-12","86.5","86.5","86.5","286.65","0"
"CIL","2000-09-13","86.0","86.0","86.0","285.0","0"
"CIL","2000-09-14","85.0","85.0","85.0","281.68","0"
"CIL","2000-09-15","84.0","84.0","84.0","278.37","0"
"CIL","2000-09-18","83.5","83.5","83.5","276.71","0"
"CIL","2000-09-19","81.0","81.0","81.0","268.43","0"
"CIL","2000-09-20","80.7","80.7","80.7","267.43","0"
"CIL","2000-09-21","79.8","79.8","79.8","264.45","0"
"CIL","2000-09-22","76.6","76.6","76.6","253.85","0"
"CIL","2000-09-25","79.4","79.4","79.4","263.12","0"
"CIL","2000-09-26","78.7","78.7","78.7","260.8","0"
"CIL","2000-09-27","77.3","77.3","77.3","256.16","0"
"CIL","2000-09-28","78.3","78.3","78.3","259.48","0"
"CIL","2000-09-29","78.1","78.1","78.1","258.82","0"
"CIL","2000-10-02","77.6","77.6","77.6","257.16","0"
"CIL","2000-10-03","77.6","77.6","77.6","257.16","0"
"CIL","2000-10-04","79.2","79.2","79.2","262.46","0"
"CIL","2000-10-05","79.0","79.0","79.0","261.8","0"
"CIL","2000-10-06","79.1","79.1","79.1","262.13","0"
"CIL","2000-10-09","77.7","77.7","77.7","257.49","0"
"CIL","2000-10-10","79.0","79.0","79.0","261.8","0"
"CIL","2000-10-11","77.0","77.0","77.0","255.17","0"
"CIL","2000-10-12","74.6","76.9","74.6","254.84","0"
"CIL","2000-10-13","73.6","73.6","73.6","243.9","0"
"CIL","2000-10-16","76.6","76.6","76.6","253.85","0"
"CIL","2000-10-17","75.5","76.0","75.5","251.86","0"
"CIL","2000-10-18","76.0","76.0","76.0","251.86","0"
"CIL","2000-10-19","75.7","75.7","75.7","250.86","0"
"CIL","2000-10-20","77.0","77.0","77.0","255.17","0"
"CIL","2000-10-23","77.0","77.0","77.0","255.17","0"
"CIL","2000-10-24","77.5","77.5","77.5","256.83","0"
"CIL","2000-10-25","79.5","79.5","79.5","263.46","0"
"CIL","2000-10-26","79.5","79.5","79.5","263.46","0"
"CIL","2000-10-27","81.1","81.1","81.1","268.76","0"
"CIL","2000-10-30","80.9","80.9","80.9","268.09","0"
"CIL","2000-10-31","80.9","80.9","80.9","268.09","0"
"CIL","2000-11-01","86.6","86.6","86.3","285.99","200"
"CIL","2000-11-02","84.2","84.2","84.2","279.03","0"
"CIL","2000-11-03","83.8","83.8","83.8","277.71","0"
"CIL","2000-11-06","83.7","83.7","83.7","277.37","0"
"CIL","2000-11-07","84.6","84.6","84.6","280.36","0"
"CIL","2000-11-08","86.2","86.2","86.2","285.66","0"
"CIL","2000-11-09","86.7","86.7","86.7","287.32","0"
"CIL","2000-11-10","84.8","85.8","84.8","284.33","0"
"CIL","2000-11-13","83.3","83.3","83.3","276.05","0"
"CIL","2000-11-14","82.0","82.0","82.0","271.74","0"
"CIL","2000-11-15","83.2","83.2","83.2","275.72","0"
"CIL","2000-11-16","84.1","84.1","84.1","278.7","0"
"CIL","2000-11-17","85.2","85.2","85.2","282.34","0"
"CIL","2000-11-20","85.1","85.1","85.1","282.01","0"
"CIL","2000-11-21","83.8","83.8","83.8","277.71","0"
"CIL","2000-11-22","82.5","82.5","82.5","273.4","0"
"CIL","2000-11-23","83.0","83.0","83.0","275.05","0"
"CIL","2000-11-24","83.6","83.6","83.6","277.04","0"
"CIL","2000-11-27","84.5","84.5","84.5","280.02","0"
"CIL","2000-11-28","85.5","85.5","85.5","283.34","0"
