"symbol","date","open","high","low","close","volume"
"CIR","1999-10-18","12.0","12.44","10.62","9.6786","70700"
"CIR","1999-10-19","10.88","10.88","10.31","9.4508","39300"
"CIR","1999-10-20","10.25","10.25","9.94","9.337","113400"
"CIR","1999-10-21","10.19","10.25","10.12","9.28","82100"
"CIR","1999-10-22","10.12","11.0","10.06","9.8494","74600"
"CIR","1999-10-25","10.88","10.88","10.62","9.6786","47900"
"CIR","1999-10-26","10.56","10.56","9.0","8.1983","84400"
"CIR","1999-10-27","9.0","9.5","9.0","8.5399","57300"
"CIR","1999-10-28","9.31","9.31","8.94","8.426","38000"
"CIR","1999-10-29","9.31","9.5","9.0","8.6538","103300"
"CIR","1999-11-01","9.62","10.0","9.56","9.1092","34700"
"CIR","1999-11-02","10.12","10.12","9.75","8.8815","145900"
"CIR","1999-11-03","9.75","9.75","9.38","8.6538","235600"
"CIR","1999-11-04","9.5","9.94","9.5","8.7676","147900"
"CIR","1999-11-05","9.56","9.75","9.5","8.8246","78700"
"CIR","1999-11-08","9.69","10.0","9.56","9.0523","33700"
"CIR","1999-11-09","9.94","10.0","9.69","8.9954","27000"
"CIR","1999-11-10","9.75","10.0","9.69","8.8815","64900"
"CIR","1999-11-11","10.06","10.12","9.75","8.9954","39600"
"CIR","1999-11-12","9.88","10.0","9.88","9.0523","20300"
"CIR","1999-11-15","10.19","10.25","10.0","9.337","47800"
"CIR","1999-11-16","10.38","10.38","10.0","9.1092","52700"
"CIR","1999-11-17","10.0","10.12","10.0","9.1662","46100"
"CIR","1999-11-18","10.12","10.19","10.0","9.28","23000"
"CIR","1999-11-19","10.06","10.19","10.0","9.1662","25600"
"CIR","1999-11-22","10.12","10.12","10.0","9.2231","18900"
"CIR","1999-11-23","10.12","10.38","10.12","9.28","45100"
"CIR","1999-11-24","10.19","10.38","10.06","9.4508","29500"
"CIR","1999-11-26","10.31","10.31","10.25","9.3939","6200"
"CIR","1999-11-29","10.25","10.81","10.0","9.8494","87100"
"CIR","1999-11-30","10.81","10.88","10.56","9.9063","40600"
"CIR","1999-12-01","10.94","11.12","10.94","10.0202","55100"
"CIR","1999-12-02","11.06","11.19","10.75","10.0771","15400"
"CIR","1999-12-03","11.0","11.06","10.62","9.7924","6700"
"CIR","1999-12-06","10.62","10.69","9.94","9.337","79600"
"CIR","1999-12-07","10.19","10.5","10.19","9.5647","48000"
"CIR","1999-12-08","10.44","10.5","10.25","9.5647","27700"
"CIR","1999-12-09","10.44","10.5","10.38","9.5078","9400"
"CIR","1999-12-10","10.44","10.75","10.25","9.337","33000"
"CIR","1999-12-13","10.25","10.25","10.19","9.28","6400"
"CIR","1999-12-14","10.12","10.38","10.12","9.2231","30300"
"CIR","1999-12-15","10.0","10.06","9.94","9.1662","10600"
"CIR","1999-12-16","10.12","10.12","9.88","8.9954","5600"
"CIR","1999-12-17","9.94","10.12","9.88","9.1092","48500"
"CIR","1999-12-20","10.12","10.88","10.12","9.7924","43000"
"CIR","1999-12-21","10.88","11.0","10.5","9.6786","79000"
"CIR","1999-12-22","10.75","10.75","10.12","9.337","69900"
"CIR","1999-12-23","10.12","10.12","10.06","9.1662","9600"
"CIR","1999-12-27","10.12","10.25","10.0","9.1092","11100"
"CIR","1999-12-28","10.0","10.12","9.88","9.2231","7800"
"CIR","1999-12-29","10.06","10.5","10.06","9.4508","20000"
"CIR","1999-12-30","10.25","10.25","10.12","9.28","5200"
"CIR","1999-12-31","10.25","10.44","10.19","9.3939","2500"
"CIR","2000-01-03","10.25","10.25","10.0","9.1092","5100"
"CIR","2000-01-04","10.12","10.19","9.94","9.1092","9500"
"CIR","2000-01-05","10.06","10.31","10.0","9.3939","49900"
"CIR","2000-01-06","10.44","11.0","10.44","10.0202","28200"
"CIR","2000-01-07","10.94","11.94","10.94","10.7603","22300"
"CIR","2000-01-10","11.81","11.81","11.38","10.3618","20300"
"CIR","2000-01-11","11.5","11.75","11.38","10.3618","25400"
"CIR","2000-01-12","11.38","11.62","11.25","10.4187","34200"
"CIR","2000-01-13","11.56","11.62","11.5","10.4756","35800"
"CIR","2000-01-14","11.62","11.62","11.44","10.4187","33700"
"CIR","2000-01-18","11.5","11.62","11.25","10.3618","10800"
"CIR","2000-01-19","11.44","12.0","11.38","10.9311","46900"
"CIR","2000-01-20","12.0","12.5","12.0","11.3865","28900"
"CIR","2000-01-21","12.62","12.88","12.5","11.4435","92500"
"CIR","2000-01-24","12.69","12.69","12.44","11.3296","20700"
"CIR","2000-01-25","12.44","12.44","12.38","11.3296","33200"
