"symbol","date","open","high","low","close","volume"
"CIT","2002-07-02","23.2","23.2","22.0","22.0","72422900"
"CIT","2002-07-03","22.0","22.01","21.0","21.95","13928100"
"CIT","2002-07-05","22.05","22.4","22.05","22.07","2891400"
"CIT","2002-07-08","22.05","22.8","22.05","22.4","4667500"
"CIT","2002-07-09","22.4","22.88","22.2","22.88","6483800"
"CIT","2002-07-10","22.95","23.23","22.7","22.85","6506600"
"CIT","2002-07-11","22.9","23.38","22.55","23.32","4431600"
"CIT","2002-07-12","23.7","24.05","23.2","23.8","5073200"
"CIT","2002-07-15","23.65","23.76","22.5","23.1","3591800"
"CIT","2002-07-16","23.0","23.18","22.81","23.14","3412800"
"CIT","2002-07-17","23.19","23.61","21.72","22.3","5290600"
"CIT","2002-07-18","22.35","22.79","22.2","22.33","1133000"
"CIT","2002-07-19","22.1","22.23","21.61","21.8","2083000"
"CIT","2002-07-22","21.7","22.11","20.95","21.3","2493900"
"CIT","2002-07-23","20.75","21.2","18.0","18.3","8563000"
"CIT","2002-07-24","17.25","20.24","15.95","19.45","7731800"
"CIT","2002-07-25","19.55","20.45","18.8","19.0","3836400"
"CIT","2002-07-26","19.2","20.1","19.15","19.5","1862700"
"CIT","2002-07-29","19.75","21.35","19.75","20.75","1613600"
"CIT","2002-07-30","20.78","21.85","20.5","21.53","2176700"
"CIT","2002-07-31","21.56","23.0","21.5","22.46","3977500"
"CIT","2002-08-01","22.45","22.62","21.79","21.8","1477600"
"CIT","2002-08-02","21.65","21.85","20.5","20.8","1996700"
"CIT","2002-08-05","20.5","20.5","19.86","20.3","985000"
"CIT","2002-08-06","20.32","21.3","20.25","20.25","1596100"
"CIT","2002-08-07","20.75","21.15","20.45","21.05","1093300"
"CIT","2002-08-08","21.2","22.27","20.8","22.27","762200"
"CIT","2002-08-09","21.6","22.55","21.53","22.5","1121100"
"CIT","2002-08-12","22.0","22.48","21.6","22.47","924400"
"CIT","2002-08-13","22.22","22.5","21.24","21.3","2192200"
"CIT","2002-08-14","21.15","22.2","20.44","22.2","2312700"
"CIT","2002-08-15","22.0","22.39","21.9","22.1","1725300"
"CIT","2002-08-16","22.11","22.2","21.28","21.45","2105100"
"CIT","2002-08-19","21.5","22.42","21.4","22.0","1926200"
"CIT","2002-08-20","22.0","22.47","21.5","22.3","732600"
"CIT","2002-08-21","22.4","22.49","22.15","22.35","757200"
"CIT","2002-08-22","22.45","22.8","22.25","22.75","774100"
"CIT","2002-08-23","22.75","22.8","22.25","22.75","709700"
"CIT","2002-08-26","22.79","23.0","22.6","23.0","776000"
"CIT","2002-08-27","22.6","23.05","22.1","22.25","901200"
"CIT","2002-08-28","22.19","23.19","22.11","22.45","528800"
"CIT","2002-08-29","22.45","22.45","22.1","22.25","1116100"
"CIT","2002-08-30","22.3","22.3","21.75","21.75","838500"
"CIT","2002-09-03","21.6","21.61","21.02","21.15","1059000"
"CIT","2002-09-04","21.15","21.3","20.7","21.0","920000"
"CIT","2002-09-05","21.0","21.26","20.64","21.15","1294600"
"CIT","2002-09-06","21.4","21.95","21.05","21.75","665800"
"CIT","2002-09-09","21.65","21.9","21.5","21.55","707000"
"CIT","2002-09-10","21.4","21.71","21.19","21.6","716500"
"CIT","2002-09-11","21.4","21.98","21.4","21.85","435000"
"CIT","2002-09-12","21.55","21.81","21.29","21.52","477800"
"CIT","2002-09-13","21.2","21.2","20.45","20.68","2451400"
"CIT","2002-09-16","20.68","21.0","19.9","20.95","1477500"
"CIT","2002-09-17","20.96","21.03","19.8","20.01","1440300"
"CIT","2002-09-18","19.71","19.85","18.2","18.26","2331000"
"CIT","2002-09-19","18.2","18.7","17.52","18.0","1689400"
"CIT","2002-09-20","18.0","19.15","18.0","19.0","687600"
"CIT","2002-09-23","19.01","19.01","18.25","18.28","694800"
"CIT","2002-09-24","18.2","18.75","18.1","18.28","784700"
"CIT","2002-09-25","18.4","19.2","17.9","19.2","1434100"
"CIT","2002-09-26","19.21","19.97","19.14","19.15","1313600"
"CIT","2002-09-27","18.9","18.91","17.55","18.09","982300"
"CIT","2002-09-30","17.85","18.0","17.5","17.98","1536700"
"CIT","2002-10-01","18.3","18.7","18.15","18.52","815000"
"CIT","2002-10-02","18.5","18.5","17.0","17.22","979800"
"CIT","2002-10-03","16.9","17.08","15.45","15.98","3576600"
"CIT","2002-10-04","16.1","16.68","15.87","15.87","3400400"
"CIT","2002-10-07","15.8","15.9","13.8","13.95","5149500"
"CIT","2002-10-08","14.55","15.0","14.1","14.6","2269800"
"CIT","2002-10-09","14.5","14.7","14.26","14.6","1229200"
"CIT","2002-10-10","14.45","15.95","14.45","15.15","1572200"
"CIT","2002-10-11","15.65","16.85","15.65","16.41","1459000"
"CIT","2002-10-14","16.4","16.92","16.4","16.9","680200"
"CIT","2002-10-15","18.0","18.66","17.1","17.17","1413300"
"CIT","2002-10-16","16.79","18.0","16.7","17.36","914300"
"CIT","2002-10-17","18.1","18.15","16.85","17.1","1201400"
"CIT","2002-10-18","16.9","18.32","16.9","18.2","629300"
"CIT","2002-10-21","18.12","18.48","18.01","18.32","384800"
"CIT","2002-10-22","18.25","18.49","17.7","17.85","850200"
"CIT","2002-10-23","17.8","18.12","17.03","18.12","913000"
"CIT","2002-10-24","18.0","18.52","17.75","17.8","500600"
"CIT","2002-10-25","17.8","18.05","17.54","17.6","571300"
"CIT","2002-10-28","17.83","17.88","16.84","16.84","1166100"
"CIT","2002-10-29","16.6","18.29","15.9","18.28","2798700"
"CIT","2002-10-30","17.75","18.6","17.36","18.0","1745600"
"CIT","2002-10-31","18.0","18.1","17.61","17.81","452500"
"CIT","2002-11-01","17.96","17.96","17.08","17.6","4392500"
"CIT","2002-11-04","17.9","19.25","17.86","18.99","1047100"
"CIT","2002-11-05","19.24","19.48","19.0","19.25","718900"
"CIT","2002-11-06","19.15","19.3","18.97","19.05","467400"
"CIT","2002-11-07","18.9","18.95","18.17","18.35","548200"
"CIT","2002-11-08","18.2","18.3","17.95","18.12","737600"
"CIT","2002-11-11","18.22","18.45","18.05","18.26","239900"
"CIT","2002-11-12","18.4","18.61","18.15","18.38","462900"
"CIT","2002-11-13","18.25","18.42","17.9","18.18","409200"
"CIT","2002-11-14","19.9","19.9","19.13","19.35","2589900"
"CIT","2002-11-15","19.5","20.65","19.5","20.61","1760700"
"CIT","2002-11-18","20.66","20.77","19.9","19.92","630300"
"CIT","2002-11-19","19.8","20.08","19.52","20.07","548500"
"CIT","2002-11-20","20.0","20.96","20.0","20.45","805700"
"CIT","2002-11-21","20.85","21.07","20.7","21.02","1251800"
"CIT","2002-11-22","20.67","21.72","20.6","21.22","978600"
"CIT","2002-11-25","21.23","21.23","20.76","21.0","653500"
"CIT","2002-11-26","21.01","21.42","20.8","21.35","553100"
"CIT","2002-11-27","21.6","22.65","21.24","22.49","1047800"
"CIT","2002-11-29","22.29","22.31","21.77","21.85","498400"
"CIT","2002-12-02","22.0","22.47","21.62","22.06","558400"
"CIT","2002-12-03","22.06","22.06","21.42","21.6","360400"
"CIT","2002-12-04","21.5","21.73","21.12","21.24","473400"
"CIT","2002-12-05","20.9","21.1","20.09","20.38","1183000"
"CIT","2002-12-06","20.38","20.57","20.29","20.44","877000"
"CIT","2002-12-09","20.25","20.4","20.03","20.25","640100"
"CIT","2002-12-10","20.2","20.38","19.96","20.35","821700"
"CIT","2002-12-11","20.35","20.5","20.08","20.35","389000"
"CIT","2002-12-12","20.36","20.54","20.2","20.29","337200"
"CIT","2002-12-13","20.25","20.28","19.62","19.8","755800"
"CIT","2002-12-16","19.9","20.18","19.75","20.1","640500"
"CIT","2002-12-17","20.2","20.45","20.1","20.33","383300"
"CIT","2002-12-18","20.26","20.4","19.8","19.8","1288400"
"CIT","2002-12-19","19.75","19.89","18.34","19.18","1162800"
"CIT","2002-12-20","19.3","19.96","19.27","19.7","1001100"
"CIT","2002-12-23","19.71","19.75","19.15","19.15","1088900"
"CIT","2002-12-24","19.15","19.24","18.32","18.36","634000"
"CIT","2002-12-26","18.7","19.23","18.68","18.9","662600"
"CIT","2002-12-27","18.75","19.3","18.73","19.12","736900"
"CIT","2002-12-30","19.19","19.83","18.86","19.72","904200"
"CIT","2002-12-31","19.76","19.9","19.38","19.6","609100"
"CIT","2003-01-02","19.7","20.84","19.6","20.25","1245000"
"CIT","2003-01-03","20.25","20.29","19.96","20.14","383600"
"CIT","2003-01-06","20.3","20.51","20.1","20.22","1018100"
"CIT","2003-01-07","20.27","20.5","20.27","20.28","641700"
"CIT","2003-01-08","20.29","20.8","20.29","20.71","587000"
"CIT","2003-01-09","20.4","21.58","20.15","21.24","806300"
"CIT","2003-01-10","21.04","21.99","20.85","21.9","775700"
"CIT","2003-01-13","22.1","22.28","21.55","21.55","976900"
"CIT","2003-01-14","21.55","21.84","21.51","21.65","582000"
"CIT","2003-01-15","21.9","21.9","21.3","21.65","536600"
"CIT","2003-01-16","21.66","21.66","21.25","21.5","620600"
