"symbol","date","open","high","low","close","volume"
"CKH","1992-12-17","15.0","15.0","14.5","6.131","1044800"
"CKH","1992-12-18","14.5","15.0","14.5","6.131","228700"
"CKH","1992-12-21","14.5","15.0","14.25","6.0253","115500"
"CKH","1992-12-22","14.75","14.75","14.25","6.0253","61000"
"CKH","1992-12-23","14.25","14.75","14.25","6.0781","42200"
"CKH","1992-12-24","14.25","14.38","14.25","6.0781","12800"
"CKH","1992-12-28","14.75","14.75","14.25","6.0253","39100"
"CKH","1992-12-29","14.5","14.5","14.25","6.0781","36300"
"CKH","1992-12-30","14.38","14.75","14.25","6.131","69600"
"CKH","1992-12-31","14.25","14.75","14.25","6.0253","30500"
"CKH","1993-01-04","14.25","14.75","14.25","6.0253","38300"
"CKH","1993-01-05","14.25","14.75","14.25","6.2367","28500"
"CKH","1993-01-06","14.5","15.0","14.25","6.0253","25600"
"CKH","1993-01-07","14.25","14.25","14.25","6.0253","12100"
"CKH","1993-01-08","14.25","14.75","14.25","6.0253","19300"
"CKH","1993-01-11","14.25","14.38","14.25","6.0781","10100"
"CKH","1993-01-12","14.25","14.5","14.25","6.0781","29300"
"CKH","1993-01-13","14.38","14.38","14.25","6.0253","77400"
"CKH","1993-01-14","14.25","14.38","14.25","6.0253","46400"
"CKH","1993-01-15","14.25","14.75","14.25","6.0781","73100"
"CKH","1993-01-18","14.25","14.75","14.25","6.0253","1100"
"CKH","1993-01-19","14.75","14.75","14.25","6.0253","6600"
"CKH","1993-01-20","14.25","14.5","14.0","6.0253","247000"
"CKH","1993-01-21","13.75","13.88","13.75","5.8667","44800"
"CKH","1993-01-22","13.75","13.88","13.75","5.8667","86100"
"CKH","1993-01-25","13.75","14.5","13.75","5.8667","40900"
"CKH","1993-01-26","14.5","14.5","13.5","5.761","136500"
"CKH","1993-01-27","13.5","14.25","13.5","5.7081","9600"
"CKH","1993-01-28","13.5","14.0","13.5","5.9196","166500"
"CKH","1993-01-29","13.5","13.63","13.5","5.761","9400"
"CKH","1993-02-01","13.75","14.0","13.75","5.8139","9000"
"CKH","1993-02-02","13.75","14.0","13.75","5.8667","40100"
"CKH","1993-02-03","13.75","13.88","13.75","5.8139","170700"
"CKH","1993-02-04","13.75","14.5","13.75","6.131","88400"
"CKH","1993-02-05","14.5","14.5","13.75","6.131","111200"
"CKH","1993-02-08","14.75","14.75","14.38","6.0781","6600"
"CKH","1993-02-09","14.0","14.25","14.0","5.9196","106300"
"CKH","1993-02-10","14.75","14.75","14.0","5.9196","6900"
"CKH","1993-02-11","14.0","14.0","14.0","5.9196","5500"
"CKH","1993-02-12","14.0","14.25","14.0","6.0253","102700"
"CKH","1993-02-16","14.0","14.25","14.0","5.9196","17300"
"CKH","1993-02-17","14.0","14.13","13.75","5.8139","82400"
"CKH","1993-02-18","14.0","14.0","13.0","5.4967","46100"
"CKH","1993-02-19","13.13","13.25","13.0","5.5496","69200"
"CKH","1993-02-22","13.5","14.0","13.5","5.7081","19700"
"CKH","1993-02-23","13.5","13.5","13.5","5.7081","2800"
"CKH","1993-02-24","14.0","15.0","14.0","6.2367","242600"
"CKH","1993-02-25","14.75","14.75","14.75","6.2367","0"
