"symbol","date","open","high","low","close","volume"
"CLBS","1999-03-01","1.28","1.31","1.16","1156.2501","0"
"CLBS","1999-03-02","1.22","1.31","1.22","1281.2501","0"
"CLBS","1999-03-03","1.28","1.28","1.16","1156.2501","0"
"CLBS","1999-03-04","1.31","1.31","1.19","1312.5001","0"
"CLBS","1999-03-05","1.38","1.38","1.38","1375.0001","0"
"CLBS","1999-03-08","1.19","1.19","1.19","1187.5001","0"
"CLBS","1999-03-09","1.25","1.38","1.16","1156.2501","0"
"CLBS","1999-03-10","1.16","1.16","1.16","1156.2501","0"
"CLBS","1999-03-11","1.38","1.38","1.12","1375.0001","0"
"CLBS","1999-03-12","1.12","1.19","1.12","1187.5001","0"
"CLBS","1999-03-15","1.12","1.12","1.12","1125.0001","0"
"CLBS","1999-03-16","1.34","1.34","1.34","1343.7501","0"
"CLBS","1999-03-17","1.34","1.34","1.34","1343.7501","0"
"CLBS","1999-03-18","1.34","1.34","1.31","1343.7501","0"
"CLBS","1999-03-19","1.25","1.25","1.19","1218.7501","0"
"CLBS","1999-03-22","1.31","1.31","1.25","1250.0001","0"
"CLBS","1999-03-23","1.31","1.5","1.31","1343.7501","0"
"CLBS","1999-03-24","1.34","1.38","1.34","1375.0001","0"
"CLBS","1999-03-25","1.31","1.31","1.19","1281.2501","0"
"CLBS","1999-03-26","1.31","1.31","1.22","1218.7501","0"
"CLBS","1999-03-29","1.22","1.22","1.22","1218.7501","0"
"CLBS","1999-03-30","1.34","1.34","1.34","1343.7501","0"
"CLBS","1999-03-31","1.22","1.22","1.22","1218.7501","0"
"CLBS","1999-04-01","1.22","1.31","1.22","1281.2501","0"
"CLBS","1999-04-05","1.22","1.28","1.22","1218.7501","0"
"CLBS","1999-04-06","1.22","1.28","1.12","1250.0001","0"
"CLBS","1999-04-07","1.12","1.12","1.12","1125.0001","0"
"CLBS","1999-04-08","1.12","1.28","1.12","1250.0001","0"
"CLBS","1999-04-09","1.41","1.5","1.34","1500.0001","0"
"CLBS","1999-04-12","1.5","1.5","1.44","1437.5001","0"
"CLBS","1999-04-13","1.47","1.47","1.12","1187.5001","0"
"CLBS","1999-04-14","1.25","1.25","1.16","1156.2501","0"
"CLBS","1999-04-15","1.16","1.31","1.12","1156.2501","0"
"CLBS","1999-04-16","1.31","1.41","1.25","1250.0001","0"
"CLBS","1999-04-19","1.25","1.25","1.12","1125.0001","0"
"CLBS","1999-04-20","1.12","1.12","1.12","1125.0001","0"
"CLBS","1999-04-21","1.28","1.28","1.28","1281.2501","0"
"CLBS","1999-04-22","1.28","1.5","1.25","1250.0001","0"
"CLBS","1999-04-23","1.25","1.25","1.25","1250.0001","0"
"CLBS","1999-04-26","1.25","1.38","1.25","1343.7501","0"
"CLBS","1999-04-27","1.19","1.38","1.19","1281.2501","0"
"CLBS","1999-04-28","1.38","1.38","1.38","1375.0001","0"
"CLBS","1999-04-29","1.19","1.56","1.19","1500.0001","0"
"CLBS","1999-04-30","1.5","1.56","1.38","1375.0001","0"
"CLBS","1999-05-03","1.5","1.53","1.44","1500.0001","0"
