"symbol","date","open","high","low","close","volume"
"CLMT","2006-01-26","22.02","22.5","21.7","8.7531","3694400"
"CLMT","2006-01-27","22.15","22.38","21.74","8.9342","427300"
"CLMT","2006-01-30","22.35","23.68","22.1","9.2561","318400"
"CLMT","2006-01-31","23.5","23.7","23.2","9.5379","264400"
"CLMT","2006-02-01","24.0","24.0","23.55","9.6183","143800"
"CLMT","2006-02-02","24.0","24.0","23.5","9.6586","178000"
"CLMT","2006-02-03","24.07","24.25","23.66","9.6546","212500"
"CLMT","2006-02-06","24.18","24.75","24.0","9.8598","122500"
"CLMT","2006-02-07","24.5","24.95","24.1","9.8196","115200"
"CLMT","2006-02-08","24.99","24.99","23.45","9.8397","34000"
"CLMT","2006-02-09","23.97","24.9","23.97","9.719","28800"
"CLMT","2006-02-10","24.49","24.5","23.25","9.4614","52000"
"CLMT","2006-02-13","23.34","24.5","23.34","9.4574","13700"
"CLMT","2006-02-14","23.55","23.65","22.68","9.2119","66700"
"CLMT","2006-02-15","22.66","23.04","22.5","9.0952","58100"
"CLMT","2006-02-16","22.99","23.6","22.68","9.4574","31200"
"CLMT","2006-02-17","23.75","23.77","23.05","9.2763","34900"
"CLMT","2006-02-21","23.49","23.77","23.01","9.566","35400"
"CLMT","2006-02-22","23.5","23.77","23.09","9.3769","22900"
"CLMT","2006-02-23","23.74","24.43","23.55","9.8316","25800"
"CLMT","2006-02-24","24.5","25.43","23.1","10.0409","57300"
"CLMT","2006-02-27","24.55","24.56","23.6","9.5379","114600"
"CLMT","2006-02-28","23.59","24.21","23.27","9.5379","50300"
"CLMT","2006-03-01","23.55","24.4","23.42","9.5459","78400"
"CLMT","2006-03-02","24.0","24.0","23.47","9.6586","61500"
"CLMT","2006-03-03","24.0","24.3","23.85","9.6747","18400"
"CLMT","2006-03-06","23.55","24.45","23.45","9.7552","61500"
"CLMT","2006-03-07","24.76","26.05","24.76","10.4635","282300"
"CLMT","2006-03-08","25.42","26.0","25.42","10.2381","52700"
"CLMT","2006-03-09","25.06","26.0","25.0","10.3629","49300"
"CLMT","2006-03-10","25.94","26.0","25.3","10.3105","39000"
"CLMT","2006-03-13","25.6","26.0","25.55","10.3951","30500"
"CLMT","2006-03-14","26.0","26.0","24.51","10.2301","27600"
"CLMT","2006-03-15","25.15","25.51","24.95","10.1496","62100"
"CLMT","2006-03-16","25.59","26.0","25.5","10.2623","17000"
"CLMT","2006-03-17","25.5","25.58","25.38","10.2623","14500"
"CLMT","2006-03-20","25.58","26.23","25.4","10.4675","23500"
"CLMT","2006-03-21","26.0","26.03","25.73","10.4192","19000"
"CLMT","2006-03-22","26.01","26.57","25.91","10.6244","26000"
"CLMT","2006-03-23","26.58","26.9","26.24","10.8216","23500"
"CLMT","2006-03-24","26.46","26.8","26.2","10.6325","39200"
"CLMT","2006-03-27","26.5","26.62","26.25","10.6647","54400"
"CLMT","2006-03-28","26.98","26.98","26.4","10.6647","73700"
"CLMT","2006-03-29","26.82","27.0","26.55","10.7854","16500"
"CLMT","2006-03-30","26.88","27.95","26.88","10.8981","59100"
"CLMT","2006-03-31","27.08","27.81","27.03","11.1919","19500"
"CLMT","2006-04-03","27.85","27.95","27.55","11.208","21600"
"CLMT","2006-04-04","27.85","28.71","27.51","11.5299","30200"
"CLMT","2006-04-05","28.23","28.68","27.88","11.3609","31500"
"CLMT","2006-04-06","28.74","29.02","28.47","11.4696","22800"
"CLMT","2006-04-07","28.28","29.18","28.27","11.6708","39500"
"CLMT","2006-04-10","29.21","29.28","28.25","11.6869","31600"
"CLMT","2006-04-11","28.46","28.46","27.11","11.3971","40300"
"CLMT","2006-04-12","28.0","28.61","28.0","11.5098","27900"
"CLMT","2006-04-13","28.5","29.14","28.5","11.7271","19100"
"CLMT","2006-04-17","29.35","29.88","29.17","11.9324","19400"
"CLMT","2006-04-18","28.51","29.2","28.13","11.538","16500"
"CLMT","2006-04-19","29.11","29.11","28.5","11.5098","15900"
"CLMT","2006-04-20","28.82","28.99","28.5","11.5662","32600"
"CLMT","2006-04-21","29.08","29.08","28.52","11.4937","40500"
"CLMT","2006-04-24","28.5","29.38","28.5","11.6949","10000"
"CLMT","2006-04-25","29.4","30.25","29.16","12.0612","13600"
"CLMT","2006-04-26","29.2","31.0","29.2","12.1537","60600"
"CLMT","2006-04-27","30.4","30.4","29.4","12.1135","21400"
"CLMT","2006-04-28","28.96","31.0","28.96","12.3167","35300"
"CLMT","2006-05-01","30.0","30.3","29.93","12.3167","25100"
"CLMT","2006-05-02","30.05","30.4","30.05","12.3371","13300"
"CLMT","2006-05-03","30.25","30.58","30.22","12.3858","29100"
"CLMT","2006-05-04","30.21","31.04","30.08","12.5769","109900"
"CLMT","2006-05-05","30.85","30.85","30.1","12.398","34100"
"CLMT","2006-05-08","30.99","31.59","29.75","12.7232","37200"
"CLMT","2006-05-09","31.5","32.25","30.26","12.9265","20400"
"CLMT","2006-05-10","31.75","33.15","30.81","13.4752","16100"
"CLMT","2006-05-11","33.02","33.1","32.05","13.1094","22600"
"CLMT","2006-05-12","32.92","33.0","30.3","13.0484","27300"
"CLMT","2006-05-15","32.99","32.99","31.75","13.1948","11900"
"CLMT","2006-05-16","32.83","33.32","31.81","13.5118","25200"
"CLMT","2006-05-17","33.75","33.82","33.0","13.6338","23200"
"CLMT","2006-05-18","32.31","33.39","31.58","13.5728","20100"
"CLMT","2006-05-19","33.48","33.48","31.71","13.0037","23300"
"CLMT","2006-05-22","31.43","31.43","29.21","12.2029","52600"
"CLMT","2006-05-23","30.05","32.89","30.05","12.4793","35100"
"CLMT","2006-05-24","30.72","32.95","30.33","12.772","110800"
"CLMT","2006-05-25","32.01","32.8","30.9","12.8858","10600"
"CLMT","2006-05-26","32.09","32.61","30.68","13.0647","39000"
"CLMT","2006-05-30","31.45","32.68","31.45","13.1785","9800"
"CLMT","2006-05-31","32.4","33.0","31.82","13.0078","8200"
"CLMT","2006-06-01","31.25","32.69","31.25","13.0078","9700"
"CLMT","2006-06-02","32.69","34.43","32.35","13.4183","41800"
"CLMT","2006-06-05","34.27","35.28","33.44","14.0931","35300"
"CLMT","2006-06-06","34.76","36.68","33.61","14.1541","28400"
"CLMT","2006-06-07","34.82","35.7","33.66","14.2882","10000"
"CLMT","2006-06-08","34.5","35.62","33.2","14.4386","15500"
"CLMT","2006-06-09","35.92","36.42","34.61","14.6947","7000"
"CLMT","2006-06-12","36.74","36.94","35.92","14.7028","7300"
"CLMT","2006-06-13","35.02","35.23","34.32","14.0362","17500"
"CLMT","2006-06-14","33.47","35.17","33.06","13.6134","69200"
"CLMT","2006-06-15","33.16","34.19","31.22","13.1419","119800"
"CLMT","2006-06-16","32.31","33.17","32.31","13.4834","21200"
"CLMT","2006-06-19","31.54","33.92","31.54","13.5647","21700"
"CLMT","2006-06-20","33.6","34.2","33.46","13.6012","9600"
"CLMT","2006-06-21","34.15","34.15","33.57","13.646","5200"
"CLMT","2006-06-22","33.56","33.56","32.59","13.4143","10900"
"CLMT","2006-06-23","33.46","33.9","33.4","13.5769","7700"
"CLMT","2006-06-26","33.09","33.09","31.7","13.0484","8400"
"CLMT","2006-06-27","31.8","32.89","31.0","12.9793","18400"
"CLMT","2006-06-28","32.25","32.94","31.79","13.3899","10300"
"CLMT","2006-06-29","31.92","32.2","30.8","12.6216","2092600"
"CLMT","2006-06-30","31.29","31.85","31.05","12.898","344100"
"CLMT","2006-07-03","32.13","32.13","30.72","12.7395","24500"
"CLMT","2006-07-05","31.7","31.75","30.2","12.6013","52300"
"CLMT","2006-07-06","31.43","31.43","30.79","12.6013","64100"
"CLMT","2006-07-07","31.48","31.75","30.4","12.5078","88700"
"CLMT","2006-07-10","30.5","30.75","30.25","12.398","60400"
"CLMT","2006-07-11","30.12","30.7","29.48","12.459","38200"
"CLMT","2006-07-12","30.87","30.93","30.65","12.5728","37600"
"CLMT","2006-07-13","30.37","30.75","29.98","12.4387","19700"
"CLMT","2006-07-14","30.22","31.1","30.21","12.2964","22000"
"CLMT","2006-07-17","30.12","30.56","30.12","12.2842","33700"
"CLMT","2006-07-18","30.25","30.5","30.0","12.2558","88800"
"CLMT","2006-07-19","30.5","30.5","30.15","12.3614","13500"
"CLMT","2006-07-20","30.48","30.5","30.15","12.3167","17300"
"CLMT","2006-07-21","31.18","31.18","30.15","12.3249","37800"
"CLMT","2006-07-24","30.01","30.57","29.23","12.3208","82900"
"CLMT","2006-07-25","30.3","30.85","30.01","12.5281","39200"
"CLMT","2006-07-26","30.81","31.18","30.8","12.5606","41100"
"CLMT","2006-07-27","31.04","31.18","30.24","12.2923","28300"
"CLMT","2006-07-28","30.98","31.1","30.07","12.2395","20100"
"CLMT","2006-07-31","30.9","30.9","30.11","12.3574","8800"
"CLMT","2006-08-01","30.62","30.9","30.2","12.4184","5800"
"CLMT","2006-08-02","30.31","30.31","29.56","12.2739","21600"
"CLMT","2006-08-03","29.65","29.95","29.37","12.34","36400"
"CLMT","2006-08-04","29.43","29.65","28.79","12.1791","48200"
"CLMT","2006-08-07","29.52","30.9","29.52","12.4184","22000"
"CLMT","2006-08-08","30.1","30.9","29.9","12.3771","25900"
"CLMT","2006-08-09","29.75","30.5","29.75","12.4596","21100"
"CLMT","2006-08-10","29.36","30.5","29.36","12.5834","11400"
"CLMT","2006-08-11","30.01","30.9","30.01","12.7402","21200"
"CLMT","2006-08-14","31.1","31.1","30.01","12.5545","23400"
"CLMT","2006-08-15","30.27","30.37","30.18","12.5297","11700"
"CLMT","2006-08-16","30.39","30.42","30.0","12.4184","32000"
"CLMT","2006-08-17","29.87","31.0","29.87","12.4472","21900"
"CLMT","2006-08-18","30.55","31.0","30.08","12.7897","24100"
"CLMT","2006-08-21","31.0","31.34","30.21","12.8763","46600"
"CLMT","2006-08-22","31.2","31.34","30.83","12.8598","13800"
"CLMT","2006-08-23","31.32","31.75","31.0","13.0991","11800"
"CLMT","2006-08-24","31.25","31.75","30.77","13.0908","17200"
"CLMT","2006-08-25","31.75","32.18","31.75","13.2765","40900"
"CLMT","2006-08-28","32.01","32.48","31.75","13.3301","50900"
"CLMT","2006-08-29","32.58","32.58","32.13","13.3054","17200"
"CLMT","2006-08-30","31.78","32.32","31.78","13.2847","30800"
"CLMT","2006-08-31","31.96","32.3","31.96","13.293","67900"
"CLMT","2006-09-01","31.8","32.12","31.8","13.161","22200"
"CLMT","2006-09-05","31.68","32.0","31.61","13.2022","7300"
"CLMT","2006-09-06","31.35","31.93","31.18","13.0125","9000"
"CLMT","2006-09-07","31.45","31.79","31.1","12.9588","9400"
"CLMT","2006-09-08","31.04","32.15","31.04","13.2641","22000"
"CLMT","2006-09-11","32.15","32.15","31.25","12.8928","24700"
"CLMT","2006-09-12","31.0","31.1","30.37","12.8309","14700"
"CLMT","2006-09-13","31.0","31.24","29.5","12.7608","34300"
"CLMT","2006-09-14","30.99","31.0","30.11","12.7402","29900"
