"symbol","date","open","high","low","close","volume"
"CLNY","2009-09-24","19.5","19.66","19.25","12.586","5160200"
"CLNY","2009-09-25","19.51","19.55","19.35","12.5021","699800"
"CLNY","2009-09-28","19.3","19.59","19.3","12.586","237500"
"CLNY","2009-09-29","19.5","19.6","19.5","12.586","601300"
"CLNY","2009-09-30","19.53","19.6","19.5","12.6183","360900"
"CLNY","2009-10-01","19.5","19.55","19.5","12.586","286400"
"CLNY","2009-10-02","19.42","19.52","19.42","12.586","190500"
"CLNY","2009-10-05","19.5","19.59","19.41","12.6054","272500"
"CLNY","2009-10-06","19.51","19.6","19.4","12.586","273900"
"CLNY","2009-10-07","19.42","19.5","19.3","12.5731","250100"
"CLNY","2009-10-08","19.45","19.49","19.3","12.5086","414800"
"CLNY","2009-10-09","19.31","19.44","19.31","12.5473","135700"
"CLNY","2009-10-12","19.41","19.47","19.4","12.5537","51700"
"CLNY","2009-10-13","19.4","19.55","19.4","12.5344","87400"
"CLNY","2009-10-14","19.45","19.53","19.4","12.586","163900"
"CLNY","2009-10-15","19.5","19.59","19.4","12.6183","152400"
"CLNY","2009-10-16","19.5","19.68","19.47","12.7022","114000"
"CLNY","2009-10-19","19.65","19.75","19.65","12.7409","37300"
"CLNY","2009-10-20","19.75","19.99","19.7","12.9023","86800"
"CLNY","2009-10-21","19.74","19.97","19.74","12.8894","91300"
"CLNY","2009-10-22","19.97","20.0","19.85","12.8506","90900"
"CLNY","2009-10-23","19.83","19.99","19.34","12.8119","190500"
"CLNY","2009-10-26","19.65","19.83","19.52","12.7474","104800"
"CLNY","2009-10-27","19.76","19.95","19.57","12.8184","100900"
"CLNY","2009-10-28","19.72","19.85","19.3","12.4892","168700"
"CLNY","2009-10-29","19.42","19.55","19.3","12.5279","271600"
"CLNY","2009-10-30","19.33","19.49","19.33","12.5537","34200"
"CLNY","2009-11-02","19.5","19.54","19.41","12.586","80400"
"CLNY","2009-11-03","19.42","19.54","19.42","12.5796","52400"
"CLNY","2009-11-04","19.49","19.51","19.16","12.586","50900"
"CLNY","2009-11-05","19.39","19.58","19.39","12.5602","44400"
"CLNY","2009-11-06","19.4","19.47","19.31","12.5021","42000"
"CLNY","2009-11-09","19.42","19.45","19.33","12.5021","9100"
"CLNY","2009-11-10","19.35","19.45","19.35","12.5215","19700"
"CLNY","2009-11-11","19.5","19.5","19.31","12.5408","40500"
"CLNY","2009-11-12","19.39","19.45","19.35","12.5279","18500"
"CLNY","2009-11-13","19.42","19.42","19.35","12.4957","38400"
"CLNY","2009-11-16","19.35","19.6","19.35","12.5021","47400"
"CLNY","2009-11-17","19.35","19.4","19.3","12.4569","59500"
"CLNY","2009-11-18","19.3","19.4","19.3","12.4634","65000"
"CLNY","2009-11-19","19.18","19.28","18.52","12.2633","482900"
"CLNY","2009-11-20","19.0","19.04","18.88","12.2439","138600"
"CLNY","2009-11-23","18.88","19.01","18.75","12.1407","89800"
"CLNY","2009-11-24","18.75","18.9","18.48","12.0503","116200"
"CLNY","2009-11-25","18.69","18.87","18.69","12.1278","81100"
"CLNY","2009-11-26","18.79","18.79","18.79","18.79","0"
"CLNY","2009-11-27","18.44","18.91","18.44","12.1407","66100"
"CLNY","2009-11-30","18.75","18.83","18.75","12.1536","108100"
"CLNY","2009-12-01","18.85","19.09","18.6","12.2633","104100"
"CLNY","2009-12-02","18.91","19.21","18.86","12.2956","196900"
"CLNY","2009-12-03","19.0","19.47","19.0","12.4763","72100"
"CLNY","2009-12-04","19.32","19.45","19.16","12.4957","81900"
"CLNY","2009-12-07","19.28","19.47","18.99","12.4634","28400"
"CLNY","2009-12-08","19.17","19.5","19.17","12.5796","108800"
"CLNY","2009-12-09","19.48","19.71","19.4","12.6054","121900"
"CLNY","2009-12-10","19.47","19.75","19.36","12.728","47600"
"CLNY","2009-12-11","19.71","19.95","19.61","12.8248","105900"
"CLNY","2009-12-14","19.8","20.35","19.75","13.0895","220700"
"CLNY","2009-12-15","20.22","20.99","20.0","13.3928","378400"
"CLNY","2009-12-16","20.47","20.74","20.13","13.1088","158000"
"CLNY","2009-12-17","20.13","20.9","19.87","13.0055","374200"
"CLNY","2009-12-18","20.05","20.75","20.02","13.2379","1493800"
"CLNY","2009-12-21","20.51","20.79","20.17","13.2508","180700"
"CLNY","2009-12-22","20.62","20.63","20.2","13.2185","213400"
"CLNY","2009-12-23","20.5","20.56","20.37","13.1734","175200"
