"symbol","date","open","high","low","close","volume"
"CMCM","2014-05-08","15.25","16.43","13.95","14.1","28400"
"CMCM","2014-05-09","14.14","15.0","14.0","14.26","1128100"
"CMCM","2014-05-12","14.48","14.74","14.3","14.5","309800"
"CMCM","2014-05-13","14.4","14.51","12.5","12.51","992500"
"CMCM","2014-05-14","12.95","13.81","12.95","13.71","502300"
"CMCM","2014-05-15","13.82","13.97","13.3","13.66","299400"
"CMCM","2014-05-16","13.5","13.61","13.31","13.49","222900"
"CMCM","2014-05-19","13.5","13.52","12.9","13.0","277300"
"CMCM","2014-05-20","13.18","13.81","13.1","13.42","474600"
"CMCM","2014-05-21","13.24","13.7","13.24","13.64","167400"
"CMCM","2014-05-22","13.81","14.9","13.8","14.89","698800"
"CMCM","2014-05-23","14.88","15.0","14.1","14.76","315700"
"CMCM","2014-05-27","14.8","15.6","14.65","15.01","660600"
"CMCM","2014-05-28","14.6","15.9","14.45","15.35","848700"
"CMCM","2014-05-29","15.05","16.97","14.8","16.63","1550500"
"CMCM","2014-05-30","16.8","17.8","16.77","17.77","1318100"
"CMCM","2014-06-02","17.97","18.1","17.1","17.3","566800"
"CMCM","2014-06-03","17.25","17.32","14.5","14.54","957900"
"CMCM","2014-06-04","15.0","15.98","15.0","15.5","557100"
"CMCM","2014-06-05","15.75","16.34","15.61","16.19","416100"
"CMCM","2014-06-06","16.58","20.79","16.47","19.75","2256200"
"CMCM","2014-06-09","19.82","20.29","18.77","19.23","985800"
"CMCM","2014-06-10","19.24","20.57","19.09","20.52","1254600"
"CMCM","2014-06-11","20.3","21.21","19.71","20.63","761800"
"CMCM","2014-06-12","20.8","22.2","20.63","21.34","890700"
"CMCM","2014-06-13","21.65","22.5","21.38","21.98","761400"
"CMCM","2014-06-16","21.79","21.79","20.36","21.17","689500"
"CMCM","2014-06-17","21.48","23.73","21.15","23.64","1281900"
"CMCM","2014-06-18","24.32","24.88","23.3","24.53","1186900"
"CMCM","2014-06-19","24.88","25.0","23.03","23.08","698400"
"CMCM","2014-06-20","23.06","23.42","21.54","21.8","864400"
"CMCM","2014-06-23","21.63","23.37","20.58","23.27","1536100"
"CMCM","2014-06-24","23.38","23.62","21.48","21.75","599600"
"CMCM","2014-06-25","22.28","22.9","21.75","21.92","877000"
"CMCM","2014-06-26","21.89","23.38","21.68","22.18","744100"
"CMCM","2014-06-27","22.2","22.35","21.15","21.24","1028200"
"CMCM","2014-06-30","21.31","22.21","21.12","21.24","1012700"
"CMCM","2014-07-01","21.58","21.92","20.93","21.28","918600"
"CMCM","2014-07-02","21.46","21.75","20.91","20.92","863600"
"CMCM","2014-07-03","21.05","21.33","20.71","20.92","632500"
"CMCM","2014-07-07","21.01","21.09","19.8","20.32","1599700"
"CMCM","2014-07-08","20.04","20.14","18.8","18.82","1607900"
"CMCM","2014-07-09","19.1","19.5","18.81","18.84","966400"
"CMCM","2014-07-10","18.71","20.17","18.26","19.44","1205100"
"CMCM","2014-07-11","19.45","21.0","19.31","21.0","591300"
"CMCM","2014-07-14","21.32","21.68","19.66","20.21","931200"
"CMCM","2014-07-15","20.0","21.18","19.9","20.66","878500"
"CMCM","2014-07-16","21.06","21.14","20.35","20.84","398700"
"CMCM","2014-07-17","20.59","20.59","19.59","19.97","583500"
"CMCM","2014-07-18","19.94","20.37","19.3","19.42","553500"
"CMCM","2014-07-21","19.7","19.7","19.03","19.17","568800"
"CMCM","2014-07-22","19.4","20.78","19.4","19.99","468900"
"CMCM","2014-07-23","20.0","20.6","19.8","20.2","425400"
"CMCM","2014-07-24","20.82","21.5","20.14","20.32","909500"
"CMCM","2014-07-25","20.81","21.25","20.03","20.63","493700"
"CMCM","2014-07-28","21.0","21.0","19.51","19.61","901300"
"CMCM","2014-07-29","19.78","20.08","19.58","19.58","562800"
"CMCM","2014-07-30","19.6","19.9","18.82","18.88","552300"
"CMCM","2014-07-31","18.85","20.18","18.03","19.15","2092100"
"CMCM","2014-08-01","19.24","20.94","19.1","20.66","1252500"
"CMCM","2014-08-04","20.16","20.79","19.72","20.5","477400"
"CMCM","2014-08-05","20.3","20.69","19.84","20.14","484300"
"CMCM","2014-08-06","20.38","22.89","20.32","22.04","1651500"
"CMCM","2014-08-07","22.28","25.87","22.17","24.84","1474500"
"CMCM","2014-08-08","25.03","25.06","23.61","24.02","474200"
"CMCM","2014-08-11","24.03","26.95","24.03","26.75","992400"
"CMCM","2014-08-12","26.36","27.1","25.8","26.88","782200"
"CMCM","2014-08-13","26.87","27.77","26.02","26.89","835100"
"CMCM","2014-08-14","26.88","26.88","25.8","26.01","554000"
"CMCM","2014-08-15","26.03","28.49","25.9","28.39","1045400"
"CMCM","2014-08-18","28.52","28.65","26.5","26.9","1554700"
"CMCM","2014-08-19","28.85","30.37","26.25","26.66","2752600"
