"symbol","date","open","high","low","close","volume"
"CNI","1996-11-26","38.12","38.5","38.12","2.2681","258000"
"CNI","1996-11-27","38.62","39.88","38.62","2.3197","1950000"
"CNI","1996-11-29","39.75","41.25","39.75","2.4228","477600"
"CNI","1996-12-02","40.88","40.88","40.5","2.4007","1275600"
"CNI","1996-12-03","41.38","42.38","40.88","2.4081","13077600"
"CNI","1996-12-04","40.88","40.88","38.5","2.2681","1459200"
"CNI","1996-12-05","38.12","38.12","36.38","2.2166","2210400"
"CNI","1996-12-06","37.12","37.25","36.38","2.1798","3147600"
"CNI","1996-12-09","37.37","38.75","37.37","2.2829","672000"
"CNI","1996-12-10","38.75","38.75","38.25","2.2534","655200"
"CNI","1996-12-11","37.75","37.75","37.0","2.1945","688800"
"CNI","1996-12-12","37.5","37.5","36.38","2.143","552000"
"CNI","1996-12-13","36.13","36.13","35.25","2.1061","1448400"
"CNI","1996-12-16","35.75","35.87","34.75","2.0472","1532400"
"CNI","1996-12-17","35.0","36.5","35.0","2.1503","5722800"
"CNI","1996-12-18","36.75","37.0","36.75","2.1798","1424400"
"CNI","1996-12-19","37.25","37.75","37.25","2.2166","1364400"
"CNI","1996-12-20","37.75","39.13","37.75","2.2976","4774800"
"CNI","1996-12-23","38.87","39.0","38.75","2.2902","325200"
"CNI","1996-12-24","39.13","39.13","38.75","2.2902","181200"
"CNI","1996-12-26","38.62","39.0","38.38","2.2976","672000"
"CNI","1996-12-27","39.5","39.5","38.38","2.2608","1422000"
"CNI","1996-12-30","38.62","38.62","37.88","2.2387","1094400"
"CNI","1996-12-31","38.0","38.12","37.88","2.2387","549600"
"CNI","1997-01-02","38.0","38.0","37.5","2.224","1240800"
"CNI","1997-01-03","37.88","38.38","37.88","2.2387","626400"
"CNI","1997-01-06","37.75","38.12","37.5","2.2166","7567200"
"CNI","1997-01-07","37.63","37.75","37.37","2.2166","674400"
"CNI","1997-01-08","37.88","37.88","37.37","2.2019","2052000"
"CNI","1997-01-09","37.37","37.37","37.0","2.1871","1026000"
"CNI","1997-01-10","36.88","37.63","36.88","2.2166","715200"
"CNI","1997-01-13","37.5","37.63","37.37","2.2166","912000"
"CNI","1997-01-14","37.5","38.75","37.5","2.2755","3075600"
"CNI","1997-01-15","38.62","39.5","38.62","2.3271","1285200"
"CNI","1997-01-16","39.62","39.62","39.0","2.2976","736800"
"CNI","1997-01-17","38.87","39.25","38.87","2.2976","2652000"
"CNI","1997-01-20","38.87","38.87","38.62","2.2902","297600"
"CNI","1997-01-21","38.87","38.87","38.62","2.2829","454800"
"CNI","1997-01-22","39.0","39.88","39.0","2.3418","1254000"
"CNI","1997-01-23","39.75","41.25","39.62","2.4007","4110000"
"CNI","1997-01-24","40.5","40.5","40.37","2.386","1075200"
"CNI","1997-01-27","40.37","40.5","40.25","2.3712","1790400"
"CNI","1997-01-28","40.37","40.88","40.37","2.386","3631200"
"CNI","1997-01-29","40.5","40.5","40.0","2.3639","2434800"
"CNI","1997-01-30","40.12","40.25","40.0","2.3712","363600"
"CNI","1997-01-31","40.37","40.37","39.75","2.3418","969600"
"CNI","1997-02-03","39.62","39.75","39.5","2.3344","3934800"
"CNI","1997-02-04","39.62","39.88","39.62","2.3418","546000"
"CNI","1997-02-05","39.75","39.75","38.87","2.2902","390000"
"CNI","1997-02-06","38.75","39.13","38.75","2.2829","858000"
"CNI","1997-02-07","38.87","39.13","38.75","2.2902","3850800"
"CNI","1997-02-10","38.75","38.75","37.88","2.2313","799200"
"CNI","1997-02-11","37.88","37.88","37.63","2.2313","524400"
"CNI","1997-02-12","37.88","38.5","37.88","2.2681","476400"
"CNI","1997-02-13","38.5","39.0","38.5","2.2829","3140400"
"CNI","1997-02-14","38.62","38.87","38.0","2.2681","922800"
"CNI","1997-02-18","38.38","38.75","38.38","2.2829","1183200"
"CNI","1997-02-19","38.75","38.75","38.38","2.2681","655200"
"CNI","1997-02-20","38.38","38.38","38.12","2.2534","1496400"
"CNI","1997-02-21","38.25","38.25","37.63","2.224","240000"
"CNI","1997-02-24","37.75","37.88","37.63","2.224","3927600"
"CNI","1997-02-25","37.75","37.75","37.63","2.2166","470400"
"CNI","1997-02-26","37.5","37.5","37.12","2.1871","66000"
"CNI","1997-02-27","37.12","37.12","36.25","2.143","2325600"
"CNI","1997-02-28","36.5","36.5","36.0","2.143","319200"
"CNI","1997-03-03","36.38","36.5","36.13","2.1503","704400"
"CNI","1997-03-04","36.62","36.88","36.62","2.1577","229200"
"CNI","1997-03-05","36.62","37.0","36.62","2.1861","466800"
"CNI","1997-03-06","37.0","37.5","37.0","2.2232","757200"
"CNI","1997-03-07","37.37","38.12","37.37","2.2454","2680800"
"CNI","1997-03-10","38.12","38.38","38.12","2.2677","873600"
"CNI","1997-03-11","38.25","38.38","38.0","2.2528","424800"
"CNI","1997-03-12","38.12","38.25","38.12","2.2602","506400"
"CNI","1997-03-13","38.0","38.25","37.63","2.238","558000"
"CNI","1997-03-14","37.75","37.75","37.63","2.238","1002000"
"CNI","1997-03-17","37.63","37.63","37.12","2.2084","1312800"
"CNI","1997-03-18","37.37","37.37","37.12","2.2084","313200"
"CNI","1997-03-19","37.37","37.5","36.88","2.1861","108000"
"CNI","1997-03-20","36.75","36.75","36.0","2.1417","1161600"
"CNI","1997-03-21","35.75","35.87","35.62","2.1269","4107600"
"CNI","1997-03-24","35.87","36.62","35.87","2.1713","3626400"
"CNI","1997-03-25","36.75","37.12","36.62","2.1936","2431200"
