"symbol","date","open","high","low","close","volume"
"CNR","1999-04-21","1.75","1.75","1.75","1.3723","1800"
"CNR","1999-04-22","1.75","1.75","1.75","1.3723","0"
"CNR","1999-04-23","1.75","1.75","1.75","1.3723","0"
"CNR","1999-04-26","1.75","1.75","1.75","1.3723","0"
"CNR","1999-04-27","1.69","1.75","1.66","1.2988","6200"
"CNR","1999-04-28","1.62","1.62","1.62","1.2743","3700"
"CNR","1999-04-29","1.62","1.62","1.62","1.2743","1200"
"CNR","1999-04-30","1.62","1.62","1.62","1.2743","0"
"CNR","1999-05-03","1.69","1.69","1.56","1.2253","5200"
"CNR","1999-05-04","1.44","1.44","1.44","1.1273","100"
"CNR","1999-05-05","1.44","1.44","1.44","1.1273","3100"
"CNR","1999-05-06","1.44","1.44","1.44","1.1273","0"
"CNR","1999-05-07","1.44","1.44","1.44","1.1273","0"
"CNR","1999-05-10","1.44","1.44","1.44","1.1273","0"
"CNR","1999-05-11","1.44","1.44","1.44","1.1273","0"
"CNR","1999-05-12","1.44","1.44","1.44","1.1273","1200"
"CNR","1999-05-13","1.44","1.44","1.44","1.1273","0"
"CNR","1999-05-14","1.41","1.41","1.31","1.0292","5700"
"CNR","1999-05-17","1.31","1.31","1.31","1.0292","0"
"CNR","1999-05-18","1.31","1.31","1.31","1.0292","0"
"CNR","1999-05-19","1.31","1.31","1.31","1.0292","0"
"CNR","1999-05-20","1.31","1.31","1.31","1.0292","0"
"CNR","1999-05-21","1.31","1.31","1.31","1.0292","0"
"CNR","1999-05-24","1.31","1.31","1.31","1.0292","0"
"CNR","1999-05-25","1.31","1.31","1.31","1.0292","0"
"CNR","1999-05-26","1.31","1.31","1.31","1.0292","0"
"CNR","1999-05-27","1.31","1.31","1.31","1.0292","2500"
"CNR","1999-05-28","1.31","1.31","1.31","1.0292","0"
"CNR","1999-06-01","1.44","1.88","1.44","1.3723","32500"
"CNR","1999-06-02","1.75","1.75","1.75","1.3723","0"
"CNR","1999-06-03","1.88","1.88","1.88","1.4703","1800"
"CNR","1999-06-04","1.88","1.88","1.75","1.3723","11200"
"CNR","1999-06-07","1.75","1.75","1.75","1.3723","0"
"CNR","1999-06-08","1.75","2.0","1.75","1.3723","33300"
"CNR","1999-06-09","1.75","1.75","1.75","1.3723","0"
"CNR","1999-06-10","1.75","1.75","1.75","1.3723","0"
"CNR","1999-06-11","1.75","1.75","1.75","1.3723","0"
"CNR","1999-06-14","1.62","1.62","1.62","1.2743","100"
"CNR","1999-06-15","1.62","1.62","1.62","1.2743","600"
"CNR","1999-06-16","1.62","1.62","1.62","1.2743","0"
"CNR","1999-06-17","1.62","1.88","1.62","1.4703","1200"
"CNR","1999-06-18","1.88","1.88","1.88","1.4703","0"
"CNR","1999-06-21","1.62","1.62","1.62","1.2743","600"
"CNR","1999-06-22","1.62","1.62","1.62","1.2743","0"
"CNR","1999-06-23","1.62","1.62","1.62","1.2743","0"
"CNR","1999-06-24","1.62","1.62","1.62","1.2743","0"
"CNR","1999-06-25","1.75","1.88","1.62","1.3723","35600"
"CNR","1999-06-28","1.88","1.88","1.62","1.4703","7700"
"CNR","1999-06-29","1.62","1.62","1.62","1.2743","600"
"CNR","1999-06-30","1.62","1.75","1.62","1.3723","6800"
"CNR","1999-07-01","1.5","1.75","1.5","1.3723","10500"
"CNR","1999-07-02","1.75","1.75","1.69","1.3233","1800"
"CNR","1999-07-06","1.69","1.69","1.69","1.3233","600"
"CNR","1999-07-07","1.69","1.69","1.69","1.3233","0"
"CNR","1999-07-08","1.69","1.69","1.69","1.3233","0"
"CNR","1999-07-09","1.69","1.69","1.69","1.3233","0"
"CNR","1999-07-12","1.75","1.75","1.75","1.3723","1200"
"CNR","1999-07-13","1.75","1.75","1.75","1.3723","0"
"CNR","1999-07-14","1.75","1.75","1.75","1.3723","0"
"CNR","1999-07-15","1.75","1.75","1.75","1.3723","3700"
"CNR","1999-07-16","1.75","1.75","1.75","1.3723","0"
"CNR","1999-07-19","1.62","1.62","1.62","1.2743","3100"
"CNR","1999-07-20","1.62","1.62","1.62","1.2743","0"
"CNR","1999-07-21","1.5","1.5","1.38","1.0782","5000"
"CNR","1999-07-22","1.38","1.38","1.38","1.0782","1800"
"CNR","1999-07-23","1.5","1.5","1.5","1.1763","1200"
"CNR","1999-07-26","1.5","1.5","1.5","1.1763","0"
"CNR","1999-07-27","1.38","1.38","1.38","1.0782","600"
"CNR","1999-07-28","1.38","1.38","1.38","1.0782","0"
"CNR","1999-07-29","1.38","1.38","1.38","1.0782","0"
"CNR","1999-07-30","1.38","1.38","1.38","1.0782","0"
"CNR","1999-08-02","1.38","1.38","1.38","1.0782","0"
"CNR","1999-08-03","1.38","1.38","1.38","1.0782","2500"
"CNR","1999-08-04","1.38","1.38","1.38","1.0782","3700"
"CNR","1999-08-05","1.38","1.38","1.38","1.0782","0"
"CNR","1999-08-06","1.38","1.38","1.38","1.0782","0"
"CNR","1999-08-09","1.38","1.38","1.38","1.0782","0"
"CNR","1999-08-10","1.25","1.25","1.25","0.9802","1000"
"CNR","1999-08-11","1.25","1.25","1.25","0.9802","0"
"CNR","1999-08-12","1.25","1.25","1.25","0.9802","0"
"CNR","1999-08-13","1.25","1.25","1.25","0.9802","0"
"CNR","1999-08-16","1.25","1.25","1.25","0.9802","0"
"CNR","1999-08-17","1.25","1.25","1.25","0.9802","0"
"CNR","1999-08-18","1.25","1.25","1.25","0.9802","0"
"CNR","1999-08-19","1.25","1.25","1.25","0.9802","0"
"CNR","1999-08-20","1.25","1.25","1.25","0.9802","0"
"CNR","1999-08-23","1.25","1.25","1.25","0.9802","0"
"CNR","1999-08-24","1.25","1.25","1.25","0.9802","1500"
