"symbol","date","open","high","low","close","volume"
"CNXC","2015-06-30","15.0","15.0","15.0","12.7677","0"
"CNXC","2015-07-01","15.0","15.61","15.0","13.1167","3279800"
"CNXC","2015-07-02","15.31","15.51","15.0","13.0742","387800"
"CNXC","2015-07-06","15.2","15.4","15.08","12.8528","91600"
"CNXC","2015-07-07","15.13","15.18","14.12","12.7933","767900"
"CNXC","2015-07-08","15.01","15.09","15.0","12.7848","93300"
"CNXC","2015-07-09","15.01","15.4","15.0","12.8954","62100"
"CNXC","2015-07-10","15.45","15.45","15.1","12.9039","53100"
"CNXC","2015-07-13","15.35","15.75","15.21","13.4061","150700"
"CNXC","2015-07-14","15.55","15.93","15.5","13.5253","99800"
"CNXC","2015-07-15","15.85","16.08","15.75","13.5338","81900"
"CNXC","2015-07-16","15.7","15.7","15.1","13.2784","141900"
"CNXC","2015-07-17","15.5","15.51","15.1","13.1082","94900"
"CNXC","2015-07-20","15.4","15.44","15.1","13.0231","100500"
"CNXC","2015-07-21","15.15","15.3","14.66","12.7507","137600"
"CNXC","2015-07-22","14.98","15.2","14.84","12.7507","35700"
"CNXC","2015-07-23","14.99","15.0","14.85","12.6656","67800"
"CNXC","2015-07-24","14.9","14.9","14.21","12.4528","105200"
"CNXC","2015-07-27","14.22","15.23","14.22","12.4868","382200"
"CNXC","2015-07-28","14.74","15.0","14.63","12.6911","209600"
"CNXC","2015-07-29","14.9","14.9","14.53","12.5209","231200"
"CNXC","2015-07-30","14.99","14.99","14.6","12.4953","147200"
"CNXC","2015-07-31","14.68","14.83","14.51","12.3592","210000"
"CNXC","2015-08-03","14.55","14.55","13.46","11.7889","321800"
"CNXC","2015-08-04","14.15","14.41","13.83","12.0017","135800"
"CNXC","2015-08-05","14.1","14.84","14.1","12.3421","91100"
"CNXC","2015-08-06","14.43","14.5","13.58","12.0868","108000"
"CNXC","2015-08-07","14.31","15.0","14.01","12.3506","90000"
"CNXC","2015-08-10","14.5","14.5","13.75","11.7889","170500"
"CNXC","2015-08-11","13.95","14.0","13.0","11.1505","202200"
"CNXC","2015-08-12","13.0","13.37","12.97","11.193","93300"
"CNXC","2015-08-13","13.15","13.5","13.15","11.2782","41200"
"CNXC","2015-08-14","13.48","13.49","13.02","11.2016","51300"
"CNXC","2015-08-17","13.22","13.55","13.17","11.3633","52000"
"CNXC","2015-08-18","13.29","13.37","13.2","11.3207","16200"
"CNXC","2015-08-19","13.13","13.9","13.13","11.6867","48900"
"CNXC","2015-08-20","13.83","14.75","13.47","11.6952","117700"
"CNXC","2015-08-21","13.74","14.65","13.63","12.3166","74000"
"CNXC","2015-08-24","14.19","15.97","14.19","12.3592","149700"
"CNXC","2015-08-25","14.27","14.76","13.35","11.4143","77800"
"CNXC","2015-08-26","13.52","14.68","13.52","12.0612","46300"
"CNXC","2015-08-27","14.59","15.0","14.56","12.4783","15900"
"CNXC","2015-08-28","14.71","14.95","14.0","12.2145","15400"
"CNXC","2015-08-31","14.55","15.14","13.5","12.7337","166600"
"CNXC","2015-09-01","14.85","14.85","13.74","12.2247","39000"
"CNXC","2015-09-02","14.35","14.61","14.31","12.257","39800"
"CNXC","2015-09-03","14.47","14.56","14.35","12.2145","5000"
"CNXC","2015-09-04","13.85","14.51","13.85","11.9761","31400"
"CNXC","2015-09-08","14.14","14.5","14.14","12.274","25200"
"CNXC","2015-09-09","14.79","14.79","14.23","12.24","37900"
"CNXC","2015-09-10","14.35","14.92","14.33","12.5975","54000"
"CNXC","2015-09-11","14.64","15.1","14.21","12.0953","30200"
"CNXC","2015-09-14","14.6","14.86","14.31","12.2315","41100"
"CNXC","2015-09-15","14.58","14.91","14.3","12.223","78200"
"CNXC","2015-09-16","14.45","14.59","14.39","12.2996","10800"
"CNXC","2015-09-17","14.58","14.64","14.33","12.2145","19700"
"CNXC","2015-09-18","14.35","14.5","14.1","12.0612","34400"
"CNXC","2015-09-21","14.46","14.97","14.24","12.274","81800"
"CNXC","2015-09-22","13.82","17.34","13.35","12.2145","53600"
"CNXC","2015-09-23","14.4","14.47","14.23","12.2145","31800"
"CNXC","2015-09-24","14.44","14.67","14.05","12.4783","40900"
"CNXC","2015-09-25","14.64","14.64","13.75","11.7123","27300"
"CNXC","2015-09-28","13.75","13.83","11.54","10.2312","81200"
"CNXC","2015-09-29","11.59","12.06","11.37","9.8397","79300"
"CNXC","2015-09-30","11.67","11.67","10.68","9.5758","179700"
"CNXC","2015-10-01","11.17","11.61","11.17","9.6524","58300"
"CNXC","2015-10-02","11.2","11.23","10.84","9.4566","140800"
"CNXC","2015-10-05","11.08","12.01","11.08","9.9929","91600"
"CNXC","2015-10-06","11.6","12.22","11.6","10.2397","48200"
"CNXC","2015-10-07","12.03","12.45","11.97","10.5547","59300"
"CNXC","2015-10-08","12.34","12.54","12.15","10.5972","19700"
"CNXC","2015-10-09","12.31","12.66","12.25","10.7589","18500"
"CNXC","2015-10-12","12.7","12.7","12.32","10.6398","9800"
"CNXC","2015-10-13","12.25","12.71","12.25","10.5632","32000"
"CNXC","2015-10-14","12.2","12.84","12.2","10.627","72200"
"CNXC","2015-10-15","12.59","12.59","11.81","10.3504","30900"
"CNXC","2015-10-16","12.0","12.16","11.75","10.1206","22600"
"CNXC","2015-10-19","12.0","12.29","11.47","10.2738","20900"
"CNXC","2015-10-20","12.2","12.61","11.58","10.3759","52000"
"CNXC","2015-10-21","12.3","12.43","12.1","10.427","28000"
"CNXC","2015-10-22","12.17","12.84","12.13","10.3929","51200"
"CNXC","2015-10-23","12.39","12.69","12.11","10.6908","35600"
"CNXC","2015-10-26","12.58","12.77","11.96","10.6057","106800"
"CNXC","2015-10-27","12.4","13.42","12.32","11.0313","182300"
"CNXC","2015-10-28","12.85","13.6","12.85","11.4654","37800"
"CNXC","2015-10-29","13.47","13.71","12.94","11.0143","22100"
"CNXC","2015-10-30","12.92","13.18","12.04","11.0143","23000"
"CNXC","2015-11-02","13.03","13.38","12.7","11.159","51300"
"CNXC","2015-11-03","13.19","13.45","12.63","11.1462","52500"
"CNXC","2015-11-04","12.57","13.05","12.32","11.5297","29200"
"CNXC","2015-11-05","13.04","13.43","13.0","11.4855","12300"
"CNXC","2015-11-06","13.17","13.19","11.76","10.9819","53300"
"CNXC","2015-11-09","12.46","13.01","12.1","10.867","35300"
"CNXC","2015-11-10","12.29","12.38","12.15","10.8494","49100"
"CNXC","2015-11-11","12.15","12.31","11.8","10.4783","23900"
"CNXC","2015-11-12","11.97","11.99","11.65","10.3458","23900"
"CNXC","2015-11-13","11.72","11.85","11.6","10.3546","9400"
"CNXC","2015-11-16","11.76","12.0","11.75","10.602","38300"
"CNXC","2015-11-17","11.95","12.35","11.94","10.6815","86000"
"CNXC","2015-11-18","12.14","12.45","12.05","10.8759","59700"
"CNXC","2015-11-19","12.33","12.35","11.83","10.8847","27000"
"CNXC","2015-11-20","12.4","12.4","11.67","10.3723","141800"
"CNXC","2015-11-23","11.83","11.87","11.55","10.2751","52700"
"CNXC","2015-11-24","11.4","11.73","11.37","10.3546","51300"
"CNXC","2015-11-25","11.78","11.8","11.19","10.1072","87100"
"CNXC","2015-11-27","11.55","11.66","11.12","10.1161","15300"
"CNXC","2015-11-30","11.6","11.7","11.38","10.2751","26300"
"CNXC","2015-12-01","11.62","11.71","11.31","9.9924","37700"
"CNXC","2015-12-02","11.3","11.57","11.21","9.957","36400"
"CNXC","2015-12-03","11.31","11.34","10.45","9.3916","57600"
"CNXC","2015-12-04","10.56","11.0","10.09","9.2944","96100"
"CNXC","2015-12-07","10.57","10.57","10.0","8.9764","63600"
"CNXC","2015-12-08","10.16","10.16","9.67","8.5699","63900"
"CNXC","2015-12-09","9.76","9.91","9.52","8.4197","79400"
"CNXC","2015-12-10","9.68","9.68","9.38","8.3314","44100"
"CNXC","2015-12-11","9.43","9.55","9.01","8.0752","96200"
"CNXC","2015-12-14","9.09","9.09","8.62","7.9603","83900"
"CNXC","2015-12-15","9.16","9.16","8.95","7.925","46600"
"CNXC","2015-12-16","8.98","9.1","8.57","7.8366","119100"
"CNXC","2015-12-17","8.8","8.99","8.78","7.7748","65600"
"CNXC","2015-12-18","8.97","9.0","8.25","7.3507","117600"
"CNXC","2015-12-21","8.5","8.6","8.25","7.5804","99400"
"CNXC","2015-12-22","8.66","9.22","8.5","8.084","229600"
"CNXC","2015-12-23","9.07","9.52","9.07","8.3932","116400"
"CNXC","2015-12-24","9.55","9.55","9.28","8.1945","34300"
"CNXC","2015-12-28","9.22","9.31","8.77","8.2077","55300"
"CNXC","2015-12-29","9.24","9.42","8.9","8.084","138700"
"CNXC","2015-12-30","9.07","9.08","8.77","7.7748","70100"
"CNXC","2015-12-31","8.83","9.32","8.77","8.19","108800"
"CNXC","2016-01-04","9.27","9.39","9.14","8.1724","79000"
"CNXC","2016-01-05","9.2","9.28","8.85","7.9957","165200"
"CNXC","2016-01-06","8.81","8.84","8.53","7.5981","99000"
"CNXC","2016-01-07","8.5","8.5","7.92","7.2138","70800"
"CNXC","2016-01-08","8.22","8.36","7.95","7.0238","93500"
"CNXC","2016-01-11","7.89","7.89","6.95","6.264","189100"
"CNXC","2016-01-12","7.11","7.26","6.01","5.7074","374300"
"CNXC","2016-01-13","7.23","7.23","6.36","5.7604","174300"
"CNXC","2016-01-14","6.46","6.99","6.27","5.9901","112500"
"CNXC","2016-01-15","6.6","7.4","6.49","6.0078","102100"
"CNXC","2016-01-19","6.99","7.0","6.54","5.9636","88700"
"CNXC","2016-01-20","6.7","6.87","6.14","5.8576","57000"
"CNXC","2016-01-21","6.75","7.24","6.46","5.8134","98900"
"CNXC","2016-01-22","6.77","7.0","6.53","5.9725","169400"
"CNXC","2016-01-25","6.76","6.9","6.7","5.9459","79000"
"CNXC","2016-01-26","6.81","7.03","6.57","6.0961","136700"
"CNXC","2016-01-27","6.91","6.94","6.75","6.0767","67000"
"CNXC","2016-01-28","6.83","7.38","6.82","6.4054","83600"
"CNXC","2016-01-29","7.18","7.94","7.18","6.9796","105300"
"CNXC","2016-02-01","7.89","8.06","7.58","6.909","62600"
"CNXC","2016-02-02","7.84","8.04","7.46","6.6881","35700"
"CNXC","2016-02-03","7.81","7.85","7.5","6.7588","65400"
"CNXC","2016-02-04","7.28","7.57","7.22","6.8942","34600"
"CNXC","2016-02-05","7.34","7.47","7.34","7.0268","34800"
"CNXC","2016-02-08","7.27","7.27","6.83","6.4775","53900"
"CNXC","2016-02-09","6.92","7.0","6.03","5.8335","64300"
"CNXC","2016-02-10","6.4","6.48","6.05","5.9567","53500"
"CNXC","2016-02-11","6.24","6.24","6.04","5.8051","33700"
"CNXC","2016-02-12","6.16","6.47","5.98","6.0798","23700"
"CNXC","2016-02-16","6.67","6.67","6.3","6.1934","37400"
"CNXC","2016-02-17","6.65","7.0","6.5","6.5627","63500"
"CNXC","2016-02-18","7.02","7.04","6.62","6.3355","26500"
"CNXC","2016-02-19","6.54","6.54","6.04","5.8241","40000"
"CNXC","2016-02-22","6.24","6.62","6.2","6.165","60300"
"CNXC","2016-02-23","6.5","6.6","6.17","6.1745","26100"
"CNXC","2016-02-24","6.42","6.87","6.2","6.3923","23600"
"CNXC","2016-02-25","6.77","6.85","6.4","6.1271","29000"
"CNXC","2016-02-26","6.71","6.79","6.55","6.3923","17900"
"CNXC","2016-02-29","6.65","7.13","6.65","6.5343","35000"
"CNXC","2016-03-01","6.92","6.99","6.81","6.5533","12300"
"CNXC","2016-03-02","7.07","7.14","6.75","6.629","116600"
"CNXC","2016-03-03","7.0","7.18","6.92","6.5627","34600"
"CNXC","2016-03-04","6.95","7.12","6.65","6.2976","63900"
"CNXC","2016-03-07","6.8","7.18","6.8","6.5059","68300"
"CNXC","2016-03-08","6.99","7.1","6.76","6.5154","45700"
"CNXC","2016-03-09","7.01","7.1","6.93","6.648","33600"
"CNXC","2016-03-10","7.01","7.29","6.7","6.3828","73600"
"CNXC","2016-03-11","6.96","7.14","6.85","6.5627","48200"
"CNXC","2016-03-14","6.98","7.02","6.75","6.487","51200"
"CNXC","2016-03-15","6.75","7.04","6.65","6.5911","20700"
"CNXC","2016-03-16","6.99","7.09","6.94","6.6101","98700"
"CNXC","2016-03-17","7.16","7.3","7.09","6.7711","29400"
"CNXC","2016-03-18","7.19","7.24","6.75","6.5059","93300"
"CNXC","2016-03-21","6.92","7.11","6.21","6.2692","121000"
"CNXC","2016-03-22","6.68","7.07","6.63","6.5343","53800"
"CNXC","2016-03-23","6.87","6.95","6.52","6.5817","50800"
"CNXC","2016-03-24","6.89","7.2","6.66","6.629","165700"
"CNXC","2016-03-28","7.08","7.09","6.8","6.6385","172600"
"CNXC","2016-03-29","7.06","7.19","6.85","6.6574","85800"
"CNXC","2016-03-30","7.09","7.28","7.05","6.8847","45200"
"CNXC","2016-03-31","7.29","7.29","7.01","6.7995","40700"
"CNXC","2016-04-01","7.07","7.23","6.7","6.5059","44800"
"CNXC","2016-04-04","6.87","7.0","6.81","6.5911","17800"
"CNXC","2016-04-05","6.97","7.26","6.81","6.5817","68800"
"CNXC","2016-04-06","7.03","7.03","6.76","6.4017","37100"
"CNXC","2016-04-07","6.76","6.94","6.76","6.4964","13200"
"CNXC","2016-04-08","6.98","7.18","6.81","6.5249","53000"
"CNXC","2016-04-11","6.98","7.27","6.8","6.5343","65000"
"CNXC","2016-04-12","6.91","7.21","6.91","6.629","65400"
"CNXC","2016-04-13","7.0","7.27","6.98","6.6858","82000"
"CNXC","2016-04-14","7.13","7.29","6.99","6.629","129300"
"CNXC","2016-04-15","7.02","7.18","7.02","6.7616","44900"
"CNXC","2016-04-18","7.14","7.84","7.14","7.1972","107500"
"CNXC","2016-04-19","7.66","7.99","7.5","7.5571","137800"
"CNXC","2016-04-20","8.08","9.19","8.02","8.5325","164400"
"CNXC","2016-04-21","9.01","9.45","8.81","8.8829","76800"
"CNXC","2016-04-22","9.38","9.38","9.01","8.6177","52700"
"CNXC","2016-04-25","9.1","9.35","9.01","8.684","52400"
"CNXC","2016-04-26","9.01","9.34","8.48","8.8261","90500"
"CNXC","2016-04-27","9.38","9.89","9.38","9.328","81400"
"CNXC","2016-04-28","9.85","10.29","9.5","9.0912","74500"
"CNXC","2016-04-29","9.73","9.81","9.22","8.9492","56700"
"CNXC","2016-05-02","9.93","10.15","9.48","9.167","117100"
"CNXC","2016-05-03","8.65","9.04","8.34","8.7","83000"
"CNXC","2016-05-04","8.87","8.98","8.41","8.52","47300"
"CNXC","2016-05-05","8.68","8.81","8.44","8.62","38500"
"CNXC","2016-05-06","8.6","8.86","8.16","8.83","45500"
"CNXC","2016-05-09","8.92","8.93","8.35","8.58","38100"
"CNXC","2016-05-10","8.52","8.54","8.08","8.33","53800"
"CNXC","2016-05-11","8.38","8.74","8.33","8.68","21100"
"CNXC","2016-05-12","8.87","8.87","8.56","8.59","25200"
"CNXC","2016-05-13","8.55","8.71","8.4","8.66","14500"
"CNXC","2016-05-16","8.7","8.83","8.41","8.46","25200"
"CNXC","2016-05-17","8.54","8.7","8.41","8.455","36000"
"CNXC","2016-05-18","8.46","8.46","8.04","8.13","35800"
"CNXC","2016-05-19","8.09","8.09","7.7","7.89","55100"
"CNXC","2016-05-20","7.87","7.95","7.61","7.69","107000"
"CNXC","2016-05-23","7.68","7.92","7.61","7.72","57300"
"CNXC","2016-05-24","7.79","8.04","7.55","7.9","83600"
"CNXC","2016-05-25","7.8","8.16","7.8","8.12","11700"
"CNXC","2016-05-26","8.12","8.24","7.87","7.9","12600"
"CNXC","2016-05-27","8.05","8.17","7.95","8.17","26800"
"CNXC","2016-05-31","8.11","8.12","7.92","8.04","20247"
"CNXC","2016-06-01","8.03","8.1","7.88","8.01","26174"
"CNXC","2016-06-02","8.01","8.39","7.9","8.18","59442"
"CNXC","2016-06-03","8.17","9.44","8.13","8.9","85428"
"CNXC","2016-06-06","9.13","9.68","8.95","9.62","87921"
"CNXC","2016-06-07","9.7","10.02","9.3","9.35","85401"
"CNXC","2016-06-08","9.45","9.99","9.45","9.77","31092"
