"symbol","date","open","high","low","close","volume"
"CNYD","2008-01-07","0.24","0.35","0.24","70.0","200"
"CNYD","2008-01-08","0.35","0.44","0.3","70.0","100"
"CNYD","2008-01-09","0.35","0.35","0.35","70.0","0"
"CNYD","2008-01-10","0.35","0.35","0.35","70.0","0"
"CNYD","2008-01-11","0.25","0.32","0.25","64.0","0"
"CNYD","2008-01-14","0.25","0.31","0.25","62.0","0"
"CNYD","2008-01-15","0.26","0.3","0.22","50.0","200"
"CNYD","2008-01-16","0.25","0.26","0.23","50.0","100"
"CNYD","2008-01-17","0.31","0.31","0.24","60.0","0"
"CNYD","2008-01-18","0.3","0.35","0.25","70.0","100"
"CNYD","2008-01-22","0.34","0.4","0.29","58.0","0"
"CNYD","2008-01-23","0.35","0.35","0.35","70.0","0"
"CNYD","2008-01-24","0.35","0.35","0.34","70.0","100"
"CNYD","2008-01-25","0.34","0.37","0.34","74.0","100"
"CNYD","2008-01-28","0.36","0.37","0.34","68.0","200"
"CNYD","2008-01-29","0.34","0.35","0.34","68.0","200"
"CNYD","2008-01-30","0.34","0.35","0.34","70.0","0"
"CNYD","2008-01-31","0.34","0.35","0.34","70.0","0"
"CNYD","2008-02-01","0.34","0.36","0.34","72.0","300"
"CNYD","2008-02-04","0.4","0.4","0.36","72.0","0"
"CNYD","2008-02-05","0.39","0.39","0.39","78.0","0"
"CNYD","2008-02-06","0.34","0.4","0.34","68.0","100"
"CNYD","2008-02-07","0.38","0.38","0.34","68.0","100"
"CNYD","2008-02-08","0.34","0.36","0.3","72.0","400"
"CNYD","2008-02-11","0.31","0.31","0.31","62.0","200"
"CNYD","2008-02-12","0.31","0.31","0.31","62.0","0"
"CNYD","2008-02-13","0.36","0.36","0.31","62.0","100"
"CNYD","2008-02-14","0.38","0.38","0.31","62.0","0"
"CNYD","2008-02-15","0.31","0.31","0.31","62.0","0"
"CNYD","2008-02-19","0.35","0.37","0.35","72.0","0"
"CNYD","2008-02-20","0.36","0.36","0.36","72.0","0"
"CNYD","2008-02-21","0.29","0.29","0.29","58.0","0"
"CNYD","2008-02-22","0.28","0.28","0.28","56.0","0"
"CNYD","2008-02-25","0.28","0.33","0.28","66.0","0"
"CNYD","2008-02-26","0.34","0.34","0.28","56.0","0"
"CNYD","2008-02-27","0.34","0.34","0.27","68.0","0"
"CNYD","2008-02-28","3.4","3.4","3.4","68.0","0"
"CNYD","2008-02-29","3.4","3.4","3.4","68.0","0"
"CNYD","2008-03-03","3.4","3.4","3.4","68.0","0"
