"symbol","date","open","high","low","close","volume"
"CORI","2014-04-03","8.26","8.48","7.67","8.0","3351300"
"CORI","2014-04-04","8.0","8.14","7.95","7.95","363600"
"CORI","2014-04-07","7.85","8.04","7.78","8.0","86100"
"CORI","2014-04-08","7.77","8.04","7.77","8.04","94200"
"CORI","2014-04-09","8.06","8.06","7.95","7.95","61200"
"CORI","2014-04-10","8.04","8.06","7.95","8.0","13500"
"CORI","2014-04-11","8.0","8.0","7.76","7.97","31900"
"CORI","2014-04-14","7.95","8.03","7.95","8.02","10400"
"CORI","2014-04-15","7.96","8.01","7.76","8.0","32900"
"CORI","2014-04-16","7.97","8.25","7.92","8.0","66500"
"CORI","2014-04-17","8.03","8.16","8.01","8.14","10600"
"CORI","2014-04-21","8.18","8.18","8.0","8.01","32500"
"CORI","2014-04-22","8.08","8.23","8.0","8.0","45000"
"CORI","2014-04-23","8.14","8.18","7.91","8.18","5800"
"CORI","2014-04-24","8.23","8.23","7.86","8.17","27800"
"CORI","2014-04-25","8.1","8.22","8.02","8.19","16300"
"CORI","2014-04-28","8.13","8.32","7.93","7.99","101000"
"CORI","2014-04-29","8.05","8.05","7.45","7.47","30500"
"CORI","2014-04-30","7.47","7.62","7.4","7.55","21100"
"CORI","2014-05-01","7.56","7.81","7.37","7.4","82400"
"CORI","2014-05-02","7.41","7.7","7.41","7.47","46100"
"CORI","2014-05-05","7.33","7.34","7.0","7.34","125100"
"CORI","2014-05-06","7.23","7.25","7.0","7.05","55700"
"CORI","2014-05-07","7.1","7.11","7.0","7.02","39200"
"CORI","2014-05-08","6.95","7.12","6.8","6.822","3500"
"CORI","2014-05-09","6.76","6.82","6.1","6.62","21700"
"CORI","2014-05-12","6.8","7.02","6.79","6.8","700"
"CORI","2014-05-13","6.8","6.8","6.5","6.56","20900"
"CORI","2014-05-14","6.52","6.74","6.5","6.56","3400"
"CORI","2014-05-15","6.6","6.79","6.55","6.6","13900"
"CORI","2014-05-16","7.0","7.0","6.85","6.98","3200"
"CORI","2014-05-19","6.9","7.25","6.63","7.08","38000"
"CORI","2014-05-20","6.99","7.29","6.52","7.1","10900"
"CORI","2014-05-21","6.9","7.05","6.75","7.04","15000"
"CORI","2014-05-22","6.99","7.01","6.5","6.9","10300"
"CORI","2014-05-23","6.94","7.0","6.88","6.96","3700"
"CORI","2014-05-27","7.0","7.05","6.97","6.97","4700"
"CORI","2014-05-28","6.96","7.05","6.74","6.9","10900"
"CORI","2014-05-29","7.1","7.1","6.91","6.91","39500"
"CORI","2014-05-30","6.99","7.25","6.67","7.1","3400"
"CORI","2014-06-02","7.15","7.25","7.1","7.17","11700"
"CORI","2014-06-03","7.19","7.48","7.1","7.35","15000"
"CORI","2014-06-04","7.38","7.83","7.38","7.51","22500"
"CORI","2014-06-05","7.68","7.94","7.47","7.91","45100"
"CORI","2014-06-06","7.89","7.9","7.52","7.7","47800"
"CORI","2014-06-09","7.85","8.0","7.54","7.81","32300"
"CORI","2014-06-10","7.51","7.99","7.51","7.98","39500"
"CORI","2014-06-11","7.99","8.05","7.8","8.02","17600"
"CORI","2014-06-12","8.05","8.17","7.75","7.91","41400"
"CORI","2014-06-13","7.95","8.15","7.92","8.09","23500"
"CORI","2014-06-16","8.02","8.18","7.93","8.14","21300"
"CORI","2014-06-17","8.14","8.2","7.96","8.14","29300"
"CORI","2014-06-18","8.16","8.49","8.03","8.1","70400"
"CORI","2014-06-19","8.16","8.3","7.79","8.15","57500"
"CORI","2014-06-20","8.24","8.24","6.6","6.6","287500"
"CORI","2014-06-23","7.23","7.25","6.91","7.24","105200"
"CORI","2014-06-24","7.17","7.65","7.16","7.54","30000"
"CORI","2014-06-25","7.54","7.64","7.42","7.6","12400"
"CORI","2014-06-26","7.57","7.84","7.45","7.78","17600"
"CORI","2014-06-27","7.78","7.8","7.42","7.56","28500"
"CORI","2014-06-30","7.64","7.85","7.57","7.77","1700"
"CORI","2014-07-01","7.66","7.85","7.66","7.8","9300"
"CORI","2014-07-02","7.75","7.99","7.75","7.88","23200"
"CORI","2014-07-03","7.75","7.88","7.71","7.85","7000"
"CORI","2014-07-07","7.91","7.91","7.65","7.83","4200"
"CORI","2014-07-08","7.86","7.91","7.2","7.75","4000"
"CORI","2014-07-09","7.8","7.98","7.57","7.87","34000"
"CORI","2014-07-10","7.78","7.78","7.25","7.48","10900"
"CORI","2014-07-11","7.7","7.75","7.6","7.69","2300"
"CORI","2014-07-14","7.58","7.75","7.38","7.55","6600"
"CORI","2014-07-15","7.58","7.58","7.3","7.41","14900"
"CORI","2014-07-16","7.1","7.27","7.01","7.25","10000"
"CORI","2014-07-17","7.08","7.08","6.91","6.97","12300"
"CORI","2014-07-18","6.94","7.34","6.91","7.02","10800"
"CORI","2014-07-21","7.21","7.24","7.03","7.21","900"
"CORI","2014-07-22","7.19","7.19","6.91","6.93","7000"
"CORI","2014-07-23","6.97","7.04","6.85","6.85","8800"
"CORI","2014-07-24","6.85","7.0","6.85","6.91","1700"
"CORI","2014-07-25","6.9","6.98","6.9","6.96","1600"
"CORI","2014-07-28","7.0","7.0","6.71","6.71","5600"
"CORI","2014-07-29","6.72","6.74","6.62","6.65","9300"
"CORI","2014-07-30","6.61","6.82","6.6","6.82","5000"
"CORI","2014-07-31","6.62","6.63","6.42","6.51","8800"
"CORI","2014-08-01","6.62","6.62","6.21","6.29","35000"
"CORI","2014-08-04","6.21","6.39","6.13","6.31","4300"
"CORI","2014-08-05","6.2","6.29","5.91","6.26","15900"
"CORI","2014-08-06","6.15","6.15","5.81","5.99","4800"
"CORI","2014-08-07","5.83","5.85","5.81","5.85","800"
"CORI","2014-08-08","5.95","5.95","5.72","5.74","4000"
"CORI","2014-08-11","5.71","5.81","5.62","5.66","4600"
"CORI","2014-08-12","5.65","5.77","5.61","5.66","10900"
"CORI","2014-08-13","5.7","6.0","5.65","5.85","34600"
"CORI","2014-08-14","5.97","6.02","5.81","5.95","12400"
"CORI","2014-08-15","5.9","6.0","5.82","5.85","6200"
"CORI","2014-08-18","5.81","6.12","5.81","5.9","106400"
"CORI","2014-08-19","5.92","6.15","5.9","6.14","4000"
"CORI","2014-08-20","6.1","6.12","5.81","5.82","10300"
"CORI","2014-08-21","5.85","5.96","5.85","5.93","12000"
"CORI","2014-08-22","5.86","6.06","5.86","6.01","14500"
"CORI","2014-08-25","6.05","6.16","5.93","6.09","6200"
"CORI","2014-08-26","6.1","6.33","6.0","6.33","6300"
"CORI","2014-08-27","6.23","6.56","6.14","6.25","14700"
"CORI","2014-08-28","6.25","6.54","6.21","6.23","1300"
"CORI","2014-08-29","6.23","6.42","6.23","6.415","400"
"CORI","2014-09-02","6.39","6.62","6.38","6.6","8100"
"CORI","2014-09-03","6.61","6.76","6.61","6.67","5400"
"CORI","2014-09-04","6.67","6.96","6.52","6.93","25400"
"CORI","2014-09-05","6.81","6.95","6.67","6.72","3100"
"CORI","2014-09-08","6.9","6.9","6.71","6.84","4700"
"CORI","2014-09-09","6.93","6.93","6.72","6.92","2100"
"CORI","2014-09-10","6.83","6.9","6.71","6.9","6400"
"CORI","2014-09-11","6.74","6.89","6.71","6.89","1900"
"CORI","2014-09-12","6.93","6.94","6.87","6.9","7100"
"CORI","2014-09-15","6.94","6.95","6.74","6.94","4700"
"CORI","2014-09-16","6.95","6.95","6.83","6.95","3000"
"CORI","2014-09-17","6.9","6.92","6.7","6.7","11000"
"CORI","2014-09-18","6.72","6.74","6.7","6.74","12800"
"CORI","2014-09-19","6.71","6.95","6.7","6.7","10700"
"CORI","2014-09-22","6.75","6.85","6.24","6.27","21900"
"CORI","2014-09-23","6.52","6.54","6.31","6.32","2900"
"CORI","2014-09-24","6.31","6.95","6.21","6.3","5100"
"CORI","2014-09-25","6.3","6.72","6.3","6.42","16300"
"CORI","2014-09-26","6.68","6.76","6.29","6.34","5000"
"CORI","2014-09-29","6.27","6.5","6.27","6.35","2600"
"CORI","2014-09-30","6.27","6.49","6.12","6.14","17600"
"CORI","2014-10-01","6.14","6.15","5.91","5.92","323500"
"CORI","2014-10-02","5.92","5.94","5.51","5.89","24000"
"CORI","2014-10-03","5.62","5.93","5.62","5.85","6600"
"CORI","2014-10-06","5.62","5.8","5.61","5.63","6700"
"CORI","2014-10-07","5.76","5.83","5.51","5.72","7100"
"CORI","2014-10-08","5.72","5.72","5.51","5.55","8400"
"CORI","2014-10-09","5.68","5.69","5.56","5.561","1800"
"CORI","2014-10-10","5.62","5.62","5.51","5.51","29700"
"CORI","2014-10-13","5.51","5.72","5.45","5.473","2300"
"CORI","2014-10-14","5.63","5.65","5.44","5.44","1200"
"CORI","2014-10-15","5.61","5.65","5.37","5.395","5800"
"CORI","2014-10-16","5.32","5.81","5.32","5.76","9000"
"CORI","2014-10-17","5.4","5.73","5.4","5.73","4400"
"CORI","2014-10-20","5.42","5.6","5.42","5.43","3700"
"CORI","2014-10-21","5.73","6.0","5.51","5.915","41200"
"CORI","2014-10-22","5.88","5.88","5.56","5.75","1500"
"CORI","2014-10-23","5.76","5.77","5.62","5.67","11400"
"CORI","2014-10-24","5.6","5.6","5.33","5.45","8600"
"CORI","2014-10-27","5.34","5.68","5.3","5.38","5500"
"CORI","2014-10-28","5.26","5.26","5.26","5.26","1000"
"CORI","2014-10-29","5.37","5.71","5.28","5.61","5200"
"CORI","2014-10-30","5.57","5.58","5.3","5.55","6500"
"CORI","2014-10-31","5.31","5.56","5.26","5.42","6200"
