"symbol","date","open","high","low","close","volume"
"CORT","2004-04-14","12.25","12.65","12.0","12.23","358300"
"CORT","2004-04-15","12.24","12.26","12.0","12.0","214600"
"CORT","2004-04-16","12.01","12.05","12.0","12.0","111800"
"CORT","2004-04-19","12.05","12.05","11.25","11.4","292100"
"CORT","2004-04-20","12.0","12.0","11.0","11.02","31300"
"CORT","2004-04-21","11.5","11.5","10.75","10.8","177000"
"CORT","2004-04-22","11.0","11.0","10.5","10.9","33500"
"CORT","2004-04-23","10.91","11.01","10.9","10.9","54400"
"CORT","2004-04-26","11.25","11.25","10.7","10.85","46000"
"CORT","2004-04-27","11.5","11.6","10.85","10.85","27800"
"CORT","2004-04-28","11.5","11.6","10.65","10.85","41200"
"CORT","2004-04-29","11.45","11.45","10.95","11.3","29300"
"CORT","2004-04-30","11.01","11.76","11.01","11.74","36900"
"CORT","2004-05-03","11.74","11.74","11.0","11.0","57000"
"CORT","2004-05-04","11.49","11.76","11.1","11.69","66900"
"CORT","2004-05-05","11.98","12.0","11.25","11.48","47200"
"CORT","2004-05-06","11.75","11.75","11.26","11.41","5500"
"CORT","2004-05-07","11.25","11.4","11.03","11.4","26200"
"CORT","2004-05-10","11.0","11.17","10.65","10.68","66300"
"CORT","2004-05-11","10.65","10.95","10.5","10.95","57600"
"CORT","2004-05-12","10.6","10.99","10.25","10.42","45400"
"CORT","2004-05-13","10.51","10.51","10.3","10.32","13300"
"CORT","2004-05-14","10.79","10.79","10.18","10.25","90500"
"CORT","2004-05-17","10.43","10.69","9.21","9.85","28100"
"CORT","2004-05-18","10.0","10.01","9.2","9.85","231100"
"CORT","2004-05-19","9.94","10.66","9.45","10.14","86400"
"CORT","2004-05-20","9.95","10.4","9.9","10.02","53200"
"CORT","2004-05-21","10.0","10.2","9.87","10.03","49600"
"CORT","2004-05-24","10.08","10.09","9.98","10.0","16700"
"CORT","2004-05-25","10.57","10.57","9.92","10.0","197300"
"CORT","2004-05-26","10.09","10.09","9.92","10.0","21800"
"CORT","2004-05-27","9.95","9.95","9.51","9.94","81500"
