"symbol","date","open","high","low","close","volume"
"CPB","1985-07-01","75.75","77.0","75.75","2.1475","833600"
"CPB","1985-07-02","77.0","77.0","76.5","2.1545","232000"
"CPB","1985-07-03","76.62","76.88","76.38","2.151","265600"
"CPB","1985-07-05","76.5","77.0","76.38","2.158","273600"
"CPB","1985-07-08","76.88","77.62","76.88","2.1826","825600"
"CPB","1985-07-09","77.75","79.75","77.75","2.2424","577600"
"CPB","1985-07-10","79.75","80.5","79.5","2.2459","683200"
"CPB","1985-07-11","79.88","80.0","79.75","2.2459","478400"
"CPB","1985-07-12","79.75","79.75","79.5","2.2354","227200"
"CPB","1985-07-15","79.5","80.0","79.12","2.2248","236800"
"CPB","1985-07-16","79.12","79.5","79.12","2.2354","507200"
"CPB","1985-07-17","79.5","80.12","79.38","2.2529","555200"
"CPB","1985-07-18","80.0","80.0","79.5","2.2354","137600"
"CPB","1985-07-19","79.5","79.75","78.25","2.2178","371200"
"CPB","1985-07-22","78.38","78.38","77.62","2.1932","411200"
"CPB","1985-07-23","77.75","77.75","74.75","2.1264","422400"
"CPB","1985-07-24","75.62","76.25","75.0","2.1088","534400"
"CPB","1985-07-25","75.0","75.5","74.12","2.0913","417600"
"CPB","1985-07-26","74.38","75.12","74.25","2.0983","348800"
"CPB","1985-07-29","74.62","74.62","73.25","2.0772","697600"
"CPB","1985-07-30","73.38","73.38","71.62","2.0139","865600"
"CPB","1985-07-31","71.88","74.62","71.88","2.0948","910400"
"CPB","1985-08-01","37.0","37.0","36.25","2.0807","484000"
"CPB","1985-08-02","37.12","37.88","37.12","2.1018","316800"
"CPB","1985-08-05","37.38","37.75","36.88","2.1159","345600"
"CPB","1985-08-06","37.62","38.0","36.5","2.0526","540000"
"CPB","1985-08-07","36.5","37.62","36.38","2.1159","575200"
"CPB","1985-08-08","37.62","38.5","37.38","2.1651","474400"
"CPB","1985-08-09","38.5","38.88","38.0","2.158","486400"
"CPB","1985-08-12","38.38","38.5","37.5","2.158","485600"
"CPB","1985-08-13","38.38","38.38","38.0","2.1369","345600"
"CPB","1985-08-14","38.0","38.0","37.5","2.1159","308800"
"CPB","1985-08-15","37.62","37.88","37.62","2.1299","183200"
"CPB","1985-08-16","37.88","37.88","37.25","2.0948","168800"
"CPB","1985-08-19","37.25","37.62","37.25","2.1159","200000"
"CPB","1985-08-20","37.62","37.75","37.5","2.1088","493600"
"CPB","1985-08-21","37.5","39.75","37.38","2.1159","460000"
"CPB","1985-08-22","37.62","37.75","37.38","2.1088","243200"
"CPB","1985-08-23","37.5","37.62","37.38","2.1018","69600"
"CPB","1985-08-26","37.38","37.5","37.38","2.1018","134400"
"CPB","1985-08-27","37.38","37.5","37.38","2.1088","121600"
"CPB","1985-08-28","37.5","37.5","37.12","2.1088","301600"
"CPB","1985-08-29","37.5","37.75","37.38","2.1159","168000"
"CPB","1985-08-30","37.62","37.75","37.25","2.1018","326400"
"CPB","1985-09-03","37.38","37.38","37.12","2.0948","128000"
"CPB","1985-09-04","37.25","37.5","37.0","2.0877","328000"
"CPB","1985-09-05","37.12","37.38","37.12","2.0948","141600"
"CPB","1985-09-06","37.25","37.62","37.12","2.0948","100000"
"CPB","1985-09-09","37.38","38.38","37.38","2.158","185600"
"CPB","1985-09-10","38.38","39.0","38.25","2.151","178400"
"CPB","1985-09-11","38.25","38.75","38.12","2.144","178400"
"CPB","1985-09-12","38.12","38.5","37.75","2.1369","451200"
"CPB","1985-09-13","38.0","38.12","36.25","2.1018","308000"
"CPB","1985-09-16","37.38","37.5","36.88","2.1088","158400"
"CPB","1985-09-17","37.5","38.38","37.12","2.1299","384000"
"CPB","1985-09-18","37.88","37.88","37.0","2.0948","396800"
"CPB","1985-09-19","37.25","37.62","37.12","2.1018","56800"
"CPB","1985-09-20","37.38","37.88","36.38","2.0456","327200"
"CPB","1985-09-23","36.38","37.25","36.0","2.0245","392800"
"CPB","1985-09-24","36.25","37.5","36.25","2.1088","488000"
"CPB","1985-09-25","37.5","38.38","37.12","2.144","439200"
"CPB","1985-09-26","38.12","38.38","38.0","2.151","371200"
"CPB","1985-09-30","38.38","39.38","38.38","2.1861","495200"
"CPB","1985-10-01","39.88","42.25","38.62","2.3619","748000"
"CPB","1985-10-02","42.0","42.25","40.25","2.33","996800"
"CPB","1985-10-03","41.12","42.0","41.0","2.3796","724800"
"CPB","1985-10-04","41.5","41.5","41.0","2.3229","264000"
"CPB","1985-10-07","41.0","41.0","39.38","2.2733","420800"
"CPB","1985-10-08","40.25","41.5","40.25","2.3229","417600"
"CPB","1985-10-09","41.5","43.25","41.5","2.3937","1524000"
"CPB","1985-10-10","42.25","42.88","41.62","2.3937","984000"
"CPB","1985-10-11","42.12","42.12","41.75","2.3866","309600"
"CPB","1985-10-14","42.12","42.38","42.0","2.3937","232800"
"CPB","1985-10-15","42.25","45.0","41.88","2.5495","1702400"
"CPB","1985-10-16","45.0","46.38","43.75","2.5424","1347200"
"CPB","1985-10-17","44.88","44.88","44.12","2.5212","1089600"
"CPB","1985-10-18","44.5","46.5","44.25","2.6274","1172000"
"CPB","1985-10-21","46.38","46.38","45.0","2.5849","422400"
"CPB","1985-10-22","45.62","45.75","44.62","2.5495","591200"
"CPB","1985-10-23","44.75","44.75","43.62","2.4716","504000"
"CPB","1985-10-24","43.62","43.88","42.75","2.4645","255200"
"CPB","1985-10-25","43.5","43.88","43.25","2.4645","275200"
"CPB","1985-10-28","43.25","43.25","42.25","2.3937","409600"
"CPB","1985-10-29","42.25","42.88","41.62","2.3654","548800"
"CPB","1985-10-30","41.75","42.5","40.62","2.3158","710400"
"CPB","1985-10-31","40.88","41.12","40.25","2.3229","592000"
"CPB","1985-11-01","41.12","42.62","41.12","2.415","596800"
"CPB","1985-11-04","42.62","42.75","42.0","2.4079","227200"
"CPB","1985-11-05","42.5","42.75","42.25","2.4079","360000"
"CPB","1985-11-06","42.5","42.62","41.25","2.3725","305600"
"CPB","1985-11-07","41.88","42.38","41.5","2.3866","589600"
"CPB","1985-11-08","42.5","44.38","42.5","2.4858","872000"
"CPB","1985-11-11","44.12","46.5","44.12","2.6133","1057600"
"CPB","1985-11-12","46.12","46.12","45.25","2.5779","1874400"
"CPB","1985-11-13","45.5","45.75","44.75","2.5637","815200"
"CPB","1985-11-14","45.25","45.62","45.12","2.5849","890400"
"CPB","1985-11-15","45.5","45.5","44.75","2.5424","457600"
"CPB","1985-11-18","44.88","45.38","44.5","2.5637","402400"
"CPB","1985-11-19","45.25","45.38","45.0","2.5708","235200"
"CPB","1985-11-20","45.38","46.0","45.12","2.6062","568000"
"CPB","1985-11-21","46.0","46.25","45.38","2.6203","2128000"
"CPB","1985-11-22","46.25","53.5","46.25","2.8682","6428800"
"CPB","1985-11-25","50.0","50.0","48.38","2.7762","1434400"
"CPB","1985-11-26","49.0","49.12","48.0","2.7762","1399200"
"CPB","1985-11-27","49.0","52.62","49.0","2.9178","5197600"
"CPB","1985-11-29","53.25","54.88","53.25","3.0665","3688800"
"CPB","1985-12-02","54.0","54.0","52.25","3.0028","2356800"
"CPB","1985-12-03","53.0","53.0","52.25","2.9674","746400"
"CPB","1985-12-04","52.62","55.5","52.62","3.1161","3550400"
"CPB","1985-12-05","55.0","58.12","54.38","3.2365","2484800"
"CPB","1985-12-06","56.75","56.75","54.75","3.1444","1635200"
"CPB","1985-12-09","55.5","55.5","54.62","3.1303","1139200"
"CPB","1985-12-10","55.0","55.0","51.5","2.9249","2234400"
"CPB","1985-12-11","51.62","53.5","51.5","3.0028","1385600"
"CPB","1985-12-12","53.0","53.12","51.75","2.9957","785600"
"CPB","1985-12-13","52.88","53.12","52.38","2.9744","670400"
"CPB","1985-12-16","52.5","53.12","51.88","2.9815","828800"
"CPB","1985-12-17","52.62","52.62","51.0","2.8895","988000"
"CPB","1985-12-18","51.0","51.88","51.0","2.9178","1058400"
"CPB","1985-12-19","51.5","54.75","51.25","2.9886","3170400"
"CPB","1985-12-20","52.75","53.5","51.75","2.9603","1696800"
"CPB","1985-12-23","52.25","52.5","51.75","2.9744","1481600"
"CPB","1985-12-24","52.25","52.25","51.62","2.9461","584000"
"CPB","1985-12-26","51.75","51.75","50.0","2.8541","786400"
"CPB","1985-12-27","50.38","51.0","50.25","2.8682","921600"
"CPB","1985-12-30","50.62","50.75","49.5","2.8257","708000"
"CPB","1985-12-31","49.88","50.12","49.12","2.7974","2476000"
"CPB","1986-01-02","49.38","49.38","49.0","2.7974","478400"
"CPB","1986-01-03","49.38","50.25","48.75","2.859","494400"
"CPB","1986-01-06","50.12","50.38","49.5","2.859","1338400"
"CPB","1986-01-07","50.12","50.38","50.12","2.859","938400"
"CPB","1986-01-08","50.12","50.38","48.25","2.7521","1683200"
"CPB","1986-01-09","48.25","48.25","46.12","2.6736","1512800"
"CPB","1986-01-10","46.88","47.38","46.25","2.638","442400"
"CPB","1986-01-13","46.25","47.38","45.5","2.6665","1158400"
"CPB","1986-01-14","46.75","47.12","46.25","2.6594","392800"
"CPB","1986-01-15","46.62","47.0","46.25","2.6594","253600"
"CPB","1986-01-16","46.62","46.75","46.12","2.638","347200"
"CPB","1986-01-17","46.25","46.88","45.38","2.6237","424800"
"CPB","1986-01-20","46.0","47.12","45.5","2.6736","696800"
"CPB","1986-01-21","46.88","47.12","45.75","2.6522","624800"
"CPB","1986-01-22","46.5","46.62","44.5","2.5524","950400"
"CPB","1986-01-23","44.75","45.38","44.0","2.5096","534400"
"CPB","1986-01-24","44.0","45.12","44.0","2.5738","871200"
"CPB","1986-01-27","45.12","46.25","44.38","2.6237","694400"
"CPB","1986-01-28","46.0","46.0","45.25","2.6166","447200"
"CPB","1986-01-29","45.88","46.38","45.5","2.6166","597600"
"CPB","1986-01-30","45.88","46.62","45.75","2.6594","666400"
"CPB","1986-01-31","46.62","48.25","46.5","2.6808","1110400"
"CPB","1986-02-03","47.25","48.62","47.25","2.7663","760000"
"CPB","1986-02-04","48.5","49.25","47.5","2.7734","1006400"
"CPB","1986-02-05","48.62","49.25","48.25","2.802","394400"
"CPB","1986-02-06","49.0","49.0","47.88","2.7521","388000"
"CPB","1986-02-07","48.25","48.62","47.62","2.7663","523200"
"CPB","1986-02-10","48.5","48.62","47.62","2.7235","339200"
"CPB","1986-02-11","47.75","48.25","47.75","2.7378","966400"
"CPB","1986-02-12","48.0","48.25","47.75","2.7378","356000"
"CPB","1986-02-13","48.0","49.0","48.0","2.7948","655200"
"CPB","1986-02-14","49.0","49.5","48.88","2.7948","1326400"
"CPB","1986-02-18","48.75","48.75","48.0","2.7663","805600"
"CPB","1986-02-19","48.5","49.12","48.38","2.7948","775200"
"CPB","1986-02-20","49.0","50.5","48.88","2.8804","1056800"
"CPB","1986-02-21","50.5","51.0","49.75","2.859","1487200"
"CPB","1986-02-24","50.0","50.0","48.75","2.8234","1431200"
"CPB","1986-02-25","49.5","49.88","49.38","2.8376","748800"
"CPB","1986-02-26","49.75","50.12","49.5","2.8305","828800"
"CPB","1986-02-27","49.62","51.12","49.5","2.9089","1190400"
"CPB","1986-02-28","51.25","52.0","51.25","2.9659","1195200"
"CPB","1986-03-03","52.0","52.38","51.88","2.9731","760000"
"CPB","1986-03-04","52.12","53.38","52.0","2.9873","1530400"
"CPB","1986-03-05","52.38","53.38","52.12","3.0372","1052800"
"CPB","1986-03-06","53.25","53.88","52.38","3.023","636800"
"CPB","1986-03-07","53.0","53.75","52.5","3.0159","457600"
"CPB","1986-03-10","52.88","53.38","52.62","3.0016","460800"
"CPB","1986-03-11","52.88","54.0","52.88","3.0586","544800"
"CPB","1986-03-12","53.62","55.25","53.5","3.08","1350400"
"CPB","1986-03-13","54.0","54.5","53.25","3.0372","658400"
"CPB","1986-03-14","53.25","53.5","52.62","3.0444","1136800"
"CPB","1986-03-17","53.38","53.38","52.5","3.023","485600"
"CPB","1986-03-18","53.0","53.25","52.38","3.0159","410400"
"CPB","1986-03-19","52.88","53.12","52.25","2.9945","1204800"
"CPB","1986-03-20","52.62","53.38","52.62","3.0159","673600"
"CPB","1986-03-21","52.88","52.88","52.12","2.9731","775200"
"CPB","1986-03-24","52.38","52.88","52.38","3.0159","492800"
"CPB","1986-03-25","52.88","53.25","52.62","3.023","697600"
"CPB","1986-03-26","53.5","55.25","53.5","3.1014","1821600"
"CPB","1986-03-27","54.5","56.0","54.5","3.1656","1560000"
"CPB","1986-03-31","56.38","56.38","55.0","3.1941","624800"
