"symbol","date","open","high","low","close","volume"
"CPHD","2000-06-23","10.81","10.88","8.69","9.25","706000"
"CPHD","2000-06-26","9.34","10.0","8.5","9.1875","248600"
"CPHD","2000-06-27","9.42","9.5","7.88","8.125","262500"
"CPHD","2000-06-28","8.36","9.06","8.06","8.9375","191400"
"CPHD","2000-06-29","8.94","9.19","8.59","9.1875","303300"
"CPHD","2000-06-30","9.19","9.38","8.81","8.8125","156800"
"CPHD","2000-07-03","8.97","9.38","8.75","9.0","62600"
"CPHD","2000-07-05","9.0","10.0","8.81","9.3125","252900"
"CPHD","2000-07-06","9.5","13.62","9.44","12.9844","1327600"
"CPHD","2000-07-07","14.0","15.88","13.75","15.0625","821900"
"CPHD","2000-07-10","18.41","27.5","16.88","21.875","4143000"
"CPHD","2000-07-11","20.94","21.0","16.25","18.125","1238700"
"CPHD","2000-07-12","19.12","21.69","18.5","21.625","633800"
"CPHD","2000-07-13","22.12","22.5","18.75","19.625","562600"
"CPHD","2000-07-14","19.75","19.75","17.38","18.4375","295300"
"CPHD","2000-07-17","18.5","19.0","17.81","18.0","232100"
"CPHD","2000-07-18","18.62","21.19","18.5","19.0","1053100"
"CPHD","2000-07-19","19.81","19.88","18.0","19.0","273200"
"CPHD","2000-07-20","19.48","19.69","18.12","18.125","134700"
"CPHD","2000-07-21","18.06","18.25","16.38","17.375","223800"
"CPHD","2000-07-24","16.5","16.69","12.44","13.375","838400"
"CPHD","2000-07-25","13.72","14.38","11.06","14.375","413500"
"CPHD","2000-07-26","13.38","14.0","12.5","13.875","250600"
"CPHD","2000-07-27","13.0","13.12","12.25","12.5","233300"
"CPHD","2000-07-28","12.19","12.19","10.56","10.625","339800"
"CPHD","2000-07-31","11.22","12.25","10.06","10.0625","394400"
"CPHD","2000-08-01","10.22","11.12","10.12","10.5625","117700"
"CPHD","2000-08-02","10.62","10.69","9.5","9.875","183000"
"CPHD","2000-08-03","9.5","9.81","8.5","9.0625","247500"
"CPHD","2000-08-04","9.03","9.25","8.44","8.4375","187100"
"CPHD","2000-08-07","8.94","10.75","8.88","10.5625","531500"
"CPHD","2000-08-08","11.0","13.12","11.0","11.5","578300"
"CPHD","2000-08-09","11.75","12.12","10.0","10.0625","192600"
"CPHD","2000-08-10","9.88","10.88","9.5","9.5","79900"
"CPHD","2000-08-11","10.0","10.19","9.5","10.0625","86400"
"CPHD","2000-08-14","10.47","10.88","9.62","10.0","74300"
"CPHD","2000-08-15","10.28","10.28","9.69","9.875","41300"
"CPHD","2000-08-16","9.64","10.44","9.62","10.125","66100"
"CPHD","2000-08-17","10.19","10.44","9.62","10.0625","47300"
"CPHD","2000-08-18","10.88","10.88","10.0","10.375","95000"
"CPHD","2000-08-21","10.91","10.94","10.06","10.375","94400"
"CPHD","2000-08-22","10.19","10.5","10.06","10.125","52300"
"CPHD","2000-08-23","9.88","10.25","9.88","10.0","29100"
"CPHD","2000-08-24","9.94","10.5","9.81","10.5","53100"
"CPHD","2000-08-25","10.75","11.44","10.5","11.4375","97700"
"CPHD","2000-08-28","11.19","12.12","11.0","12.0625","82200"
"CPHD","2000-08-29","12.06","13.44","11.81","12.5","205700"
"CPHD","2000-08-30","12.69","12.69","11.06","11.5","100300"
"CPHD","2000-08-31","11.62","12.38","11.62","12.125","118000"
"CPHD","2000-09-01","12.12","12.12","11.25","11.5","86900"
"CPHD","2000-09-05","11.81","12.12","11.5","12.0625","73600"
"CPHD","2000-09-06","12.03","12.06","11.06","11.125","49400"
"CPHD","2000-09-07","11.09","11.12","10.5","10.9375","130100"
"CPHD","2000-09-08","10.72","10.94","10.25","10.4375","104200"
"CPHD","2000-09-11","10.5","10.62","9.88","10.0","151400"
"CPHD","2000-09-12","10.06","10.31","9.5","9.875","57000"
"CPHD","2000-09-13","10.09","10.12","9.69","9.9688","37400"
"CPHD","2000-09-14","9.91","10.19","9.91","9.9062","56300"
"CPHD","2000-09-15","9.78","10.0","9.53","9.6875","29200"
"CPHD","2000-09-18","10.0","10.0","9.0","9.125","77500"
