"symbol","date","open","high","low","close","volume"
"CPRT","1994-03-17","13.5","14.87","13.0","1.2188","23542800"
"CPRT","1994-03-18","15.0","15.25","14.38","1.2708","4524000"
"CPRT","1994-03-21","15.25","15.75","14.87","1.2708","1146000"
"CPRT","1994-03-22","15.75","16.0","15.25","1.2708","1810800"
"CPRT","1994-03-23","15.5","15.5","15.0","1.2708","804000"
"CPRT","1994-03-24","15.38","15.38","15.0","1.2812","651600"
"CPRT","1994-03-25","15.38","16.0","15.0","1.3333","646800"
"CPRT","1994-03-28","16.0","16.0","15.0","1.2604","1209600"
"CPRT","1994-03-29","15.25","15.25","14.25","1.1875","424800"
"CPRT","1994-03-30","14.25","14.75","14.25","1.2083","572400"
"CPRT","1994-03-31","14.38","14.38","13.5","1.1562","493200"
"CPRT","1994-04-04","13.75","13.75","13.25","1.1354","1040400"
"CPRT","1994-04-05","13.63","14.0","13.5","1.1667","242400"
"CPRT","1994-04-06","14.12","14.5","14.0","1.1771","218400"
"CPRT","1994-04-07","14.5","14.75","14.38","1.2292","49200"
"CPRT","1994-04-08","14.75","15.0","14.5","1.2188","94800"
"CPRT","1994-04-11","15.0","15.0","14.62","1.25","74400"
"CPRT","1994-04-12","15.0","15.13","14.75","1.2396","421200"
"CPRT","1994-04-13","14.87","14.87","14.5","1.2396","372000"
"CPRT","1994-04-14","14.5","14.75","14.5","1.2292","8400"
"CPRT","1994-04-15","14.62","14.62","14.25","1.2188","414000"
"CPRT","1994-04-18","14.25","14.62","14.12","1.2083","440400"
"CPRT","1994-04-19","14.5","14.5","13.75","1.1875","211200"
"CPRT","1994-04-20","14.0","14.25","14.0","1.1667","38400"
"CPRT","1994-04-21","14.0","14.12","13.75","1.1667","1677600"
"CPRT","1994-04-22","13.75","14.0","13.75","1.1667","258000"
"CPRT","1994-04-25","14.0","14.25","13.81","1.1667","2408400"
"CPRT","1994-04-26","14.25","14.5","14.0","1.2083","1300800"
"CPRT","1994-04-28","14.75","14.75","14.5","1.2188","96000"
"CPRT","1994-04-29","14.62","15.0","14.5","1.2083","631200"
"CPRT","1994-05-02","14.87","15.0","14.75","1.25","300000"
"CPRT","1994-05-03","15.0","15.75","15.0","1.2917","607200"
"CPRT","1994-05-04","15.25","15.75","15.25","1.3125","1026000"
"CPRT","1994-05-05","15.75","16.0","15.62","1.3333","1194000"
"CPRT","1994-05-06","15.75","16.0","15.5","1.3125","264000"
"CPRT","1994-05-09","15.5","15.75","15.5","1.2917","102000"
"CPRT","1994-05-10","15.75","16.0","15.5","1.3333","79200"
"CPRT","1994-05-11","15.75","15.75","15.13","1.2917","2973600"
"CPRT","1994-05-12","15.5","15.75","15.25","1.2708","916800"
"CPRT","1994-05-13","15.75","15.75","15.75","1.3125","4800"
"CPRT","1994-05-16","15.25","15.75","15.25","1.2708","207600"
"CPRT","1994-05-17","15.25","15.75","15.25","1.2708","97200"
