"symbol","date","open","high","low","close","volume"
"CREE","1993-02-09","10.0","10.25","9.12","1.2188","8765600"
"CREE","1993-02-10","9.88","11.38","9.62","1.375","2012000"
"CREE","1993-02-11","11.0","12.25","11.0","1.4375","1430400"
"CREE","1993-02-12","11.0","11.75","10.75","1.3906","820000"
"CREE","1993-02-16","11.12","11.38","9.88","1.25","1018400"
"CREE","1993-02-17","10.0","10.25","9.38","1.2344","750400"
"CREE","1993-02-18","10.0","10.12","9.12","1.1875","323200"
"CREE","1993-02-19","9.5","9.88","9.25","1.2031","328000"
"CREE","1993-02-22","9.75","10.5","9.75","1.2969","345600"
"CREE","1993-02-23","10.62","11.5","10.5","1.3125","464000"
"CREE","1993-02-24","11.0","11.0","10.12","1.2812","200000"
"CREE","1993-02-25","10.25","10.75","10.25","1.2969","96800"
"CREE","1993-02-26","10.75","10.75","10.25","1.2812","88000"
"CREE","1993-03-01","10.75","10.75","10.25","1.3125","69600"
"CREE","1993-03-02","10.38","10.5","10.0","1.3125","103200"
"CREE","1993-03-03","10.5","10.5","10.0","1.25","136000"
"CREE","1993-03-04","9.75","10.5","9.5","1.2812","499200"
"CREE","1993-03-05","10.75","11.25","10.5","1.375","679200"
"CREE","1993-03-08","11.25","12.62","11.0","1.5625","689600"
"CREE","1993-03-09","14.0","14.5","12.5","1.6719","1300000"
"CREE","1993-03-10","13.5","15.75","13.25","1.9688","2397600"
"CREE","1993-03-11","16.5","17.25","15.25","1.9844","1314400"
"CREE","1993-03-12","16.25","16.5","15.75","2.0312","421600"
"CREE","1993-03-15","16.25","16.75","14.5","2.0312","898400"
"CREE","1993-03-16","16.25","18.0","15.75","2.1875","1124800"
"CREE","1993-03-17","18.5","19.25","18.0","2.3438","812800"
"CREE","1993-03-18","19.0","19.0","16.75","2.0938","960000"
"CREE","1993-03-19","17.0","17.75","16.25","2.0625","402400"
"CREE","1993-03-22","15.75","16.5","15.0","2.0312","665600"
"CREE","1993-03-23","16.0","16.25","15.25","2.0","174400"
"CREE","1993-03-24","15.25","16.25","14.25","2.0","581600"
"CREE","1993-03-25","16.5","16.75","16.0","2.0312","138400"
"CREE","1993-03-26","16.0","17.5","16.0","2.1875","358400"
"CREE","1993-03-29","17.5","17.5","16.5","2.1719","572000"
"CREE","1993-03-30","17.25","17.5","17.0","2.1875","79200"
"CREE","1993-03-31","17.0","17.25","16.5","2.1406","237600"
"CREE","1993-04-01","17.25","18.25","17.25","2.2344","813600"
"CREE","1993-04-02","18.0","18.0","17.25","2.1875","68000"
"CREE","1993-04-05","17.25","19.25","17.25","2.3594","436000"
"CREE","1993-04-06","18.5","19.5","18.5","2.4062","470400"
"CREE","1993-04-07","19.0","21.5","18.5","2.5625","1524800"
"CREE","1993-04-08","20.5","24.0","20.5","2.9062","2116800"
"CREE","1993-04-12","22.5","25.0","21.75","3.0938","824800"
"CREE","1993-04-13","25.0","25.0","23.25","2.9219","1328800"
"CREE","1993-04-14","23.5","24.75","23.0","3.0","812000"
"CREE","1993-04-15","24.0","24.0","20.5","2.7812","707200"
"CREE","1993-04-16","22.0","22.5","20.75","2.7188","347200"
"CREE","1993-04-19","22.5","22.5","21.75","2.7656","56800"
"CREE","1993-04-20","21.75","22.25","20.75","2.75","136000"
"CREE","1993-04-21","21.5","24.0","21.5","3.0","483200"
"CREE","1993-04-22","23.5","24.0","23.0","2.9375","305600"
"CREE","1993-04-23","20.75","22.0","19.5","2.5156","1620000"
"CREE","1993-04-26","20.0","21.0","17.25","2.3438","1204000"
"CREE","1993-04-27","18.5","19.75","18.5","2.375","566400"
"CREE","1993-04-28","20.0","22.75","19.25","2.8438","876000"
"CREE","1993-04-29","23.0","24.5","22.25","2.9688","815200"
"CREE","1993-04-30","24.25","24.5","22.5","2.8438","410400"
"CREE","1993-05-03","22.75","23.5","21.25","2.7188","130400"
"CREE","1993-05-04","21.75","22.25","21.75","2.7188","157600"
"CREE","1993-05-05","21.25","23.0","20.5","2.8438","402400"
"CREE","1993-05-06","23.5","23.5","22.0","2.7812","99200"
"CREE","1993-05-07","22.25","22.75","22.0","2.7812","190400"
"CREE","1993-05-10","22.25","22.25","20.75","2.7188","224000"
"CREE","1993-05-11","21.0","21.5","20.75","2.5938","58400"
"CREE","1993-05-12","20.75","21.0","19.75","2.5312","258400"
"CREE","1993-05-13","19.75","20.25","18.5","2.4375","314400"
"CREE","1993-05-14","19.25","20.0","19.25","2.5","209600"
"CREE","1993-05-17","19.75","20.0","19.25","2.5","185600"
"CREE","1993-05-18","20.0","21.0","19.5","2.5312","394400"
"CREE","1993-05-19","19.0","20.0","18.75","2.5","283200"
"CREE","1993-05-20","19.5","20.0","19.25","2.4062","46400"
"CREE","1993-05-21","19.0","20.0","19.0","2.4375","151200"
"CREE","1993-05-24","19.0","19.75","19.0","2.4219","21600"
"CREE","1993-05-25","20.0","20.0","19.0","2.4062","100800"
"CREE","1993-05-26","19.75","19.75","18.5","2.3125","48800"
"CREE","1993-05-27","18.5","19.25","18.5","2.4062","97600"
"CREE","1993-05-28","19.0","19.5","18.75","2.3438","124000"
"CREE","1993-06-01","18.5","19.0","18.0","2.25","112000"
"CREE","1993-06-02","18.5","18.5","17.25","2.1562","166400"
"CREE","1993-06-03","16.5","17.75","16.5","2.125","293600"
"CREE","1993-06-04","17.0","18.0","17.0","2.2188","48000"
"CREE","1993-06-07","17.88","20.0","17.75","2.375","354400"
"CREE","1993-06-08","19.62","20.0","18.75","2.375","101600"
"CREE","1993-06-09","18.75","19.75","18.5","2.3438","48800"
"CREE","1993-06-10","19.0","19.0","18.0","2.3125","98400"
"CREE","1993-06-11","18.0","19.0","18.0","2.375","68800"
"CREE","1993-06-14","19.0","19.0","19.0","2.375","0"
"CREE","1993-06-15","19.0","19.0","15.5","2.125","414400"
"CREE","1993-06-16","16.75","16.75","15.0","2.0","384800"
"CREE","1993-06-17","16.25","16.25","14.5","1.9062","247200"
"CREE","1993-06-18","15.25","15.25","13.0","1.7344","547200"
"CREE","1993-06-21","14.5","14.5","12.75","1.6875","1160000"
"CREE","1993-06-22","13.0","14.0","13.0","1.75","416800"
"CREE","1993-06-23","14.0","14.75","13.75","1.7812","692000"
"CREE","1993-06-24","14.0","14.25","13.75","1.75","311200"
"CREE","1993-06-25","14.25","14.5","13.75","1.7188","80800"
"CREE","1993-06-28","14.5","14.5","13.25","1.7031","188000"
"CREE","1993-06-29","13.25","13.5","11.0","1.4688","720800"
"CREE","1993-06-30","10.5","13.5","8.5","1.5938","4587200"
"CREE","1993-07-01","12.75","14.75","12.75","1.7031","543200"
"CREE","1993-07-02","14.0","14.5","13.5","1.7812","311200"
"CREE","1993-07-06","14.25","14.5","14.0","1.7812","104800"
"CREE","1993-07-07","13.75","14.25","13.75","1.7812","27200"
"CREE","1993-07-08","13.75","14.25","13.0","1.7812","238400"
"CREE","1993-07-09","14.75","17.5","14.5","2.125","1447200"
"CREE","1993-07-12","17.0","17.25","15.75","2.1562","420800"
"CREE","1993-07-13","17.25","17.25","16.25","2.0938","250400"
"CREE","1993-07-14","16.25","17.25","16.25","2.125","130400"
"CREE","1993-07-15","17.25","17.25","16.75","2.0938","11200"
"CREE","1993-07-16","16.5","17.12","16.5","2.0938","103200"
"CREE","1993-07-19","16.25","17.0","16.25","2.125","12800"
"CREE","1993-07-20","16.25","18.0","16.25","2.1562","222400"
"CREE","1993-07-21","17.75","17.75","17.0","2.125","148800"
"CREE","1993-07-22","17.0","17.0","16.0","2.0625","192000"
"CREE","1993-07-23","16.0","16.62","16.0","2.0781","84800"
"CREE","1993-07-26","16.75","16.75","16.25","2.0312","58400"
"CREE","1993-07-27","16.25","16.25","14.75","1.8906","302400"
"CREE","1993-07-28","14.75","15.25","14.75","1.8438","245600"
"CREE","1993-07-29","14.75","15.0","13.75","1.75","131200"
"CREE","1993-07-30","15.0","15.0","14.0","1.7812","48000"
"CREE","1993-08-02","14.25","14.25","14.25","1.7812","2400"
"CREE","1993-08-03","14.75","14.75","14.0","1.75","137600"
"CREE","1993-08-04","14.0","14.75","13.5","1.6875","92800"
"CREE","1993-08-05","14.0","14.25","12.0","1.5938","793600"
"CREE","1993-08-06","13.0","13.25","12.5","1.625","260800"
"CREE","1993-08-09","13.0","13.0","11.88","1.5312","508000"
"CREE","1993-08-10","12.25","14.25","12.25","1.75","267200"
"CREE","1993-08-11","14.25","14.5","14.0","1.8125","360000"
"CREE","1993-08-12","14.5","14.5","14.0","1.75","291200"
"CREE","1993-08-13","14.0","14.5","14.0","1.8125","452800"
"CREE","1993-08-16","14.75","14.75","14.0","1.8125","9600"
"CREE","1993-08-17","14.25","14.25","14.25","1.7812","16000"
"CREE","1993-08-18","13.5","14.25","13.5","1.7344","44800"
"CREE","1993-08-19","13.88","14.12","13.5","1.7656","114400"
"CREE","1993-08-20","13.5","14.25","13.5","1.7031","191200"
"CREE","1993-08-23","13.5","13.5","13.5","1.6875","5600"
"CREE","1993-08-24","14.0","14.5","13.5","1.7188","211200"
"CREE","1993-08-25","13.75","14.25","13.75","1.7188","180000"
"CREE","1993-08-26","13.75","14.12","13.75","1.7656","99200"
"CREE","1993-08-27","13.75","14.25","13.75","1.7188","47200"
"CREE","1993-08-30","14.0","14.0","13.5","1.6875","52800"
"CREE","1993-08-31","12.5","14.0","12.5","1.75","333600"
"CREE","1993-09-01","13.5","14.0","13.5","1.6875","84800"
"CREE","1993-09-02","13.0","14.0","12.75","1.625","114400"
"CREE","1993-09-03","12.5","13.5","12.5","1.6875","218400"
"CREE","1993-09-07","13.5","13.5","12.5","1.5625","24800"
"CREE","1993-09-08","12.75","12.75","12.0","1.5938","20000"
"CREE","1993-09-09","12.0","12.75","12.0","1.5","40000"
"CREE","1993-09-10","12.0","12.75","12.0","1.5938","1600"
"CREE","1993-09-13","12.75","13.0","12.25","1.625","113600"
"CREE","1993-09-14","12.5","13.0","12.5","1.5938","26400"
"CREE","1993-09-15","12.75","13.0","12.25","1.5312","85600"
"CREE","1993-09-16","12.25","13.0","12.25","1.5625","52800"
"CREE","1993-09-17","12.0","12.5","12.0","1.5","56000"
"CREE","1993-09-20","12.5","12.5","12.0","1.5","62400"
"CREE","1993-09-21","11.75","12.25","11.5","1.4375","33600"
"CREE","1993-09-22","12.0","12.25","11.25","1.5312","55200"
"CREE","1993-09-23","12.0","12.25","12.0","1.5312","54400"
"CREE","1993-09-24","12.0","12.25","11.75","1.4688","70400"
"CREE","1993-09-27","12.25","13.25","11.75","1.5312","128800"
"CREE","1993-09-28","13.25","14.0","12.25","1.6562","145600"
"CREE","1993-09-29","13.5","14.25","13.5","1.7812","122400"
"CREE","1993-09-30","13.5","14.25","13.5","1.6875","38400"
"CREE","1993-10-01","13.5","14.25","13.5","1.7812","49600"
"CREE","1993-10-04","14.25","14.25","13.75","1.75","76000"
"CREE","1993-10-05","14.25","14.25","13.75","1.7344","36000"
"CREE","1993-10-06","13.75","14.0","13.75","1.7188","48800"
"CREE","1993-10-07","13.5","13.75","13.0","1.625","60800"
"CREE","1993-10-08","13.5","13.5","12.75","1.5938","13600"
"CREE","1993-10-11","13.0","13.0","12.0","1.5","20000"
"CREE","1993-10-12","13.0","13.0","12.0","1.5","20000"
"CREE","1993-10-13","13.0","13.0","12.0","1.625","16000"
"CREE","1993-10-14","12.0","13.25","12.0","1.5625","111200"
"CREE","1993-10-15","13.0","14.25","12.5","1.7812","214400"
"CREE","1993-10-18","13.25","14.25","13.25","1.6875","73600"
"CREE","1993-10-19","13.25","14.25","13.25","1.7344","32800"
"CREE","1993-10-20","13.25","14.0","13.25","1.75","48800"
"CREE","1993-10-21","14.0","14.0","13.25","1.6562","12000"
"CREE","1993-10-22","13.62","14.0","13.25","1.6875","33600"
"CREE","1993-10-25","14.0","14.0","13.25","1.6562","18400"
"CREE","1993-10-26","14.0","14.0","13.25","1.7031","64800"
"CREE","1993-10-27","14.0","14.0","13.25","1.75","9600"
"CREE","1993-10-28","14.0","15.0","13.25","1.8125","1114400"
"CREE","1993-10-29","14.75","15.0","14.0","1.8125","176000"
"CREE","1993-11-01","14.75","15.0","14.25","1.875","166400"
"CREE","1993-11-02","15.25","16.0","14.5","1.9375","212800"
"CREE","1993-11-03","15.5","15.75","14.75","1.8438","465600"
"CREE","1993-11-04","14.75","15.75","14.75","1.8438","256800"
"CREE","1993-11-05","14.75","15.0","14.0","1.875","96000"
"CREE","1993-11-08","15.0","15.0","14.25","1.7969","62400"
"CREE","1993-11-09","15.0","15.0","14.25","1.7812","72800"
"CREE","1993-11-10","15.0","15.0","14.25","1.875","27200"
"CREE","1993-11-11","14.25","14.25","14.25","1.7812","5600"
"CREE","1993-11-12","14.25","15.0","14.25","1.875","4000"
"CREE","1993-11-15","15.0","15.0","14.25","1.7812","16800"
"CREE","1993-11-16","15.25","15.5","14.38","1.875","103200"
"CREE","1993-11-17","15.25","15.25","14.25","1.7812","22400"
"CREE","1993-11-18","14.25","15.5","14.25","1.8125","24800"
"CREE","1993-11-19","15.5","15.5","14.25","1.875","24800"
"CREE","1993-11-22","15.0","15.0","14.25","1.7812","160000"
"CREE","1993-11-23","15.0","15.0","14.25","1.7812","62400"
"CREE","1993-11-24","14.25","14.5","13.75","1.75","224000"
"CREE","1993-11-26","13.75","13.75","13.75","1.7188","800"
"CREE","1993-11-29","13.75","14.38","13.75","1.7969","5600"
"CREE","1993-11-30","14.38","14.75","13.75","1.8125","32000"
"CREE","1993-12-01","13.75","14.75","13.75","1.8438","362400"
"CREE","1993-12-02","14.75","14.75","14.0","1.8125","11200"
"CREE","1993-12-03","14.5","14.75","14.0","1.8125","45600"
"CREE","1993-12-06","14.5","15.0","14.0","1.875","21600"
"CREE","1993-12-07","14.75","15.0","14.75","1.875","4800"
"CREE","1993-12-08","14.0","14.0","14.0","1.75","9600"
"CREE","1993-12-09","14.5","15.0","14.0","1.75","53600"
"CREE","1993-12-10","14.0","15.0","14.0","1.875","18400"
"CREE","1993-12-13","15.0","15.0","14.0","1.875","8000"
"CREE","1993-12-14","14.0","15.0","14.0","1.75","7200"
"CREE","1993-12-15","14.0","15.0","14.0","1.875","4800"
"CREE","1993-12-16","14.62","15.0","14.0","1.8438","34400"
"CREE","1993-12-17","14.75","14.75","14.25","1.8438","28800"
"CREE","1993-12-20","14.0","14.75","14.0","1.8438","4800"
"CREE","1993-12-21","14.25","14.75","14.0","1.75","27200"
"CREE","1993-12-22","14.75","14.75","14.0","1.8438","34400"
"CREE","1993-12-23","14.75","14.75","14.0","1.8438","29600"
"CREE","1993-12-27","14.0","14.75","14.0","1.8438","12000"
"CREE","1993-12-28","14.75","14.75","14.0","1.8438","24000"
"CREE","1993-12-29","14.0","14.75","14.0","1.75","58400"
"CREE","1993-12-30","14.0","14.0","14.0","1.75","18400"
"CREE","1993-12-31","14.0","14.75","13.5","1.8438","384000"
"CREE","1994-01-03","15.25","15.25","15.25","1.9062","1600"
"CREE","1994-01-04","15.25","15.25","14.0","1.9062","12000"
"CREE","1994-01-05","14.0","15.25","14.0","1.8125","23200"
"CREE","1994-01-06","14.0","14.0","14.0","1.75","800"
"CREE","1994-01-07","14.0","15.0","14.0","1.875","16000"
"CREE","1994-01-10","14.0","15.0","14.0","1.875","3200"
"CREE","1994-01-11","14.0","15.0","14.0","1.875","32000"
"CREE","1994-01-12","14.5","14.5","14.0","1.7656","39200"
"CREE","1994-01-13","14.0","14.5","14.0","1.8125","35200"
"CREE","1994-01-14","14.25","14.5","14.0","1.75","28800"
"CREE","1994-01-17","14.25","14.5","14.0","1.8125","18400"
"CREE","1994-01-18","14.12","14.25","13.75","1.75","209600"
"CREE","1994-01-19","13.75","13.75","13.75","1.7188","18400"
"CREE","1994-01-20","14.5","14.5","14.0","1.8125","6400"
"CREE","1994-01-21","13.75","14.5","13.75","1.7188","35200"
"CREE","1994-01-24","13.75","14.5","13.75","1.8125","54400"
"CREE","1994-01-25","13.75","14.5","13.75","1.8125","84000"
"CREE","1994-01-26","14.5","14.75","13.75","1.75","61600"
"CREE","1994-01-27","14.0","14.75","13.75","1.7188","537600"
"CREE","1994-01-28","13.75","14.5","12.5","1.5625","238400"
"CREE","1994-01-31","13.75","13.75","11.75","1.4688","112800"
"CREE","1994-02-01","11.75","13.0","11.75","1.5","12800"
"CREE","1994-02-02","13.0","13.0","12.0","1.5781","30400"
"CREE","1994-02-03","12.0","13.0","12.0","1.625","19200"
"CREE","1994-02-04","12.0","12.75","11.75","1.4688","45600"
"CREE","1994-02-07","12.75","12.75","10.75","1.4688","464000"
"CREE","1994-02-08","11.75","11.75","10.75","1.3438","88000"
"CREE","1994-02-09","10.75","11.0","10.75","1.375","267200"
"CREE","1994-02-10","11.25","11.25","10.5","1.4062","135200"
"CREE","1994-02-11","11.0","11.0","10.25","1.3125","18400"
