"symbol","date","open","high","low","close","volume"
"CRY","1993-02-12","13.0","14.0","11.0","3.8141","5587200"
"CRY","1993-02-16","11.87","12.25","10.25","3.2579","895200"
"CRY","1993-02-17","11.0","11.0","10.25","3.2976","378300"
"CRY","1993-02-18","11.0","11.0","9.25","3.1784","481500"
"CRY","1993-02-19","9.5","10.0","9.5","3.099","284100"
"CRY","1993-02-22","10.0","10.0","9.5","3.0195","359400"
"CRY","1993-02-23","9.5","10.0","9.25","3.1784","153300"
"CRY","1993-02-24","9.25","9.75","9.0","3.099","160200"
"CRY","1993-02-25","9.25","9.75","9.25","3.099","26100"
"CRY","1993-02-26","9.75","9.75","9.25","3.0195","75600"
"CRY","1993-03-01","9.75","9.75","9.25","3.0195","43500"
"CRY","1993-03-02","9.25","9.75","9.25","2.94","21600"
"CRY","1993-03-03","9.75","9.75","9.25","3.0195","127800"
"CRY","1993-03-04","9.62","10.0","9.25","3.1784","53700"
"CRY","1993-03-05","10.0","10.0","9.25","2.94","473100"
"CRY","1993-03-08","10.0","11.0","9.5","3.4963","188100"
"CRY","1993-03-09","10.0","11.0","10.0","3.4963","134700"
"CRY","1993-03-10","10.0","10.0","8.0","2.8606","480000"
"CRY","1993-03-11","9.75","9.75","8.75","2.7811","114000"
"CRY","1993-03-12","8.75","8.75","8.25","2.7811","108000"
"CRY","1993-03-15","8.5","8.5","7.75","2.4633","75900"
"CRY","1993-03-16","8.0","9.25","8.0","2.7811","213300"
"CRY","1993-03-17","8.75","9.25","8.75","2.94","79200"
"CRY","1993-03-18","9.25","9.5","9.0","2.8606","78000"
"CRY","1993-03-19","9.0","9.5","9.0","2.8606","68700"
"CRY","1993-03-22","9.5","9.5","9.0","2.8606","49500"
"CRY","1993-03-23","9.0","9.25","8.75","2.7811","24600"
"CRY","1993-03-24","8.75","8.75","7.75","2.4633","84600"
"CRY","1993-03-25","7.75","8.5","7.75","2.5825","85800"
"CRY","1993-03-26","8.5","8.5","7.75","2.7017","9600"
"CRY","1993-03-29","7.75","8.5","7.25","2.3044","31500"
"CRY","1993-03-30","7.25","8.5","7.25","2.4633","100500"
"CRY","1993-03-31","7.5","8.25","7.5","2.5427","151500"
"CRY","1993-04-01","8.25","8.25","8.0","2.5427","33600"
"CRY","1993-04-02","8.0","8.25","8.0","2.5427","54300"
"CRY","1993-04-05","8.38","8.5","8.0","2.7017","12300"
"CRY","1993-04-06","8.5","9.25","8.25","2.8209","203100"
"CRY","1993-04-07","9.25","9.25","8.75","2.94","26400"
"CRY","1993-04-08","9.25","9.25","8.75","2.94","13500"
"CRY","1993-04-12","9.0","9.5","9.0","2.94","25800"
"CRY","1993-04-13","9.0","9.25","8.5","2.8606","59700"
"CRY","1993-04-14","8.5","9.0","8.25","2.8606","102300"
"CRY","1993-04-15","8.75","9.0","8.5","2.8209","12000"
"CRY","1993-04-16","9.0","9.0","8.5","2.7017","27900"
"CRY","1993-04-19","8.5","9.0","8.25","2.7017","31500"
"CRY","1993-04-20","8.25","9.0","8.25","2.8606","126900"
"CRY","1993-04-21","8.75","9.0","8.5","2.7017","24000"
"CRY","1993-04-22","8.5","9.0","8.5","2.7811","13500"
"CRY","1993-04-23","8.5","9.0","8.25","2.8606","45300"
"CRY","1993-04-26","8.75","9.0","8.38","2.8606","58500"
"CRY","1993-04-27","8.5","8.75","8.25","2.7811","53700"
"CRY","1993-04-28","8.75","9.25","8.5","2.8606","80400"
"CRY","1993-04-29","9.25","9.25","8.75","2.94","38700"
"CRY","1993-04-30","8.75","9.25","8.75","2.7811","49800"
"CRY","1993-05-03","9.0","9.0","8.38","2.7811","59100"
"CRY","1993-05-04","8.75","8.75","8.25","2.6222","2100"
"CRY","1993-05-05","8.75","8.75","8.25","2.6222","10500"
"CRY","1993-05-06","8.75","8.75","8.0","2.5427","12900"
"CRY","1993-05-07","8.0","8.5","8.0","2.7017","17700"
"CRY","1993-05-10","8.0","8.5","8.0","2.7017","7800"
"CRY","1993-05-11","8.0","8.75","8.0","2.7811","12000"
"CRY","1993-05-12","8.0","8.75","8.0","2.5427","18300"
"CRY","1993-05-13","8.0","8.38","7.75","2.5427","51600"
"CRY","1993-05-14","8.25","8.25","7.75","2.4633","4800"
"CRY","1993-05-17","7.75","8.25","7.75","2.4633","2400"
"CRY","1993-05-18","7.75","8.25","7.5","2.5427","21900"
"CRY","1993-05-19","7.75","8.25","7.5","2.4633","102000"
"CRY","1993-05-20","7.75","8.25","7.75","2.4633","56700"
"CRY","1993-05-21","7.75","8.25","7.75","2.5427","54900"
"CRY","1993-05-24","7.75","7.75","7.75","2.4633","7200"
