"symbol","date","open","high","low","close","volume"
"CSBR","2007-02-02","0.51","0.6","0.5","7.2","2100"
"CSBR","2007-02-05","0.6","0.6","0.55","7.2","2400"
"CSBR","2007-02-06","0.55","0.55","0.4","5.64","8000"
"CSBR","2007-02-07","0.4","0.4","0.25","3.6","10200"
"CSBR","2007-02-08","0.3","0.35","0.23","3.0","7200"
"CSBR","2007-02-09","0.25","0.3","0.25","3.24","3800"
"CSBR","2007-02-12","0.35","0.45","0.35","4.8","3600"
"CSBR","2007-02-13","0.51","0.51","0.4","5.4","1300"
"CSBR","2007-02-14","0.51","0.6","0.47","7.2","8900"
"CSBR","2007-02-15","0.6","0.65","0.58","6.96","2900"
"CSBR","2007-02-16","0.55","0.55","0.45","6.48","3100"
"CSBR","2007-02-20","0.45","0.54","0.4","6.48","1600"
"CSBR","2007-02-21","0.54","0.54","0.54","6.48","0"
"CSBR","2007-02-22","0.54","0.54","0.45","6.48","900"
"CSBR","2007-02-23","0.52","0.52","0.44","6.24","200"
"CSBR","2007-02-26","0.42","0.44","0.4","4.8","3700"
"CSBR","2007-02-27","0.4","0.43","0.4","4.8","1900"
"CSBR","2007-02-28","0.31","0.4","0.31","4.2","1500"
"CSBR","2007-03-01","0.31","0.35","0.28","3.6","6500"
"CSBR","2007-03-02","0.32","0.4","0.32","4.8","1400"
"CSBR","2007-03-05","0.38","0.38","0.31","3.72","2700"
"CSBR","2007-03-06","0.31","0.31","0.31","3.72","0"
"CSBR","2007-03-07","0.34","0.34","0.31","3.72","1900"
"CSBR","2007-03-08","0.32","0.32","0.31","3.84","800"
"CSBR","2007-03-09","0.32","0.32","0.31","3.72","3500"
"CSBR","2007-03-12","0.31","0.32","0.31","3.84","400"
"CSBR","2007-03-13","0.37","0.37","0.37","4.44","100"
"CSBR","2007-03-14","0.37","0.37","0.34","4.08","200"
"CSBR","2007-03-15","0.34","0.34","0.34","4.08","200"
"CSBR","2007-03-16","0.34","0.37","0.34","4.44","600"
"CSBR","2007-03-19","0.37","0.37","0.37","4.44","0"
"CSBR","2007-03-20","0.4","0.43","0.35","5.16","1000"
"CSBR","2007-03-21","0.43","0.43","0.35","4.2","1500"
"CSBR","2007-03-22","0.35","0.35","0.35","4.2","200"
"CSBR","2007-03-23","0.35","0.41","0.35","4.92","200"
"CSBR","2007-03-26","0.41","0.41","0.41","4.92","0"
"CSBR","2007-03-27","0.35","0.37","0.35","4.44","1200"
"CSBR","2007-03-28","0.35","0.35","0.35","4.2","100"
"CSBR","2007-03-29","0.35","0.35","0.35","4.2","500"
"CSBR","2007-03-30","0.37","0.37","0.35","4.32","2300"
"CSBR","2007-04-02","0.36","0.36","0.36","4.32","500"
"CSBR","2007-04-03","0.35","0.35","0.35","4.2","2100"
"CSBR","2007-04-04","0.36","0.36","0.36","4.32","100"
"CSBR","2007-04-05","0.35","0.36","0.35","4.32","0"
"CSBR","2007-04-09","0.35","0.35","0.35","4.2","0"
"CSBR","2007-04-10","0.35","0.36","0.34","4.32","1000"
"CSBR","2007-04-11","0.34","0.35","0.3","3.84","5900"
"CSBR","2007-04-12","0.33","0.37","0.32","3.84","2800"
"CSBR","2007-04-13","0.3","0.3","0.3","3.6","0"
"CSBR","2007-04-16","0.3","0.32","0.3","3.72","1300"
"CSBR","2007-04-17","0.31","0.32","0.31","3.72","1900"
"CSBR","2007-04-18","0.31","0.32","0.31","3.72","500"
"CSBR","2007-04-19","0.3","0.31","0.3","3.6","2900"
"CSBR","2007-04-20","0.3","0.31","0.3","3.72","1900"
"CSBR","2007-04-23","0.29","0.29","0.27","3.24","1600"
"CSBR","2007-04-24","0.27","0.27","0.27","3.24","500"
"CSBR","2007-04-25","0.31","0.31","0.31","3.72","100"
"CSBR","2007-04-26","0.31","0.31","0.31","3.72","0"
"CSBR","2007-04-27","0.31","0.31","0.31","3.72","0"
"CSBR","2007-04-30","0.26","0.3","0.26","3.6","200"
"CSBR","2007-05-01","0.26","0.26","0.26","3.12","600"
"CSBR","2007-05-02","0.26","0.26","0.26","3.12","100"
"CSBR","2007-05-03","0.26","0.26","0.26","3.12","100"
"CSBR","2007-05-04","0.26","0.26","0.26","3.12","700"
"CSBR","2007-05-07","0.26","0.26","0.26","3.12","100"
"CSBR","2007-05-08","0.31","0.31","0.3","3.6","900"
"CSBR","2007-05-09","0.3","0.3","0.3","3.6","100"
"CSBR","2007-05-10","0.3","0.4","0.3","4.8","100"
"CSBR","2007-05-11","0.38","0.38","0.38","4.56","800"
"CSBR","2007-05-14","0.3","0.3","0.3","3.6","300"
"CSBR","2007-05-15","0.3","0.3","0.3","3.6","100"
"CSBR","2007-05-16","0.29","0.29","0.29","3.48","300"
"CSBR","2007-05-17","0.29","0.29","0.29","3.48","200"
"CSBR","2007-05-18","0.29","0.29","0.29","3.48","0"
"CSBR","2007-05-21","0.4","0.55","0.35","6.12","20700"
"CSBR","2007-05-22","0.55","0.55","0.45","5.4","5700"
"CSBR","2007-05-23","0.3","0.45","0.3","5.4","9500"
"CSBR","2007-05-24","0.4","0.45","0.4","5.4","500"
"CSBR","2007-05-25","0.43","0.45","0.37","5.4","3200"
"CSBR","2007-05-29","0.45","0.5","0.43","6.0","800"
"CSBR","2007-05-30","0.5","0.6","0.5","7.2","3600"
"CSBR","2007-05-31","0.65","0.7","0.62","8.04","6000"
"CSBR","2007-06-01","0.65","0.8","0.65","8.4","4500"
"CSBR","2007-06-04","0.78","0.78","0.5","6.6","5400"
"CSBR","2007-06-05","0.55","0.65","0.51","7.2","8100"
"CSBR","2007-06-06","0.6","0.7","0.55","7.2","7600"
"CSBR","2007-06-07","0.6","0.61","0.59","7.2","8800"
"CSBR","2007-06-08","0.6","0.6","0.6","7.2","800"
"CSBR","2007-06-11","0.6","0.62","0.55","7.44","700"
"CSBR","2007-06-12","0.55","0.55","0.55","6.6","200"
"CSBR","2007-06-13","0.56","0.6","0.51","6.6","3200"
"CSBR","2007-06-14","0.55","0.57","0.55","6.6","1700"
"CSBR","2007-06-15","0.58","0.6","0.58","7.2","900"
"CSBR","2007-06-18","0.6","0.6","0.6","7.2","600"
"CSBR","2007-06-19","0.55","0.55","0.55","6.6","400"
"CSBR","2007-06-20","0.55","0.55","0.55","6.6","0"
"CSBR","2007-06-21","0.63","0.63","0.54","6.48","1800"
"CSBR","2007-06-22","0.54","0.54","0.53","6.36","700"
"CSBR","2007-06-25","0.53","0.53","0.53","6.36","0"
"CSBR","2007-06-26","0.53","0.53","0.53","6.36","0"
"CSBR","2007-06-27","0.53","0.55","0.53","6.6","200"
"CSBR","2007-06-28","0.55","0.55","0.55","6.6","200"
"CSBR","2007-06-29","0.53","0.53","0.53","6.36","700"
"CSBR","2007-07-02","0.56","0.56","0.51","6.12","1700"
"CSBR","2007-07-03","0.51","0.51","0.51","6.12","0"
"CSBR","2007-07-05","0.56","0.56","0.53","6.36","400"
"CSBR","2007-07-06","0.53","0.53","0.53","6.36","0"
"CSBR","2007-07-09","0.53","0.53","0.53","6.36","0"
"CSBR","2007-07-10","0.51","0.56","0.5","6.72","800"
"CSBR","2007-07-11","0.45","0.55","0.45","6.6","200"
"CSBR","2007-07-12","0.5","0.55","0.5","6.6","0"
"CSBR","2007-07-13","0.55","0.55","0.55","6.6","0"
"CSBR","2007-07-16","0.5","0.5","0.5","6.0","400"
"CSBR","2007-07-17","0.45","0.5","0.45","5.4","5700"
"CSBR","2007-07-18","0.41","0.5","0.41","6.0","1600"
"CSBR","2007-07-19","0.5","0.5","0.5","6.0","0"
"CSBR","2007-07-20","0.5","0.5","0.5","6.0","900"
"CSBR","2007-07-23","0.5","0.5","0.5","6.0","800"
"CSBR","2007-07-24","0.5","0.5","0.5","6.0","800"
"CSBR","2007-07-25","0.5","0.5","0.5","6.0","0"
"CSBR","2007-07-26","0.48","0.55","0.48","6.6","2300"
"CSBR","2007-07-27","0.5","0.55","0.5","6.6","500"
"CSBR","2007-07-30","0.45","0.47","0.43","5.4","800"
"CSBR","2007-07-31","0.55","0.55","0.45","6.6","800"
"CSBR","2007-08-01","0.5","0.55","0.5","6.6","100"
"CSBR","2007-08-02","0.55","0.55","0.5","6.6","1100"
"CSBR","2007-08-03","0.5","0.55","0.5","6.0","1200"
"CSBR","2007-08-06","0.5","0.5","0.5","6.0","0"
"CSBR","2007-08-07","0.5","0.52","0.5","6.24","100"
"CSBR","2007-08-08","0.52","0.55","0.5","6.6","700"
"CSBR","2007-08-09","0.55","0.6","0.55","6.72","600"
"CSBR","2007-08-10","0.6","0.6","0.51","6.96","800"
"CSBR","2007-08-13","0.58","0.58","0.58","6.96","0"
"CSBR","2007-08-14","0.58","0.58","0.5","6.0","1800"
"CSBR","2007-08-15","0.5","0.5","0.5","6.0","0"
"CSBR","2007-08-16","0.5","0.5","0.5","6.0","200"
"CSBR","2007-08-17","0.46","0.55","0.43","6.6","400"
"CSBR","2007-08-20","0.55","0.55","0.55","6.6","0"
"CSBR","2007-08-21","0.52","0.54","0.52","6.48","300"
"CSBR","2007-08-22","0.54","0.54","0.54","6.48","0"
"CSBR","2007-08-23","0.43","0.54","0.43","6.48","0"
"CSBR","2007-08-24","0.54","0.54","0.54","6.48","0"
"CSBR","2007-08-27","0.43","0.55","0.43","6.6","0"
"CSBR","2007-08-28","0.43","0.53","0.35","6.36","1500"
"CSBR","2007-08-29","0.53","0.53","0.53","6.36","0"
"CSBR","2007-08-30","0.4","0.55","0.4","6.6","100"
"CSBR","2007-08-31","0.55","0.55","0.55","6.6","0"
"CSBR","2007-09-04","0.54","0.55","0.54","6.48","1600"
"CSBR","2007-09-05","0.52","0.55","0.45","6.6","800"
"CSBR","2007-09-06","0.45","0.45","0.45","5.4","0"
"CSBR","2007-09-07","0.58","0.58","0.58","6.96","0"
"CSBR","2007-09-10","0.58","0.58","0.58","6.96","0"
"CSBR","2007-09-11","0.58","0.58","0.58","6.96","0"
"CSBR","2007-09-12","0.45","0.48","0.45","5.76","0"
"CSBR","2007-09-13","0.45","0.45","0.45","5.4","100"
"CSBR","2007-09-14","0.58","0.58","0.55","6.6","100"
"CSBR","2007-09-17","0.55","0.55","0.55","6.6","0"
"CSBR","2007-09-18","0.55","0.55","0.55","6.6","0"
"CSBR","2007-09-19","0.55","0.55","0.55","6.6","0"
"CSBR","2007-09-20","0.55","0.55","0.55","6.6","0"
"CSBR","2007-09-21","0.46","0.6","0.46","7.2","200"
"CSBR","2007-09-24","0.51","0.6","0.51","6.12","200"
"CSBR","2007-09-25","0.53","0.53","0.53","6.36","100"
"CSBR","2007-09-26","0.53","0.53","0.53","6.36","0"
"CSBR","2007-09-27","0.55","0.6","0.55","7.2","300"
"CSBR","2007-09-28","0.6","0.63","0.6","7.44","1600"
"CSBR","2007-10-01","0.63","0.66","0.63","7.8","4600"
"CSBR","2007-10-02","0.65","0.65","0.65","7.8","700"
"CSBR","2007-10-03","0.7","0.7","0.69","8.28","600"
"CSBR","2007-10-04","0.69","0.69","0.65","7.8","500"
"CSBR","2007-10-05","0.7","0.75","0.65","7.8","1400"
"CSBR","2007-10-08","0.65","0.65","0.65","7.8","0"
"CSBR","2007-10-09","0.65","0.67","0.65","8.04","700"
"CSBR","2007-10-10","0.77","0.8","0.7","9.0","4600"
"CSBR","2007-10-11","0.78","0.9","0.78","10.2","3400"
"CSBR","2007-10-12","0.85","1.2","0.85","12.0","15900"
"CSBR","2007-10-15","1.01","1.15","1.01","12.96","1900"
"CSBR","2007-10-16","1.09","1.39","1.09","15.0","6400"
"CSBR","2007-10-17","1.34","1.8","1.34","18.0","19000"
"CSBR","2007-10-18","1.65","1.9","1.5","21.72","14700"
"CSBR","2007-10-19","1.81","1.9","1.56","18.96","9400"
"CSBR","2007-10-22","1.59","1.9","1.56","20.4","10900"
"CSBR","2007-10-23","1.72","2.01","1.72","23.16","18300"
"CSBR","2007-10-24","1.95","2.15","1.93","25.2","3500"
"CSBR","2007-10-25","2.0","2.1","1.75","23.4","12700"
"CSBR","2007-10-26","1.95","2.0","1.85","22.8","3400"
"CSBR","2007-10-29","1.95","2.05","1.91","24.36","6800"
"CSBR","2007-10-30","1.9","2.03","1.82","21.96","2600"
"CSBR","2007-10-31","1.83","1.83","1.5","20.4","15000"
"CSBR","2007-11-01","1.65","1.7","1.65","20.4","200"
"CSBR","2007-11-02","1.72","1.72","1.56","19.8","2200"
"CSBR","2007-11-05","1.65","1.65","1.25","18.0","4200"
"CSBR","2007-11-06","1.3","1.49","1.3","17.88","2000"
"CSBR","2007-11-07","1.5","1.5","1.45","18.0","800"
"CSBR","2007-11-08","1.49","1.5","1.3","18.0","1100"
"CSBR","2007-11-09","1.4","1.48","1.27","17.64","900"
"CSBR","2007-11-12","1.4","1.41","1.27","15.24","1800"
"CSBR","2007-11-13","1.3","1.44","1.3","17.28","2900"
"CSBR","2007-11-14","1.44","1.6","1.44","19.2","300"
"CSBR","2007-11-15","1.3","1.5","1.3","18.0","400"
"CSBR","2007-11-16","1.5","1.5","1.35","16.2","200"
"CSBR","2007-11-19","1.35","1.35","1.35","16.2","0"
"CSBR","2007-11-20","1.5","1.5","1.5","18.0","0"
"CSBR","2007-11-21","1.4","1.5","1.4","17.4","1000"
"CSBR","2007-11-23","1.5","1.5","1.5","18.0","0"
"CSBR","2007-11-26","1.5","1.5","1.3","16.8","1000"
"CSBR","2007-11-27","1.4","1.5","1.4","18.0","600"
"CSBR","2007-11-28","1.4","1.4","1.27","16.2","1400"
"CSBR","2007-11-29","1.35","1.35","1.35","16.2","200"
"CSBR","2007-11-30","1.35","1.35","1.28","16.2","200"
"CSBR","2007-12-03","1.28","1.3","1.28","15.6","900"
"CSBR","2007-12-04","1.3","1.45","1.3","17.4","100"
"CSBR","2007-12-05","1.45","1.45","1.45","17.4","0"
"CSBR","2007-12-06","1.45","1.45","1.45","17.4","0"
"CSBR","2007-12-07","1.4","1.45","1.4","17.28","300"
"CSBR","2007-12-10","1.3","1.5","1.3","18.0","100"
"CSBR","2007-12-11","1.3","1.45","1.3","17.4","600"
"CSBR","2007-12-12","1.48","1.49","1.48","17.88","100"
"CSBR","2007-12-13","1.33","1.49","1.33","17.4","1500"
"CSBR","2007-12-14","1.4","1.45","1.36","17.4","300"
"CSBR","2007-12-17","1.37","1.37","1.37","16.44","100"
"CSBR","2007-12-18","1.38","1.4","1.37","16.8","200"
"CSBR","2007-12-19","1.37","1.9","1.37","22.8","1200"
"CSBR","2007-12-20","1.9","1.9","1.5","21.0","400"
"CSBR","2007-12-21","1.8","1.8","1.8","21.6","100"
"CSBR","2007-12-24","1.7","1.7","1.7","20.4","0"
"CSBR","2007-12-26","1.5","1.55","1.5","18.6","700"
"CSBR","2007-12-27","1.5","1.55","1.5","18.6","400"
"CSBR","2007-12-28","1.45","1.55","1.4","18.6","1000"
"CSBR","2007-12-31","1.55","1.55","1.4","16.8","100"
