"symbol","date","open","high","low","close","volume"
"CTS","1987-11-05","20.75","20.75","20.0","2.2039","96600"
"CTS","1987-11-06","20.0","21.25","20.0","2.259","72600"
"CTS","1987-11-09","20.25","20.25","19.88","2.1902","16800"
"CTS","1987-11-10","19.88","20.25","19.75","2.2315","13800"
"CTS","1987-11-11","20.25","20.25","20.0","2.2039","4800"
"CTS","1987-11-12","20.5","21.0","20.5","2.3141","65400"
"CTS","1987-11-13","21.0","21.0","20.5","2.259","10200"
"CTS","1987-11-16","20.5","21.0","20.13","2.2177","12000"
"CTS","1987-11-17","19.88","19.88","19.88","2.1902","63600"
"CTS","1987-11-18","19.88","19.88","19.25","2.1764","103800"
"CTS","1987-11-19","19.75","20.0","19.0","2.1351","76200"
"CTS","1987-11-20","19.38","19.38","19.0","2.1075","19200"
"CTS","1987-11-23","19.25","19.5","19.25","2.1488","39000"
"CTS","1987-11-24","19.5","20.0","19.5","2.1902","15600"
"CTS","1987-11-25","19.75","19.75","19.75","2.1764","15600"
"CTS","1987-11-27","19.75","19.75","19.75","2.1764","14400"
"CTS","1987-11-30","19.5","19.5","19.0","2.0937","280800"
"CTS","1987-12-01","19.0","19.0","19.0","2.0937","19800"
"CTS","1987-12-02","19.0","19.12","18.75","2.0937","5400"
"CTS","1987-12-03","19.0","19.0","18.75","2.0937","17400"
"CTS","1987-12-04","18.75","18.75","18.5","2.0386","37800"
"CTS","1987-12-07","18.38","18.38","18.0","1.9835","13200"
"CTS","1987-12-08","18.0","18.12","17.75","1.9973","4800"
"CTS","1987-12-09","18.12","18.5","18.0","1.9835","49200"
"CTS","1987-12-10","18.0","18.12","17.88","1.9973","68400"
"CTS","1987-12-11","18.0","18.0","17.75","1.9698","40200"
"CTS","1987-12-14","17.88","18.0","17.25","1.956","75600"
"CTS","1987-12-15","17.75","17.88","17.0","1.9284","70800"
"CTS","1987-12-16","17.62","18.5","17.62","2.0386","85800"
"CTS","1987-12-17","18.25","18.25","17.75","1.956","15600"
"CTS","1987-12-18","18.63","18.63","18.63","2.0524","98400"
"CTS","1987-12-21","18.63","18.75","18.12","1.9973","57600"
"CTS","1987-12-22","18.12","18.5","17.75","2.0111","56400"
"CTS","1987-12-23","18.0","18.0","17.62","1.9835","67200"
"CTS","1987-12-24","18.0","18.38","17.88","2.0249","10200"
"CTS","1987-12-28","18.5","18.87","18.5","2.0386","65400"
"CTS","1987-12-29","18.5","18.75","18.12","2.0249","49800"
"CTS","1987-12-30","18.38","18.63","18.12","2.0111","83400"
"CTS","1987-12-31","18.25","18.63","18.0","1.9835","82200"
"CTS","1988-01-04","18.63","19.5","18.63","2.1488","46800"
"CTS","1988-01-05","19.62","20.0","19.62","2.1902","15000"
"CTS","1988-01-06","19.88","19.88","19.62","2.1902","19800"
"CTS","1988-01-07","19.62","19.62","19.62","2.1626","4200"
"CTS","1988-01-08","19.62","19.62","19.0","2.0937","26400"
"CTS","1988-01-11","19.0","19.25","18.25","2.08","172200"
"CTS","1988-01-12","18.87","19.38","18.63","2.0524","15600"
"CTS","1988-01-13","18.63","18.75","18.38","2.0662","15600"
