"symbol","date","open","high","low","close","volume"
"CTW","2012-05-10","26.29","26.39","26.23","21.5866","13600"
"CTW","2012-05-11","26.33","26.4","26.24","21.6523","44000"
"CTW","2012-05-14","26.32","26.42","26.24","21.6687","40400"
"CTW","2012-05-15","26.31","26.42","26.06","21.5044","98000"
"CTW","2012-05-16","26.18","26.28","25.98","21.5866","76100"
"CTW","2012-05-17","26.28","26.28","25.6","21.2334","114400"
"CTW","2012-05-18","25.89","26.08","25.63","21.0937","72900"
"CTW","2012-05-21","25.76","26.0","25.76","21.2334","39500"
"CTW","2012-05-22","26.04","26.24","25.95","21.4387","58900"
"CTW","2012-05-23","26.16","26.4","26.07","21.6687","63000"
"CTW","2012-05-24","26.28","26.77","26.28","21.8412","46400"
"CTW","2012-05-25","26.8","26.94","26.71","22.0383","36600"
"CTW","2012-05-29","27.07","27.17","26.8","22.1123","96900"
"CTW","2012-05-30","26.98","26.99","26.67","21.9069","57200"
"CTW","2012-05-31","26.84","26.84","26.53","21.7919","50800"
"CTW","2012-06-01","26.5","26.56","26.21","21.5537","72200"
"CTW","2012-06-04","26.25","26.42","26.05","21.5126","58600"
"CTW","2012-06-05","26.16","26.45","26.13","21.6441","93500"
"CTW","2012-06-06","26.45","26.6","26.45","21.8166","25000"
"CTW","2012-06-07","26.79","26.79","26.44","21.7919","49400"
"CTW","2012-06-08","26.62","26.77","26.58","21.9151","27400"
"CTW","2012-06-11","27.8","27.8","26.56","21.948","39400"
"CTW","2012-06-12","26.35","26.47","26.15","22.0726","40100"
"CTW","2012-06-13","26.58","26.6","26.46","22.1562","29300"
"CTW","2012-06-14","26.35","26.51","25.78","21.7548","194100"
"CTW","2012-06-15","26.03","26.04","25.93","21.7465","63200"
"CTW","2012-06-18","26.14","26.28","26.0","21.9053","35000"
"CTW","2012-06-19","26.3","26.36","26.17","22.0308","53900"
"CTW","2012-06-20","26.4","26.48","26.25","21.9889","50400"
"CTW","2012-06-21","26.43","26.53","26.25","21.9471","55500"
"CTW","2012-06-22","26.33","26.45","26.32","22.0224","31500"
"CTW","2012-06-25","26.34","26.44","26.33","22.0726","39300"
"CTW","2012-06-26","26.31","26.47","26.31","22.1227","49300"
"CTW","2012-06-27","26.32","26.59","26.28","22.0558","77000"
"CTW","2012-06-28","26.3","26.54","26.3","22.1311","45500"
"CTW","2012-06-29","26.8","26.8","26.21","22.1144","88700"
