"symbol","date","open","high","low","close","volume"
"CTZ","2015-09-22","24.8","24.85","24.8","24.83","844500"
"CTZ","2015-09-23","24.85","24.88","24.82","24.88","379700"
"CTZ","2015-09-24","24.85","24.88","24.85","24.87","213800"
"CTZ","2015-09-25","24.9","24.99","24.88","24.99","302500"
"CTZ","2015-09-28","24.95","24.98","24.8","24.88","192400"
"CTZ","2015-09-29","24.9","24.9","24.84","24.85","200700"
"CTZ","2015-09-30","24.9","24.95","24.83","24.95","356000"
"CTZ","2015-10-01","24.94","24.94","24.84","24.87","122700"
"CTZ","2015-10-02","24.84","24.84","24.75","24.84","109500"
"CTZ","2015-10-05","24.84","24.86","24.74","24.76","122300"
"CTZ","2015-10-06","24.79","24.83","24.73","24.83","109900"
"CTZ","2015-10-07","24.85","24.87","24.77","24.82","129200"
"CTZ","2015-10-08","24.86","24.92","24.78","24.8","102300"
"CTZ","2015-10-09","24.84","24.86","24.79","24.86","70000"
"CTZ","2015-10-12","24.87","24.95","24.87","24.95","63400"
"CTZ","2015-10-13","24.95","24.95","24.86","24.92","92800"
"CTZ","2015-10-14","24.93","24.94","24.88","24.92","148300"
"CTZ","2015-10-15","24.95","24.95","24.84","24.89","136900"
"CTZ","2015-10-16","24.93","24.95","24.89","24.93","140300"
"CTZ","2015-10-19","24.95","24.99","24.9","24.98","130400"
"CTZ","2015-10-20","24.95","25.0","24.93","25.0","179200"
"CTZ","2015-10-21","25.0","25.08","24.98","25.05","144900"
"CTZ","2015-10-22","25.07","25.1","25.03","25.04","142900"
"CTZ","2015-10-23","25.08","25.1","25.0","25.05","229400"
"CTZ","2015-10-26","25.08","25.08","24.99","25.02","107800"
"CTZ","2015-10-27","25.02","25.05","25.0","25.01","122000"
"CTZ","2015-10-28","25.05","25.11","25.01","25.07","156000"
"CTZ","2015-10-29","25.1","25.1","25.04","25.07","148400"
"CTZ","2015-10-30","25.1","25.13","25.04","25.09","130400"
"CTZ","2015-11-02","25.15","25.23","25.1","25.19","211700"
"CTZ","2015-11-03","25.18","25.34","25.15","25.22","153100"
