"symbol","date","open","high","low","close","volume"
"CUB","1989-02-21","17.5","17.5","17.37","2.6295","12000"
"CUB","1989-02-22","17.25","17.25","17.0","2.5727","17100"
"CUB","1989-02-23","17.0","17.13","17.0","2.5727","18300"
"CUB","1989-02-24","17.0","17.13","17.0","2.5727","3900"
"CUB","1989-02-27","17.0","17.13","16.25","2.4971","29700"
"CUB","1989-02-28","16.62","16.62","16.5","2.4971","9300"
"CUB","1989-03-01","16.5","16.62","16.5","2.4971","39000"
"CUB","1989-03-02","16.5","16.5","16.5","2.4971","504300"
"CUB","1989-03-03","16.5","16.88","16.5","2.5538","12000"
"CUB","1989-03-06","16.88","16.88","16.88","2.5538","4800"
"CUB","1989-03-07","16.88","17.37","16.88","2.6106","18900"
"CUB","1989-03-08","17.5","17.87","17.5","2.6673","30600"
"CUB","1989-03-09","17.63","17.87","17.5","2.7051","217200"
"CUB","1989-03-10","17.75","18.0","17.75","2.7051","9000"
"CUB","1989-03-13","17.75","18.13","17.75","2.7756","3900"
"CUB","1989-03-14","18.0","18.25","18.0","2.7756","9000"
"CUB","1989-03-15","18.0","18.0","18.0","2.7564","11100"
"CUB","1989-03-16","18.0","18.0","18.0","2.7564","6600"
"CUB","1989-03-17","17.75","17.75","17.75","2.7182","17400"
"CUB","1989-03-20","17.75","17.75","17.5","2.6799","18300"
"CUB","1989-03-21","17.5","17.63","17.5","2.699","10800"
"CUB","1989-03-22","17.5","17.5","17.5","2.6799","16200"
"CUB","1989-03-23","17.5","17.5","17.13","2.6225","36900"
"CUB","1989-03-27","16.88","16.88","16.75","2.565","10200"
"CUB","1989-03-28","16.75","16.75","16.75","2.565","3900"
"CUB","1989-03-29","16.75","16.88","16.75","2.5842","3900"
"CUB","1989-03-30","16.62","16.62","16.62","2.5459","12600"
"CUB","1989-03-31","16.75","16.75","16.62","2.5459","15600"
"CUB","1989-04-03","16.75","16.88","16.62","2.5842","11700"
"CUB","1989-04-04","16.75","16.75","16.5","2.5267","9000"
"CUB","1989-04-05","16.5","16.62","16.5","2.5267","1800"
"CUB","1989-04-06","16.5","16.75","16.5","2.5267","8400"
"CUB","1989-04-07","16.5","16.75","16.5","2.5267","11100"
"CUB","1989-04-10","16.25","16.5","16.25","2.5267","9300"
"CUB","1989-04-11","16.25","16.25","16.0","2.4693","33300"
"CUB","1989-04-12","16.25","16.38","16.12","2.5076","12000"
"CUB","1989-04-13","16.25","16.38","16.25","2.5076","3900"
"CUB","1989-04-14","16.25","16.38","16.12","2.4693","12900"
"CUB","1989-04-17","16.0","16.12","16.0","2.4693","23400"
"CUB","1989-04-18","16.0","16.0","16.0","2.4502","17400"
"CUB","1989-04-19","15.88","16.12","15.88","2.4502","12000"
"CUB","1989-04-20","15.88","15.88","15.88","2.431","11100"
"CUB","1989-04-21","15.88","15.88","15.5","2.3736","9900"
"CUB","1989-04-24","15.5","15.75","15.5","2.3736","46200"
"CUB","1989-04-25","15.5","15.5","15.5","2.3736","3900"
"CUB","1989-04-26","15.5","15.5","15.5","2.3736","4800"
"CUB","1989-04-27","15.5","16.12","15.5","2.4693","21900"
"CUB","1989-04-28","16.12","16.12","15.88","2.431","20700"
"CUB","1989-05-01","15.75","16.0","15.75","2.431","7200"
"CUB","1989-05-02","15.75","15.75","15.38","2.3736","40500"
"CUB","1989-05-03","15.5","15.75","15.5","2.4119","17100"
"CUB","1989-05-04","15.75","15.88","15.62","2.3927","12600"
"CUB","1989-05-05","15.88","16.25","15.88","2.431","58800"
"CUB","1989-05-08","15.75","16.0","15.75","2.4119","28200"
"CUB","1989-05-09","15.88","16.12","15.75","2.4119","123300"
"CUB","1989-05-10","16.0","16.0","15.75","2.4502","57000"
"CUB","1989-05-11","15.88","16.38","15.88","2.4885","93000"
"CUB","1989-05-12","16.62","16.75","16.25","2.4885","96300"
"CUB","1989-05-15","16.38","16.62","16.25","2.5267","30600"
