"symbol","date","open","high","low","close","volume"
"CVE","2009-11-17","25.0","25.0","25.0","0.1723","100"
"CVE","2009-11-18","25.0","25.0","25.0","0.1723","0"
"CVE","2009-11-19","25.2","25.2","25.2","0.1737","100"
"CVE","2009-11-20","25.39","25.45","25.35","0.1754","5100"
"CVE","2009-11-23","25.44","25.44","25.44","0.1754","0"
"CVE","2009-11-24","25.44","25.44","25.44","0.1754","0"
"CVE","2009-11-25","25.44","25.44","25.44","0.1754","0"
"CVE","2009-11-27","24.75","26.0","24.5","0.1792","1100"
"CVE","2009-11-30","26.0","26.0","26.0","0.1792","0"
"CVE","2009-12-01","26.0","26.0","26.0","0.1792","0"
"CVE","2009-12-02","25.75","25.75","25.02","0.1725","400"
"CVE","2009-12-03","25.06","25.06","24.26","0.17","9000"
"CVE","2009-12-04","25.01","25.43","24.5","0.1706","7900"
"CVE","2009-12-07","24.42","24.62","24.24","0.1697","2300"
"CVE","2009-12-08","24.25","24.29","23.75","0.1637","4900"
"CVE","2009-12-09","23.55","24.08","23.5","19.2377","1754600"
"CVE","2009-12-10","23.37","24.29","23.37","19.647","1316100"
"CVE","2009-12-11","24.5","24.52","24.15","20.0727","1267900"
"CVE","2009-12-14","24.35","25.0","23.42","20.4247","1398200"
"CVE","2009-12-15","24.51","25.64","24.15","20.8259","2306200"
"CVE","2009-12-16","25.7","25.7","25.18","20.8914","1603700"
"CVE","2009-12-17","25.1","25.13","24.29","20.1653","2110300"
"CVE","2009-12-18","24.45","24.54","23.58","19.7775","1182100"
"CVE","2009-12-21","24.17","24.18","23.7","19.827","2474400"
"CVE","2009-12-22","23.84","24.45","23.84","20.058","2029500"
"CVE","2009-12-23","24.51","24.51","24.19","20.1323","1604600"
"CVE","2009-12-24","24.34","24.66","24.12","20.1158","433600"
"CVE","2009-12-28","24.19","24.55","23.93","20.025","631200"
"CVE","2009-12-29","24.56","24.79","24.37","20.2313","1329000"
"CVE","2009-12-30","24.45","24.67","24.15","20.3303","1492200"
"CVE","2009-12-31","24.75","25.48","24.75","20.7924","1592200"
"CVE","2010-01-04","26.06","26.68","25.54","21.9475","2117700"
"CVE","2010-01-05","26.73","26.79","26.2","21.7577","1140700"
"CVE","2010-01-06","26.36","26.69","25.8","21.5679","1145600"
"CVE","2010-01-07","25.87","26.13","25.73","21.4442","873100"
"CVE","2010-01-08","25.91","26.26","25.66","21.6422","985300"
"CVE","2010-01-11","26.2","26.43","25.92","21.5762","1759200"
"CVE","2010-01-12","25.52","25.88","25.24","21.2462","1394500"
"CVE","2010-01-13","25.64","25.86","25.38","21.2957","853600"
"CVE","2010-01-14","25.84","25.96","25.58","21.2296","974000"
"CVE","2010-01-15","25.77","25.83","25.01","20.8336","1361400"
"CVE","2010-01-19","25.14","25.26","24.94","20.7924","1060900"
"CVE","2010-01-20","24.81","24.81","24.02","20.0333","1605100"
"CVE","2010-01-21","24.25","24.39","23.93","20.0003","2198900"
"CVE","2010-01-22","24.18","24.21","23.63","19.5712","1228700"
"CVE","2010-01-25","23.58","24.05","23.57","19.6042","1113700"
"CVE","2010-01-26","23.41","23.41","23.06","19.1504","1000900"
"CVE","2010-01-27","23.19","23.43","22.96","19.1339","1461900"
"CVE","2010-01-28","23.46","23.62","23.07","19.3897","1229100"
"CVE","2010-01-29","23.65","24.59","23.1","19.1009","1411600"
"CVE","2010-02-01","23.3","24.38","23.29","20.0993","1215900"
"CVE","2010-02-02","24.39","24.93","24.03","20.4623","1329200"
"CVE","2010-02-03","24.42","25.13","24.2","20.5943","1002100"
"CVE","2010-02-04","24.49","24.61","24.13","20.0168","1033900"
"CVE","2010-02-05","24.14","24.35","23.3","19.5877","1052400"
"CVE","2010-02-08","23.74","23.96","23.22","19.1999","936000"
"CVE","2010-02-09","23.6","24.19","23.34","19.5877","753900"
"CVE","2010-02-10","23.76","23.95","23.0","19.2247","723600"
"CVE","2010-02-11","22.96","24.37","22.87","19.8682","813300"
"CVE","2010-02-12","23.99","24.07","23.71","19.7527","741400"
"CVE","2010-02-16","24.25","25.41","24.13","20.7841","852800"
"CVE","2010-02-17","25.44","25.8","25.03","21.2296","897700"
"CVE","2010-02-18","25.53","25.87","25.42","21.0729","674900"
"CVE","2010-02-19","25.4","26.58","25.32","21.8237","786800"
"CVE","2010-02-22","26.26","26.54","25.4","21.1306","1257900"
"CVE","2010-02-23","25.34","25.5","24.34","20.1983","764100"
"CVE","2010-02-24","24.53","24.72","24.04","20.0415","1357400"
"CVE","2010-02-25","23.97","24.2","23.54","19.8517","1411500"
"CVE","2010-02-26","24.13","24.6","23.92","20.2148","755600"
"CVE","2010-03-01","24.75","24.78","24.46","20.2973","511500"
"CVE","2010-03-02","24.7","25.11","24.7","20.6851","582500"
