"symbol","date","open","high","low","close","volume"
"CVLY","1997-04-25","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-04-28","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-04-29","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-04-30","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-05-01","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-05-02","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-05-05","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-05-06","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-05-07","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-05-08","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-05-09","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-05-12","30.0","30.0","30.0","4.1496","0"
"CVLY","1997-05-13","31.75","31.75","31.75","4.3917","1700"
"CVLY","1997-05-14","31.75","31.75","31.75","4.3917","0"
"CVLY","1997-05-15","34.0","34.0","34.0","4.7029","1900"
"CVLY","1997-05-16","34.0","34.0","34.0","4.7029","0"
"CVLY","1997-05-19","34.0","34.0","34.0","4.7029","0"
"CVLY","1997-05-20","34.0","34.0","34.0","4.7029","0"
"CVLY","1997-05-21","34.0","34.0","34.0","4.7029","0"
"CVLY","1997-05-22","34.0","34.0","34.0","4.7029","0"
"CVLY","1997-05-23","34.0","34.0","34.0","4.7029","0"
"CVLY","1997-05-27","34.0","34.0","34.0","4.7029","0"
"CVLY","1997-05-28","34.0","34.0","34.0","4.7029","0"
"CVLY","1997-05-29","34.0","34.0","34.0","4.7029","0"
"CVLY","1997-05-30","35.5","35.5","35.5","4.9104","1500"
"CVLY","1997-06-02","35.5","35.5","35.5","4.9104","0"
"CVLY","1997-06-03","35.5","35.5","35.5","4.9104","0"
"CVLY","1997-06-04","35.5","35.5","35.5","4.9104","0"
"CVLY","1997-06-05","35.5","35.5","35.5","4.9104","0"
"CVLY","1997-06-06","35.5","35.5","35.5","4.9104","0"
"CVLY","1997-06-09","35.5","35.5","35.5","4.9104","0"
"CVLY","1997-06-10","35.5","35.5","35.5","4.9104","0"
"CVLY","1997-06-11","36.0","36.0","36.0","4.9796","200"
"CVLY","1997-06-12","36.0","36.0","36.0","4.9796","0"
"CVLY","1997-06-13","36.0","36.0","36.0","4.9796","0"
"CVLY","1997-06-16","36.0","36.0","36.0","4.9796","0"
"CVLY","1997-06-17","36.0","36.0","36.0","4.9796","0"
"CVLY","1997-06-18","33.25","36.5","33.25","5.0487","1100"
"CVLY","1997-06-19","36.5","36.5","36.5","5.0487","0"
"CVLY","1997-06-20","36.5","36.5","36.5","5.0487","0"
"CVLY","1997-06-23","36.5","36.5","36.0","4.9796","3600"
"CVLY","1997-06-24","36.0","36.0","36.0","4.9796","0"
"CVLY","1997-06-25","36.0","36.0","36.0","4.9796","0"
"CVLY","1997-06-26","36.0","36.0","36.0","4.9796","0"
"CVLY","1997-06-27","33.5","33.5","33.5","4.6338","200"
"CVLY","1997-06-30","33.5","33.5","33.5","4.6338","200"
"CVLY","1997-07-01","36.5","36.5","36.5","5.0487","1100"
"CVLY","1997-07-02","36.5","36.5","36.5","5.0487","0"
"CVLY","1997-07-03","36.5","36.5","36.5","5.0487","0"
"CVLY","1997-07-07","36.5","36.5","36.5","5.0487","0"
"CVLY","1997-07-08","36.5","36.5","36.5","5.0487","0"
"CVLY","1997-07-09","33.75","33.75","33.75","4.6683","400"
"CVLY","1997-07-10","33.75","33.75","33.75","4.6683","0"
"CVLY","1997-07-11","33.75","33.75","33.75","4.6683","0"
"CVLY","1997-07-14","33.75","33.75","33.75","4.6683","0"
"CVLY","1997-07-15","33.75","33.75","33.75","4.6683","0"
"CVLY","1997-07-16","33.75","33.75","33.75","4.6683","0"
"CVLY","1997-07-17","33.75","33.75","33.75","4.6683","0"
"CVLY","1997-07-18","33.75","37.0","33.75","5.1484","37700"
"CVLY","1997-07-21","37.0","37.0","37.0","5.1484","0"
"CVLY","1997-07-22","38.75","38.75","35.5","4.9397","3600"
"CVLY","1997-07-23","35.5","35.5","35.5","4.9397","0"
"CVLY","1997-07-24","35.5","35.5","35.5","4.9397","0"
"CVLY","1997-07-25","35.5","35.5","35.5","4.9397","200"
"CVLY","1997-07-28","35.5","35.5","35.5","4.9397","0"
"CVLY","1997-07-29","35.5","35.5","35.5","4.9397","0"
"CVLY","1997-07-30","35.5","35.5","35.5","4.9397","0"
"CVLY","1997-07-31","35.5","38.75","35.5","5.3919","800"
"CVLY","1997-08-01","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-08-04","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-08-05","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-08-06","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-08-07","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-08-08","36.0","36.0","35.5","4.9397","800"
"CVLY","1997-08-11","35.5","35.5","35.5","4.9397","0"
"CVLY","1997-08-12","35.5","37.5","35.5","5.218","4000"
"CVLY","1997-08-13","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-14","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-15","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-18","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-19","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-20","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-21","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-22","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-25","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-26","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-27","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-28","37.5","37.5","37.5","5.218","0"
"CVLY","1997-08-29","37.5","37.5","37.5","5.218","0"
"CVLY","1997-09-02","38.75","38.75","38.75","5.3919","800"
"CVLY","1997-09-03","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-04","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-05","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-08","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-09","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-10","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-11","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-12","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-15","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-16","38.75","38.75","38.75","5.3919","0"
"CVLY","1997-09-17","35.75","35.75","35.75","4.9745","600"
"CVLY","1997-09-18","35.75","35.75","35.75","4.9745","0"
"CVLY","1997-09-19","35.75","35.75","35.75","4.9745","0"
"CVLY","1997-09-22","35.75","35.75","35.75","4.9745","0"
