"symbol","date","open","high","low","close","volume"
"CVRR","2013-01-17","25.25","25.87","25.03","17.1903","18903700"
"CVRR","2013-01-18","25.34","25.5","24.5","17.0187","3938000"
"CVRR","2013-01-22","24.97","25.16","24.77","17.0873","1340000"
"CVRR","2013-01-23","25.01","25.25","24.85","17.3138","1377000"
"CVRR","2013-01-24","25.6","25.75","25.35","17.5059","3321100"
"CVRR","2013-01-25","25.74","25.8","25.5","17.6363","1316800"
"CVRR","2013-01-28","26.11","27.79","26.11","18.7137","2561900"
"CVRR","2013-01-29","27.97","29.0","27.64","19.5029","1794600"
"CVRR","2013-01-30","28.77","29.24","27.55","18.9402","1358100"
"CVRR","2013-01-31","27.5","28.74","27.4","19.5166","1021900"
"CVRR","2013-02-01","29.29","29.74","28.85","19.9009","984200"
"CVRR","2013-02-04","29.2","29.7","28.95","19.9009","853900"
"CVRR","2013-02-05","29.45","30.73","29.36","20.5597","1504400"
"CVRR","2013-02-06","30.13","30.7","29.42","20.3744","822200"
"CVRR","2013-02-07","29.96","30.45","29.48","20.8479","1573700"
"CVRR","2013-02-08","30.57","32.0","30.57","21.8773","1143000"
"CVRR","2013-02-11","32.01","32.25","31.0","21.342","972100"
"CVRR","2013-02-12","31.08","31.1","29.42","20.4018","1233300"
"CVRR","2013-02-13","29.78","30.62","29.78","20.9989","684200"
"CVRR","2013-02-14","30.8","32.18","30.73","21.5136","889500"
"CVRR","2013-02-15","31.1","31.98","30.5","21.0469","450600"
"CVRR","2013-02-19","30.93","31.8","30.93","21.7949","805800"
"CVRR","2013-02-20","31.95","32.21","29.9","20.6146","1215900"
"CVRR","2013-02-21","29.64","30.0","28.4","20.4087","1333900"
"CVRR","2013-02-22","30.27","30.6","29.77","20.7587","935000"
"CVRR","2013-02-25","30.87","30.93","29.93","20.6077","463900"
"CVRR","2013-02-26","29.8","30.27","28.35","20.0587","1218100"
"CVRR","2013-02-27","29.55","29.63","29.06","20.2577","447500"
"CVRR","2013-02-28","29.78","30.23","29.53","20.4499","498300"
"CVRR","2013-03-01","29.8","30.08","29.4","20.3607","381100"
"CVRR","2013-03-04","29.81","30.8","29.73","21.0881","1008400"
"CVRR","2013-03-05","31.0","31.7","30.5","21.7537","983600"
"CVRR","2013-03-06","31.77","31.92","30.55","21.1224","652100"
"CVRR","2013-03-07","30.8","31.0","29.8","20.4773","1047900"
"CVRR","2013-03-08","30.24","30.24","29.65","20.4911","645800"
"CVRR","2013-03-11","30.0","30.22","29.51","20.5803","683500"
"CVRR","2013-03-12","32.6","33.0","31.61","21.9184","2458300"
"CVRR","2013-03-13","32.35","33.09","31.32","22.3233","2133600"
"CVRR","2013-03-14","32.87","34.92","32.85","23.8193","1435300"
"CVRR","2013-03-15","35.19","35.25","33.86","24.0732","695200"
"CVRR","2013-03-18","34.59","35.0","34.08","23.7232","564400"
"CVRR","2013-03-19","34.89","35.14","34.09","23.6889","552100"
"CVRR","2013-03-20","34.76","35.81","34.5","24.0801","540600"
"CVRR","2013-03-21","35.0","35.59","34.79","24.2791","449500"
"CVRR","2013-03-22","35.75","35.98","33.23","23.0782","905300"
