"symbol","date","open","high","low","close","volume"
"CYBR","2014-09-24","25.0","30.19","22.12","29.93","21819900"
"CYBR","2014-09-25","33.15","35.88","30.52","31.39","16617400"
"CYBR","2014-09-26","31.95","32.74","28.61","29.8","4636200"
"CYBR","2014-09-29","28.19","29.44","27.27","27.39","2658200"
"CYBR","2014-09-30","27.6","32.11","27.6","32.01","6416400"
"CYBR","2014-10-01","31.5","32.19","29.5","29.62","3587400"
"CYBR","2014-10-02","30.37","30.75","27.3","28.69","2457300"
"CYBR","2014-10-03","30.49","31.48","29.52","30.38","3649800"
"CYBR","2014-10-06","31.37","31.8","29.6","29.92","1425700"
"CYBR","2014-10-07","30.12","30.48","28.5","29.35","1190300"
"CYBR","2014-10-08","29.59","29.9","28.11","29.38","904200"
"CYBR","2014-10-09","29.24","29.65","27.85","28.2","1046800"
"CYBR","2014-10-10","29.58","31.49","28.52","29.84","2734700"
"CYBR","2014-10-13","30.58","32.5","30.28","31.25","2659900"
"CYBR","2014-10-14","32.81","33.15","29.45","29.6","1911800"
"CYBR","2014-10-15","28.76","29.24","26.66","28.76","1860300"
"CYBR","2014-10-16","27.6","30.4","27.6","29.45","936500"
"CYBR","2014-10-17","30.76","30.95","28.85","30.29","818300"
"CYBR","2014-10-20","30.0","30.75","29.4","29.88","866600"
"CYBR","2014-10-21","30.4","30.85","29.4","29.48","1140700"
"CYBR","2014-10-22","29.55","29.88","28.13","28.6","754700"
"CYBR","2014-10-23","28.73","29.5","28.35","29.21","534000"
"CYBR","2014-10-24","28.86","31.19","28.67","30.24","1212300"
"CYBR","2014-10-27","30.26","35.17","29.4","35.08","3929100"
"CYBR","2014-10-28","34.4","36.48","32.01","32.32","3738000"
"CYBR","2014-10-29","33.5","34.96","31.5","34.91","2378500"
"CYBR","2014-10-30","34.55","37.2","34.05","34.71","2646800"
"CYBR","2014-10-31","36.04","36.15","34.7","35.28","953400"
"CYBR","2014-11-03","35.54","37.5","35.03","36.58","1408700"
"CYBR","2014-11-04","36.8","37.2","35.28","36.53","858900"
"CYBR","2014-11-05","36.04","36.38","33.33","33.8","1580900"
"CYBR","2014-11-06","34.0","34.32","32.85","33.03","665200"
"CYBR","2014-11-07","33.36","33.5","31.69","32.71","741100"
"CYBR","2014-11-10","32.8","35.39","32.8","34.88","1208800"
"CYBR","2014-11-11","35.05","35.24","33.53","33.89","736200"
"CYBR","2014-11-12","33.6","34.68","33.0","33.7","2499700"
"CYBR","2014-11-13","38.4","43.3","38.38","42.92","11580500"
"CYBR","2014-11-14","42.2","44.89","40.01","44.37","5298400"
"CYBR","2014-11-17","43.91","45.68","43.0","43.45","2614100"
"CYBR","2014-11-18","43.61","44.46","41.56","42.67","1507900"
"CYBR","2014-11-19","43.31","43.6","41.76","42.41","782900"
"CYBR","2014-11-20","42.08","44.35","41.98","42.64","1067400"
"CYBR","2014-11-21","43.52","44.32","42.53","42.81","692800"
"CYBR","2014-11-24","42.98","47.01","42.92","47.01","2393100"
"CYBR","2014-11-25","44.93","46.17","42.47","42.59","3305700"
"CYBR","2014-11-26","42.97","44.19","41.7","43.16","1318400"
"CYBR","2014-11-28","42.68","43.8","41.08","41.32","610400"
"CYBR","2014-12-01","41.0","41.94","38.96","39.04","1167100"
"CYBR","2014-12-02","40.03","41.5","39.54","40.75","926000"
