"symbol","date","open","high","low","close","volume"
"CYNO","2005-12-09","16.99","21.15","16.54","18.93","4415300"
"CYNO","2005-12-12","19.3","19.5","18.61","19.1","542300"
"CYNO","2005-12-13","22.0","22.35","20.62","22.35","4670000"
"CYNO","2005-12-14","22.45","22.6","21.36","22.07","907300"
"CYNO","2005-12-15","22.28","22.4","21.0","21.0","557600"
"CYNO","2005-12-16","21.5","21.79","21.0","21.24","300400"
"CYNO","2005-12-19","21.55","21.6","20.25","20.69","376000"
"CYNO","2005-12-20","20.12","21.18","19.99","20.46","217500"
"CYNO","2005-12-21","20.25","20.9","20.0","20.71","307700"
"CYNO","2005-12-22","20.7","21.0","20.5","20.85","129400"
"CYNO","2005-12-23","20.75","21.49","20.5","20.69","197000"
"CYNO","2005-12-27","20.5","21.21","20.5","20.94","91100"
"CYNO","2005-12-28","21.49","21.63","20.53","21.33","261600"
"CYNO","2005-12-29","21.5","22.79","21.5","21.64","409500"
"CYNO","2005-12-30","21.88","21.88","20.65","20.86","379900"
"CYNO","2006-01-03","21.3","21.42","19.5","19.68","547600"
"CYNO","2006-01-04","20.25","20.25","19.7","20.0","239100"
"CYNO","2006-01-05","20.07","20.15","19.05","19.4","450100"
"CYNO","2006-01-06","19.31","19.85","19.25","19.41","365500"
"CYNO","2006-01-09","19.0","19.12","18.26","18.59","560200"
"CYNO","2006-01-10","18.26","18.59","16.94","17.8","589900"
"CYNO","2006-01-11","17.7","18.5","17.31","18.36","387500"
"CYNO","2006-01-12","18.75","19.19","18.4","18.63","289200"
"CYNO","2006-01-13","18.62","18.8","18.0","18.69","400800"
"CYNO","2006-01-17","18.49","18.52","18.0","18.49","148500"
"CYNO","2006-01-18","18.72","18.95","18.15","18.15","266100"
"CYNO","2006-01-19","18.39","18.7","18.15","18.21","180600"
"CYNO","2006-01-20","18.32","18.48","18.07","18.07","120900"
"CYNO","2006-01-23","18.06","18.39","17.26","17.53","152000"
"CYNO","2006-01-24","17.54","17.85","17.4","17.62","145500"
"CYNO","2006-01-25","17.62","18.83","17.62","18.82","285900"
"CYNO","2006-01-26","18.89","19.75","18.56","19.63","213900"
"CYNO","2006-01-27","19.45","20.25","19.4","20.06","252800"
"CYNO","2006-01-30","20.14","20.51","20.0","20.31","148100"
"CYNO","2006-01-31","20.26","20.7","20.02","20.45","212900"
"CYNO","2006-02-01","20.3","21.75","20.3","21.51","427800"
"CYNO","2006-02-02","21.35","22.49","21.35","22.1","773200"
"CYNO","2006-02-03","22.19","22.2","21.51","21.99","152600"
"CYNO","2006-02-06","21.77","21.86","21.53","21.73","226400"
"CYNO","2006-02-07","21.7","21.7","21.1","21.41","405900"
"CYNO","2006-02-08","21.85","21.85","21.37","21.72","203100"
"CYNO","2006-02-09","21.92","22.0","21.46","21.77","96000"
"CYNO","2006-02-10","21.62","21.9","21.25","21.7","82500"
"CYNO","2006-02-13","21.5","21.9","21.2","21.77","216500"
"CYNO","2006-02-14","22.29","22.29","18.81","19.99","644100"
"CYNO","2006-02-15","19.95","20.0","19.35","19.93","263700"
"CYNO","2006-02-16","19.45","20.33","19.45","19.7","221600"
