"symbol","date","open","high","low","close","volume"
"HCACU","2014-01-17","10.0","10.03","10.0","10.02","923200"
"HCACU","2014-01-21","10.03","10.05","10.0","10.01","417700"
"HCACU","2014-01-22","10.01","10.05","10.01","10.01","3100"
"HCACU","2014-01-23","10.04","10.09","10.02","10.02","173000"
"HCACU","2014-01-24","10.05","10.05","10.02","10.02","34100"
"HCACU","2014-01-27","10.01","10.04","9.97","10.01","50700"
"HCACU","2014-01-28","10.02","10.02","10.02","10.02","1100"
"HCACU","2014-01-29","10.05","10.05","10.01","10.02","58600"
"HCACU","2014-01-30","10.05","10.11","10.04","10.05","154900"
"HCACU","2014-01-31","10.06","10.06","10.01","10.03","144000"
"HCACU","2014-02-03","10.06","10.06","10.02","10.04","15500"
"HCACU","2014-02-04","10.0","10.0","10.0","10.0","18200"
"HCACU","2014-02-05","10.0","10.0","10.0","10.0","100"
"HCACU","2014-02-06","10.06","10.06","10.06","10.06","500"
"HCACU","2014-02-07","10.03","10.05","10.0","10.05","7600"
"HCACU","2014-02-10","10.05","10.05","10.03","10.05","16300"
"HCACU","2014-02-11","10.05","10.05","10.05","10.05","0"
"HCACU","2014-02-12","10.05","10.05","10.05","10.05","0"
"HCACU","2014-02-13","10.05","10.06","10.05","10.06","1300"
"HCACU","2014-02-14","10.06","10.06","10.06","10.06","0"
"HCACU","2014-02-18","10.05","10.06","10.05","10.06","11200"
"HCACU","2014-02-19","10.01","10.06","10.01","10.06","50100"
"HCACU","2014-02-20","10.03","10.03","10.03","10.03","1300"
"HCACU","2014-02-21","10.03","10.03","10.03","10.03","0"
"HCACU","2014-02-24","10.05","10.05","10.05","10.05","100"
"HCACU","2014-02-25","10.05","10.05","10.05","10.05","0"
"HCACU","2014-02-26","10.05","10.06","10.05","10.06","300"
"HCACU","2014-02-27","10.06","10.06","10.06","10.06","0"
"HCACU","2014-02-28","10.06","10.06","10.06","10.06","0"
"HCACU","2014-03-03","10.06","10.06","10.06","10.06","0"
"HCACU","2014-03-04","10.06","10.06","10.04","10.04","2000"
"HCACU","2014-03-05","10.04","10.04","10.04","10.04","0"
"HCACU","2014-03-06","10.04","10.07","10.04","10.05","2200"
"HCACU","2014-03-07","10.07","10.07","10.05","10.05","200"
"HCACU","2014-03-10","10.05","10.05","10.05","10.05","0"
"HCACU","2014-03-11","10.05","10.05","10.05","10.05","0"
"HCACU","2014-03-12","10.03","10.03","10.03","10.03","600"
"HCACU","2014-03-13","10.04","10.06","10.0","10.01","7100"
"HCACU","2014-03-14","10.01","10.01","10.01","10.01","0"
"HCACU","2014-03-17","10.07","10.07","10.03","10.06","6900"
"HCACU","2014-03-18","10.02","10.06","10.02","10.05","17900"
"HCACU","2014-03-19","10.03","10.05","10.03","10.05","9300"
"HCACU","2014-03-20","10.06","10.07","10.03","10.06","12200"
"HCACU","2014-03-21","10.06","10.06","10.06","10.06","0"
"HCACU","2014-03-24","10.04","10.05","10.04","10.05","800"
"HCACU","2014-03-25","10.07","10.07","10.01","10.06","43900"
"HCACU","2014-03-26","10.04","10.04","10.04","10.04","300"
"HCACU","2014-03-27","10.06","10.07","10.03","10.07","4500"
"HCACU","2014-03-28","10.07","10.07","10.07","10.07","300"
"HCACU","2014-03-31","10.06","10.06","10.06","10.06","100"
"HCACU","2014-04-01","10.03","10.03","10.03","10.03","5800"
"HCACU","2014-04-02","10.05","10.06","10.01","10.06","306000"
"HCACU","2014-04-03","10.06","10.06","10.06","10.06","0"
"HCACU","2014-04-04","10.02","10.02","10.02","10.02","100"
"HCACU","2014-04-07","10.07","10.07","10.03","10.03","3500"
"HCACU","2014-04-08","10.03","10.07","10.03","10.07","1100"
"HCACU","2014-04-09","10.07","10.07","10.07","10.07","1200"
"HCACU","2014-04-10","10.07","10.07","10.07","10.07","0"
"HCACU","2014-04-11","10.07","10.07","10.07","10.07","0"
"HCACU","2014-04-14","10.07","10.07","10.04","10.04","1400"
"HCACU","2014-04-15","10.04","10.04","10.04","10.04","0"
"HCACU","2014-04-16","10.04","10.04","10.04","10.04","0"
"HCACU","2014-04-17","10.07","10.07","10.03","10.04","700"
"HCACU","2014-04-21","10.04","10.04","10.04","10.04","0"
"HCACU","2014-04-22","10.11","10.12","10.05","10.08","5200"
"HCACU","2014-04-23","10.08","10.08","10.08","10.08","0"
"HCACU","2014-04-24","10.08","10.08","10.08","10.08","0"
"HCACU","2014-04-25","10.08","10.08","10.04","10.05","600"
"HCACU","2014-04-28","10.08","10.08","10.04","10.05","2400"
"HCACU","2014-04-29","10.05","10.08","10.04","10.08","1700"
"HCACU","2014-04-30","10.08","10.08","10.08","10.08","200"
"HCACU","2014-05-01","10.07","10.07","10.07","10.07","100"
"HCACU","2014-05-02","10.02","10.02","10.02","10.02","100"
"HCACU","2014-05-05","10.07","10.07","10.07","10.07","600"
"HCACU","2014-05-06","10.04","10.05","10.01","10.01","1000"
"HCACU","2014-05-07","10.05","10.08","10.05","10.08","2300"
"HCACU","2014-05-08","10.08","10.08","10.08","10.08","0"
"HCACU","2014-05-09","10.08","10.08","10.08","10.08","0"
"HCACU","2014-05-12","10.08","10.08","10.08","10.08","0"
"HCACU","2014-05-13","10.03","10.07","10.02","10.02","3000"
"HCACU","2014-05-14","10.02","10.02","10.02","10.02","100"
"HCACU","2014-05-15","10.02","10.02","10.02","10.02","0"
"HCACU","2014-05-16","10.02","10.02","10.02","10.02","0"
"HCACU","2014-05-19","10.04","10.07","10.04","10.06","2300"
"HCACU","2014-05-20","10.06","10.06","10.06","10.06","0"
"HCACU","2014-05-21","10.03","10.03","10.03","10.03","100"
"HCACU","2014-05-22","10.03","10.03","10.03","10.03","0"
"HCACU","2014-05-23","10.03","10.03","10.03","10.03","0"
"HCACU","2014-05-27","10.05","10.08","10.05","10.07","18300"
"HCACU","2014-05-28","10.05","10.06","10.04","10.05","400"
"HCACU","2014-05-29","10.16","10.16","10.07","10.07","400"
"HCACU","2014-05-30","10.1","10.1","10.04","10.04","400"
"HCACU","2014-06-02","10.04","10.04","10.04","10.04","0"
"HCACU","2014-06-03","10.04","10.04","10.04","10.04","0"
"HCACU","2014-06-04","10.09","10.5","10.07","10.17","8700"
"HCACU","2014-06-05","10.17","10.17","10.17","10.17","0"
"HCACU","2014-06-06","10.1","10.1","10.1","10.1","100"
"HCACU","2014-06-09","10.1","10.1","10.1","10.1","0"
"HCACU","2014-06-10","10.09","10.09","10.05","10.05","300"
"HCACU","2014-06-11","10.09","10.1","10.09","10.1","400"
"HCACU","2014-06-12","10.1","10.1","10.1","10.1","0"
"HCACU","2014-06-13","10.1","10.1","10.1","10.1","100"
"HCACU","2014-06-16","10.1","10.1","10.1","10.1","0"
"HCACU","2014-06-17","10.1","10.1","10.1","10.1","0"
"HCACU","2014-06-18","10.1","10.1","10.1","10.1","0"
"HCACU","2014-06-19","10.12","10.12","10.12","10.12","9000"
"HCACU","2014-06-20","10.12","10.12","10.12","10.12","0"
"HCACU","2014-06-23","10.12","10.12","10.12","10.12","0"
"HCACU","2014-06-24","10.12","10.12","10.12","10.12","0"
"HCACU","2014-06-25","10.12","10.12","10.12","10.12","0"
"HCACU","2014-06-26","10.08","10.08","10.08","10.08","200"
"HCACU","2014-06-27","10.08","10.08","10.08","10.08","0"
"HCACU","2014-06-30","10.08","10.08","10.08","10.08","0"
"HCACU","2014-07-01","10.08","10.08","10.08","10.08","0"
"HCACU","2014-07-02","10.08","10.08","10.08","10.08","0"
"HCACU","2014-07-03","10.0","10.15","10.0","10.15","900"
"HCACU","2014-07-07","10.15","10.15","10.15","10.15","0"
"HCACU","2014-07-08","10.15","10.15","10.15","10.15","0"
"HCACU","2014-07-09","10.15","10.15","10.15","10.15","0"
"HCACU","2014-07-10","10.09","10.09","10.09","10.09","200"
"HCACU","2014-07-11","10.09","10.09","10.09","10.09","0"
"HCACU","2014-07-14","10.15","10.15","10.1","10.12","3600"
"HCACU","2014-07-15","10.1","10.14","10.05","10.09","50900"
"HCACU","2014-07-16","10.06","10.13","10.06","10.11","13300"
"HCACU","2014-07-17","10.14","10.14","10.06","10.1","1000"
"HCACU","2014-07-18","10.05","10.12","10.05","10.12","25100"
"HCACU","2014-07-21","10.04","10.15","10.04","10.12","47600"
"HCACU","2014-07-22","10.05","10.13","10.05","10.09","3100"
"HCACU","2014-07-23","10.04","10.13","10.04","10.1","75300"
"HCACU","2014-07-24","10.05","10.15","10.05","10.09","28000"
"HCACU","2014-07-25","10.12","10.12","10.06","10.1","31600"
"HCACU","2014-07-28","10.12","10.15","10.06","10.1","18800"
"HCACU","2014-07-29","10.08","10.12","10.02","10.1","11900"
"HCACU","2014-07-30","10.12","10.12","10.02","10.02","3400"
"HCACU","2014-07-31","10.12","10.15","10.01","10.01","13400"
"HCACU","2014-08-01","10.01","10.01","10.01","10.01","0"
"HCACU","2014-08-04","10.02","10.02","10.02","10.02","100"
"HCACU","2014-08-05","10.02","10.08","10.02","10.08","300"
"HCACU","2014-08-06","10.03","10.07","10.02","10.02","3900"
"HCACU","2014-08-07","10.03","10.1","10.03","10.08","8100"
"HCACU","2014-08-08","10.04","10.06","10.01","10.01","4100"
"HCACU","2014-08-11","10.04","10.12","10.03","10.12","6200"
"HCACU","2014-08-12","10.04","10.06","10.03","10.05","2400"
"HCACU","2014-08-13","10.03","10.11","10.0","10.04","24600"
"HCACU","2014-08-14","10.04","10.1","10.02","10.04","14500"
"HCACU","2014-08-15","10.04","10.07","10.01","10.01","2900"
"HCACU","2014-08-18","10.04","10.12","10.04","10.12","14200"
"HCACU","2014-08-19","10.04","10.08","10.02","10.02","5900"
"HCACU","2014-08-20","9.96","10.44","9.96","10.05","22000"
"HCACU","2014-08-21","10.02","10.3","10.02","10.22","21200"
"HCACU","2014-08-22","10.0","10.19","10.0","10.09","17600"
"HCACU","2014-08-25","10.12","10.12","10.04","10.06","9500"
"HCACU","2014-08-26","10.06","10.06","10.06","10.06","0"
"HCACU","2014-08-27","10.05","10.09","10.03","10.06","3900"
"HCACU","2014-08-28","10.06","10.06","10.06","10.06","0"
"HCACU","2014-08-29","10.12","10.12","10.04","10.12","3600"
"HCACU","2014-09-02","10.09","10.1","10.07","10.09","9800"
"HCACU","2014-09-03","10.06","10.12","10.03","10.06","3800"
"HCACU","2014-09-04","10.1","10.1","10.08","10.08","900"
"HCACU","2014-09-05","10.08","10.08","10.08","10.08","0"
"HCACU","2014-09-08","10.12","10.12","10.12","10.12","500"
"HCACU","2014-09-09","10.12","10.12","10.12","10.12","0"
"HCACU","2014-09-10","10.05","10.1","10.05","10.08","2200"
"HCACU","2014-09-11","10.08","10.08","10.08","10.08","0"
"HCACU","2014-09-12","10.03","10.11","10.03","10.09","8800"
"HCACU","2014-09-15","10.1","10.1","10.02","10.05","11300"
"HCACU","2014-09-16","10.06","10.12","10.04","10.06","29700"
"HCACU","2014-09-17","10.12","10.12","10.05","10.07","16200"
"HCACU","2014-09-18","10.06","10.06","10.06","10.06","500"
"HCACU","2014-09-19","10.05","10.1","10.05","10.1","2400"
"HCACU","2014-09-22","10.1","11.0","10.1","10.5","5400"
"HCACU","2014-09-23","10.5","10.5","10.5","10.5","0"
"HCACU","2014-09-24","10.5","10.5","10.5","10.5","0"
"HCACU","2014-09-25","10.5","10.5","10.5","10.5","0"
"HCACU","2014-09-26","10.5","10.5","10.5","10.5","0"
"HCACU","2014-09-29","10.49","10.49","10.49","10.49","100"
"HCACU","2014-09-30","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-01","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-02","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-03","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-06","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-07","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-08","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-09","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-10","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-13","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-14","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-15","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-16","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-17","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-20","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-21","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-22","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-23","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-24","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-27","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-28","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-29","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-30","10.49","10.49","10.49","10.49","0"
"HCACU","2014-10-31","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-03","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-04","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-05","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-06","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-07","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-10","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-11","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-12","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-13","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-14","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-17","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-18","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-19","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-20","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-21","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-24","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-25","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-26","10.49","10.49","10.49","10.49","0"
"HCACU","2014-11-28","10.49","10.49","10.49","10.49","0"
"HCACU","2014-12-08","10.36","10.36","10.36","10.36","1"
"HCACU","2014-12-09","10.35","10.35","10.35","10.35","1500"
"HCACU","2014-12-10","10.29","10.3","10.29","10.3","201"
"HCACU","2014-12-11","10.31","10.34","10.25","10.27","1440"
"HCACU","2014-12-12","10.32","10.32","10.31","10.31","200"
"HCACU","2014-12-17","10.36","10.36","10.34","10.34","400"
"HCACU","2014-12-18","10.39","10.39","10.3","10.3","302"
"HCACU","2014-12-19","10.3","10.3","10.3","10.3","50000"
"HCACU","2014-12-22","10.3","10.3","10.3","10.3","58606"
"HCACU","2014-12-23","10.43","10.43","10.43","10.43","7"
"HCACU","2014-12-26","10.29","10.29","10.29","10.29","1"
"HCACU","2014-12-29","10.27","10.27","10.27","10.27","13"
"HCACU","2015-01-02","10.28","10.4","10.25","10.32","4200"
"HCACU","2015-01-05","10.3","10.3","10.3","10.3","100"
"HCACU","2015-01-06","10.27","10.45","10.27","10.45","7703"
"HCACU","2015-01-07","10.35","10.45","10.3","10.42","5003"
"HCACU","2015-01-08","10.5","10.5","10.5","10.5","1075"
"HCACU","2015-01-09","10.73","10.73","10.73","10.73","1005"
"HCACU","2015-01-12","10.39","10.43","10.39","10.43","200"
"HCACU","2015-01-14","13.07","13.07","10.36","11.0","944"
"HCACU","2015-01-15","11.02","11.02","10.54","10.55","400"
"HCACU","2015-01-16","10.29","10.48","10.29","10.48","1600"
"HCACU","2015-01-20","10.44","10.75","10.37","10.65","900"
"HCACU","2015-01-21","10.39","10.41","10.39","10.41","588"
"HCACU","2015-01-22","10.6","10.65","10.47","10.65","1100"
"HCACU","2015-01-26","10.63","10.85","10.6","10.85","802"
"HCACU","2015-02-02","10.25","10.25","10.2","10.24","300"
"HCACU","2015-02-05","10.2","10.2","10.2","10.2","100"
"HCACU","2015-02-10","10.2","10.2","10.2","10.2","41"
"HCACU","2015-02-11","10.28","10.29","10.28","10.29","600"
"HCACU","2015-02-13","10.34","10.34","10.34","10.34","47"
"HCACU","2015-02-18","10.58","11.64","10.58","11.64","500"
"HCACU","2015-02-24","10.29","10.29","10.29","10.29","340"
"HCACU","2015-07-23","10.0","10.05","9.95","10.0","1572537"
"HCACU","2015-07-24","10.0","10.05","9.9","10.0","262597"
"HCACU","2015-07-27","10.0","10.0","9.98","9.98","43185"
"HCACU","2015-07-28","10.0","10.0","9.99","9.99","21448"
"HCACU","2015-07-29","9.99","10.0","9.98","9.98","49624"
"HCACU","2015-07-30","9.98","10.01","9.98","10.01","38479"
"HCACU","2015-07-31","9.99","9.99","9.98","9.98","3010"
"HCACU","2015-08-03","9.99","9.99","9.98","9.98","12320"
"HCACU","2015-08-04","9.95","9.99","9.95","9.98","3410"
"HCACU","2015-08-05","9.97","9.99","9.97","9.98","2270"
"HCACU","2015-08-06","9.99","10.0","9.97","10.0","9590"
"HCACU","2015-08-07","9.97","10.0","9.97","10.0","45927"
"HCACU","2015-08-10","10.0","10.0","10.0","10.0","2900"
"HCACU","2015-08-11","9.98","9.99","9.98","9.99","112495"
