"symbol","date","open","high","low","close","volume"
"HCN","1992-03-17","20.75","20.88","20.62","3.6","2600"
"HCN","1992-03-18","20.5","20.5","20.38","3.54","15200"
"HCN","1992-03-19","20.25","20.25","19.5","3.41","17600"
"HCN","1992-03-20","19.62","20.25","18.62","3.49","69000"
"HCN","1992-03-23","20.25","20.38","19.5","3.38","4700"
"HCN","1992-03-24","19.62","20.12","19.62","3.41","8900"
"HCN","1992-03-25","19.88","20.12","19.75","3.43","4400"
"HCN","1992-03-26","19.88","20.25","19.88","3.47","9400"
"HCN","1992-03-27","20.0","20.0","19.62","3.43","3200"
"HCN","1992-03-30","19.88","20.38","19.75","3.51","6000"
"HCN","1992-03-31","20.12","20.12","19.88","3.45","3500"
"HCN","1992-04-01","20.0","20.12","20.0","3.45","14000"
"HCN","1992-04-02","20.25","20.25","20.0","3.49","2000"
"HCN","1992-04-03","20.25","20.25","20.0","3.45","6200"
"HCN","1992-04-06","19.75","19.88","19.62","3.41","10100"
"HCN","1992-04-07","19.88","20.0","19.75","3.41","20600"
"HCN","1992-04-08","19.75","20.0","19.75","3.45","2000"
"HCN","1992-04-09","19.88","20.0","19.88","3.45","13000"
"HCN","1992-04-10","20.0","20.12","19.75","3.41","14000"
"HCN","1992-04-13","19.88","19.88","19.62","3.41","8000"
"HCN","1992-04-14","19.75","20.0","19.75","3.41","9300"
"HCN","1992-04-15","19.75","20.0","19.75","3.41","6500"
"HCN","1992-04-16","19.75","20.0","19.62","3.38","11500"
"HCN","1992-04-20","19.38","19.62","19.12","3.34","13200"
"HCN","1992-04-21","19.38","19.38","18.75","3.26","16500"
"HCN","1992-04-22","18.62","19.38","18.62","3.3","32000"
"HCN","1992-04-23","19.38","19.5","18.88","3.32","36300"
"HCN","1992-04-24","19.5","19.5","19.12","3.32","15700"
"HCN","1992-04-27","19.12","19.62","19.12","3.38","11300"
"HCN","1992-04-28","19.62","20.0","19.5","3.45","12600"
"HCN","1992-04-29","19.62","20.0","19.62","3.51","10300"
"HCN","1992-04-30","19.75","20.0","19.62","3.49","12600"
"HCN","1992-05-01","19.88","19.88","19.38","3.46","7600"
"HCN","1992-05-04","19.5","19.62","19.12","3.4","9300"
"HCN","1992-05-05","19.38","19.5","19.25","3.42","2300"
"HCN","1992-05-06","19.38","19.5","19.38","3.44","6600"
"HCN","1992-05-07","19.62","19.75","19.38","3.46","2800"
"HCN","1992-05-08","19.38","19.5","19.0","3.35","11800"
"HCN","1992-05-11","19.62","19.62","19.38","3.42","9300"
"HCN","1992-05-12","19.62","19.75","19.5","3.49","5300"
"HCN","1992-05-13","19.75","20.12","19.62","3.55","12800"
"HCN","1992-05-14","20.12","20.12","19.75","3.53","4300"
"HCN","1992-05-15","19.88","20.0","19.75","3.53","4600"
"HCN","1992-05-18","20.0","20.12","19.88","3.51","12900"
"HCN","1992-05-19","20.0","20.0","19.62","3.49","10200"
"HCN","1992-05-20","19.75","19.88","19.5","3.46","7400"
"HCN","1992-05-21","19.75","19.75","19.5","3.46","18100"
"HCN","1992-05-22","19.75","19.88","19.62","3.49","8100"
"HCN","1992-05-26","19.75","19.88","19.62","3.49","4500"
"HCN","1992-05-27","19.75","19.75","19.25","3.44","18400"
"HCN","1992-05-28","19.38","19.5","19.38","3.44","9000"
"HCN","1992-05-29","19.38","19.75","19.38","3.49","7800"
"HCN","1992-06-01","19.75","19.75","19.5","3.49","4000"
"HCN","1992-06-02","19.75","19.88","19.62","3.51","6900"
"HCN","1992-06-03","19.75","19.88","19.62","3.51","8500"
"HCN","1992-06-04","19.88","19.88","19.62","3.51","5000"
"HCN","1992-06-05","19.62","20.0","19.62","3.53","6800"
"HCN","1992-06-08","19.75","20.0","19.75","3.51","4500"
"HCN","1992-06-09","19.75","20.0","19.75","3.51","4600"
"HCN","1992-06-10","19.88","19.88","19.75","3.51","6900"
"HCN","1992-06-11","19.75","20.0","19.75","3.53","9200"
"HCN","1992-06-12","19.88","20.0","19.88","3.53","6900"
"HCN","1992-06-15","20.0","20.12","19.88","3.55","4000"
"HCN","1992-06-16","20.0","20.12","20.0","3.53","6200"
"HCN","1992-06-17","20.12","20.25","20.0","3.53","16500"
"HCN","1992-06-18","20.0","20.12","20.0","3.53","13300"
"HCN","1992-06-19","20.25","20.25","20.0","3.55","5100"
"HCN","1992-06-22","20.0","20.0","19.88","3.53","11200"
"HCN","1992-06-23","19.88","20.0","19.75","3.49","10800"
"HCN","1992-06-24","19.62","19.75","19.5","3.44","15300"
"HCN","1992-06-25","19.62","19.75","19.38","3.44","6400"
"HCN","1992-06-26","19.38","19.62","19.38","3.42","11600"
"HCN","1992-06-29","19.62","19.88","19.12","3.42","22800"
"HCN","1992-06-30","19.5","19.62","18.88","3.4","18600"
"HCN","1992-07-01","19.38","19.88","19.25","3.51","5200"
"HCN","1992-07-02","19.88","19.88","19.62","3.51","4500"
"HCN","1992-07-06","19.75","20.0","19.62","3.53","4600"
"HCN","1992-07-07","20.0","21.0","20.0","3.66","15300"
"HCN","1992-07-08","20.62","20.75","20.5","3.66","20300"
