"symbol","date","open","high","low","close","volume"
"HES","1983-04-06","23.75","23.75","23.25","5.07","563100"
"HES","1983-04-07","23.62","24.0","23.25","5.15","654000"
"HES","1983-04-08","24.5","24.88","24.0","5.34","1287900"
"HES","1983-04-11","25.0","25.63","24.88","5.44","1340100"
"HES","1983-04-12","25.37","25.37","25.0","5.44","903900"
"HES","1983-04-13","25.25","25.25","24.5","5.36","449400"
"HES","1983-04-14","25.0","25.75","25.0","5.55","2201400"
"HES","1983-04-15","25.88","25.88","25.5","5.55","618600"
"HES","1983-04-18","25.75","25.88","25.12","5.55","1045800"
"HES","1983-04-19","25.37","25.75","25.0","5.42","569100"
"HES","1983-04-20","24.88","25.5","24.88","5.42","731400"
"HES","1983-04-21","25.25","25.25","24.38","5.28","667500"
"HES","1983-04-22","24.5","24.62","24.13","5.23","364800"
"HES","1983-04-25","24.75","25.0","24.5","5.39","513300"
"HES","1983-04-26","25.63","26.5","24.75","5.63","1484100"
"HES","1983-04-27","26.38","26.87","25.88","5.63","1817700"
"HES","1983-04-28","26.38","26.62","26.12","5.69","920100"
"HES","1983-04-29","27.0","27.5","26.38","5.85","2624100"
"HES","1983-05-02","26.87","27.13","26.5","5.71","915300"
"HES","1983-05-03","26.38","26.75","26.12","5.74","1007100"
"HES","1983-05-04","27.13","27.5","26.75","5.79","971100"
"HES","1983-05-05","25.75","26.87","24.5","5.39","834900"
"HES","1983-05-06","25.5","26.75","25.5","5.66","702600"
"HES","1983-05-09","25.88","26.12","25.5","5.58","754500"
"HES","1983-05-10","25.75","26.5","25.75","5.66","415800"
"HES","1983-05-11","26.25","27.0","26.25","5.74","614100"
"HES","1983-05-12","26.62","26.87","26.25","5.71","914700"
"HES","1983-05-13","26.5","27.0","26.5","5.74","993600"
"HES","1983-05-16","26.62","27.13","26.25","5.82","538500"
"HES","1983-05-17","27.25","27.5","26.87","5.88","753000"
"HES","1983-05-18","27.5","27.5","26.5","5.82","972000"
"HES","1983-05-19","27.0","27.13","26.38","5.71","540900"
"HES","1983-05-20","26.5","26.87","26.25","5.74","485700"
"HES","1983-05-23","26.75","27.75","26.12","5.98","726000"
"HES","1983-05-24","27.88","27.88","26.75","5.93","670500"
"HES","1983-05-25","27.5","27.62","27.0","5.96","545700"
