"symbol","date","open","high","low","close","volume"
"HIIQ","2013-02-08","14.12","14.38","13.02","13.7","3394100"
"HIIQ","2013-02-11","13.5","13.88","12.95","13.3","287600"
"HIIQ","2013-02-12","13.0","13.34","12.4","12.51","243200"
"HIIQ","2013-02-13","12.25","13.3","12.25","13.0","131800"
"HIIQ","2013-02-14","12.85","13.51","12.81","13.4","74500"
"HIIQ","2013-02-15","13.21","13.4","12.94","13.02","143100"
"HIIQ","2013-02-19","12.87","13.27","12.6","12.91","110400"
"HIIQ","2013-02-20","12.76","13.01","12.6","12.75","60000"
"HIIQ","2013-02-21","12.5","12.81","12.5","12.56","29900"
"HIIQ","2013-02-22","12.75","13.31","12.26","12.53","55100"
"HIIQ","2013-02-25","13.18","13.18","12.37","12.58","81600"
"HIIQ","2013-02-26","12.51","12.55","12.27","12.41","51800"
"HIIQ","2013-02-27","12.46","12.69","12.0","12.32","48200"
"HIIQ","2013-02-28","12.27","12.63","12.25","12.49","17000"
"HIIQ","2013-03-01","12.98","12.98","12.45","12.5","18400"
"HIIQ","2013-03-04","12.89","13.89","12.56","13.62","542100"
"HIIQ","2013-03-05","14.22","14.69","14.0","14.31","414500"
"HIIQ","2013-03-06","14.3","14.7","13.72","14.06","132400"
"HIIQ","2013-03-07","14.02","14.46","13.68","13.92","97000"
"HIIQ","2013-03-08","13.68","14.09","13.68","13.97","64600"
"HIIQ","2013-03-11","14.15","14.15","13.75","14.05","25200"
"HIIQ","2013-03-12","14.18","14.18","13.75","13.84","54000"
"HIIQ","2013-03-13","13.83","14.0","13.51","13.62","27700"
"HIIQ","2013-03-14","13.62","14.2","12.62","13.7","350100"
"HIIQ","2013-03-15","13.67","14.01","13.25","13.6","126900"
"HIIQ","2013-03-18","12.95","13.73","12.95","13.59","64600"
"HIIQ","2013-03-19","13.4","13.75","13.4","13.54","68400"
"HIIQ","2013-03-20","13.69","13.95","13.23","13.72","84400"
"HIIQ","2013-03-21","13.98","13.98","13.59","13.8","27900"
"HIIQ","2013-03-22","13.75","14.45","13.75","14.42","51600"
"HIIQ","2013-03-25","14.45","15.24","14.13","15.15","127200"
"HIIQ","2013-03-26","15.15","15.8","15.15","15.55","172600"
"HIIQ","2013-03-27","15.48","15.86","15.16","15.16","54100"
"HIIQ","2013-03-28","15.09","15.71","14.7","15.09","588900"
"HIIQ","2013-04-01","15.02","15.43","14.71","14.96","66600"
"HIIQ","2013-04-02","15.01","15.01","14.14","14.65","109800"
"HIIQ","2013-04-03","14.72","14.72","14.23","14.64","22000"
"HIIQ","2013-04-04","14.7","15.0","14.23","14.71","45000"
"HIIQ","2013-04-05","14.63","14.88","14.2","14.79","82900"
"HIIQ","2013-04-08","14.82","15.45","14.61","15.28","63200"
"HIIQ","2013-04-09","14.82","15.16","14.82","14.92","70500"
"HIIQ","2013-04-10","14.82","15.27","14.6","14.91","79100"
"HIIQ","2013-04-11","15.06","15.06","14.72","14.93","30700"
"HIIQ","2013-04-12","14.86","14.9","14.13","14.72","48600"
"HIIQ","2013-04-15","14.72","15.0","14.37","14.5","57700"
"HIIQ","2013-04-16","14.59","14.96","14.57","14.91","14600"
"HIIQ","2013-04-17","14.84","14.84","13.94","14.11","35000"
"HIIQ","2013-04-18","14.22","14.6","14.06","14.42","21200"
"HIIQ","2013-04-19","14.43","14.51","14.05","14.38","11600"
"HIIQ","2013-04-22","14.14","14.58","13.86","14.39","27600"
"HIIQ","2013-04-23","14.45","14.5","13.95","14.44","42100"
"HIIQ","2013-04-24","14.41","14.9","14.25","14.75","57000"
"HIIQ","2013-04-25","14.77","15.25","14.77","14.88","59700"
"HIIQ","2013-04-26","14.79","15.07","14.5","14.57","17700"
"HIIQ","2013-04-29","14.58","15.0","14.5","14.99","27500"
"HIIQ","2013-04-30","14.91","15.18","14.87","15.0","20200"
"HIIQ","2013-05-01","14.89","15.0","14.43","14.44","35100"
"HIIQ","2013-05-02","14.58","15.0","14.27","14.89","40200"
"HIIQ","2013-05-03","15.0","15.0","14.67","14.99","13800"
"HIIQ","2013-05-06","15.03","15.03","14.74","14.96","17400"
"HIIQ","2013-05-07","14.48","14.98","14.42","14.88","16900"
"HIIQ","2013-05-08","14.85","15.49","14.53","15.05","20000"
"HIIQ","2013-05-09","14.6","15.57","14.6","15.03","27300"
"HIIQ","2013-05-10","15.07","15.1","14.67","14.88","6600"
"HIIQ","2013-05-13","15.09","15.61","14.62","15.42","33500"
"HIIQ","2013-05-14","14.96","15.01","12.77","13.13","818600"
"HIIQ","2013-05-15","13.14","13.2","12.75","12.93","75200"
"HIIQ","2013-05-16","12.93","13.09","12.1","12.13","109600"
"HIIQ","2013-05-17","12.15","12.15","11.15","11.39","138400"
"HIIQ","2013-05-20","11.29","11.39","10.62","11.0","103200"
"HIIQ","2013-05-21","11.07","11.18","10.87","10.91","44200"
"HIIQ","2013-05-22","10.85","11.1","10.44","10.54","76300"
"HIIQ","2013-05-23","10.55","10.78","10.22","10.36","63100"
"HIIQ","2013-05-24","10.33","10.5","9.32","9.65","178300"
"HIIQ","2013-05-28","10.06","10.53","9.67","9.96","103400"
"HIIQ","2013-05-29","9.96","10.66","9.73","10.66","137100"
"HIIQ","2013-05-30","10.68","10.71","10.42","10.45","55600"
"HIIQ","2013-05-31","10.31","10.38","10.03","10.04","61400"
"HIIQ","2013-06-03","10.04","10.34","9.86","10.22","83700"
"HIIQ","2013-06-04","10.28","10.29","9.76","9.97","39500"
"HIIQ","2013-06-05","9.99","10.1","9.87","9.88","52500"
"HIIQ","2013-06-06","9.94","10.1","9.82","9.95","30400"
"HIIQ","2013-06-07","10.05","10.05","9.81","9.96","44600"
"HIIQ","2013-06-10","10.03","10.44","9.9","10.28","57500"
"HIIQ","2013-06-11","10.15","10.35","9.95","9.98","85600"
"HIIQ","2013-06-12","9.99","10.28","9.88","9.96","50000"
"HIIQ","2013-06-13","9.89","9.9","9.67","9.8","33000"
"HIIQ","2013-06-14","9.85","9.91","9.68","9.73","8000"
"HIIQ","2013-06-17","9.95","9.95","9.53","9.63","69200"
"HIIQ","2013-06-18","9.57","9.89","9.55","9.6","49700"
"HIIQ","2013-06-19","9.66","9.81","9.5","9.5","31400"
"HIIQ","2013-06-20","9.44","9.52","8.39","8.41","94400"
"HIIQ","2013-06-21","8.46","8.87","8.46","8.78","111300"
"HIIQ","2013-06-24","8.82","9.05","8.7","8.9","85200"
"HIIQ","2013-06-25","9.31","9.45","9.16","9.35","68500"
"HIIQ","2013-06-26","9.65","10.12","9.5","10.0","138200"
"HIIQ","2013-06-27","10.23","10.64","10.06","10.23","133600"
"HIIQ","2013-06-28","10.24","10.55","10.09","10.52","266400"
