"symbol","date","open","high","low","close","volume"
"HOS","2004-03-26","13.24","13.48","13.16","13.24","2368200"
"HOS","2004-03-29","13.24","13.4","13.0","13.08","310600"
"HOS","2004-03-30","13.25","13.43","13.0","13.21","210900"
"HOS","2004-03-31","13.25","13.37","13.15","13.2","99200"
"HOS","2004-04-01","13.16","13.16","13.0","13.02","275500"
"HOS","2004-04-02","13.0","13.1","13.0","13.09","26700"
"HOS","2004-04-05","13.1","13.1","13.05","13.05","104400"
"HOS","2004-04-06","13.08","13.1","13.0","13.0","111500"
"HOS","2004-04-07","13.0","13.03","13.0","13.01","899000"
"HOS","2004-04-08","13.0","13.09","13.0","13.04","53800"
"HOS","2004-04-12","13.04","13.47","13.04","13.42","138100"
"HOS","2004-04-13","13.39","13.69","13.38","13.63","73400"
"HOS","2004-04-14","13.6","13.75","13.15","13.26","61600"
"HOS","2004-04-15","13.3","13.38","13.21","13.3","51700"
"HOS","2004-04-16","13.35","13.35","13.1","13.25","41500"
"HOS","2004-04-19","13.2","13.3","13.0","13.12","192300"
"HOS","2004-04-20","13.15","13.15","12.67","12.69","358000"
"HOS","2004-04-21","12.69","12.69","12.5","12.59","40500"
"HOS","2004-04-22","12.64","13.02","12.64","12.87","73200"
"HOS","2004-04-23","12.9","12.99","12.85","12.85","66900"
"HOS","2004-04-26","12.83","12.9","12.59","12.63","37600"
"HOS","2004-04-27","12.65","12.85","12.5","12.65","100800"
"HOS","2004-04-28","12.7","12.74","12.3","12.35","37500"
"HOS","2004-04-29","12.1","12.2","11.75","11.99","43600"
"HOS","2004-04-30","11.98","12.0","11.45","12.0","85000"
"HOS","2004-05-03","12.0","12.35","11.9","12.35","17500"
"HOS","2004-05-04","12.35","12.35","12.21","12.25","9200"
"HOS","2004-05-05","12.2","12.2","11.2","11.5","171100"
"HOS","2004-05-06","11.4","11.5","11.25","11.45","89600"
"HOS","2004-05-07","11.49","11.6","11.47","11.5","119500"
"HOS","2004-05-10","11.35","11.35","11.0","11.2","125500"
"HOS","2004-05-11","11.18","11.23","11.14","11.15","29100"
"HOS","2004-05-12","11.23","11.5","11.23","11.25","78500"
"HOS","2004-05-13","11.3","11.39","11.2","11.36","23700"
"HOS","2004-05-14","11.38","11.44","11.3","11.3","46000"
"HOS","2004-05-17","11.25","11.3","11.2","11.29","13700"
"HOS","2004-05-18","11.25","11.29","10.75","10.75","677000"
"HOS","2004-05-19","10.75","10.89","10.7","10.89","35300"
"HOS","2004-05-20","10.95","10.95","10.7","10.73","45400"
"HOS","2004-05-21","10.7","10.78","10.61","10.61","18300"
"HOS","2004-05-24","10.71","10.76","10.68","10.76","62600"
"HOS","2004-05-25","10.8","10.8","10.41","10.55","73400"
"HOS","2004-05-26","10.52","10.7","10.45","10.67","174800"
"HOS","2004-05-27","10.72","10.72","10.15","10.25","44100"
"HOS","2004-05-28","10.35","10.35","10.16","10.23","34500"
"HOS","2004-06-01","10.33","10.45","10.17","10.2","94500"
"HOS","2004-06-02","10.2","10.45","10.2","10.39","76200"
"HOS","2004-06-03","10.4","10.4","10.3","10.34","62400"
"HOS","2004-06-04","10.34","10.79","10.34","10.75","137600"
"HOS","2004-06-07","10.85","11.0","10.52","10.75","147700"
"HOS","2004-06-08","10.8","11.12","10.43","11.03","174700"
"HOS","2004-06-09","11.03","11.75","11.03","11.7","352800"
"HOS","2004-06-10","11.88","12.6","11.67","12.35","170800"
"HOS","2004-06-14","12.8","12.91","12.5","12.6","196900"
"HOS","2004-06-15","12.7","12.7","12.22","12.45","62000"
"HOS","2004-06-16","12.35","12.57","12.27","12.5","112500"
"HOS","2004-06-17","12.6","13.0","12.57","12.84","78600"
"HOS","2004-06-18","12.74","13.0","12.7","12.95","41400"
"HOS","2004-06-21","12.93","13.37","12.9","13.2","100800"
"HOS","2004-06-22","13.2","13.2","13.0","13.1","48100"
"HOS","2004-06-23","13.13","13.3","13.0","13.13","69300"
"HOS","2004-06-24","13.23","13.25","12.95","13.0","17100"
"HOS","2004-06-25","12.99","13.25","12.6","12.6","236300"
"HOS","2004-06-28","12.7","12.89","11.96","12.89","87000"
"HOS","2004-06-29","12.8","13.01","12.76","12.85","44900"
"HOS","2004-06-30","12.96","13.13","12.96","13.07","86900"
"HOS","2004-07-01","13.1","13.15","13.0","13.01","21200"
"HOS","2004-07-02","13.0","13.15","13.0","13.02","38500"
"HOS","2004-07-06","13.1","13.2","13.04","13.14","56600"
"HOS","2004-07-07","13.01","13.18","13.0","13.11","47400"
"HOS","2004-07-08","13.01","13.41","13.0","13.19","62300"
"HOS","2004-07-09","13.2","13.3","13.0","13.2","58400"
"HOS","2004-07-12","13.15","13.4","13.05","13.1","15900"
"HOS","2004-07-13","13.11","13.18","13.02","13.06","15700"
"HOS","2004-07-14","13.06","13.2","13.06","13.12","23000"
"HOS","2004-07-15","13.12","13.33","13.1","13.11","21100"
"HOS","2004-07-16","13.16","13.19","13.01","13.07","21700"
"HOS","2004-07-19","13.08","13.08","12.95","13.06","21600"
"HOS","2004-07-20","13.03","13.34","13.03","13.29","22500"
"HOS","2004-07-21","13.3","13.6","13.02","13.02","103200"
