"symbol","date","open","high","low","close","volume"
"HOV","1992-03-17","12.75","12.88","12.62","6.31","148400"
"HOV","1992-03-18","12.75","13.12","12.75","6.56","243200"
"HOV","1992-03-19","13.12","13.5","13.12","6.75","246200"
"HOV","1992-03-20","13.5","13.88","13.38","6.94","293400"
"HOV","1992-03-23","13.75","13.75","13.62","6.81","36600"
"HOV","1992-03-24","13.75","13.75","13.12","6.69","111800"
"HOV","1992-03-25","13.62","13.75","13.5","6.88","73000"
"HOV","1992-03-26","13.88","13.88","12.5","6.56","51800"
"HOV","1992-03-27","13.0","13.0","12.25","6.12","89600"
"HOV","1992-03-30","12.25","12.25","11.75","5.88","61800"
"HOV","1992-03-31","11.75","12.38","11.75","6.19","45200"
"HOV","1992-04-01","12.12","12.5","12.0","6.25","69200"
"HOV","1992-04-02","12.75","13.38","12.75","6.69","259400"
"HOV","1992-04-03","13.75","13.75","12.88","6.44","94600"
"HOV","1992-04-06","12.88","13.12","12.88","6.5","36600"
"HOV","1992-04-07","13.12","13.12","12.25","6.12","33600"
"HOV","1992-04-08","12.12","12.88","11.62","6.44","77000"
"HOV","1992-04-09","12.88","13.12","12.88","6.5","105200"
"HOV","1992-04-10","13.12","13.25","13.0","6.56","51000"
"HOV","1992-04-13","13.12","13.12","12.62","6.31","15200"
"HOV","1992-04-14","12.38","12.62","12.25","6.31","27000"
"HOV","1992-04-15","12.88","13.38","12.75","6.69","110200"
"HOV","1992-04-16","13.5","13.5","13.12","6.75","50800"
"HOV","1992-04-20","13.38","13.38","12.75","6.5","85200"
"HOV","1992-04-21","12.75","13.0","12.5","6.44","42600"
"HOV","1992-04-22","13.0","13.25","12.62","6.31","22800"
"HOV","1992-04-23","12.62","12.75","12.12","6.06","73000"
"HOV","1992-04-24","12.0","12.0","11.75","5.94","32800"
"HOV","1992-04-27","11.88","12.0","11.62","5.88","30800"
"HOV","1992-04-28","11.62","11.75","11.12","5.62","50800"
"HOV","1992-04-29","11.0","11.0","10.5","5.38","124800"
"HOV","1992-04-30","10.88","11.12","10.88","5.44","86400"
"HOV","1992-05-01","11.0","11.25","11.0","5.62","17400"
"HOV","1992-05-04","11.38","11.75","11.38","5.81","39800"
"HOV","1992-05-05","11.62","11.62","11.5","5.75","28000"
"HOV","1992-05-06","11.5","11.62","11.5","5.81","15200"
"HOV","1992-05-07","11.75","11.75","11.5","5.81","9400"
"HOV","1992-05-08","11.62","11.62","11.38","5.69","10200"
"HOV","1992-05-11","11.25","11.38","11.25","5.62","24200"
"HOV","1992-05-12","11.25","11.5","11.12","5.75","81000"
"HOV","1992-05-13","11.5","11.5","11.25","5.62","12600"
"HOV","1992-05-14","11.0","11.0","10.75","5.44","27400"
"HOV","1992-05-15","10.88","11.0","10.88","5.5","28200"
"HOV","1992-05-18","11.0","11.12","11.0","5.56","20800"
"HOV","1992-05-19","11.0","11.25","10.88","5.56","53400"
"HOV","1992-05-20","11.0","11.12","10.88","5.44","24400"
"HOV","1992-05-21","10.75","11.0","10.75","5.38","11200"
"HOV","1992-05-22","10.62","10.75","10.62","5.38","6600"
"HOV","1992-05-26","10.88","11.0","10.62","5.31","19400"
"HOV","1992-05-27","10.5","10.62","10.38","5.25","16400"
"HOV","1992-05-28","10.5","10.5","9.5","4.81","964000"
"HOV","1992-05-29","9.5","9.62","9.12","4.69","263000"
"HOV","1992-06-01","9.38","9.38","9.0","4.56","551600"
"HOV","1992-06-02","9.25","9.5","9.12","4.75","221000"
"HOV","1992-06-03","9.62","9.88","9.62","4.88","205000"
"HOV","1992-06-04","9.88","10.25","9.88","5.0","245000"
"HOV","1992-06-05","10.12","10.5","10.12","5.25","100000"
"HOV","1992-06-08","10.5","10.5","10.0","5.06","58000"
"HOV","1992-06-09","10.12","10.12","10.0","5.06","25000"
"HOV","1992-06-10","10.25","10.25","9.75","4.88","46800"
"HOV","1992-06-11","9.75","9.75","9.62","4.88","53000"
"HOV","1992-06-12","9.75","9.75","9.5","4.81","27600"
"HOV","1992-06-15","9.38","9.38","9.0","4.5","136200"
"HOV","1992-06-16","9.12","9.25","8.75","4.38","198400"
"HOV","1992-06-17","8.88","9.0","8.12","4.06","112000"
"HOV","1992-06-18","8.12","8.38","8.12","4.12","82200"
"HOV","1992-06-19","8.38","9.25","8.38","4.62","57800"
"HOV","1992-06-22","9.12","9.5","8.88","4.75","68400"
