"symbol","date","open","high","low","close","volume"
"HQL","1992-05-04","15.0","15.12","15.0","2.73","16600"
"HQL","1992-05-05","15.0","15.12","15.0","2.75","7900"
"HQL","1992-05-06","15.12","15.12","15.0","2.75","12200"
"HQL","1992-05-07","15.12","15.12","15.0","2.73","15200"
"HQL","1992-05-08","15.0","15.12","15.0","2.73","17900"
"HQL","1992-05-11","15.12","15.12","15.0","2.75","9200"
"HQL","1992-05-12","15.0","15.12","15.0","2.73","9800"
"HQL","1992-05-13","15.12","15.12","15.0","2.75","27000"
"HQL","1992-05-14","15.0","15.12","15.0","2.73","22000"
"HQL","1992-05-15","15.0","15.12","15.0","2.75","24800"
"HQL","1992-05-18","15.0","15.12","15.0","2.73","4900"
"HQL","1992-05-19","15.12","15.12","15.0","2.75","7100"
"HQL","1992-05-20","15.0","15.12","15.0","2.75","15100"
"HQL","1992-05-21","15.12","15.12","15.0","2.73","31900"
"HQL","1992-05-22","15.25","15.25","15.0","2.73","9100"
"HQL","1992-05-26","15.12","15.12","15.0","2.73","13900"
"HQL","1992-05-27","15.12","15.12","15.0","2.73","38900"
"HQL","1992-05-28","15.0","15.12","15.0","2.73","36700"
"HQL","1992-05-29","15.12","15.25","15.0","2.75","16800"
"HQL","1992-06-01","15.12","15.12","15.0","2.73","3200"
"HQL","1992-06-02","15.0","15.12","14.88","2.75","205800"
"HQL","1992-06-03","15.12","15.12","15.0","2.75","8900"
"HQL","1992-06-04","15.0","15.12","15.0","2.73","6300"
"HQL","1992-06-05","15.0","15.12","15.0","2.75","8300"
"HQL","1992-06-08","15.0","15.12","15.0","2.73","3200"
"HQL","1992-06-09","15.12","15.12","15.0","2.73","23800"
"HQL","1992-06-10","15.12","15.25","15.0","2.73","29700"
"HQL","1992-06-11","15.0","15.12","15.0","2.73","8700"
"HQL","1992-06-12","15.12","15.12","15.0","2.73","11000"
"HQL","1992-06-15","15.0","15.38","15.0","2.77","30400"
"HQL","1992-06-16","15.25","15.25","15.0","2.75","12100"
"HQL","1992-06-17","15.0","15.12","15.0","2.73","11800"
"HQL","1992-06-18","15.0","15.12","15.0","2.75","32900"
"HQL","1992-06-19","15.0","15.12","15.0","2.73","12100"
"HQL","1992-06-22","15.0","15.12","15.0","2.73","25700"
"HQL","1992-06-23","15.0","15.12","15.0","2.73","24100"
"HQL","1992-06-24","15.0","15.0","15.0","2.73","10200"
"HQL","1992-06-25","15.0","15.0","15.0","2.73","6900"
"HQL","1992-06-26","15.0","15.0","15.0","2.73","23800"
"HQL","1992-06-29","15.0","15.12","15.0","2.73","3400"
"HQL","1992-06-30","15.0","15.0","15.0","2.73","11300"
"HQL","1992-07-01","15.0","15.12","15.0","2.73","12000"
"HQL","1992-07-02","15.0","15.12","15.0","2.73","7500"
"HQL","1992-07-06","15.0","15.12","15.0","2.75","18200"
"HQL","1992-07-07","15.0","15.12","15.0","2.75","9700"
"HQL","1992-07-08","15.0","15.12","15.0","2.75","14600"
"HQL","1992-07-09","15.12","15.12","15.0","2.73","21100"
"HQL","1992-07-10","15.12","15.12","15.0","2.73","10700"
"HQL","1992-07-13","15.12","15.12","15.0","2.73","13300"
"HQL","1992-07-14","15.0","15.12","15.0","2.73","4300"
"HQL","1992-07-15","15.0","15.12","15.0","2.73","6300"
"HQL","1992-07-16","14.75","14.75","14.5","2.66","55100"
"HQL","1992-07-17","14.62","14.88","14.62","2.66","9200"
"HQL","1992-07-20","14.62","14.75","14.5","2.64","14500"
"HQL","1992-07-21","14.5","14.62","14.5","2.66","14500"
"HQL","1992-07-22","14.5","14.62","14.5","2.64","9100"
"HQL","1992-07-23","14.5","14.62","14.5","2.64","5300"
"HQL","1992-07-24","14.62","14.75","14.62","2.66","6400"
"HQL","1992-07-27","14.5","14.62","14.5","2.64","10000"
"HQL","1992-07-28","14.62","14.75","14.5","2.64","19900"
"HQL","1992-07-29","14.62","14.62","14.5","2.64","8100"
"HQL","1992-07-30","14.5","14.62","14.5","2.66","4800"
"HQL","1992-07-31","14.62","14.88","14.62","2.68","19100"
"HQL","1992-08-03","14.62","14.88","14.62","2.71","6200"
"HQL","1992-08-04","14.88","15.0","14.75","2.71","30600"
"HQL","1992-08-05","14.75","14.88","14.75","2.68","3600"
"HQL","1992-08-06","14.75","14.75","14.75","2.68","5300"
"HQL","1992-08-07","14.88","14.88","14.75","2.68","5700"
"HQL","1992-08-10","14.62","14.62","14.62","2.66","700"
"HQL","1992-08-11","14.62","14.75","14.5","2.66","14300"
"HQL","1992-08-12","14.62","14.75","14.5","2.66","3900"
"HQL","1992-08-13","14.75","14.75","14.62","2.66","15000"
"HQL","1992-08-14","14.62","14.75","14.5","2.64","13700"
"HQL","1992-08-17","14.5","14.62","14.5","2.66","10400"
"HQL","1992-08-18","14.5","14.75","14.5","2.68","14400"
"HQL","1992-08-19","14.62","14.62","14.5","2.64","3000"
"HQL","1992-08-20","14.5","14.75","14.5","2.64","6600"
"HQL","1992-08-21","14.5","14.75","14.5","2.66","5000"
"HQL","1992-08-24","14.5","14.62","14.5","2.64","12600"
"HQL","1992-08-25","14.75","14.75","14.5","2.64","26200"
"HQL","1992-08-26","14.75","15.0","14.5","2.73","46300"
"HQL","1992-08-27","14.88","14.88","14.62","2.68","8400"
"HQL","1992-08-28","14.75","14.75","14.62","2.66","6200"
"HQL","1992-08-31","14.75","14.75","14.62","2.66","6300"
"HQL","1992-09-01","14.62","14.88","14.62","2.68","15200"
"HQL","1992-09-02","14.75","14.88","14.62","2.71","5900"
"HQL","1992-09-03","14.75","14.88","14.75","2.68","15400"
"HQL","1992-09-04","14.75","14.88","14.75","2.68","3000"
"HQL","1992-09-08","14.75","15.0","14.75","2.71","9800"
"HQL","1992-09-09","14.88","14.88","14.75","2.68","7100"
"HQL","1992-09-10","14.75","14.88","14.75","2.68","6300"
"HQL","1992-09-11","14.88","14.88","14.75","2.68","21500"
"HQL","1992-09-14","14.88","15.0","14.75","2.68","4900"
"HQL","1992-09-15","15.0","15.0","14.75","2.68","10300"
"HQL","1992-09-16","14.75","14.88","14.5","2.64","20000"
"HQL","1992-09-17","14.38","14.5","14.25","2.59","7400"
"HQL","1992-09-18","14.5","14.5","14.25","2.64","11600"
"HQL","1992-09-21","14.25","14.25","13.88","2.55","26800"
"HQL","1992-09-22","14.12","14.25","13.88","2.57","11900"
"HQL","1992-09-23","14.0","14.25","14.0","2.55","11700"
"HQL","1992-09-24","14.0","14.12","13.88","2.52","3100"
"HQL","1992-09-25","13.88","13.88","12.75","2.32","14800"
"HQL","1992-09-28","12.75","12.75","11.88","2.21","16300"
"HQL","1992-09-29","12.25","12.5","11.88","2.23","8900"
"HQL","1992-09-30","12.25","12.75","12.25","2.32","4400"
