"symbol","date","open","high","low","close","volume"
"HTBI","2012-07-11","11.25","11.82","11.24","11.7","6851700"
"HTBI","2012-07-12","11.61","12.0","11.61","11.93","712800"
"HTBI","2012-07-13","12.09","12.15","11.8","12.0","443700"
"HTBI","2012-07-16","12.0","12.0","11.83","11.93","99100"
"HTBI","2012-07-17","11.98","12.0","11.91","12.0","253800"
"HTBI","2012-07-18","12.0","12.05","11.98","12.01","175000"
"HTBI","2012-07-19","12.01","12.03","11.97","12.0","193800"
"HTBI","2012-07-20","12.0","12.04","11.99","12.04","356300"
"HTBI","2012-07-23","11.96","12.26","11.96","12.24","143700"
"HTBI","2012-07-24","12.25","12.25","12.17","12.24","61200"
"HTBI","2012-07-25","12.25","12.41","12.25","12.41","86200"
"HTBI","2012-07-26","12.49","12.58","12.44","12.5","163500"
"HTBI","2012-07-27","12.58","12.59","12.28","12.46","56000"
"HTBI","2012-07-30","12.4","12.49","12.34","12.34","36900"
"HTBI","2012-07-31","12.49","12.49","12.39","12.42","42200"
"HTBI","2012-08-01","12.49","12.5","12.41","12.45","45700"
"HTBI","2012-08-02","12.43","12.48","12.42","12.48","36900"
"HTBI","2012-08-03","12.48","12.49","12.43","12.47","25700"
"HTBI","2012-08-06","12.37","12.46","12.35","12.37","53400"
"HTBI","2012-08-07","12.3","12.45","12.25","12.43","102300"
"HTBI","2012-08-08","12.39","12.45","12.35","12.42","67100"
"HTBI","2012-08-09","12.44","12.44","12.38","12.41","28800"
"HTBI","2012-08-10","12.44","12.45","12.4","12.45","51700"
"HTBI","2012-08-13","12.27","12.43","12.27","12.31","24800"
"HTBI","2012-08-14","12.39","12.43","12.3","12.35","16700"
"HTBI","2012-08-15","12.35","12.42","12.35","12.36","43100"
"HTBI","2012-08-16","12.36","12.42","12.35","12.4","53800"
"HTBI","2012-08-17","12.44","12.46","12.36","12.46","58400"
"HTBI","2012-08-20","12.45","12.46","12.41","12.43","25400"
"HTBI","2012-08-21","12.48","12.52","12.41","12.46","91400"
"HTBI","2012-08-22","12.47","12.52","12.46","12.5","66000"
"HTBI","2012-08-23","12.46","12.52","12.46","12.5","46300"
"HTBI","2012-08-24","12.51","12.55","12.46","12.51","46300"
"HTBI","2012-08-27","12.55","12.65","12.53","12.55","56700"
"HTBI","2012-08-28","12.64","12.75","12.59","12.72","55600"
"HTBI","2012-08-29","12.75","12.8","12.51","12.61","54400"
"HTBI","2012-08-30","12.55","12.68","12.55","12.65","16500"
"HTBI","2012-08-31","12.69","12.74","12.49","12.58","39600"
"HTBI","2012-09-04","12.71","12.75","12.57","12.69","23600"
"HTBI","2012-09-05","12.67","12.75","12.65","12.73","40400"
"HTBI","2012-09-06","12.73","12.8","12.6","12.77","72400"
"HTBI","2012-09-07","12.78","12.8","12.59","12.71","59100"
"HTBI","2012-09-10","12.65","12.81","12.5","12.69","42200"
"HTBI","2012-09-11","12.68","12.74","12.6","12.63","38100"
"HTBI","2012-09-12","12.65","12.75","12.52","12.59","31100"
"HTBI","2012-09-13","12.55","12.79","12.55","12.7","46200"
"HTBI","2012-09-14","12.61","12.78","12.61","12.69","22400"
