"symbol","date","open","high","low","close","volume"
"HYND","2013-12-18","25.05","25.05","24.98","24.12","2400"
"HYND","2013-12-19","25.08","25.08","25.08","24.21","200"
"HYND","2013-12-20","25.03","25.03","25.0","24.14","1200"
"HYND","2013-12-23","25.02","25.02","25.0","24.14","6100"
"HYND","2013-12-24","24.8","24.8","24.8","23.97","1000"
"HYND","2013-12-26","25.0","25.05","25.0","24.16","13300"
"HYND","2013-12-27","25.01","25.01","25.01","24.17","4000"
"HYND","2013-12-30","25.03","25.05","25.0","24.21","6500"
"HYND","2013-12-31","24.99","24.99","24.99","24.15","800"
"HYND","2014-01-02","25.2","25.2","25.2","24.35","100"
"HYND","2014-01-03","25.2","25.2","25.2","24.35","0"
"HYND","2014-01-06","25.12","25.12","25.12","24.28","100"
"HYND","2014-01-07","25.12","25.12","25.12","24.28","0"
"HYND","2014-01-08","25.14","25.14","25.1","24.26","3900"
"HYND","2014-01-09","25.1","25.1","25.1","24.26","0"
"HYND","2014-01-10","25.1","25.1","25.1","24.26","0"
"HYND","2014-01-13","25.01","25.01","25.01","24.17","4000"
"HYND","2014-01-14","24.82","24.82","24.82","23.99","200"
"HYND","2014-01-15","24.8","24.8","24.8","23.97","1100"
"HYND","2014-01-16","25.0","25.0","25.0","24.16","4000"
"HYND","2014-01-17","24.81","24.85","24.81","24.02","9300"
"HYND","2014-01-21","24.84","24.84","24.84","24.01","100"
"HYND","2014-01-22","24.84","24.84","24.84","24.01","0"
"HYND","2014-01-23","24.51","24.8","24.51","23.85","2300"
"HYND","2014-01-24","24.56","24.56","24.56","23.74","100"
"HYND","2014-01-27","24.52","24.52","24.52","23.77","100"
"HYND","2014-01-28","24.52","24.52","24.52","23.77","0"
"HYND","2014-01-29","24.52","24.52","24.52","23.77","0"
"HYND","2014-01-30","24.4","24.4","24.35","23.6","700"
"HYND","2014-01-31","24.35","24.35","24.35","23.6","0"
"HYND","2014-02-03","24.35","24.35","24.35","23.6","0"
"HYND","2014-02-04","24.35","24.35","24.35","23.6","0"
"HYND","2014-02-05","24.35","24.35","24.35","23.6","0"
"HYND","2014-02-06","24.35","24.35","24.35","23.6","0"
"HYND","2014-02-07","24.35","24.35","24.35","23.6","0"
"HYND","2014-02-10","24.35","24.35","24.35","23.6","0"
"HYND","2014-02-11","24.34","24.4","24.34","23.65","1300"
"HYND","2014-02-12","24.4","24.4","24.4","23.65","0"
"HYND","2014-02-13","24.4","24.4","24.4","23.65","0"
"HYND","2014-02-14","24.48","24.48","24.48","23.73","400"
"HYND","2014-02-18","24.4","24.4","24.4","23.65","200"
"HYND","2014-02-19","24.4","24.4","24.4","23.65","0"
"HYND","2014-02-20","24.43","24.6","24.43","23.85","400"
"HYND","2014-02-21","24.55","24.55","24.55","23.8","300"
"HYND","2014-02-24","24.55","24.55","24.55","23.85","0"
"HYND","2014-02-25","24.29","24.43","24.29","23.74","1300"
"HYND","2014-02-26","24.32","24.32","24.32","23.63","1500"
"HYND","2014-02-27","24.32","24.32","24.32","23.63","0"
"HYND","2014-02-28","24.32","24.32","24.32","23.63","0"
"HYND","2014-03-03","24.32","24.32","24.32","23.63","0"
"HYND","2014-03-04","24.42","24.42","24.42","23.73","300"
"HYND","2014-03-05","24.33","24.48","24.33","23.78","1000"
"HYND","2014-03-06","24.48","24.48","24.48","23.78","1400"
"HYND","2014-03-07","24.71","24.71","24.71","24.01","200"
"HYND","2014-03-10","24.7","24.7","24.6","23.9","3000"
"HYND","2014-03-11","24.6","24.6","24.6","23.9","1000"
"HYND","2014-03-12","24.55","24.58","24.55","23.87","1300"
"HYND","2014-03-13","24.55","24.55","24.48","23.79","11000"
"HYND","2014-03-14","24.49","24.49","24.49","23.79","0"
"HYND","2014-03-17","24.41","24.41","24.41","23.72","7100"
"HYND","2014-03-18","24.41","24.41","24.41","23.72","0"
"HYND","2014-03-19","24.55","24.55","24.55","23.85","400"
"HYND","2014-03-20","24.71","24.71","24.6","23.9","1000"
"HYND","2014-03-21","24.5","24.64","24.5","23.9","1700"
"HYND","2014-03-24","24.43","24.47","24.38","23.84","1900"
"HYND","2014-03-25","24.46","24.46","24.46","23.83","200"
"HYND","2014-03-26","24.58","24.58","24.5","23.87","800"
"HYND","2014-03-27","24.4","24.4","24.39","23.77","1000"
"HYND","2014-03-28","24.3","24.39","24.3","23.73","4700"
"HYND","2014-03-31","24.49","24.49","24.48","23.86","700"
"HYND","2014-04-01","24.4","24.4","24.38","23.75","600"
"HYND","2014-04-02","24.38","24.38","24.38","23.75","0"
"HYND","2014-04-03","24.54","24.55","24.54","23.91","2100"
"HYND","2014-04-04","24.54","24.54","24.54","23.91","0"
"HYND","2014-04-07","24.54","24.54","24.54","23.91","0"
"HYND","2014-04-08","24.38","24.38","24.37","23.74","1100"
"HYND","2014-04-09","24.49","24.49","24.49","23.86","300"
"HYND","2014-04-10","24.39","24.39","24.39","23.76","900"
"HYND","2014-04-11","24.39","24.39","24.3","23.67","2100"
"HYND","2014-04-14","24.3","24.32","24.3","23.69","4500"
"HYND","2014-04-15","24.39","24.41","24.36","23.76","14200"
"HYND","2014-04-16","24.19","24.19","24.17","23.54","900"
"HYND","2014-04-17","24.33","24.33","24.14","23.52","8000"
"HYND","2014-04-21","24.02","24.02","23.93","23.38","5800"
"HYND","2014-04-22","24.12","24.12","23.88","23.33","20600"
"HYND","2014-04-23","23.88","23.88","23.88","23.33","0"
"HYND","2014-04-24","24.31","24.31","24.31","23.75","300"
"HYND","2014-04-25","24.31","24.31","24.31","23.75","0"
"HYND","2014-04-28","24.3","24.3","24.23","23.67","400"
"HYND","2014-04-29","23.92","24.28","23.92","23.66","900"
"HYND","2014-04-30","24.22","24.22","24.22","23.66","0"
"HYND","2014-05-01","24.22","24.22","24.22","23.66","0"
"HYND","2014-05-02","24.22","24.22","24.22","23.66","0"
"HYND","2014-05-05","24.22","24.22","24.22","23.66","0"
"HYND","2014-05-06","24.22","24.22","24.22","23.66","0"
"HYND","2014-05-07","24.22","24.22","24.22","23.66","0"
"HYND","2014-05-08","24.22","24.22","24.22","23.66","0"
"HYND","2014-05-09","24.22","24.22","24.22","23.66","0"
"HYND","2014-05-12","24.19","24.19","24.1","23.54","300"
"HYND","2014-05-13","23.99","24.26","23.99","23.7","3100"
"HYND","2014-05-14","24.15","24.16","24.05","23.56","6500"
"HYND","2014-05-15","24.3","24.3","23.99","23.48","10500"
"HYND","2014-05-16","24.04","24.04","24.04","23.48","0"
"HYND","2014-05-19","24.04","24.04","24.04","23.48","0"
"HYND","2014-05-20","24.04","24.04","24.04","23.48","0"
"HYND","2014-05-21","24.05","24.07","24.02","23.47","3400"
"HYND","2014-05-22","24.03","24.03","24.03","23.47","0"
"HYND","2014-05-23","24.05","24.05","24.01","23.52","600"
"HYND","2014-05-27","24.01","24.01","24.01","23.52","0"
"HYND","2014-05-28","24.01","24.01","24.01","23.52","0"
"HYND","2014-05-29","23.92","23.92","23.76","23.32","14000"
"HYND","2014-05-30","23.81","23.81","23.81","23.32","0"
"HYND","2014-06-02","23.81","23.81","23.81","23.32","0"
"HYND","2014-06-03","23.81","23.81","23.81","23.32","0"
"HYND","2014-06-04","23.81","23.81","23.81","23.32","0"
"HYND","2014-06-05","24.35","24.45","24.34","23.95","19800"
"HYND","2014-06-06","24.45","24.45","24.45","23.95","0"
"HYND","2014-06-09","24.45","24.45","24.45","23.95","0"
"HYND","2014-06-10","24.57","24.57","24.45","23.95","300"
"HYND","2014-06-11","24.45","24.45","24.45","23.95","0"
"HYND","2014-06-12","24.45","24.45","24.45","23.95","0"
"HYND","2014-06-13","24.45","24.45","24.45","23.95","0"
"HYND","2014-06-16","24.45","24.45","24.45","23.95","0"
"HYND","2014-06-17","24.45","24.45","24.45","23.95","0"
"HYND","2014-06-18","24.45","24.45","24.45","23.95","0"
"HYND","2014-06-19","24.45","24.45","24.45","23.95","0"
"HYND","2014-06-20","24.46","24.46","24.46","23.96","1100"
"HYND","2014-06-23","24.48","24.48","23.93","23.68","700"
"HYND","2014-06-24","24.08","24.08","24.08","23.68","0"
"HYND","2014-06-25","24.08","24.08","24.08","23.68","0"
"HYND","2014-06-26","24.22","24.31","24.22","23.89","600"
"HYND","2014-06-27","24.16","24.16","24.1","23.7","1400"
"HYND","2014-06-30","24.1","24.1","24.1","23.7","0"
"HYND","2014-07-01","23.96","24.11","23.96","23.65","25500"
"HYND","2014-07-02","24.05","24.05","24.05","23.65","0"
"HYND","2014-07-03","24.05","24.05","24.05","23.65","0"
"HYND","2014-07-07","24.25","24.55","24.25","24.01","15100"
"HYND","2014-07-08","24.42","24.42","24.42","24.01","0"
"HYND","2014-07-09","24.0","24.25","24.0","23.84","16300"
"HYND","2014-07-10","24.0","24.02","23.91","23.51","3900"
"HYND","2014-07-11","24.05","24.05","23.84","23.48","26200"
"HYND","2014-07-14","23.88","23.93","23.8","23.45","19800"
"HYND","2014-07-15","23.98","24.03","23.91","23.56","16800"
"HYND","2014-07-16","23.88","23.88","23.83","23.43","3200"
"HYND","2014-07-17","23.84","23.84","23.62","23.26","41000"
"HYND","2014-07-18","23.65","23.65","23.65","23.25","900"
"HYND","2014-07-21","23.65","23.65","23.49","23.23","6900"
"HYND","2014-07-22","23.61","23.66","23.6","23.34","4000"
"HYND","2014-07-23","23.75","23.75","23.59","23.29","5200"
"HYND","2014-07-24","23.85","23.85","23.85","23.54","900"
"HYND","2014-07-25","23.85","23.85","23.85","23.54","0"
"HYND","2014-07-28","23.65","23.67","23.5","23.27","6100"
"HYND","2014-07-29","23.59","23.72","23.59","23.37","5700"
"HYND","2014-07-30","23.67","23.7","23.59","23.33","5600"
"HYND","2014-07-31","23.64","23.64","23.64","23.33","0"
"HYND","2014-08-01","23.68","23.73","23.62","23.31","3600"
"HYND","2014-08-04","23.56","23.56","23.4","23.15","6200"
"HYND","2014-08-05","23.51","23.51","23.51","23.2","100"
"HYND","2014-08-06","23.39","23.6","23.14","22.84","6000"
"HYND","2014-08-07","23.4","23.4","23.36","23.06","900"
"HYND","2014-08-08","23.39","23.39","23.18","22.88","1900"
"HYND","2014-08-11","23.27","23.29","23.22","22.92","900"
"HYND","2014-08-12","23.31","23.37","23.31","23.07","2100"
"HYND","2014-08-13","23.57","23.57","23.52","23.22","1800"
"HYND","2014-08-14","23.53","23.53","23.53","23.22","0"
"HYND","2014-08-15","23.2","23.2","23.08","22.81","4800"
"HYND","2014-08-18","23.11","23.11","23.11","22.81","0"
"HYND","2014-08-19","23.29","23.3","23.29","23.0","400"
"HYND","2014-08-20","23.3","23.3","23.23","22.93","1400"
"HYND","2014-08-21","23.23","23.23","23.23","22.93","0"
"HYND","2014-08-22","23.27","23.35","23.22","23.02","61100"
"HYND","2014-08-25","23.35","23.35","23.35","23.14","400"
"HYND","2014-08-26","23.4","23.4","23.4","23.19","800"
"HYND","2014-08-27","23.4","23.4","23.4","23.19","0"
"HYND","2014-08-28","23.27","23.48","23.27","23.26","3500"
"HYND","2014-08-29","23.05","23.35","23.05","23.14","137500"
"HYND","2014-09-02","23.1","23.1","23.1","22.89","300"
"HYND","2014-09-03","23.43","23.43","23.43","23.21","100"
"HYND","2014-09-04","23.24","23.24","23.24","23.03","200"
"HYND","2014-09-05","23.16","23.42","23.16","23.06","3200"
"HYND","2014-09-08","23.3","23.35","23.23","23.08","11500"
"HYND","2014-09-09","23.26","23.29","23.2","22.99","100000"
"HYND","2014-09-10","23.28","23.28","23.24","23.04","4200"
"HYND","2014-09-11","23.26","23.26","23.24","23.04","2300"
"HYND","2014-09-12","23.23","23.3","23.23","23.06","19000"
"HYND","2014-09-15","23.35","23.4","23.34","23.14","8000"
"HYND","2014-09-16","23.37","23.39","23.24","23.17","109300"
"HYND","2014-09-17","23.31","23.34","23.25","23.1","30100"
"HYND","2014-09-18","23.35","23.42","23.35","23.21","4400"
"HYND","2014-09-19","23.44","23.47","23.4","23.19","60500"
"HYND","2014-09-22","23.23","23.25","23.2","23.11","5100"
"HYND","2014-09-23","23.2","23.26","23.11","22.97","16400"
"HYND","2014-09-24","23.13","23.16","23.07","23.02","7600"
"HYND","2014-09-25","23.02","23.16","22.9","22.82","21300"
"HYND","2014-09-26","22.96","22.99","22.96","22.85","800"
"HYND","2014-09-29","22.86","22.87","22.79","22.65","5900"
"HYND","2014-09-30","22.89","22.89","22.89","22.75","4000"
"HYND","2014-10-01","22.89","22.89","22.72","22.58","800"
"HYND","2014-10-02","22.62","22.71","22.61","22.55","3900"
"HYND","2014-10-03","22.88","22.93","22.88","22.79","400"
"HYND","2014-10-06","22.92","22.92","22.92","22.78","300"
"HYND","2014-10-07","22.65","22.65","22.59","22.45","1400"
"HYND","2014-10-08","22.64","22.68","22.58","22.54","42200"
"HYND","2014-10-09","22.6","22.6","22.4","22.26","45800"
"HYND","2014-10-10","22.48","22.48","22.4","22.26","400"
"HYND","2014-10-13","22.36","22.36","22.31","22.17","14700"
"HYND","2014-10-14","22.27","22.27","22.22","22.08","1200"
"HYND","2014-10-15","22.0","22.0","21.96","21.86","1100"
"HYND","2014-10-16","21.95","21.98","21.89","21.75","1900"
"HYND","2014-10-17","21.79","22.27","21.79","21.98","4600"
"HYND","2014-10-20","22.34","22.34","22.1","21.97","8600"
"HYND","2014-10-21","22.27","22.33","22.23","22.09","1900"
"HYND","2014-10-22","22.4","22.67","22.3","22.31","1400"
"HYND","2014-10-23","22.61","22.61","22.61","22.47","200"
"HYND","2014-10-24","22.3","22.58","22.3","22.44","500"
"HYND","2014-10-27","22.58","22.58","22.58","22.51","0"
"HYND","2014-10-28","22.73","22.73","22.51","22.44","700"
"HYND","2014-10-29","22.52","22.55","22.47","22.4","80300"
"HYND","2014-10-30","22.4","22.4","22.4","22.33","400"
"HYND","2014-10-31","22.54","22.54","22.54","22.47","2000"
"HYND","2014-11-03","22.51","22.55","22.47","22.4","43900"
"HYND","2014-11-04","22.49","22.49","22.41","22.34","8300"
"HYND","2014-11-05","22.56","22.56","22.45","22.43","2200"
"HYND","2014-11-06","22.56","22.6","22.55","22.52","2500"
"HYND","2014-11-07","22.54","22.54","22.33","22.43","91500"
"HYND","2014-11-10","22.4","22.4","22.4","22.33","200"
"HYND","2014-11-11","22.54","22.54","22.54","22.47","100"
"HYND","2014-11-12","22.48","22.48","22.48","22.41","3700"
"HYND","2014-11-13","22.48","22.48","22.48","22.41","0"
"HYND","2014-11-14","22.48","22.48","22.45","22.38","800"
"HYND","2014-11-17","22.45","22.45","22.45","22.38","0"
"HYND","2014-11-18","22.46","22.49","22.44","22.4","2800"
"HYND","2014-11-19","22.46","22.59","22.46","22.52","1400"
"HYND","2014-11-20","22.77","22.77","22.36","22.4","900"
"HYND","2014-11-21","22.4","22.4","22.4","22.4","200"
"HYND","2014-11-24","22.33","22.33","22.33","22.331","100"
"HYND","2014-11-26","22.18","22.28","22.18","22.25","2741"
"HYND","2014-11-28","23.25","23.25","22.06","22.06","1035"
"HYND","2014-12-02","22.18","22.3","22.18","22.3","1436"
"HYND","2014-12-03","22.14","22.32","22.14","22.29","20213"
"HYND","2014-12-04","22.11","22.22","22.09","22.15","4550"
"HYND","2014-12-05","22.08","22.11","22.04","22.04","25238"
"HYND","2014-12-08","22.06","22.07","21.95","21.95","671"
"HYND","2014-12-09","21.73","21.87","21.68","21.874","103197"
"HYND","2014-12-10","21.52","21.53","21.52","21.53","1065"
"HYND","2014-12-11","21.42","21.43","21.41","21.41","1100"
"HYND","2014-12-12","21.37","21.37","21.19","21.19","830"
"HYND","2014-12-15","21.0","21.26","21.0","21.201","1766"
"HYND","2014-12-16","21.1","21.1","21.1","21.1","326"
"HYND","2014-12-17","21.22","21.22","21.22","21.22","102"
"HYND","2014-12-18","21.07","21.23","21.07","21.22","600"
"HYND","2014-12-19","21.43","21.43","21.42","21.43","901"
"HYND","2014-12-22","21.32","21.32","21.32","21.315","296"
"HYND","2014-12-23","21.33","21.33","21.09","21.086","1006"
"HYND","2014-12-24","21.41","21.41","21.25","21.25","275"
"HYND","2014-12-30","21.43","21.43","21.31","21.31","529"
"HYND","2014-12-31","21.36","21.43","21.08","21.38","20019"
"HYND","2015-01-02","21.42","21.42","21.05","21.32","22507"
"HYND","2015-01-05","21.3","21.3","21.11","21.12","1125"
"HYND","2015-01-06","21.12","21.12","21.11","21.12","9500"
"HYND","2015-01-07","21.1","21.1","21.1","21.1","10"
"HYND","2015-01-08","21.06","21.39","20.83","21.39","13300"
"HYND","2015-01-09","21.3","21.3","21.24","21.238","2511"
"HYND","2015-01-12","21.14","21.23","21.14","21.23","1000"
"HYND","2015-01-13","20.92","21.2","20.87","21.14","2001"
"HYND","2015-01-14","20.78","20.83","20.78","20.83","560"
"HYND","2015-01-15","20.65","20.77","20.65","20.77","485"
"HYND","2015-01-16","20.67","21.12","20.67","21.12","3726"
"HYND","2015-01-20","20.83","20.83","20.83","20.83","100"
"HYND","2015-01-21","20.55","20.91","20.45","20.91","13902"
"HYND","2015-01-22","20.52","21.0","20.52","21.0","622"
"HYND","2015-01-23","20.96","20.96","20.92","20.92","2878"
"HYND","2015-01-26","20.69","20.69","20.69","20.69","4"
"HYND","2015-01-27","20.75","20.75","20.71","20.71","1725"
"HYND","2015-01-29","20.72","20.72","20.72","20.72","129"
"HYND","2015-01-30","20.56","20.56","20.56","20.56","622"
"HYND","2015-02-03","20.63","20.71","20.61","20.695","1170"
"HYND","2015-02-04","20.87","20.87","20.87","20.87","1232"
"HYND","2015-02-05","20.85","21.07","20.85","21.07","655"
"HYND","2015-02-10","21.42","21.43","20.93","20.96","2775"
"HYND","2015-02-12","21.41","21.41","21.34","21.36","668"
"HYND","2015-02-13","21.43","21.43","21.37","21.43","7212"
"HYND","2015-02-17","21.34","21.49","21.34","21.49","1179"
"HYND","2015-02-18","21.74","21.75","21.54","21.57","4051"
"HYND","2015-02-19","21.68","21.68","21.68","21.68","660"
"HYND","2015-02-20","21.66","21.75","21.6","21.75","1826"
"HYND","2015-02-23","21.51","21.51","21.51","21.51","5000"
"HYND","2015-02-24","21.6","21.61","21.57","21.57","1516"
"HYND","2015-02-25","21.52","21.52","21.52","21.52","228"
"HYND","2015-02-26","21.49","21.5","21.49","21.49","7139"
"HYND","2015-02-27","21.51","21.51","21.51","21.51","105"
"HYND","2015-03-03","21.61","21.66","21.61","21.65","504"
"HYND","2015-03-04","21.69","21.69","21.65","21.65","2190"
"HYND","2015-03-05","21.75","21.75","21.7","21.7","1876"
"HYND","2015-03-06","21.8","21.85","21.69","21.82","4929"
"HYND","2015-03-09","21.86","21.86","21.81","21.831","1300"
"HYND","2015-03-10","21.49","21.63","21.49","21.63","2220"
"HYND","2015-03-11","21.61","21.73","21.57","21.73","3270"
"HYND","2015-03-12","21.72","21.72","21.65","21.649","1518"
"HYND","2015-03-13","21.65","21.74","21.45","21.74","5053"
"HYND","2015-03-16","21.66","21.66","21.62","21.623","1070"
"HYND","2015-03-17","21.55","21.65","21.55","21.621","1582"
"HYND","2015-03-18","21.57","21.61","21.42","21.42","10844"
"HYND","2015-03-19","21.35","21.35","21.25","21.25","2212"
"HYND","2015-03-20","21.37","21.47","21.37","21.47","600"
"HYND","2015-03-23","21.24","21.31","21.09","21.188","5209"
"HYND","2015-03-24","21.21","21.21","21.18","21.195","2012"
