"symbol","date","open","high","low","close","volume"
"IAE","2007-03-28","25.0","25.03","25.0","11.21","207900"
"IAE","2007-03-29","25.08","25.2","25.0","11.19","72900"
"IAE","2007-03-30","25.05","25.05","25.0","11.19","51800"
"IAE","2007-04-02","25.01","25.08","25.0","11.19","6800"
"IAE","2007-04-03","25.02","25.1","25.0","11.19","34500"
"IAE","2007-04-04","25.05","25.05","25.0","11.22","12400"
"IAE","2007-04-05","25.0","25.15","25.0","11.26","13900"
"IAE","2007-04-09","25.24","25.24","25.06","11.28","7400"
"IAE","2007-04-10","25.21","25.25","25.06","11.24","16700"
"IAE","2007-04-11","25.21","25.25","25.07","11.24","19900"
"IAE","2007-04-12","25.1","25.2","25.1","11.28","13300"
"IAE","2007-04-13","25.23","25.23","25.06","11.28","13500"
"IAE","2007-04-16","25.19","25.4","25.19","11.28","24100"
"IAE","2007-04-17","25.21","25.38","25.15","11.33","22600"
"IAE","2007-04-18","25.25","25.25","25.02","11.27","55700"
"IAE","2007-04-19","25.1","25.1","25.0","11.19","54700"
"IAE","2007-04-20","25.04","25.24","25.03","11.3","31900"
"IAE","2007-04-23","25.2","25.2","25.04","11.21","25700"
"IAE","2007-04-24","25.12","25.12","25.0","11.19","44000"
"IAE","2007-04-25","25.0","25.08","25.0","11.2","44100"
"IAE","2007-04-26","25.07","25.07","25.0","11.19","41100"
"IAE","2007-04-27","25.0","25.01","25.0","11.19","32200"
"IAE","2007-04-30","25.0","25.01","25.0","11.2","46500"
"IAE","2007-05-01","25.01","25.01","25.0","11.19","53700"
"IAE","2007-05-02","25.01","25.08","25.0","11.19","21100"
"IAE","2007-05-03","25.15","25.23","25.05","11.24","10300"
"IAE","2007-05-04","25.15","25.25","25.01","11.21","21600"
"IAE","2007-05-07","25.05","25.19","25.05","11.27","13800"
"IAE","2007-05-08","25.11","25.12","25.02","11.22","15200"
"IAE","2007-05-09","25.02","25.17","25.02","11.27","16600"
"IAE","2007-05-10","25.15","25.15","24.68","11.13","31200"
"IAE","2007-05-11","24.85","25.0","24.8","11.15","9100"
"IAE","2007-05-14","25.0","25.02","24.95","11.19","19800"
"IAE","2007-05-15","24.88","24.98","24.6","11.11","24000"
"IAE","2007-05-16","24.78","24.85","24.6","11.13","19500"
"IAE","2007-05-17","24.82","24.82","24.13","11.0","32100"
"IAE","2007-05-18","24.57","24.64","24.21","10.94","49400"
"IAE","2007-05-21","24.43","24.56","24.43","10.99","22900"
"IAE","2007-05-22","24.54","24.55","24.14","10.81","26600"
"IAE","2007-05-23","24.18","24.2","23.8","10.76","36800"
"IAE","2007-05-24","24.0","24.03","23.5","10.52","60100"
"IAE","2007-05-25","23.45","23.85","23.37","10.66","30600"
"IAE","2007-05-29","23.8","23.98","23.09","10.61","67400"
"IAE","2007-05-30","23.61","23.75","23.5","10.54","40600"
"IAE","2007-05-31","23.71","24.25","23.65","10.85","56700"
"IAE","2007-06-01","24.25","24.5","24.0","10.95","37200"
"IAE","2007-06-04","24.5","24.5","24.0","10.82","40500"
"IAE","2007-06-05","24.16","24.21","24.0","10.84","51200"
"IAE","2007-06-06","24.06","25.0","24.0","10.97","54900"
"IAE","2007-06-07","24.55","24.55","24.0","10.81","29800"
"IAE","2007-06-08","24.25","24.25","24.0","10.76","49700"
"IAE","2007-06-11","24.12","24.5","24.05","10.86","36100"
"IAE","2007-06-12","24.25","24.5","24.05","10.96","41100"
"IAE","2007-06-13","24.01","24.15","23.87","10.97","37100"
"IAE","2007-06-14","24.1","24.1","23.74","10.92","31800"
"IAE","2007-06-15","23.93","24.17","23.9","10.97","29300"
"IAE","2007-06-18","24.08","24.2","23.76","11.0","48400"
"IAE","2007-06-19","23.98","24.68","23.97","11.26","34900"
"IAE","2007-06-20","24.6","24.65","24.3","11.13","34400"
"IAE","2007-06-21","24.3","24.39","23.99","10.98","34400"
"IAE","2007-06-22","24.04","24.1","23.99","11.0","28200"
"IAE","2007-06-25","24.08","24.12","23.53","10.79","31300"
"IAE","2007-06-26","23.63","23.7","23.2","10.61","46700"
"IAE","2007-06-27","23.27","23.55","23.1","10.72","18300"
"IAE","2007-06-28","23.5","23.59","23.25","10.74","24100"
"IAE","2007-06-29","23.47","24.48","23.3","10.98","58600"
"IAE","2007-07-02","24.1","24.37","24.02","11.11","12900"
"IAE","2007-07-03","24.4","24.75","24.4","11.26","28500"
"IAE","2007-07-05","24.45","24.6","24.28","11.08","17300"
"IAE","2007-07-06","24.39","24.49","24.0","11.16","18100"
"IAE","2007-07-09","24.45","24.8","24.02","11.2","38100"
"IAE","2007-07-10","24.51","24.65","24.2","11.13","18100"
"IAE","2007-07-11","24.4","24.5","24.1","11.08","19400"
"IAE","2007-07-12","24.34","24.41","24.16","11.14","23600"
"IAE","2007-07-13","24.32","24.6","24.2","11.13","29000"
"IAE","2007-07-16","24.48","24.55","24.3","11.13","22300"
"IAE","2007-07-17","24.48","24.49","24.24","11.06","25700"
"IAE","2007-07-18","24.2","24.32","24.0","11.06","31400"
"IAE","2007-07-19","24.5","24.5","24.24","11.16","34800"
"IAE","2007-07-20","24.4","24.66","24.36","11.15","33600"
"IAE","2007-07-23","24.3","24.5","24.22","11.08","53700"
"IAE","2007-07-24","24.29","24.29","23.98","10.94","41500"
"IAE","2007-07-25","24.05","24.2","23.77","10.91","39700"
"IAE","2007-07-26","23.8","23.8","22.99","10.62","76200"
"IAE","2007-07-27","23.25","23.34","22.67","10.4","53700"
"IAE","2007-07-30","22.75","23.01","22.65","10.5","41300"
"IAE","2007-07-31","23.3","23.4","23.0","10.52","25800"
"IAE","2007-08-01","23.05","23.05","22.32","10.37","47100"
"IAE","2007-08-02","22.8","23.0","22.75","10.46","27800"
"IAE","2007-08-03","22.93","23.08","22.44","10.24","32000"
"IAE","2007-08-06","22.58","22.58","22.13","10.25","73000"
"IAE","2007-08-07","22.41","22.8","22.3","10.4","41600"
"IAE","2007-08-08","22.9","23.35","22.85","10.63","34500"
"IAE","2007-08-09","23.0","23.13","22.6","10.37","38100"
"IAE","2007-08-10","22.7","22.7","22.03","10.15","50300"
"IAE","2007-08-13","22.5","22.88","22.36","10.21","30300"
"IAE","2007-08-14","22.43","22.43","21.65","9.88","64100"
"IAE","2007-08-15","21.67","21.67","20.88","9.54","66900"
"IAE","2007-08-16","20.05","20.26","18.65","9.24","144900"
"IAE","2007-08-17","21.1","21.34","20.78","9.7","54300"
"IAE","2007-08-20","21.57","21.75","21.42","9.88","30100"
"IAE","2007-08-21","21.69","21.7","21.2","9.82","46800"
"IAE","2007-08-22","21.7","22.21","21.7","10.05","62600"
"IAE","2007-08-23","22.1","22.4","22.01","10.09","41800"
"IAE","2007-08-24","22.15","22.54","22.04","10.28","30100"
"IAE","2007-08-27","22.84","22.84","22.0","10.06","42500"
"IAE","2007-08-28","22.06","22.17","21.24","9.81","51600"
"IAE","2007-08-29","21.9","21.96","21.59","9.9","50200"
"IAE","2007-08-30","21.73","21.96","21.65","9.94","36900"
"IAE","2007-08-31","22.29","22.76","22.22","10.35","44500"
"IAE","2007-09-04","22.8","23.2","22.8","10.58","31000"
"IAE","2007-09-05","23.1","23.1","22.7","10.54","29000"
"IAE","2007-09-06","23.25","23.31","23.05","10.53","19200"
"IAE","2007-09-07","23.1","23.1","22.58","10.38","33100"
"IAE","2007-09-10","22.85","23.0","22.61","10.47","26800"
"IAE","2007-09-11","23.15","23.15","22.85","10.49","43700"
"IAE","2007-09-12","23.0","23.11","22.6","10.47","37500"
"IAE","2007-09-13","22.96","22.96","22.71","10.39","47200"
"IAE","2007-09-14","22.79","22.91","22.57","10.41","24500"
"IAE","2007-09-17","22.82","22.82","22.13","10.14","31500"
"IAE","2007-09-18","22.4","23.02","22.2","10.43","48000"
"IAE","2007-09-19","22.96","23.31","22.6","10.55","107100"
"IAE","2007-09-20","23.13","23.14","22.73","10.42","40700"
"IAE","2007-09-21","22.7","23.18","22.7","10.57","44700"
"IAE","2007-09-24","23.27","23.39","23.0","10.58","90000"
"IAE","2007-09-25","23.17","23.26","23.07","10.58","66900"
"IAE","2007-09-26","23.29","23.5","23.27","10.71","57500"
"IAE","2007-09-27","23.49","23.88","23.49","10.81","52200"
"IAE","2007-09-28","23.9","23.95","23.7","10.87","61400"
"IAE","2007-10-01","23.5","23.8","23.41","11.09","34400"
"IAE","2007-10-02","23.87","23.95","23.6","11.03","41500"
"IAE","2007-10-03","23.5","23.71","23.34","10.93","49900"
"IAE","2007-10-04","23.47","23.83","23.34","10.99","36500"
"IAE","2007-10-05","23.75","24.13","23.75","11.2","34200"
"IAE","2007-10-08","24.03","24.08","23.63","11.05","36700"
"IAE","2007-10-09","23.85","24.25","23.84","11.28","44700"
"IAE","2007-10-10","24.2","24.23","23.87","11.19","47500"
"IAE","2007-10-11","24.09","24.49","23.75","11.13","71300"
"IAE","2007-10-12","23.9","24.26","23.9","11.27","23800"
"IAE","2007-10-15","24.3","24.3","23.68","11.09","50900"
"IAE","2007-10-16","23.73","23.73","23.44","10.97","60600"
"IAE","2007-10-17","23.46","23.9","23.33","11.0","92100"
"IAE","2007-10-18","23.6","24.12","23.6","11.23","46600"
"IAE","2007-10-19","24.1","24.1","23.39","10.91","60900"
"IAE","2007-10-22","23.38","23.38","22.8","10.81","52600"
"IAE","2007-10-23","23.3","24.09","23.3","11.02","166300"
"IAE","2007-10-24","23.7","23.79","23.09","11.08","78200"
"IAE","2007-10-25","23.75","23.95","23.46","11.15","52100"
"IAE","2007-10-26","24.05","24.5","24.05","11.35","86600"
"IAE","2007-10-29","24.4","25.0","24.4","11.62","97000"
"IAE","2007-10-30","24.8","24.87","24.56","11.53","67000"
"IAE","2007-10-31","24.71","24.97","24.61","11.6","108500"
"IAE","2007-11-01","24.6","24.6","24.28","11.34","75800"
"IAE","2007-11-02","24.25","24.41","23.91","11.34","47000"
"IAE","2007-11-05","23.85","23.92","23.57","11.04","41300"
"IAE","2007-11-06","23.92","24.06","23.83","11.21","26100"
"IAE","2007-11-07","24.09","24.09","23.41","10.91","42000"
"IAE","2007-11-08","23.59","23.65","22.91","10.83","51200"
"IAE","2007-11-09","23.13","23.14","22.45","10.53","62400"
"IAE","2007-11-12","22.07","22.55","21.61","10.09","60000"
"IAE","2007-11-13","22.0","22.45","21.89","10.42","83100"
"IAE","2007-11-14","22.5","22.75","22.25","10.37","46000"
"IAE","2007-11-15","22.05","22.06","21.46","10.04","58400"
"IAE","2007-11-16","21.68","21.97","21.53","10.18","48800"
"IAE","2007-11-19","22.74","22.74","21.26","9.91","88100"
