"symbol","date","open","high","low","close","volume"
"ICB","1985-07-01","19.38","19.62","19.38","2.02","2600"
"ICB","1985-07-02","19.62","19.62","19.5","2.01","3400"
"ICB","1985-07-03","19.5","19.75","19.5","2.04","7800"
"ICB","1985-07-05","19.75","19.75","19.5","2.04","4800"
"ICB","1985-07-08","19.75","19.88","19.62","2.02","5800"
"ICB","1985-07-09","19.62","19.88","19.5","2.05","6000"
"ICB","1985-07-10","19.88","19.88","19.62","2.05","4900"
"ICB","1985-07-11","19.88","19.88","19.75","2.05","4600"
"ICB","1985-07-12","19.88","19.88","19.5","2.01","14200"
"ICB","1985-07-15","19.62","19.88","19.62","2.04","5500"
"ICB","1985-07-16","19.75","19.88","19.62","2.02","7100"
"ICB","1985-07-17","19.62","19.88","19.62","2.04","3400"
"ICB","1985-07-18","19.75","19.88","19.75","2.05","6200"
"ICB","1985-07-19","19.88","19.88","19.75","2.05","6200"
"ICB","1985-07-22","19.88","19.88","19.75","2.05","4100"
"ICB","1985-07-23","19.75","19.75","19.5","2.04","5400"
"ICB","1985-07-24","19.62","19.62","19.38","2.03","4700"
"ICB","1985-07-25","19.5","19.62","19.38","2.04","4700"
"ICB","1985-07-26","19.5","19.5","19.38","2.02","3100"
"ICB","1985-07-29","19.38","19.5","19.25","2.03","6700"
"ICB","1985-07-30","19.5","19.62","19.38","2.04","3800"
"ICB","1985-07-31","19.62","19.62","19.38","2.02","1300"
"ICB","1985-08-01","19.38","19.5","19.25","2.0","3000"
"ICB","1985-08-02","19.25","19.5","19.25","2.03","3700"
"ICB","1985-08-05","19.38","19.38","19.25","2.0","4400"
"ICB","1985-08-06","19.25","19.25","19.25","2.0","3300"
"ICB","1985-08-07","19.25","19.38","19.12","2.0","7300"
"ICB","1985-08-08","19.25","19.5","19.12","1.99","4700"
"ICB","1985-08-09","19.12","19.38","19.12","2.02","2200"
"ICB","1985-08-12","19.38","19.38","19.12","1.99","5700"
"ICB","1985-08-13","19.12","19.25","19.12","1.99","5800"
"ICB","1985-08-14","19.12","19.25","19.0","2.0","8600"
"ICB","1985-08-15","19.25","19.38","19.12","2.0","3100"
"ICB","1985-08-16","19.25","19.25","19.12","2.0","1300"
"ICB","1985-08-19","19.25","19.38","19.12","1.99","4100"
"ICB","1985-08-20","19.25","19.38","19.25","2.02","5000"
"ICB","1985-08-21","19.38","19.38","19.12","2.02","3500"
"ICB","1985-08-22","19.38","19.38","19.25","2.0","4200"
"ICB","1985-08-23","19.25","19.38","19.12","2.0","7300"
"ICB","1985-08-26","19.12","19.12","18.88","1.98","6400"
"ICB","1985-08-27","18.88","19.0","18.88","1.99","2000"
"ICB","1985-08-28","19.0","19.12","18.88","1.99","6200"
"ICB","1985-08-29","19.0","19.25","18.88","1.99","3800"
"ICB","1985-08-30","19.0","19.12","19.0","2.01","4600"
"ICB","1985-09-03","18.88","18.88","18.88","1.98","2300"
"ICB","1985-09-04","19.0","19.12","19.0","1.99","2700"
"ICB","1985-09-05","19.0","19.12","19.0","1.99","3600"
"ICB","1985-09-06","19.0","19.12","18.88","1.98","4800"
"ICB","1985-09-09","18.88","19.12","18.88","1.98","2500"
"ICB","1985-09-10","18.88","19.0","18.88","1.99","8700"
"ICB","1985-09-11","19.0","19.0","18.88","1.98","2000"
"ICB","1985-09-12","19.0","19.12","19.0","1.99","3200"
"ICB","1985-09-13","19.0","19.12","19.0","1.99","3500"
"ICB","1985-09-16","19.0","19.12","19.0","1.99","2000"
"ICB","1985-09-17","19.0","19.12","18.88","1.99","3800"
"ICB","1985-09-18","19.0","19.12","18.88","2.01","4900"
"ICB","1985-09-19","19.12","19.12","18.88","1.98","3800"
"ICB","1985-09-20","18.88","19.12","18.88","1.98","2400"
"ICB","1985-09-23","18.88","19.0","18.62","1.99","3300"
"ICB","1985-09-24","18.75","19.0","18.75","2.01","700"
"ICB","1985-09-25","19.0","19.0","18.75","2.01","3200"
"ICB","1985-09-26","19.0","19.0","18.88","2.0","5000"
"ICB","1985-09-30","18.88","18.88","18.75","1.99","4900"
"ICB","1985-10-01","18.75","19.0","18.75","1.99","4000"
"ICB","1985-10-02","18.88","19.0","18.88","2.01","3600"
"ICB","1985-10-03","19.0","19.12","19.0","2.01","2800"
"ICB","1985-10-04","19.0","19.12","19.0","2.01","1400"
"ICB","1985-10-07","19.0","19.12","19.0","2.03","9200"
"ICB","1985-10-08","19.12","19.12","18.88","2.01","6000"
"ICB","1985-10-09","19.12","19.25","19.12","2.04","2600"
"ICB","1985-10-10","19.25","19.25","19.12","2.03","2600"
"ICB","1985-10-11","19.12","19.25","19.12","2.04","1700"
"ICB","1985-10-14","19.25","19.25","19.0","2.01","3800"
"ICB","1985-10-15","19.0","19.25","19.0","2.01","2600"
