"symbol","date","open","high","low","close","volume"
"IDA","1986-10-17","29.0","29.0","28.62","6.21","1649000"
"IDA","1986-10-20","28.5","28.62","28.5","6.23","141000"
"IDA","1986-10-21","28.5","28.88","28.5","6.28","58300"
"IDA","1986-10-22","28.75","29.12","28.75","6.36","54300"
"IDA","1986-10-23","29.0","29.12","28.88","6.34","30800"
"IDA","1986-10-24","29.0","29.0","28.75","6.31","30100"
"IDA","1986-10-27","28.62","28.88","28.38","6.23","18900"
"IDA","1986-10-28","28.5","28.75","28.5","6.23","19000"
"IDA","1986-10-29","28.5","28.88","28.38","6.25","23900"
"IDA","1986-10-30","28.75","29.0","28.38","6.2","27000"
"IDA","1986-10-31","28.12","28.5","28.12","6.23","27100"
"IDA","1986-11-03","28.75","28.75","28.12","6.17","18100"
"IDA","1986-11-04","28.0","28.62","28.0","6.23","17800"
"IDA","1986-11-05","28.5","28.88","28.5","6.31","24400"
"IDA","1986-11-06","28.62","29.0","28.62","6.25","35500"
"IDA","1986-11-07","28.62","28.88","28.62","6.25","25700"
"IDA","1986-11-10","28.62","29.0","28.62","6.34","41000"
"IDA","1986-11-11","29.0","29.0","28.62","6.25","19500"
"IDA","1986-11-12","28.75","28.75","28.5","6.25","22900"
"IDA","1986-11-13","28.5","28.75","28.5","6.25","20500"
"IDA","1986-11-14","28.5","28.62","28.25","6.25","21600"
"IDA","1986-11-17","28.38","28.38","28.0","6.12","26500"
"IDA","1986-11-18","27.75","28.0","27.5","6.01","17900"
"IDA","1986-11-19","27.62","27.62","26.88","6.04","45000"
"IDA","1986-11-20","27.88","28.0","27.62","6.12","25900"
"IDA","1986-11-21","28.0","28.25","27.88","6.12","40700"
"IDA","1986-11-24","27.88","28.25","27.88","6.12","38600"
"IDA","1986-11-25","28.0","28.25","28.0","6.12","66900"
"IDA","1986-11-26","28.12","28.12","27.88","6.12","67800"
"IDA","1986-11-28","28.0","28.12","27.88","6.09","24900"
"IDA","1986-12-01","27.88","28.25","27.62","6.09","36900"
"IDA","1986-12-02","27.88","28.5","27.88","6.23","54200"
"IDA","1986-12-03","28.25","28.5","28.12","6.23","31900"
"IDA","1986-12-04","28.25","28.5","28.0","6.17","30300"
"IDA","1986-12-05","28.38","28.5","28.0","6.23","41000"
"IDA","1986-12-08","28.38","28.62","28.25","6.23","44800"
"IDA","1986-12-09","28.38","28.75","28.25","6.25","49700"
"IDA","1986-12-10","28.62","28.62","28.38","6.25","32700"
"IDA","1986-12-11","28.62","28.62","28.5","6.23","38100"
"IDA","1986-12-12","28.5","28.88","28.38","6.31","56100"
"IDA","1986-12-15","28.62","29.0","28.5","6.28","35500"
"IDA","1986-12-16","28.62","28.75","28.5","6.25","36100"
"IDA","1986-12-17","28.5","28.62","28.38","6.25","37300"
"IDA","1986-12-18","28.38","28.5","28.25","6.2","36300"
"IDA","1986-12-19","28.25","28.25","27.5","6.06","36500"
"IDA","1986-12-22","27.5","27.62","26.5","5.87","51500"
"IDA","1986-12-23","26.88","27.12","26.12","5.79","88600"
"IDA","1986-12-24","26.25","26.62","26.12","5.79","38900"
"IDA","1986-12-26","26.25","26.62","26.12","5.73","47100"
"IDA","1986-12-29","26.25","26.5","26.12","5.79","51200"
"IDA","1986-12-30","26.38","26.5","26.12","5.79","30100"
"IDA","1986-12-31","26.38","26.5","26.0","5.73","43900"
"IDA","1987-01-02","26.5","26.88","26.12","5.82","20200"
"IDA","1987-01-05","26.75","28.25","26.75","6.17","24800"
"IDA","1987-01-06","28.5","28.75","28.25","6.17","22100"
"IDA","1987-01-07","28.5","28.75","28.38","6.2","23900"
"IDA","1987-01-08","28.5","28.75","28.38","6.25","36700"
"IDA","1987-01-09","28.38","28.62","28.0","6.2","69600"
"IDA","1987-01-12","28.12","29.5","28.0","6.36","143900"
"IDA","1987-01-13","29.12","29.5","29.0","6.42","29600"
"IDA","1987-01-14","29.62","30.0","29.38","6.55","64600"
"IDA","1987-01-15","29.75","30.25","29.62","6.61","60000"
"IDA","1987-01-16","30.0","30.12","29.88","6.55","81000"
"IDA","1987-01-19","30.12","30.25","30.0","6.55","96400"
"IDA","1987-01-20","29.75","29.75","28.5","6.6","41300"
"IDA","1987-01-21","29.5","29.75","29.12","6.54","44000"
"IDA","1987-01-22","29.25","29.5","29.0","6.46","21600"
"IDA","1987-01-23","29.0","29.38","28.38","6.32","61600"
"IDA","1987-01-26","28.5","28.5","28.0","6.24","37500"
"IDA","1987-01-27","28.0","28.25","27.88","6.24","20000"
"IDA","1987-01-28","27.88","28.0","27.5","6.15","28300"
"IDA","1987-01-29","27.62","27.88","27.5","6.1","31000"
"IDA","1987-01-30","27.5","27.62","27.0","6.02","40400"
"IDA","1987-02-02","27.12","27.5","27.12","6.1","31400"
"IDA","1987-02-03","27.62","28.25","27.5","6.21","58400"
"IDA","1987-02-04","28.12","28.25","28.0","6.27","48600"
"IDA","1987-02-05","28.25","28.5","28.0","6.27","21800"
"IDA","1987-02-06","28.0","28.38","28.0","6.24","28000"
"IDA","1987-02-09","28.38","28.38","27.75","6.18","34300"
"IDA","1987-02-10","27.88","27.88","27.5","6.13","48500"
"IDA","1987-02-11","27.38","27.5","27.0","6.1","24100"
"IDA","1987-02-12","27.38","27.5","26.88","5.99","29200"
"IDA","1987-02-13","26.88","27.12","26.75","5.96","33700"
"IDA","1987-02-17","26.88","27.0","26.12","5.82","43500"
"IDA","1987-02-18","26.0","26.25","25.75","5.79","77500"
"IDA","1987-02-19","26.12","26.25","25.88","5.77","83700"
"IDA","1987-02-20","26.12","26.25","25.88","5.79","61300"
"IDA","1987-02-23","26.0","26.38","25.88","5.82","63100"
"IDA","1987-02-24","26.38","27.0","26.25","5.88","18100"
"IDA","1987-02-25","26.62","27.0","26.5","5.93","20800"
"IDA","1987-02-26","26.75","26.88","26.62","5.93","18500"
"IDA","1987-02-27","26.88","27.0","26.75","5.93","65400"
"IDA","1987-03-02","27.0","27.12","26.88","5.99","55300"
"IDA","1987-03-03","26.88","27.12","26.62","5.91","93500"
"IDA","1987-03-04","26.5","27.0","26.5","5.99","41800"
"IDA","1987-03-05","27.12","27.5","27.0","5.99","20900"
"IDA","1987-03-06","26.88","27.38","26.88","6.04","57400"
"IDA","1987-03-09","27.12","27.75","27.12","6.1","51100"
