"symbol","date","open","high","low","close","volume"
"III","2007-02-12","7.35","7.5","7.35","7.38","744900"
"III","2007-02-13","7.51","7.51","7.46","7.46","518100"
"III","2007-02-14","7.47","7.47","7.4","7.4","33100"
"III","2007-02-15","7.4","7.4","7.4","7.4","7300"
"III","2007-02-16","7.41","7.41","7.41","7.41","25700"
"III","2007-02-20","7.42","7.42","7.4","7.42","4500"
"III","2007-02-21","7.43","7.43","7.43","7.43","6000"
"III","2007-02-22","7.44","7.44","7.38","7.4","14000"
"III","2007-02-23","7.44","7.44","7.39","7.4","27100"
"III","2007-02-26","7.4","7.42","7.36","7.4","123100"
"III","2007-02-27","7.4","7.4","7.4","7.4","0"
"III","2007-02-28","7.39","7.39","7.39","7.39","100"
"III","2007-03-01","7.39","7.42","7.34","7.34","500"
"III","2007-03-02","7.31","7.32","7.26","7.26","11600"
"III","2007-03-05","7.35","7.35","7.32","7.33","29000"
"III","2007-03-06","7.38","7.41","7.38","7.41","70300"
"III","2007-03-07","7.39","7.42","7.33","7.42","112900"
"III","2007-03-08","7.4","7.42","7.39","7.4","466200"
"III","2007-03-09","7.4","7.45","7.4","7.45","4700"
"III","2007-03-12","7.45","7.45","7.42","7.42","16000"
"III","2007-03-13","7.42","7.42","7.42","7.42","50000"
"III","2007-03-14","7.4","7.45","7.35","7.42","188000"
"III","2007-03-15","7.45","7.45","7.41","7.41","5600"
"III","2007-03-16","7.44","7.44","7.42","7.43","1800"
"III","2007-03-19","7.44","7.44","7.4","7.42","67900"
"III","2007-03-20","7.42","7.44","7.4","7.4","152100"
"III","2007-03-21","7.45","7.45","7.4","7.45","47600"
"III","2007-03-22","7.45","7.49","7.42","7.45","55500"
"III","2007-03-23","7.45","7.49","7.4","7.48","36000"
"III","2007-03-26","7.45","7.45","7.45","7.45","900"
"III","2007-03-27","7.42","7.44","7.41","7.41","66400"
"III","2007-03-28","7.45","7.45","7.45","7.45","5100"
"III","2007-03-29","7.41","7.62","7.38","7.54","274800"
"III","2007-03-30","7.54","7.6","7.43","7.46","626100"
"III","2007-04-02","7.47","7.52","7.4","7.48","179400"
"III","2007-04-03","7.43","7.45","7.43","7.45","58500"
"III","2007-04-04","7.45","7.45","7.4","7.4","119600"
"III","2007-04-05","7.41","7.43","7.39","7.43","73700"
"III","2007-04-09","7.42","7.55","7.41","7.42","83600"
"III","2007-04-10","7.41","7.51","7.41","7.45","310100"
"III","2007-04-11","7.46","7.5","7.44","7.46","638200"
"III","2007-04-12","7.44","7.5","7.41","7.5","149900"
"III","2007-04-13","7.49","7.49","7.4","7.45","164800"
"III","2007-04-16","7.49","7.5","7.44","7.45","37800"
"III","2007-04-17","7.44","7.5","7.43","7.48","53500"
"III","2007-04-18","7.45","7.46","7.42","7.42","36700"
"III","2007-04-19","7.41","7.45","7.41","7.44","54200"
"III","2007-04-20","7.44","7.55","7.41","7.48","95000"
"III","2007-04-23","7.47","7.47","7.4","7.41","12500"
"III","2007-04-24","7.4","7.48","7.4","7.47","35400"
"III","2007-04-25","7.6","7.7","7.57","7.68","524700"
"III","2007-04-26","7.63","7.65","7.58","7.64","338600"
"III","2007-04-27","7.63","7.65","7.6","7.61","238600"
"III","2007-04-30","7.61","7.63","7.55","7.63","124000"
"III","2007-05-01","7.63","7.64","7.55","7.64","44100"
"III","2007-05-02","7.62","7.7","7.55","7.59","308300"
"III","2007-05-03","7.58","7.6","7.55","7.57","57000"
"III","2007-05-04","7.59","7.6","7.54","7.59","102600"
"III","2007-05-07","7.56","7.56","7.53","7.55","54200"
"III","2007-05-08","7.54","7.55","7.5","7.52","61200"
"III","2007-05-09","7.51","7.57","7.5","7.51","40400"
"III","2007-05-10","7.5","7.57","7.5","7.51","91800"
"III","2007-05-11","7.55","7.58","7.52","7.53","39900"
"III","2007-05-14","7.52","7.54","7.51","7.53","102200"
"III","2007-05-15","7.51","7.54","7.5","7.53","80000"
