"symbol","date","open","high","low","close","volume"
"IMKTA","1990-03-26","10.12","10.38","10.12","3.33","23300"
"IMKTA","1990-03-27","10.0","10.12","10.0","3.25","35300"
"IMKTA","1990-03-28","10.0","10.25","10.0","3.25","7900"
"IMKTA","1990-03-29","10.25","10.25","10.0","3.25","29500"
"IMKTA","1990-03-30","10.12","10.25","10.0","3.33","25900"
"IMKTA","1990-04-02","10.0","10.0","9.75","3.17","12600"
"IMKTA","1990-04-03","9.75","9.75","9.75","3.17","900"
"IMKTA","1990-04-04","9.88","10.0","9.75","3.17","20900"
"IMKTA","1990-04-05","9.75","9.88","9.5","3.17","14500"
"IMKTA","1990-04-06","9.5","9.75","9.5","3.17","23200"
"IMKTA","1990-04-09","9.75","9.75","9.5","3.09","16400"
"IMKTA","1990-04-10","9.75","9.75","9.5","3.17","9600"
"IMKTA","1990-04-11","9.75","9.88","9.75","3.17","33000"
"IMKTA","1990-04-12","9.62","9.88","9.62","3.21","4300"
"IMKTA","1990-04-16","9.62","9.88","9.62","3.13","3600"
"IMKTA","1990-04-17","9.62","9.88","9.38","3.13","24200"
"IMKTA","1990-04-18","9.38","9.62","9.12","3.09","17900"
"IMKTA","1990-04-19","9.38","9.38","9.0","3.05","43300"
"IMKTA","1990-04-20","9.25","9.5","9.12","3.0","62800"
"IMKTA","1990-04-23","9.25","9.25","9.0","2.96","14200"
"IMKTA","1990-04-24","9.25","9.38","9.0","2.96","36300"
"IMKTA","1990-04-25","9.0","9.25","8.88","2.96","7100"
"IMKTA","1990-04-26","8.88","9.12","8.88","2.92","31800"
"IMKTA","1990-04-27","9.12","9.12","8.88","2.92","20200"
"IMKTA","1990-04-30","9.12","9.12","8.88","2.96","3100"
"IMKTA","1990-05-01","9.0","9.12","8.88","2.92","29800"
"IMKTA","1990-05-02","8.88","9.0","8.75","2.92","51200"
"IMKTA","1990-05-03","9.0","9.0","8.75","2.92","32300"
"IMKTA","1990-05-04","9.0","9.0","8.75","2.88","4700"
"IMKTA","1990-05-07","8.75","9.0","8.75","2.92","21400"
"IMKTA","1990-05-08","8.88","9.5","8.88","3.09","100100"
"IMKTA","1990-05-09","9.62","9.75","9.38","3.17","72200"
"IMKTA","1990-05-10","9.5","9.88","9.5","3.17","20200"
"IMKTA","1990-05-11","9.75","9.75","9.25","3.0","75600"
"IMKTA","1990-05-14","9.25","9.5","9.0","3.05","61400"
"IMKTA","1990-05-15","9.38","9.38","9.25","3.0","35000"
"IMKTA","1990-05-16","9.25","9.38","9.12","2.96","10100"
"IMKTA","1990-05-17","9.38","9.38","8.88","2.88","20700"
"IMKTA","1990-05-18","8.88","9.0","8.88","2.88","7700"
"IMKTA","1990-05-21","9.0","9.12","8.88","2.9","5800"
"IMKTA","1990-05-22","9.12","9.12","8.88","2.9","23700"
"IMKTA","1990-05-23","8.75","8.88","8.5","2.86","23100"
"IMKTA","1990-05-24","8.5","8.88","8.5","2.82","13300"
"IMKTA","1990-05-25","8.88","9.0","8.62","2.86","19900"
"IMKTA","1990-05-29","8.75","9.0","8.75","2.94","11900"
"IMKTA","1990-05-30","9.0","9.0","8.75","2.86","14400"
"IMKTA","1990-05-31","8.88","9.0","8.62","2.82","15700"
"IMKTA","1990-06-01","8.75","8.88","8.62","2.9","13400"
"IMKTA","1990-06-04","8.88","9.0","8.62","2.9","21800"
"IMKTA","1990-06-05","8.62","8.88","8.62","2.86","9300"
"IMKTA","1990-06-06","8.88","9.0","8.75","2.94","18100"
"IMKTA","1990-06-07","8.88","9.0","8.75","2.86","5000"
"IMKTA","1990-06-08","8.88","9.0","8.62","2.82","36400"
"IMKTA","1990-06-11","8.62","8.75","8.5","2.78","9700"
"IMKTA","1990-06-12","8.75","9.0","8.5","2.94","42700"
"IMKTA","1990-06-13","8.75","9.0","8.62","2.9","30200"
"IMKTA","1990-06-14","8.62","8.75","8.62","2.82","15800"
"IMKTA","1990-06-15","8.75","8.75","8.62","2.82","16300"
"IMKTA","1990-06-18","8.75","8.88","8.5","2.9","34800"
"IMKTA","1990-06-19","8.75","9.25","8.75","3.02","47400"
"IMKTA","1990-06-20","9.25","9.5","9.12","3.11","79700"
"IMKTA","1990-06-21","9.62","9.88","9.5","3.23","213400"
"IMKTA","1990-06-22","9.88","9.88","9.38","3.11","66700"
"IMKTA","1990-06-25","9.25","9.62","9.25","3.11","19600"
"IMKTA","1990-06-26","9.38","9.5","9.12","3.02","33600"
"IMKTA","1990-06-27","9.0","9.25","9.0","3.02","12100"
"IMKTA","1990-06-28","9.0","9.25","9.0","2.94","7200"
"IMKTA","1990-06-29","9.0","9.25","8.75","2.9","33700"
"IMKTA","1990-07-02","9.0","9.0","8.88","2.94","9100"
"IMKTA","1990-07-03","9.0","9.0","8.88","2.94","9400"
"IMKTA","1990-07-05","9.12","9.5","9.0","3.11","49700"
"IMKTA","1990-07-06","9.5","9.62","9.38","3.15","79300"
"IMKTA","1990-07-09","9.62","9.62","9.5","3.15","142400"
"IMKTA","1990-07-10","9.62","9.75","9.38","3.15","37200"
"IMKTA","1990-07-11","9.62","9.62","9.38","3.06","18100"
"IMKTA","1990-07-12","9.38","9.62","9.38","3.15","36500"
"IMKTA","1990-07-13","9.38","9.75","9.38","3.19","63600"
"IMKTA","1990-07-16","9.5","9.75","9.5","3.15","28600"
"IMKTA","1990-07-17","9.5","9.88","9.5","3.15","115000"
"IMKTA","1990-07-18","9.5","9.62","9.38","3.06","20600"
"IMKTA","1990-07-19","9.38","9.62","9.38","3.06","27400"
"IMKTA","1990-07-20","9.38","9.62","9.25","3.02","13100"
"IMKTA","1990-07-23","9.5","9.5","9.0","2.94","46600"
"IMKTA","1990-07-24","9.25","9.25","9.0","2.94","14800"
"IMKTA","1990-07-25","9.12","9.38","9.0","3.06","35200"
"IMKTA","1990-07-26","9.12","9.5","9.12","3.06","5900"
"IMKTA","1990-07-27","9.12","9.38","9.12","2.98","16500"
"IMKTA","1990-07-30","9.12","9.38","8.75","2.94","47400"
"IMKTA","1990-07-31","9.0","9.0","8.75","2.86","68800"
"IMKTA","1990-08-01","8.75","9.0","8.75","2.86","39500"
"IMKTA","1990-08-02","8.75","8.75","8.38","2.86","38300"
"IMKTA","1990-08-03","8.75","8.88","8.38","2.86","61100"
"IMKTA","1990-08-06","8.75","8.88","8.38","2.74","59600"
"IMKTA","1990-08-07","9.0","10.12","8.88","3.27","218600"
"IMKTA","1990-08-08","10.0","10.0","9.5","3.11","62700"
"IMKTA","1990-08-09","9.75","9.88","9.5","3.15","76800"
"IMKTA","1990-08-10","9.75","9.75","9.12","3.11","274500"
"IMKTA","1990-08-13","9.5","9.5","9.25","3.06","31000"
"IMKTA","1990-08-14","9.25","9.38","9.12","3.06","34800"
"IMKTA","1990-08-15","9.12","9.38","9.12","3.02","56400"
"IMKTA","1990-08-16","9.38","9.38","9.12","3.06","49800"
"IMKTA","1990-08-17","9.12","9.38","9.0","3.02","62500"
"IMKTA","1990-08-20","9.25","9.5","9.0","3.02","42600"
"IMKTA","1990-08-21","9.5","9.62","9.12","3.06","94600"
"IMKTA","1990-08-22","9.5","10.0","9.5","3.23","156300"
"IMKTA","1990-08-23","9.5","9.62","9.12","3.06","85400"
"IMKTA","1990-08-24","9.38","10.12","9.38","3.27","155200"
"IMKTA","1990-08-27","10.0","10.25","9.75","3.27","105000"
"IMKTA","1990-08-28","10.12","10.12","9.62","3.27","107700"
"IMKTA","1990-08-29","10.12","10.12","9.5","3.19","51500"
"IMKTA","1990-08-30","9.75","9.75","9.12","3.06","200600"
"IMKTA","1990-08-31","9.5","9.75","9.38","3.19","123800"
"IMKTA","1990-09-04","9.38","9.62","9.38","3.11","20100"
"IMKTA","1990-09-05","9.62","9.62","9.38","3.11","19200"
"IMKTA","1990-09-06","9.5","9.5","9.12","2.98","11900"
"IMKTA","1990-09-07","9.38","9.38","9.0","3.06","17700"
"IMKTA","1990-09-10","9.5","9.5","9.12","3.06","3200"
"IMKTA","1990-09-11","9.12","9.38","8.88","2.98","18000"
"IMKTA","1990-09-12","8.88","9.12","8.75","2.86","32000"
"IMKTA","1990-09-13","9.0","9.0","8.75","2.9","13700"
"IMKTA","1990-09-14","8.88","9.0","8.88","2.94","28100"
"IMKTA","1990-09-17","9.0","9.12","8.88","2.9","19200"
"IMKTA","1990-09-18","9.0","9.12","8.75","2.9","40900"
