"symbol","date","open","high","low","close","volume"
"INS","1995-08-18","2.06","2.12","2.0","1.88","2900"
"INS","1995-08-21","2.12","2.12","2.0","1.88","1500"
"INS","1995-08-22","2.0","2.0","2.0","1.88","200"
"INS","1995-08-23","2.0","2.0","2.0","1.88","500"
"INS","1995-08-24","2.06","2.06","2.0","1.88","5100"
"INS","1995-08-25","2.0","2.0","2.0","1.88","2000"
"INS","1995-08-28","2.0","2.0","1.94","1.82","8700"
"INS","1995-08-29","1.81","1.88","1.75","1.7","7900"
"INS","1995-08-30","1.94","1.94","1.94","1.82","1000"
"INS","1995-08-31","1.94","1.94","1.94","1.82","0"
"INS","1995-09-01","2.0","2.0","2.0","1.88","11200"
"INS","1995-09-05","2.0","2.0","1.88","1.76","2600"
"INS","1995-09-06","1.88","1.88","1.75","1.65","31400"
"INS","1995-09-07","1.88","1.88","1.75","1.65","1400"
"INS","1995-09-08","1.75","1.75","1.75","1.65","3000"
"INS","1995-09-11","1.88","2.0","1.88","1.82","2200"
"INS","1995-09-12","2.0","2.0","2.0","1.88","7100"
"INS","1995-09-13","1.94","2.19","1.94","2.06","17200"
"INS","1995-09-14","2.25","2.44","2.25","2.12","30300"
"INS","1995-09-15","2.25","2.25","2.12","2.0","5400"
"INS","1995-09-18","2.25","2.38","2.25","2.23","10400"
"INS","1995-09-19","2.38","2.5","2.31","2.29","31900"
"INS","1995-09-20","2.38","2.44","2.38","2.29","7500"
"INS","1995-09-21","2.38","2.38","2.38","2.23","10800"
"INS","1995-09-22","2.38","2.38","2.38","2.23","200"
"INS","1995-09-25","2.31","2.38","2.31","2.23","7800"
"INS","1995-09-26","2.44","2.44","2.31","2.18","2200"
"INS","1995-09-27","2.25","2.44","2.25","2.23","35700"
"INS","1995-09-28","2.38","2.44","2.25","2.29","4100"
"INS","1995-09-29","2.44","2.44","2.44","2.29","2000"
"INS","1995-10-02","2.31","2.38","2.19","2.12","9000"
"INS","1995-10-03","2.25","2.25","2.25","2.12","0"
"INS","1995-10-04","2.25","2.25","2.12","2.0","600"
"INS","1995-10-05","2.25","2.25","2.19","2.06","1100"
"INS","1995-10-06","2.19","2.5","2.19","2.35","4500"
"INS","1995-10-09","2.38","2.38","2.25","2.12","9600"
"INS","1995-10-10","2.38","2.38","2.38","2.23","1000"
"INS","1995-10-11","2.5","2.5","2.5","2.35","2600"
"INS","1995-10-12","2.44","2.44","2.25","2.12","4700"
"INS","1995-10-13","2.38","2.38","2.31","2.23","2800"
"INS","1995-10-16","2.38","2.38","2.25","2.12","800"
"INS","1995-10-17","2.25","2.38","2.25","2.23","5900"
"INS","1995-10-18","2.31","2.31","2.25","2.12","600"
"INS","1995-10-19","2.25","2.31","2.06","2.18","10300"
"INS","1995-10-20","2.38","2.38","2.25","2.12","5400"
"INS","1995-10-23","2.25","2.25","2.0","1.88","3100"
"INS","1995-10-24","2.0","2.0","2.0","1.88","100"
"INS","1995-10-25","2.0","2.0","2.0","1.88","0"
"INS","1995-10-26","2.0","2.0","1.94","1.82","4900"
"INS","1995-10-27","2.0","2.75","2.0","2.35","56400"
"INS","1995-10-30","2.5","2.5","2.44","2.35","4300"
"INS","1995-10-31","2.5","2.62","2.38","2.29","5600"
"INS","1995-11-01","2.5","2.5","2.44","2.29","3800"
"INS","1995-11-02","2.5","2.5","2.38","2.35","6100"
"INS","1995-11-03","2.25","2.38","2.25","2.23","12000"
"INS","1995-11-06","2.25","2.5","2.0","2.35","11700"
"INS","1995-11-07","2.5","2.5","2.5","2.35","0"
"INS","1995-11-08","2.5","2.5","2.38","2.23","3800"
"INS","1995-11-09","2.5","2.5","2.31","2.35","9600"
"INS","1995-11-10","2.38","2.5","2.31","2.35","2900"
"INS","1995-11-13","2.38","2.5","2.38","2.35","1100"
"INS","1995-11-14","2.38","2.38","2.38","2.23","600"
"INS","1995-11-15","2.38","2.38","2.25","2.12","2000"
"INS","1995-11-16","2.31","2.38","2.19","2.23","2600"
"INS","1995-11-17","2.25","2.25","2.25","2.12","400"
"INS","1995-11-20","2.25","2.25","2.19","2.06","1900"
"INS","1995-11-21","2.25","2.31","2.19","2.12","2300"
"INS","1995-11-22","2.12","2.25","2.12","2.06","1800"
"INS","1995-11-24","2.12","2.25","2.12","2.12","2000"
"INS","1995-11-27","2.25","2.25","2.25","2.12","700"
"INS","1995-11-28","2.25","2.44","2.25","2.29","9000"
"INS","1995-11-29","2.38","2.38","2.31","2.18","5500"
"INS","1995-11-30","2.38","2.38","2.25","2.12","3500"
"INS","1995-12-01","2.38","2.38","2.25","2.12","1600"
"INS","1995-12-04","2.31","2.31","2.19","2.12","1000"
