"symbol","date","open","high","low","close","volume"
"INTLL","2013-08-07","25.02","25.2","25.0","22.54","35700"
"INTLL","2013-08-08","25.13","25.18","25.13","22.64","9500"
"INTLL","2013-08-09","25.22","25.22","25.0","22.53","212500"
"INTLL","2013-08-12","25.09","25.2","25.09","22.71","2000"
"INTLL","2013-08-13","25.15","25.25","25.1","22.62","10500"
"INTLL","2013-08-14","25.1","27.73","25.1","24.99","7600"
"INTLL","2013-08-15","25.25","26.0","25.25","22.98","6700"
"INTLL","2013-08-16","26.0","26.0","25.5","23.43","4300"
"INTLL","2013-08-19","25.5","25.5","25.0","22.53","6000"
"INTLL","2013-08-20","26.0","26.0","25.0","22.53","7800"
"INTLL","2013-08-21","25.4","25.4","25.4","22.89","400"
"INTLL","2013-08-22","25.4","25.4","25.4","22.89","0"
"INTLL","2013-08-23","25.49","25.5","25.4","22.98","3100"
"INTLL","2013-08-26","25.5","25.5","25.25","22.75","2300"
"INTLL","2013-08-27","25.6","26.0","25.1","23.43","6600"
"INTLL","2013-08-28","25.8","25.8","25.5","23.02","2900"
"INTLL","2013-08-29","25.8","25.8","25.25","22.75","900"
"INTLL","2013-08-30","25.25","25.25","25.25","22.75","0"
"INTLL","2013-09-03","25.25","25.25","25.25","22.75","0"
"INTLL","2013-09-04","25.5","25.5","25.25","22.98","4200"
"INTLL","2013-09-05","25.75","25.75","25.01","23.2","5000"
"INTLL","2013-09-06","25.25","25.45","25.25","22.93","1100"
"INTLL","2013-09-09","25.25","25.25","25.25","22.75","1000"
"INTLL","2013-09-10","25.28","25.4","25.25","22.75","5500"
"INTLL","2013-09-11","25.75","25.75","25.75","23.2","400"
"INTLL","2013-09-12","25.64","25.75","25.64","23.19","1900"
"INTLL","2013-09-13","25.26","25.75","25.25","23.11","2500"
"INTLL","2013-09-16","25.75","25.75","25.35","22.84","2500"
"INTLL","2013-09-17","25.75","25.75","25.3","23.2","5600"
"INTLL","2013-09-18","25.25","25.25","25.25","22.75","500"
"INTLL","2013-09-19","25.75","25.75","25.5","23.2","7600"
"INTLL","2013-09-20","25.5","25.75","25.5","23.2","5400"
"INTLL","2013-09-23","25.75","25.75","25.31","23.19","6500"
"INTLL","2013-09-24","25.02","25.75","25.02","23.2","5200"
"INTLL","2013-09-25","25.7","25.7","25.5","22.98","400"
"INTLL","2013-09-26","25.55","25.75","25.5","22.98","2200"
"INTLL","2013-09-27","25.5","25.5","25.5","22.98","1100"
"INTLL","2013-09-30","25.5","25.5","25.5","22.98","0"
"INTLL","2013-10-01","25.5","25.7","25.5","23.16","10400"
"INTLL","2013-10-02","25.7","25.7","25.7","23.16","0"
"INTLL","2013-10-03","25.7","25.7","25.7","23.16","0"
"INTLL","2013-10-04","25.7","25.75","25.5","23.2","6000"
"INTLL","2013-10-07","25.75","25.75","25.75","23.2","3800"
"INTLL","2013-10-08","25.74","25.75","25.74","23.2","900"
"INTLL","2013-10-09","25.6","26.0","25.6","23.34","3800"
"INTLL","2013-10-10","25.6","25.6","25.3","23.32","1400"
"INTLL","2013-10-11","25.65","25.75","25.5","23.64","6600"
"INTLL","2013-10-14","25.69","25.69","25.5","23.61","2900"
"INTLL","2013-10-15","25.6","25.6","25.6","23.59","800"
"INTLL","2013-10-16","25.5","25.74","25.5","23.64","2600"
"INTLL","2013-10-17","25.65","25.65","25.65","23.64","2300"
"INTLL","2013-10-18","25.75","25.75","25.5","23.5","2500"
"INTLL","2013-10-21","25.75","25.75","25.75","23.73","800"
"INTLL","2013-10-22","25.75","25.75","25.31","23.33","1400"
"INTLL","2013-10-23","25.75","25.75","25.45","23.46","2000"
"INTLL","2013-10-24","25.45","25.45","25.45","23.46","0"
"INTLL","2013-10-25","28.08","28.08","26.25","24.19","2600"
"INTLL","2013-10-28","25.75","25.75","25.35","23.36","1300"
"INTLL","2013-10-29","25.75","25.75","25.75","23.73","200"
