"symbol","date","open","high","low","close","volume"
"IPAS","2003-07-24","18.5","19.6","18.0","18.67","6361200"
"IPAS","2003-07-25","18.9","19.0","17.98","18.15","949800"
"IPAS","2003-07-28","18.27","18.3","17.9","18.15","621200"
"IPAS","2003-07-29","18.06","18.35","17.5","17.6","428800"
"IPAS","2003-07-30","17.55","18.5","17.52","18.5","358600"
"IPAS","2003-07-31","18.5","18.55","17.94","18.0","443200"
"IPAS","2003-08-01","17.95","18.25","17.95","18.01","145500"
"IPAS","2003-08-04","18.03","18.15","17.9","18.07","399100"
"IPAS","2003-08-05","18.1","18.65","18.0","18.14","187100"
"IPAS","2003-08-06","18.05","18.55","17.95","18.55","153100"
"IPAS","2003-08-07","18.35","18.55","18.0","18.41","195500"
"IPAS","2003-08-08","18.29","18.75","18.04","18.56","71800"
"IPAS","2003-08-11","18.56","18.76","18.35","18.56","109800"
"IPAS","2003-08-12","18.7","19.25","18.59","19.1","192100"
"IPAS","2003-08-13","19.0","19.75","18.89","19.75","197200"
"IPAS","2003-08-14","19.85","20.0","19.3","19.5","92000"
"IPAS","2003-08-15","19.5","19.75","19.44","19.5","38500"
"IPAS","2003-08-18","19.6","19.6","19.0","19.24","59000"
"IPAS","2003-08-19","19.0","19.75","19.0","19.5","115300"
"IPAS","2003-08-20","19.2","19.54","19.0","19.4","45500"
"IPAS","2003-08-21","19.5","20.65","19.1","20.12","442900"
"IPAS","2003-08-22","20.65","21.01","20.05","20.32","173800"
"IPAS","2003-08-25","20.79","20.9","19.6","19.97","116500"
"IPAS","2003-08-26","20.0","20.0","18.67","19.65","171300"
"IPAS","2003-08-27","19.73","19.74","19.26","19.27","76000"
"IPAS","2003-08-28","19.49","19.89","19.4","19.83","391200"
"IPAS","2003-08-29","19.9","21.32","19.7","21.0","67300"
"IPAS","2003-09-02","21.05","21.84","20.5","21.63","339300"
"IPAS","2003-09-03","21.55","22.3","20.71","22.18","645800"
"IPAS","2003-09-04","22.19","23.42","21.0","23.02","266000"
"IPAS","2003-09-05","22.88","22.95","22.36","22.9","264400"
"IPAS","2003-09-08","22.93","25.52","22.93","25.44","295800"
"IPAS","2003-09-09","25.15","25.44","24.05","24.44","190700"
"IPAS","2003-09-10","24.21","24.25","22.61","22.65","188400"
"IPAS","2003-09-11","22.57","23.92","22.0","23.66","166600"
"IPAS","2003-09-12","23.5","23.5","22.75","23.2","97400"
"IPAS","2003-09-15","23.22","26.87","23.19","26.0","257900"
"IPAS","2003-09-16","25.99","27.84","25.6","27.24","373600"
"IPAS","2003-09-17","27.29","28.23","26.89","28.22","120900"
"IPAS","2003-09-18","28.02","29.19","27.61","28.2","162700"
"IPAS","2003-09-19","28.12","28.27","26.25","27.0","127500"
