"symbol","date","open","high","low","close","volume"
"IPCC","2003-02-12","16.0","16.01","15.42","13.95","63227000"
"IPCC","2003-02-13","15.81","16.08","15.8","14.04","1477100"
"IPCC","2003-02-14","16.2","16.21","16.0","14.2","915900"
"IPCC","2003-02-18","16.21","16.25","15.95","14.06","596600"
"IPCC","2003-02-19","16.04","16.13","15.95","14.0","553300"
"IPCC","2003-02-20","15.97","16.0","15.8","13.9","146300"
"IPCC","2003-02-21","15.7","15.89","15.65","13.92","116400"
"IPCC","2003-02-24","15.88","15.9","15.6","13.78","168800"
"IPCC","2003-02-25","15.71","15.8","15.6","13.77","189600"
"IPCC","2003-02-26","15.6","15.8","15.6","13.79","413400"
"IPCC","2003-02-27","15.75","16.0","15.75","14.0","120200"
"IPCC","2003-02-28","15.9","16.08","15.78","14.08","100000"
"IPCC","2003-03-03","16.01","16.12","15.97","14.04","161500"
"IPCC","2003-03-04","16.04","16.04","15.94","14.02","42400"
"IPCC","2003-03-05","16.0","16.07","15.91","14.04","288900"
"IPCC","2003-03-06","16.05","16.09","15.99","14.12","51900"
"IPCC","2003-03-07","16.0","16.76","16.0","14.48","149900"
"IPCC","2003-03-10","16.46","16.71","16.25","14.35","188900"
"IPCC","2003-03-11","16.35","16.79","16.09","14.73","166400"
"IPCC","2003-03-12","16.66","16.79","16.17","14.23","83100"
"IPCC","2003-03-13","16.36","16.36","16.05","14.14","47000"
"IPCC","2003-03-14","16.12","16.13","15.95","14.14","54800"
"IPCC","2003-03-17","16.1","16.15","15.81","13.95","98900"
"IPCC","2003-03-18","15.96","16.74","15.9","14.44","188100"
"IPCC","2003-03-19","16.4","16.55","16.4","14.49","61400"
"IPCC","2003-03-20","16.4","17.05","16.4","14.87","219500"
"IPCC","2003-03-21","17.0","17.92","17.0","15.72","324700"
"IPCC","2003-03-24","17.83","17.85","17.43","15.33","70200"
"IPCC","2003-03-25","17.65","17.94","17.49","15.7","41000"
"IPCC","2003-03-26","17.9","18.4","17.88","15.79","209400"
"IPCC","2003-03-27","18.04","18.05","17.93","15.79","43900"
"IPCC","2003-03-28","17.99","18.05","17.74","15.7","425500"
"IPCC","2003-03-31","18.0","18.3","17.72","16.01","255900"
"IPCC","2003-04-01","17.9","18.95","17.9","16.1","90100"
"IPCC","2003-04-02","18.34","18.83","18.33","16.33","89100"
"IPCC","2003-04-03","18.6","18.6","18.25","16.01","20500"
"IPCC","2003-04-04","18.25","18.5","18.21","16.22","33300"
"IPCC","2003-04-07","18.5","18.54","17.86","15.68","143200"
"IPCC","2003-04-08","18.09","18.49","17.51","16.1","170200"
"IPCC","2003-04-09","18.35","18.72","18.08","15.87","58500"
"IPCC","2003-04-10","18.04","18.5","17.86","16.23","49000"
"IPCC","2003-04-11","18.5","19.12","18.37","16.64","132100"
"IPCC","2003-04-14","19.1","19.77","18.8","17.28","59700"
"IPCC","2003-04-15","19.7","20.0","19.17","17.11","50100"
"IPCC","2003-04-16","19.69","20.02","19.5","17.33","41700"
"IPCC","2003-04-17","19.74","19.76","19.41","17.31","33600"
"IPCC","2003-04-21","19.75","20.01","19.5","17.54","70000"
"IPCC","2003-04-22","19.98","20.1","19.79","17.52","71300"
"IPCC","2003-04-23","20.0","21.0","19.95","18.16","125600"
"IPCC","2003-04-24","20.8","20.8","20.11","17.86","78300"
"IPCC","2003-04-25","20.34","20.55","20.2","17.8","122800"
"IPCC","2003-04-28","20.3","21.0","20.2","18.28","196700"
"IPCC","2003-04-29","20.95","21.15","20.75","18.3","234100"
"IPCC","2003-04-30","21.2","21.25","20.9","18.51","326700"
"IPCC","2003-05-01","21.15","21.15","20.85","18.43","55000"
"IPCC","2003-05-02","20.96","21.15","20.85","18.29","59600"
"IPCC","2003-05-05","21.0","21.0","20.79","18.39","99900"
"IPCC","2003-05-06","20.85","21.0","20.76","18.32","135100"
"IPCC","2003-05-07","20.9","21.08","20.76","18.34","102600"
"IPCC","2003-05-08","20.95","21.1","20.85","18.49","70800"
"IPCC","2003-05-09","21.08","21.4","21.0","18.63","63600"
"IPCC","2003-05-12","21.23","21.7","21.23","18.94","91600"
"IPCC","2003-05-13","20.51","21.95","20.44","19.2","77300"
"IPCC","2003-05-14","22.0","22.2","21.71","19.34","118300"
"IPCC","2003-05-15","21.9","22.0","21.5","19.12","63600"
"IPCC","2003-05-16","21.73","22.39","21.73","19.35","55900"
"IPCC","2003-05-19","22.25","22.25","21.38","19.1","73800"
"IPCC","2003-05-20","21.5","22.16","21.5","19.41","99100"
"IPCC","2003-05-21","22.05","22.11","21.99","19.36","45900"
"IPCC","2003-05-22","22.05","22.25","21.96","19.46","67100"
"IPCC","2003-05-23","22.11","22.92","22.05","19.87","219300"
"IPCC","2003-05-27","22.8","23.04","22.5","19.88","151000"
"IPCC","2003-05-28","22.74","23.05","22.73","20.02","101200"
"IPCC","2003-05-29","22.81","23.05","22.81","20.23","27600"
"IPCC","2003-05-30","22.93","23.06","22.88","20.15","34300"
"IPCC","2003-06-02","22.35","22.6","21.87","19.6","104300"
"IPCC","2003-06-03","22.25","22.28","21.74","19.19","100300"
"IPCC","2003-06-04","21.71","21.84","21.28","18.99","137600"
"IPCC","2003-06-05","21.59","21.8","21.41","19.18","47800"
"IPCC","2003-06-06","21.82","21.82","21.49","19.01","64900"
"IPCC","2003-06-09","21.5","21.5","20.75","18.64","111600"
"IPCC","2003-06-10","21.04","21.5","21.04","18.91","33700"
"IPCC","2003-06-11","21.06","21.39","21.06","18.73","98300"
"IPCC","2003-06-12","21.3","21.65","21.29","19.02","165500"
"IPCC","2003-06-13","21.55","22.82","21.38","19.44","134200"
"IPCC","2003-06-16","22.3","23.4","21.7","20.3","76900"
"IPCC","2003-06-17","23.15","23.56","23.15","20.5","94200"
"IPCC","2003-06-18","23.13","24.55","22.74","20.84","88500"
"IPCC","2003-06-19","23.83","24.5","23.25","20.45","50000"
"IPCC","2003-06-20","23.26","24.25","23.12","21.32","64000"
"IPCC","2003-06-23","24.25","24.4","22.7","21.29","84600"
"IPCC","2003-06-24","23.88","24.38","23.88","21.32","85000"
"IPCC","2003-06-25","24.3","24.5","23.85","21.29","111400"
"IPCC","2003-06-26","24.25","24.28","24.1","21.3","95400"
"IPCC","2003-06-27","24.21","24.45","24.0","21.2","188600"
"IPCC","2003-06-30","24.21","24.46","22.85","20.1","466900"
"IPCC","2003-07-01","23.67","23.75","22.65","20.49","155200"
"IPCC","2003-07-02","23.25","23.89","23.25","21.02","91000"
"IPCC","2003-07-03","23.93","24.23","23.93","21.12","29400"
"IPCC","2003-07-07","24.01","24.34","23.55","21.34","75200"
"IPCC","2003-07-08","24.17","24.55","23.75","21.35","94700"
"IPCC","2003-07-09","24.35","24.79","24.2","21.71","114000"
"IPCC","2003-07-10","24.72","25.09","24.24","21.85","40900"
"IPCC","2003-07-11","25.07","25.15","24.84","21.94","65100"
"IPCC","2003-07-14","25.14","26.35","24.83","22.65","226700"
"IPCC","2003-07-15","25.68","25.8","25.66","22.65","73700"
"IPCC","2003-07-16","25.63","25.84","25.35","22.73","39900"
"IPCC","2003-07-17","25.53","25.82","25.44","22.44","39500"
"IPCC","2003-07-18","25.78","25.85","25.38","22.43","62400"
"IPCC","2003-07-21","25.75","25.75","25.32","22.27","26100"
"IPCC","2003-07-22","25.33","25.6","25.05","22.13","78900"
"IPCC","2003-07-23","25.17","25.41","25.06","22.22","119700"
"IPCC","2003-07-24","25.5","26.44","25.3","22.98","165800"
"IPCC","2003-07-25","26.39","26.39","26.01","22.89","76700"
"IPCC","2003-07-28","26.01","26.45","25.95","22.98","49800"
"IPCC","2003-07-29","25.91","26.25","25.91","23.09","48300"
"IPCC","2003-07-30","26.43","27.38","26.22","23.46","174600"
"IPCC","2003-07-31","26.55","26.55","25.82","23.13","140400"
"IPCC","2003-08-01","26.17","26.49","25.8","22.7","94800"
"IPCC","2003-08-04","25.8","25.8","24.73","21.76","94000"
"IPCC","2003-08-05","24.72","24.82","24.02","21.29","157100"
"IPCC","2003-08-06","24.15","24.67","24.15","21.48","118200"
"IPCC","2003-08-07","24.42","25.25","24.25","22.12","59600"
"IPCC","2003-08-08","24.8","24.88","24.25","21.7","38800"
"IPCC","2003-08-11","24.7","25.38","24.25","21.99","57700"
"IPCC","2003-08-12","25.02","25.88","25.0","22.7","74300"
"IPCC","2003-08-13","25.54","25.85","25.31","22.54","242100"
"IPCC","2003-08-14","25.7","25.98","25.52","22.5","229400"
"IPCC","2003-08-15","25.45","25.75","25.0","22.53","17900"
"IPCC","2003-08-18","25.35","25.66","25.22","22.47","47500"
"IPCC","2003-08-19","25.49","25.99","25.3","22.88","100900"
"IPCC","2003-08-20","25.9","25.95","25.75","22.88","95400"
"IPCC","2003-08-21","25.8","26.4","25.8","22.97","22200"
"IPCC","2003-08-22","26.28","26.47","26.08","23.0","30200"
"IPCC","2003-08-25","26.03","26.61","25.98","23.46","75300"
"IPCC","2003-08-26","26.58","26.7","26.0","23.49","49700"
"IPCC","2003-08-27","26.65","27.14","26.55","23.93","77600"
"IPCC","2003-08-28","27.11","27.65","26.24","23.54","168200"
"IPCC","2003-08-29","26.74","27.04","26.54","23.63","43500"
"IPCC","2003-09-02","26.78","27.05","26.6","23.8","103900"
"IPCC","2003-09-03","26.79","27.1","26.5","23.45","109400"
"IPCC","2003-09-04","26.49","27.02","26.26","23.52","28600"
"IPCC","2003-09-05","26.56","26.91","26.47","23.69","59900"
"IPCC","2003-09-08","26.87","26.9","26.1","23.23","47700"
"IPCC","2003-09-09","26.37","26.53","26.08","23.39","113300"
"IPCC","2003-09-10","26.6","26.91","26.16","23.47","68700"
"IPCC","2003-09-11","26.96","27.96","26.56","24.17","228700"
"IPCC","2003-09-12","27.7","28.0","27.46","24.68","16500"
"IPCC","2003-09-15","28.05","28.05","27.03","24.24","36000"
"IPCC","2003-09-16","27.7","28.36","27.39","24.63","73900"
"IPCC","2003-09-17","27.82","28.25","27.31","24.15","23000"
"IPCC","2003-09-18","27.3","28.23","27.3","24.89","123000"
"IPCC","2003-09-19","27.99","29.14","27.98","25.5","86000"
"IPCC","2003-09-22","28.47","28.66","27.7","24.98","39500"
"IPCC","2003-09-23","28.54","29.12","28.16","25.67","73300"
"IPCC","2003-09-24","28.86","29.15","28.17","24.83","20800"
"IPCC","2003-09-25","28.18","28.6","27.8","24.53","57300"
"IPCC","2003-09-26","27.93","28.65","27.8","25.04","54000"
"IPCC","2003-09-29","28.33","28.69","28.19","25.29","21800"
"IPCC","2003-09-30","28.69","28.79","28.1","24.78","48000"
"IPCC","2003-10-01","28.23","28.26","27.55","24.9","111500"
"IPCC","2003-10-02","28.17","28.27","27.65","24.65","79900"
"IPCC","2003-10-03","27.9","29.05","27.9","25.6","144700"
"IPCC","2003-10-06","29.06","29.3","28.7","25.68","61800"
"IPCC","2003-10-07","29.25","29.55","29.05","26.05","91000"
"IPCC","2003-10-08","29.32","30.75","29.32","26.71","83300"
"IPCC","2003-10-09","29.83","31.0","29.25","26.53","86100"
"IPCC","2003-10-10","30.03","30.48","29.34","26.2","60400"
"IPCC","2003-10-13","29.42","30.33","29.42","26.45","31500"
"IPCC","2003-10-14","30.15","30.15","29.78","26.44","48200"
"IPCC","2003-10-15","29.99","29.99","29.51","26.14","77300"
"IPCC","2003-10-16","29.67","29.77","28.89","25.69","101000"
"IPCC","2003-10-17","29.26","29.43","29.0","25.57","52900"
"IPCC","2003-10-20","29.04","29.57","29.03","25.73","149600"
"IPCC","2003-10-21","29.21","29.65","28.6","25.27","27700"
"IPCC","2003-10-22","28.58","28.85","28.09","24.82","44600"
"IPCC","2003-10-23","28.08","28.54","27.83","24.96","51400"
"IPCC","2003-10-24","28.31","28.44","28.11","24.91","73500"
"IPCC","2003-10-27","28.29","28.76","28.25","25.18","125000"
"IPCC","2003-10-28","29.06","32.68","29.06","28.64","587200"
"IPCC","2003-10-29","32.5","32.86","30.58","28.41","356600"
"IPCC","2003-10-30","32.51","32.69","31.97","28.82","147100"
"IPCC","2003-10-31","32.7","32.99","31.61","28.7","45300"
"IPCC","2003-11-03","32.63","33.19","32.49","29.31","57100"
"IPCC","2003-11-04","33.19","34.81","32.96","30.72","77300"
"IPCC","2003-11-05","34.64","34.82","33.36","30.38","44700"
"IPCC","2003-11-06","34.51","34.63","34.01","30.11","28000"
"IPCC","2003-11-07","34.12","34.12","33.72","29.78","18100"
"IPCC","2003-11-10","33.68","33.68","33.03","29.21","16900"
"IPCC","2003-11-11","33.0","33.41","32.7","29.21","37200"
"IPCC","2003-11-12","33.13","33.45","33.11","29.41","32600"
"IPCC","2003-11-13","33.37","33.37","32.39","28.6","25700"
"IPCC","2003-11-14","32.66","32.7","31.79","28.27","65700"
"IPCC","2003-11-17","31.94","33.19","31.71","29.18","80000"
"IPCC","2003-11-18","33.0","33.05","31.78","28.79","182600"
"IPCC","2003-11-19","32.3","33.13","32.3","29.1","70200"
"IPCC","2003-11-20","32.96","33.27","32.48","28.68","30200"
"IPCC","2003-11-21","32.72","33.23","32.7","29.34","37400"
"IPCC","2003-11-24","33.3","33.85","33.3","29.85","266500"
"IPCC","2003-11-25","33.78","34.1","33.74","30.02","84800"
"IPCC","2003-11-26","34.05","34.1","33.63","29.88","120100"
"IPCC","2003-11-28","33.86","34.21","32.77","29.15","111300"
"IPCC","2003-12-01","33.3","34.05","33.15","29.77","187200"
"IPCC","2003-12-02","34.0","34.0","33.6","29.76","103400"
"IPCC","2003-12-03","33.65","33.7","32.42","28.7","98300"
"IPCC","2003-12-04","32.5","32.6","31.32","28.24","99000"
"IPCC","2003-12-05","31.72","32.71","31.58","28.35","71200"
"IPCC","2003-12-08","32.3","33.83","31.7","29.83","148800"
"IPCC","2003-12-09","33.45","33.75","32.9","29.36","49900"
"IPCC","2003-12-10","33.35","33.35","31.31","27.96","198900"
"IPCC","2003-12-11","31.5","32.07","30.75","27.86","216500"
"IPCC","2003-12-12","31.0","31.68","30.75","27.47","4247400"
"IPCC","2003-12-15","31.32","31.55","30.5","26.93","870500"
"IPCC","2003-12-16","30.5","30.8","30.5","26.95","478900"
"IPCC","2003-12-17","30.52","30.71","30.49","26.96","341000"
"IPCC","2003-12-18","30.52","30.6","30.48","27.02","351200"
"IPCC","2003-12-19","30.58","30.75","30.5","26.95","282400"
"IPCC","2003-12-22","30.54","30.54","30.5","26.93","242200"
"IPCC","2003-12-23","30.52","30.68","30.5","26.95","366300"
"IPCC","2003-12-24","30.51","30.55","30.18","26.67","455000"
"IPCC","2003-12-26","30.2","30.5","30.16","26.93","71800"
"IPCC","2003-12-29","30.52","31.5","30.29","27.82","276500"
"IPCC","2003-12-30","31.51","32.52","30.81","28.72","423500"
"IPCC","2003-12-31","32.7","33.62","32.39","29.18","432500"
"IPCC","2004-01-02","33.09","33.67","32.81","29.14","122200"
"IPCC","2004-01-05","32.83","33.15","32.28","28.74","101000"
"IPCC","2004-01-06","32.27","33.18","32.26","29.06","167000"
"IPCC","2004-01-07","33.0","33.64","32.9","29.56","154600"
"IPCC","2004-01-08","33.49","34.25","33.28","30.11","240500"
"IPCC","2004-01-09","34.0","34.1","33.56","29.94","114900"
"IPCC","2004-01-12","33.75","34.25","33.38","29.94","94400"
"IPCC","2004-01-13","33.62","34.19","33.17","30.02","145300"
"IPCC","2004-01-14","33.8","35.43","33.8","31.17","412800"
"IPCC","2004-01-15","35.15","35.27","34.45","30.66","146700"
"IPCC","2004-01-16","34.45","34.75","34.3","30.64","74300"
"IPCC","2004-01-20","34.5","36.6","34.49","31.72","316500"
"IPCC","2004-01-21","35.81","36.91","35.81","32.34","211800"
