"symbol","date","open","high","low","close","volume"
"IRT","2013-08-13","8.0","8.5","7.9","7.66","879100"
"IRT","2013-08-14","8.25","8.35","8.25","7.57","30000"
"IRT","2013-08-15","8.25","8.35","8.15","7.44","78900"
"IRT","2013-08-16","8.2","8.35","8.2","7.53","27600"
"IRT","2013-08-19","8.35","8.5","8.3","7.53","20900"
"IRT","2013-08-20","8.3","8.4","8.28","7.53","27400"
"IRT","2013-08-21","8.5","8.5","8.3","7.53","13400"
"IRT","2013-08-22","8.45","8.45","8.13","7.53","5100"
"IRT","2013-08-23","8.0","8.45","8.0","7.58","3800"
"IRT","2013-08-26","8.35","8.35","8.35","7.57","5700"
"IRT","2013-08-27","8.3","8.3","8.3","7.53","300"
"IRT","2013-08-28","8.4","8.4","8.4","7.62","900"
"IRT","2013-08-29","8.3","8.3","8.13","7.37","1100"
"IRT","2013-08-30","8.11","8.4","8.11","7.67","1800"
"IRT","2013-09-03","8.17","8.17","8.17","7.46","100"
"IRT","2013-09-04","8.34","8.4","8.29","7.59","3600"
"IRT","2013-09-05","8.42","8.42","8.35","7.62","200"
"IRT","2013-09-06","8.15","8.22","8.15","7.47","3800"
"IRT","2013-09-09","8.07","8.45","8.07","7.71","2400"
"IRT","2013-09-10","8.45","8.45","8.44","7.71","4900"
"IRT","2013-09-11","8.44","8.45","8.43","7.71","1700"
"IRT","2013-09-12","8.45","8.45","8.45","7.71","200"
"IRT","2013-09-13","8.4","8.4","8.4","7.67","100"
"IRT","2013-09-16","8.29","8.32","8.29","7.6","400"
"IRT","2013-09-17","8.4","8.4","8.2","7.5","7500"
"IRT","2013-09-18","8.21","8.3","8.11","7.53","13700"
"IRT","2013-09-19","8.32","8.38","8.3","7.58","2800"
"IRT","2013-09-20","8.29","8.29","8.14","7.43","11800"
"IRT","2013-09-23","8.25","8.35","8.25","7.54","6700"
"IRT","2013-09-24","8.25","8.33","8.25","7.61","4500"
"IRT","2013-09-25","8.4","8.4","8.32","7.6","6900"
"IRT","2013-09-26","8.31","8.33","8.28","7.61","500"
"IRT","2013-09-27","8.28","8.28","8.28","7.61","100"
"IRT","2013-09-30","8.25","8.28","8.24","7.61","400"
"IRT","2013-10-01","8.28","8.28","8.28","7.61","0"
"IRT","2013-10-02","8.3","8.3","8.3","7.63","800"
"IRT","2013-10-03","8.3","8.37","8.3","7.69","1200"
"IRT","2013-10-04","8.34","8.34","8.34","7.66","1000"
"IRT","2013-10-07","8.37","8.37","8.28","7.62","2300"
