"symbol","date","open","high","low","close","volume"
"ISP","2003-11-06","25.05","25.12","24.92","24.94","257900"
"ISP","2003-11-07","25.0","25.02","24.9","10.92","86300"
"ISP","2003-11-10","24.98","25.05","24.96","10.92","129900"
"ISP","2003-11-11","25.02","25.04","24.96","10.91","92500"
"ISP","2003-11-12","25.0","25.03","24.96","10.92","125400"
"ISP","2003-11-13","25.09","25.15","25.0","10.96","368200"
"ISP","2003-11-14","25.14","25.15","25.05","10.97","102900"
"ISP","2003-11-17","25.08","25.15","25.0","10.97","189000"
"ISP","2003-11-18","25.11","25.13","25.07","10.97","152700"
"ISP","2003-11-19","25.1","25.15","25.05","10.98","207100"
"ISP","2003-11-20","25.13","25.13","25.07","10.97","154000"
"ISP","2003-11-21","25.13","25.25","25.08","11.0","140900"
"ISP","2003-11-24","25.24","25.24","25.12","10.98","126400"
"ISP","2003-11-25","25.15","25.21","25.15","11.01","117100"
"ISP","2003-11-26","25.2","25.22","25.0","10.95","91500"
"ISP","2003-11-28","25.1","25.2","25.1","11.01","19400"
"ISP","2003-12-01","25.19","25.2","25.1","10.99","231500"
"ISP","2003-12-02","25.13","25.2","25.12","10.99","121300"
"ISP","2003-12-03","25.16","25.26","25.15","11.01","460900"
"ISP","2003-12-04","25.2","25.2","25.16","11.01","51700"
"ISP","2003-12-05","25.23","25.3","25.18","11.06","119700"
"ISP","2003-12-08","25.25","25.38","25.21","11.03","113100"
"ISP","2003-12-09","25.25","25.35","25.25","11.06","360400"
"ISP","2003-12-10","25.32","25.33","25.21","11.05","127100"
"ISP","2003-12-11","25.32","25.34","25.23","11.06","97300"
"ISP","2003-12-12","25.3","25.33","25.25","11.07","147100"
"ISP","2003-12-15","25.32","25.38","25.3","11.08","197400"
"ISP","2003-12-16","25.32","25.47","25.3","11.13","189900"
"ISP","2003-12-17","25.43","25.49","25.4","11.14","92500"
"ISP","2003-12-18","25.46","25.6","25.42","11.18","176200"
"ISP","2003-12-19","25.52","25.65","25.52","11.21","52100"
"ISP","2003-12-22","25.67","25.75","25.52","11.16","80900"
"ISP","2003-12-23","25.63","25.65","25.52","11.15","54000"
"ISP","2003-12-24","25.63","25.73","25.6","11.24","46800"
"ISP","2003-12-26","25.67","25.74","25.65","11.25","29600"
"ISP","2003-12-29","25.61","25.61","25.45","11.29","63100"
"ISP","2003-12-30","25.5","25.6","25.48","11.32","68200"
"ISP","2003-12-31","25.58","25.58","25.45","11.28","33900"
"ISP","2004-01-02","25.62","25.62","25.45","11.28","17000"
"ISP","2004-01-05","25.37","25.53","25.35","11.25","139900"
"ISP","2004-01-06","25.41","25.58","25.41","11.32","152700"
"ISP","2004-01-07","25.58","25.62","25.46","11.32","139200"
"ISP","2004-01-08","25.52","25.58","25.51","11.32","45500"
"ISP","2004-01-09","25.58","25.81","25.57","11.33","139200"
"ISP","2004-01-12","25.67","25.75","25.45","11.39","203000"
"ISP","2004-01-13","25.75","25.85","25.67","11.38","231400"
"ISP","2004-01-14","25.76","25.78","25.65","11.4","98600"
"ISP","2004-01-15","25.67","25.84","25.62","11.38","102600"
"ISP","2004-01-16","25.75","25.86","25.62","11.37","58200"
"ISP","2004-01-20","25.68","25.68","25.6","11.36","128900"
"ISP","2004-01-21","25.61","25.7","25.57","11.36","378000"
"ISP","2004-01-22","25.63","25.69","25.6","11.34","68000"
"ISP","2004-01-23","25.61","25.8","25.61","11.38","223000"
"ISP","2004-01-26","25.73","25.73","25.6","11.36","48400"
"ISP","2004-01-27","25.6","25.8","25.59","11.42","78000"
"ISP","2004-01-28","25.66","25.84","25.63","11.35","99500"
"ISP","2004-01-29","25.68","25.7","25.5","11.33","98700"
"ISP","2004-01-30","25.67","25.7","25.54","11.37","68900"
"ISP","2004-02-02","25.65","25.73","25.56","11.33","42500"
"ISP","2004-02-03","25.68","25.7","25.5","11.32","87100"
"ISP","2004-02-04","25.62","25.7","25.54","11.33","133500"
"ISP","2004-02-05","25.6","25.73","25.59","11.38","243800"
"ISP","2004-02-06","25.82","25.82","25.67","11.4","64800"
"ISP","2004-02-09","25.8","25.8","25.56","11.35","71100"
"ISP","2004-02-10","25.56","25.64","25.48","11.31","56500"
"ISP","2004-02-11","25.62","25.63","25.51","11.33","46200"
"ISP","2004-02-12","25.68","25.69","25.62","11.36","57800"
"ISP","2004-02-13","25.71","25.71","25.52","11.32","45000"
"ISP","2004-02-17","25.6","25.67","25.6","11.36","28200"
"ISP","2004-02-18","25.66","25.69","25.6","11.37","98200"
"ISP","2004-02-19","25.67","25.69","25.6","11.36","28700"
"ISP","2004-02-20","25.62","25.72","25.62","11.38","39700"
"ISP","2004-02-23","25.67","25.74","25.65","11.39","86300"
"ISP","2004-02-24","25.71","25.77","25.67","11.38","121900"
"ISP","2004-02-25","25.73","25.82","25.72","11.4","42100"
"ISP","2004-02-26","25.8","25.81","25.7","11.38","30400"
"ISP","2004-02-27","25.78","25.8","25.71","11.42","22500"
"ISP","2004-03-01","25.76","25.94","25.76","11.47","17500"
"ISP","2004-03-02","25.78","25.9","25.76","11.42","28500"
"ISP","2004-03-03","25.75","25.84","25.75","11.42","23200"
"ISP","2004-03-04","25.82","25.84","25.77","11.41","17300"
"ISP","2004-03-05","25.78","25.93","25.63","11.4","89300"
"ISP","2004-03-08","25.82","25.82","25.62","11.4","27500"
"ISP","2004-03-09","25.78","25.87","25.77","11.44","25100"
"ISP","2004-03-10","25.79","25.95","25.77","11.47","47200"
"ISP","2004-03-11","25.93","25.93","25.82","11.43","38000"
"ISP","2004-03-12","25.85","25.89","25.82","11.43","30900"
"ISP","2004-03-15","25.82","26.0","25.82","11.51","46000"
"ISP","2004-03-16","25.9","26.0","25.84","11.5","33800"
"ISP","2004-03-17","25.95","26.0","25.88","11.51","51800"
"ISP","2004-03-18","25.9","25.97","25.83","11.43","51400"
"ISP","2004-03-19","25.88","25.92","25.83","11.46","37200"
"ISP","2004-03-22","25.86","26.0","25.85","11.51","133800"
"ISP","2004-03-23","25.97","26.14","25.96","11.54","61700"
"ISP","2004-03-24","26.05","26.13","25.96","11.56","35500"
"ISP","2004-03-25","25.99","26.13","25.99","11.56","98300"
"ISP","2004-03-26","26.0","26.13","25.99","11.57","14400"
"ISP","2004-03-29","26.13","26.15","26.0","11.53","73400"
"ISP","2004-03-30","25.63","26.05","25.63","11.68","51700"
