"symbol","date","open","high","low","close","volume"
"JAGX","2015-05-13","7.0","7.01","6.57","6.78","422625"
"JAGX","2015-05-14","6.74","6.94","6.5","6.78","73089"
"JAGX","2015-05-15","6.72","7.06","6.6","7.01","74002"
"JAGX","2015-05-18","7.0","7.0","6.55","6.6","34337"
"JAGX","2015-05-19","6.9","6.93","6.53","6.72","11453"
"JAGX","2015-05-20","6.75","6.94","6.75","6.89","13757"
"JAGX","2015-05-21","6.94","6.99","6.66","6.95","46174"
"JAGX","2015-05-22","6.94","7.01","6.76","6.85","25759"
"JAGX","2015-05-26","6.8","6.8","6.6","6.75","17440"
"JAGX","2015-05-27","6.65","6.87","6.62","6.8","11631"
"JAGX","2015-05-28","6.8","6.88","6.6","6.88","25208"
"JAGX","2015-05-29","6.79","6.83","6.65","6.73","8459"
"JAGX","2015-06-01","6.65","6.86","6.61","6.62","27835"
"JAGX","2015-06-02","6.61","6.73","6.45","6.7","66182"
"JAGX","2015-06-03","6.69","6.77","6.54","6.77","25237"
"JAGX","2015-06-04","6.77","6.77","6.4","6.57","59500"
"JAGX","2015-06-05","6.56","6.64","6.5","6.54","70819"
"JAGX","2015-06-08","6.5","6.6","6.08","6.3","51646"
"JAGX","2015-06-09","6.31","6.31","5.85","5.87","53481"
"JAGX","2015-06-10","6.01","6.25","5.9","6.15","25350"
"JAGX","2015-06-11","6.76","6.76","6.21","6.6","25852"
"JAGX","2015-06-12","6.35","6.59","6.2","6.56","9572"
"JAGX","2015-06-15","6.26","6.57","6.2","6.39","14502"
"JAGX","2015-06-16","6.31","6.43","6.27","6.43","25906"
"JAGX","2015-06-17","6.44","6.63","6.43","6.51","18660"
"JAGX","2015-06-18","6.5","6.56","6.13","6.15","32387"
"JAGX","2015-06-19","6.16","6.49","5.59","5.64","41465"
"JAGX","2015-06-22","5.66","5.94","5.37","5.4","19611"
"JAGX","2015-06-23","5.24","5.43","5.21","5.42","9232"
"JAGX","2015-06-24","5.24","5.24","5.18","5.18","3151"
"JAGX","2015-06-25","5.2","5.2","4.82","4.95","9450"
"JAGX","2015-06-26","4.9","5.01","4.9","4.92","10895"
"JAGX","2015-06-29","4.95","5.01","4.58","4.58","2600"
"JAGX","2015-06-30","4.67","4.99","4.6","4.82","4395"
"JAGX","2015-07-01","4.9","5.1","4.82","4.85","23535"
"JAGX","2015-07-02","4.85","5.1","4.64","5.09","12265"
"JAGX","2015-07-06","5.01","5.1","4.91","5.1","14835"
"JAGX","2015-07-07","5.1","5.1","4.82","4.84","3904"
"JAGX","2015-07-09","5.0","5.04","4.9","4.98","14640"
"JAGX","2015-07-10","5.05","5.23","4.89","5.23","21701"
"JAGX","2015-07-13","5.23","5.47","5.03","5.07","6257"
"JAGX","2015-07-15","5.07","5.07","5.03","5.03","2602"
"JAGX","2015-07-16","5.16","5.27","5.09","5.27","1100"
"JAGX","2015-07-17","5.03","5.19","5.03","5.03","7150"
"JAGX","2015-07-20","4.89","4.92","4.64","4.64","16594"
"JAGX","2015-07-21","4.29","4.3","4.29","4.29","5899"
"JAGX","2015-07-22","4.24","4.24","3.82","3.92","12052"
"JAGX","2015-07-23","4.0","4.0","3.9","3.9","10373"
"JAGX","2015-07-24","3.91","3.91","3.5","3.51","23069"
"JAGX","2015-07-27","3.55","3.55","3.18","3.18","6900"
"JAGX","2015-07-28","3.42","3.5","3.3","3.44","12065"
"JAGX","2015-07-29","3.71","3.71","3.5","3.5","3800"
"JAGX","2015-07-30","3.51","3.71","3.45","3.5","4250"
"JAGX","2015-07-31","3.43","3.56","3.43","3.56","300"
"JAGX","2015-08-03","3.59","3.87","3.56","3.58","6920"
"JAGX","2015-08-04","3.43","3.5","3.36","3.44","5800"
"JAGX","2015-08-05","3.35","3.6","3.35","3.38","7944"
"JAGX","2015-08-06","3.3","3.3","3.11","3.2","2600"
"JAGX","2015-08-07","3.2","3.23","2.93","3.0","10023"
"JAGX","2015-08-10","2.97","3.0","2.89","2.89","12963"
"JAGX","2015-08-11","2.86","2.86","2.86","2.89","5"
"JAGX","2015-08-12","2.99","2.99","2.85","2.94","5835"
"JAGX","2015-08-13","3.0","3.09","2.7","2.87","13000"
"JAGX","2015-08-14","2.97","2.98","2.89","2.89","13771"
"JAGX","2015-08-17","2.99","2.99","2.69","2.96","1800"
"JAGX","2015-08-18","2.9","2.93","2.8","2.93","10651"
"JAGX","2015-08-19","2.9","3.03","2.9","3.03","6100"
"JAGX","2015-08-20","2.95","3.0","2.9","2.9","16406"
"JAGX","2015-08-21","2.74","2.8","1.9","2.69","32001"
"JAGX","2015-08-24","2.8","2.8","2.58","2.58","1738"
"JAGX","2015-08-25","2.76","3.0","2.58","2.98","5076"
"JAGX","2015-08-26","3.2","3.24","2.76","3.24","7636"
"JAGX","2015-08-27","3.37","4.7","3.37","4.0","25423"
"JAGX","2015-08-28","4.38","4.38","3.43","3.43","11469"
"JAGX","2015-08-31","3.16","3.3","2.6","2.87","23251"
"JAGX","2015-09-01","3.0","3.5","2.95","3.4","12018"
"JAGX","2015-09-02","3.4","3.4","3.21","3.4","25161"
"JAGX","2015-09-03","3.46","3.51","3.28","3.37","24532"
"JAGX","2015-09-04","3.37","3.37","3.01","3.3","4041"
"JAGX","2015-09-08","3.49","3.51","3.18","3.36","12223"
"JAGX","2015-09-09","3.35","3.51","3.3","3.44","5712"
"JAGX","2015-09-10","3.24","3.51","3.2","3.5","10616"
"JAGX","2015-09-11","3.5","3.82","3.48","3.75","12341"
"JAGX","2015-09-14","3.55","3.55","3.07","3.33","19282"
"JAGX","2015-09-15","3.34","3.51","3.34","3.42","2107"
"JAGX","2015-09-16","3.35","3.37","3.06","3.37","12827"
"JAGX","2015-09-17","3.12","3.31","3.1","3.31","46326"
"JAGX","2015-09-18","3.3","3.65","3.15","3.44","176902"
"JAGX","2015-09-21","3.5","3.84","3.17","3.75","1837"
"JAGX","2015-09-22","3.27","4.0","3.27","4.0","7872"
"JAGX","2015-09-23","3.87","3.87","3.48","3.84","2460"
"JAGX","2015-09-24","3.73","3.97","3.73","3.88","4766"
"JAGX","2015-09-25","3.6","4.0","3.6","3.7","8634"
"JAGX","2015-09-28","3.89","4.01","3.3","3.56","9570"
"JAGX","2015-09-29","3.75","3.75","3.42","3.5","1052"
"JAGX","2015-09-30","3.47","3.55","3.21","3.24","32489"
"JAGX","2015-10-01","3.31","3.39","3.3","3.31","20256"
"JAGX","2015-10-02","3.35","3.36","3.3","3.3","11110"
"JAGX","2015-10-05","3.4","3.4","3.16","3.29","9594"
"JAGX","2015-10-06","3.16","3.35","3.01","3.02","10282"
"JAGX","2015-10-07","3.02","3.07","2.67","2.82","20901"
"JAGX","2015-10-09","2.82","2.95","2.8","2.8","31922"
"JAGX","2015-10-12","2.8","2.8","2.2","2.36","9898"
"JAGX","2015-10-13","2.84","2.84","2.43","2.43","3767"
"JAGX","2015-10-14","2.42","2.88","2.36","2.42","5512"
"JAGX","2015-10-15","2.44","2.52","2.23","2.52","8372"
"JAGX","2015-10-16","2.53","2.8","2.27","2.31","4237"
"JAGX","2015-10-19","2.22","2.38","2.19","2.29","1529"
"JAGX","2015-10-20","2.4","2.4","2.23","2.24","2181"
"JAGX","2015-10-21","2.27","2.3","2.03","2.05","4435"
"JAGX","2015-10-22","2.05","2.35","1.69","2.12","24068"
"JAGX","2015-10-23","2.12","2.12","2.0","2.11","1543"
"JAGX","2015-10-26","2.0","2.11","1.94","1.96","5465"
"JAGX","2015-10-27","2.15","2.28","2.0","2.1","8189"
"JAGX","2015-10-28","2.1","3.19","2.1","2.75","12026"
"JAGX","2015-10-29","3.15","3.85","2.87","3.85","82683"
"JAGX","2015-10-30","3.9","4.7","3.44","3.68","57496"
"JAGX","2015-11-02","3.56","4.3","3.2","3.5","34376"
"JAGX","2015-11-03","3.44","3.85","3.2","3.43","28005"
"JAGX","2015-11-04","3.5","3.67","3.0","3.03","11903"
"JAGX","2015-11-05","3.39","3.7","2.5","2.5","130502"
"JAGX","2015-11-06","2.7","3.05","2.4","2.5","17840"
"JAGX","2015-11-09","2.69","2.8","2.27","2.72","12765"
"JAGX","2015-11-10","2.41","2.55","2.41","2.55","1153"
"JAGX","2015-11-11","2.65","2.65","2.55","2.56","2890"
"JAGX","2015-11-12","2.57","2.98","2.5","2.5","21204"
"JAGX","2015-11-13","2.55","2.65","2.5","2.5","2555"
"JAGX","2015-11-16","2.6","2.97","2.55","2.7","22104"
"JAGX","2015-11-17","2.56","2.78","2.56","2.6","14089"
"JAGX","2015-11-18","2.57","2.66","2.2","2.27","18244"
"JAGX","2015-11-19","2.28","2.59","2.0","2.15","17111"
"JAGX","2015-11-20","2.45","2.92","2.19","2.3","35549"
"JAGX","2015-11-23","2.39","2.62","2.01","2.04","18753"
"JAGX","2015-11-24","2.02","2.11","1.95","2.0","27148"
"JAGX","2015-11-25","2.12","2.16","2.0","2.04","15749"
"JAGX","2015-11-27","2.1","2.25","2.08","2.1","10577"
"JAGX","2015-11-30","2.2","2.26","2.15","2.19","7159"
"JAGX","2015-12-01","2.29","2.33","2.15","2.22","15288"
"JAGX","2015-12-02","2.49","2.66","2.3","2.44","16703"
"JAGX","2015-12-03","2.23","2.62","2.12","2.4","24640"
"JAGX","2015-12-04","2.29","2.46","2.2","2.21","7614"
"JAGX","2015-12-07","2.18","2.35","2.18","2.21","6352"
"JAGX","2015-12-08","2.15","2.27","2.15","2.2","1960"
"JAGX","2015-12-09","2.21","2.24","2.21","2.21","414"
"JAGX","2015-12-10","2.19","2.27","2.15","2.15","11971"
"JAGX","2015-12-11","2.15","2.27","1.81","1.88","13822"
"JAGX","2015-12-14","1.79","1.85","1.69","1.75","22138"
"JAGX","2015-12-15","1.85","1.98","1.85","1.87","19255"
"JAGX","2015-12-16","1.88","1.99","1.85","1.95","11116"
"JAGX","2015-12-17","1.97","2.9","1.97","2.24","41421"
"JAGX","2015-12-18","2.3","2.33","2.02","2.06","27276"
"JAGX","2015-12-21","2.33","2.39","2.1","2.1","3946"
"JAGX","2015-12-22","2.26","2.95","2.12","2.65","18986"
"JAGX","2015-12-23","2.81","2.81","2.21","2.4","14558"
"JAGX","2015-12-24","2.59","2.6","2.34","2.48","9529"
"JAGX","2015-12-28","2.5","2.6","2.25","2.33","38882"
"JAGX","2015-12-29","2.46","2.55","2.22","2.32","13143"
