"symbol","date","open","high","low","close","volume"
"JAZZ","2007-06-01","17.5","18.0","16.9","17.73","1384800"
"JAZZ","2007-06-04","17.5","17.94","17.5","17.55","88600"
"JAZZ","2007-06-05","17.56","17.7","17.5","17.59","107400"
"JAZZ","2007-06-06","17.5","17.59","16.25","17.47","179300"
"JAZZ","2007-06-07","17.67","17.67","16.69","17.21","100800"
"JAZZ","2007-06-08","17.23","17.55","17.2","17.25","0"
"JAZZ","2007-06-11","17.22","17.45","17.13","17.24","140900"
"JAZZ","2007-06-12","17.24","17.24","17.0","17.0","150900"
"JAZZ","2007-06-13","17.0","17.5","17.0","17.0","181000"
"JAZZ","2007-06-14","17.0","17.09","16.66","17.0","227300"
"JAZZ","2007-06-15","16.51","17.8","16.51","17.58","125900"
"JAZZ","2007-06-18","17.17","17.21","16.96","16.97","49400"
"JAZZ","2007-06-19","16.96","17.2","16.9","16.99","33000"
"JAZZ","2007-06-20","16.94","17.03","16.64","17.0","33000"
"JAZZ","2007-06-21","16.63","16.95","16.63","16.95","9200"
"JAZZ","2007-06-22","16.62","16.95","16.61","16.64","32900"
"JAZZ","2007-06-25","16.44","16.95","15.75","16.02","95500"
"JAZZ","2007-06-26","16.0","16.3","15.5","15.71","97700"
"JAZZ","2007-06-27","15.51","15.87","15.51","15.77","14800"
"JAZZ","2007-06-28","15.59","15.95","15.59","15.82","51400"
"JAZZ","2007-06-29","15.54","16.0","15.54","16.0","20200"
"JAZZ","2007-07-02","16.0","17.11","15.99","16.5","53800"
"JAZZ","2007-07-03","16.32","16.32","15.88","16.09","127800"
"JAZZ","2007-07-05","15.93","16.43","15.91","16.18","132900"
"JAZZ","2007-07-06","15.65","16.15","15.63","15.91","14000"
"JAZZ","2007-07-09","16.23","16.23","15.9","15.98","47400"
"JAZZ","2007-07-10","15.75","16.0","15.68","16.0","10000"
"JAZZ","2007-07-11","16.29","17.0","15.77","15.77","175300"
"JAZZ","2007-07-12","16.11","16.95","15.2","15.34","111100"
"JAZZ","2007-07-13","15.5","15.5","14.48","14.73","177900"
"JAZZ","2007-07-16","15.0","15.25","14.25","14.76","67100"
"JAZZ","2007-07-17","15.12","15.12","14.47","14.51","184300"
"JAZZ","2007-07-18","14.26","14.83","14.2","14.2","107300"
"JAZZ","2007-07-19","14.28","14.52","14.2","14.26","47200"
"JAZZ","2007-07-20","14.4","14.47","14.02","14.3","55600"
"JAZZ","2007-07-23","14.5","14.5","14.3","14.5","24200"
"JAZZ","2007-07-24","14.35","14.86","14.03","14.5","40500"
"JAZZ","2007-07-25","14.5","14.89","14.41","14.46","20000"
"JAZZ","2007-07-26","14.79","14.8","14.15","14.24","30300"
"JAZZ","2007-07-27","14.6","14.62","13.5","13.85","59700"
"JAZZ","2007-07-30","15.19","15.19","14.24","14.95","22100"
"JAZZ","2007-07-31","15.13","15.13","14.08","14.19","79200"
"JAZZ","2007-08-01","14.35","14.35","13.5","13.65","43600"
"JAZZ","2007-08-02","13.89","14.25","13.38","13.49","131500"
"JAZZ","2007-08-03","13.38","14.59","13.33","13.58","40400"
"JAZZ","2007-08-06","13.78","13.85","13.12","13.51","308300"
"JAZZ","2007-08-07","13.07","14.38","13.05","13.26","102300"
"JAZZ","2007-08-08","13.05","13.91","12.98","13.17","48100"
"JAZZ","2007-08-09","12.97","12.97","11.78","12.1","49200"
"JAZZ","2007-08-10","11.81","13.46","11.81","12.93","132800"
"JAZZ","2007-08-13","13.26","13.26","12.51","13.25","20000"
"JAZZ","2007-08-14","13.25","13.37","12.84","13.09","25000"
"JAZZ","2007-08-15","13.06","13.06","12.46","12.75","6100"
"JAZZ","2007-08-16","12.66","12.83","11.51","12.83","17200"
"JAZZ","2007-08-17","12.84","13.18","12.44","13.18","18200"
"JAZZ","2007-08-20","11.5","13.33","11.5","13.0","13700"
"JAZZ","2007-08-21","12.15","13.3","12.15","12.55","14500"
"JAZZ","2007-08-22","12.25","13.45","12.25","13.37","21100"
"JAZZ","2007-08-23","13.37","13.37","12.49","13.25","13200"
"JAZZ","2007-08-24","13.25","13.38","12.87","13.29","8600"
"JAZZ","2007-08-27","13.0","13.4","13.0","13.4","11600"
"JAZZ","2007-08-28","13.44","13.8","12.4","12.77","35400"
"JAZZ","2007-08-29","12.84","13.1","12.42","13.1","11900"
"JAZZ","2007-08-30","13.34","13.81","12.0","13.07","27500"
"JAZZ","2007-08-31","13.81","13.81","13.22","13.44","24400"
"JAZZ","2007-09-04","13.57","13.95","13.57","13.85","13500"
"JAZZ","2007-09-05","13.79","13.93","12.75","13.15","17800"
"JAZZ","2007-09-06","12.89","13.14","12.38","13.03","36000"
"JAZZ","2007-09-07","13.4","13.49","12.35","13.49","23000"
"JAZZ","2007-09-10","13.03","13.59","12.77","12.99","17600"
"JAZZ","2007-09-11","13.38","13.38","12.78","13.02","11700"
"JAZZ","2007-09-12","13.54","13.54","13.0","13.14","6000"
"JAZZ","2007-09-13","13.8","13.81","12.98","13.0","4200"
"JAZZ","2007-09-14","12.88","13.28","12.86","13.12","7100"
"JAZZ","2007-09-17","13.09","13.09","12.89","12.92","65500"
"JAZZ","2007-09-18","12.88","12.9","12.76","12.86","43700"
"JAZZ","2007-09-19","12.88","13.68","12.88","12.99","21100"
"JAZZ","2007-09-20","12.95","13.75","12.55","12.99","14000"
"JAZZ","2007-09-21","13.02","13.16","12.07","13.11","25300"
"JAZZ","2007-09-24","13.74","14.0","12.41","12.7","30100"
"JAZZ","2007-09-25","12.6","13.75","12.0","12.9","41300"
"JAZZ","2007-09-26","12.9","13.11","12.01","12.76","24400"
"JAZZ","2007-09-27","12.48","12.67","11.77","11.95","78500"
"JAZZ","2007-09-28","12.0","12.3","11.2","11.2","599100"
"JAZZ","2007-10-01","11.3","13.99","11.3","13.07","155100"
"JAZZ","2007-10-02","13.1","13.88","12.74","13.48","89400"
"JAZZ","2007-10-03","13.46","13.71","13.0","13.26","46400"
"JAZZ","2007-10-04","13.33","13.91","13.12","13.5","25100"
"JAZZ","2007-10-05","13.63","14.0","13.36","13.5","51100"
"JAZZ","2007-10-08","13.54","13.54","12.97","13.44","20900"
"JAZZ","2007-10-09","13.5","13.54","12.88","13.43","19400"
"JAZZ","2007-10-10","13.34","13.48","13.15","13.43","33400"
"JAZZ","2007-10-11","13.45","13.73","13.07","13.46","22500"
"JAZZ","2007-10-12","13.29","13.79","13.27","13.42","63100"
"JAZZ","2007-10-15","13.41","13.51","12.88","13.02","21500"
"JAZZ","2007-10-16","13.01","13.4","12.66","13.08","19100"
"JAZZ","2007-10-17","13.21","13.38","12.5","13.13","16200"
"JAZZ","2007-10-18","13.12","13.34","12.8","13.05","15900"
"JAZZ","2007-10-19","13.03","13.05","12.37","12.53","16300"
"JAZZ","2007-10-22","12.27","13.23","12.21","12.97","24600"
"JAZZ","2007-10-23","13.07","13.47","12.8","13.0","21700"
