"symbol","date","open","high","low","close","volume"
"JCOM","1999-07-23","10.31","10.31","9.38","8.63","13917600"
"JCOM","1999-07-26","9.53","9.56","8.12","7.5","2310400"
"JCOM","1999-07-27","8.38","8.75","7.88","7.3","942000"
"JCOM","1999-07-28","7.78","7.81","6.91","6.5","2238400"
"JCOM","1999-07-29","6.84","8.0","6.44","7.1","716000"
"JCOM","1999-07-30","7.88","8.62","7.78","7.84","852400"
"JCOM","1999-08-02","8.44","8.56","7.72","7.38","410800"
"JCOM","1999-08-03","7.88","8.03","6.94","6.36","547600"
"JCOM","1999-08-04","7.0","7.0","6.06","5.57","583600"
"JCOM","1999-08-05","6.25","6.75","5.38","5.99","470400"
"JCOM","1999-08-06","6.5","6.88","6.0","5.74","273600"
"JCOM","1999-08-09","6.0","6.25","5.69","5.28","272000"
"JCOM","1999-08-10","5.81","6.12","5.53","5.45","162400"
"JCOM","1999-08-11","6.12","6.38","5.88","5.39","214000"
"JCOM","1999-08-12","5.97","6.0","5.38","5.08","510800"
"JCOM","1999-08-13","5.81","6.94","5.62","6.25","604400"
"JCOM","1999-08-16","6.94","7.88","6.5","6.84","615200"
"JCOM","1999-08-17","7.88","8.0","6.62","6.64","406800"
"JCOM","1999-08-18","7.86","8.0","7.12","6.64","800000"
"JCOM","1999-08-19","7.36","7.38","6.69","6.19","230800"
"JCOM","1999-08-20","6.95","7.0","6.56","6.05","166800"
"JCOM","1999-08-23","6.88","6.88","6.44","5.91","135600"
"JCOM","1999-08-24","6.55","6.81","6.5","5.93","139600"
"JCOM","1999-08-25","6.61","6.62","6.12","5.74","142400"
"JCOM","1999-08-26","6.33","6.62","5.88","5.85","182800"
"JCOM","1999-08-27","6.34","6.62","6.0","6.02","75200"
"JCOM","1999-08-30","6.56","7.19","6.5","6.47","386400"
"JCOM","1999-08-31","7.22","7.25","6.75","6.25","196400"
"JCOM","1999-09-01","6.91","7.31","6.62","6.19","328400"
"JCOM","1999-09-02","6.59","7.0","6.5","6.13","223200"
"JCOM","1999-09-03","6.97","7.12","6.66","6.3","168000"
"JCOM","1999-09-07","6.81","6.94","6.69","6.25","142000"
"JCOM","1999-09-08","6.86","7.62","6.69","6.19","379200"
"JCOM","1999-09-09","6.97","7.0","6.69","6.16","191200"
"JCOM","1999-09-10","6.77","6.81","6.5","6.08","142800"
"JCOM","1999-09-13","6.72","6.75","6.38","5.88","54000"
"JCOM","1999-09-14","6.53","6.56","6.09","5.65","94800"
"JCOM","1999-09-15","6.22","6.5","6.22","5.79","52800"
"JCOM","1999-09-16","6.61","6.62","6.19","5.68","99200"
