"symbol","date","open","high","low","close","volume"
"JGW","2013-11-08","13.37","13.4","12.5","12.82","5503700"
"JGW","2013-11-11","13.0","13.75","12.85","13.5","1312000"
"JGW","2013-11-12","13.5","13.55","13.32","13.5","141200"
"JGW","2013-11-13","13.35","13.6","13.19","13.5","290600"
"JGW","2013-11-14","13.45","13.65","13.36","13.45","119900"
"JGW","2013-11-15","13.74","13.74","13.37","13.45","131500"
"JGW","2013-11-18","13.45","13.55","13.43","13.51","50400"
"JGW","2013-11-19","13.5","13.55","13.45","13.51","254600"
"JGW","2013-11-20","13.49","13.63","13.45","13.53","70100"
"JGW","2013-11-21","13.49","13.74","13.49","13.71","69300"
"JGW","2013-11-22","13.72","14.26","13.72","14.12","147500"
"JGW","2013-11-25","14.28","15.15","14.28","15.02","558600"
"JGW","2013-11-26","14.81","15.62","14.81","15.54","187600"
"JGW","2013-11-27","15.47","16.08","15.47","15.9","118300"
"JGW","2013-11-29","15.77","16.3","15.77","16.17","66600"
"JGW","2013-12-02","16.15","16.48","16.0","16.45","234100"
"JGW","2013-12-03","16.21","16.44","15.61","15.89","241000"
"JGW","2013-12-04","16.4","16.75","16.12","16.3","315500"
"JGW","2013-12-05","16.3","16.75","16.3","16.55","151000"
"JGW","2013-12-06","16.56","17.24","16.56","16.99","108700"
"JGW","2013-12-09","17.01","17.06","16.8","16.97","156900"
"JGW","2013-12-10","16.87","17.1","16.8","16.95","114000"
"JGW","2013-12-11","16.99","17.29","16.83","16.9","55900"
"JGW","2013-12-12","17.01","17.2","17.0","17.05","240900"
"JGW","2013-12-13","17.1","17.19","16.96","17.01","145400"
"JGW","2013-12-16","17.01","17.23","16.95","17.14","137800"
"JGW","2013-12-17","17.18","17.19","16.94","17.01","95600"
"JGW","2013-12-18","17.01","17.47","16.91","17.2","143600"
"JGW","2013-12-19","17.17","17.24","17.03","17.15","169000"
"JGW","2013-12-20","17.14","17.49","16.62","17.0","1357200"
"JGW","2013-12-23","17.01","17.1","16.83","17.01","161200"
"JGW","2013-12-24","17.0","17.12","16.85","16.98","99400"
"JGW","2013-12-26","17.0","17.18","17.0","17.07","30500"
"JGW","2013-12-27","17.08","17.23","16.9","17.1","134900"
"JGW","2013-12-30","17.04","17.49","17.04","17.46","39300"
"JGW","2013-12-31","17.4","17.7","17.25","17.39","101700"
"JGW","2014-01-02","17.25","17.42","17.07","17.37","97700"
"JGW","2014-01-03","17.47","17.74","17.2","17.64","65500"
"JGW","2014-01-06","17.62","17.71","17.25","17.44","87100"
"JGW","2014-01-07","17.44","17.52","17.29","17.47","58900"
"JGW","2014-01-08","17.45","17.55","17.29","17.47","100700"
"JGW","2014-01-09","18.0","18.0","17.31","17.58","168600"
"JGW","2014-01-10","17.6","17.97","17.55","17.89","164100"
"JGW","2014-01-13","17.89","17.93","17.69","17.78","141600"
"JGW","2014-01-14","17.81","17.84","17.58","17.73","231700"
"JGW","2014-01-15","17.7","17.77","17.59","17.74","155800"
"JGW","2014-01-16","17.65","17.81","17.62","17.73","88200"
"JGW","2014-01-17","17.67","17.67","17.36","17.49","60100"
"JGW","2014-01-21","17.46","17.5","17.21","17.36","85900"
"JGW","2014-01-22","17.3","17.4","17.23","17.37","63100"
"JGW","2014-01-23","17.3","17.53","17.18","17.32","99800"
"JGW","2014-01-24","17.28","17.33","16.85","17.06","84400"
"JGW","2014-01-27","17.15","17.29","17.0","17.05","81400"
"JGW","2014-01-28","17.11","17.45","17.1","17.2","89700"
"JGW","2014-01-29","17.2","17.2","16.9","17.04","155700"
"JGW","2014-01-30","17.13","17.39","17.13","17.3","108200"
"JGW","2014-01-31","17.14","17.29","16.87","17.0","197600"
"JGW","2014-02-03","17.06","17.1","16.32","16.54","104700"
"JGW","2014-02-04","16.55","16.92","16.49","16.86","53300"
"JGW","2014-02-05","16.78","17.05","16.75","16.93","36700"
"JGW","2014-02-06","16.84","17.0","16.34","16.39","162600"
"JGW","2014-02-07","16.4","16.47","15.82","16.33","297000"
"JGW","2014-02-10","16.25","16.84","15.89","16.47","147100"
"JGW","2014-02-11","16.52","16.99","16.11","16.25","239400"
"JGW","2014-02-12","16.2","16.35","15.71","15.84","243800"
"JGW","2014-02-13","15.63","15.74","15.37","15.65","140100"
"JGW","2014-02-14","15.68","15.68","15.36","15.49","50100"
"JGW","2014-02-18","15.56","15.73","15.47","15.58","76700"
"JGW","2014-02-19","15.56","15.63","15.41","15.43","92000"
"JGW","2014-02-20","15.4","15.58","15.23","15.32","189000"
"JGW","2014-02-21","15.37","17.2","15.34","16.95","459700"
"JGW","2014-02-24","17.08","17.45","16.56","16.92","702600"
"JGW","2014-02-25","16.98","17.05","16.85","16.99","649800"
"JGW","2014-02-26","17.11","18.3","16.99","17.63","666200"
"JGW","2014-02-27","17.79","18.68","17.76","18.68","296300"
"JGW","2014-02-28","18.77","19.25","18.68","19.12","234400"
"JGW","2014-03-03","19.09","19.43","18.93","19.35","175700"
"JGW","2014-03-04","19.52","19.88","19.41","19.59","202100"
"JGW","2014-03-05","19.56","19.76","19.3","19.37","91700"
"JGW","2014-03-06","19.41","19.65","19.12","19.43","211500"
"JGW","2014-03-07","19.54","19.54","18.93","19.01","117000"
"JGW","2014-03-10","19.0","19.0","18.54","18.94","105600"
"JGW","2014-03-11","18.83","18.91","18.02","18.05","200800"
"JGW","2014-03-12","18.0","18.49","17.68","18.48","178700"
"JGW","2014-03-13","18.4","18.72","18.01","18.19","138800"
"JGW","2014-03-14","18.22","18.39","18.09","18.35","21700"
"JGW","2014-03-17","18.34","18.8","18.34","18.75","117200"
"JGW","2014-03-18","18.8","19.09","18.7","18.93","122900"
"JGW","2014-03-19","18.91","19.35","18.79","18.84","118700"
"JGW","2014-03-20","18.81","19.14","18.81","18.99","86900"
"JGW","2014-03-21","18.99","18.99","18.36","18.36","167100"
"JGW","2014-03-24","18.58","18.74","17.86","18.21","75000"
"JGW","2014-03-25","18.35","18.4","17.76","18.01","234500"
"JGW","2014-03-26","18.09","18.16","17.63","17.91","276000"
"JGW","2014-03-27","17.84","18.07","17.8","17.92","156500"
"JGW","2014-03-28","17.89","18.07","17.85","17.91","103600"
"JGW","2014-03-31","18.19","18.43","17.93","18.26","257400"
"JGW","2014-04-01","17.35","17.85","14.8","16.01","1420900"
"JGW","2014-04-02","15.99","16.01","15.25","15.4","369600"
"JGW","2014-04-03","15.35","15.36","14.33","14.94","512500"
"JGW","2014-04-04","15.04","15.13","14.82","15.01","343600"
"JGW","2014-04-07","15.0","15.0","14.56","14.71","237600"
"JGW","2014-04-08","14.71","14.77","13.94","14.14","245100"
"JGW","2014-04-09","14.13","14.36","14.05","14.34","157000"
"JGW","2014-04-10","14.39","14.46","14.0","14.25","138200"
"JGW","2014-04-11","14.17","14.56","14.1","14.44","167500"
"JGW","2014-04-14","14.57","14.57","14.22","14.38","85800"
"JGW","2014-04-15","14.42","14.42","14.2","14.34","84300"
"JGW","2014-04-16","14.39","14.64","14.24","14.62","96400"
"JGW","2014-04-17","14.64","14.81","14.47","14.74","129300"
"JGW","2014-04-21","14.8","14.87","14.68","14.8","54700"
"JGW","2014-04-22","14.77","14.83","14.54","14.62","72600"
"JGW","2014-04-23","14.64","14.72","14.34","14.5","58300"
"JGW","2014-04-24","14.6","14.72","14.36","14.64","77100"
"JGW","2014-04-25","14.57","14.83","14.45","14.5","124900"
"JGW","2014-04-28","14.54","14.58","14.27","14.52","163500"
"JGW","2014-04-29","14.6","14.6","14.2","14.26","104300"
"JGW","2014-04-30","14.2","14.32","13.87","14.17","217500"
"JGW","2014-05-01","14.2","14.31","13.99","14.25","195200"
"JGW","2014-05-02","14.29","14.3","13.95","14.17","74800"
"JGW","2014-05-05","14.17","14.25","14.0","14.13","225800"
"JGW","2014-05-06","14.05","14.05","13.54","13.63","220200"
"JGW","2014-05-07","13.65","13.72","12.9","13.09","434000"
"JGW","2014-05-08","13.1","13.14","12.72","12.8","249900"
"JGW","2014-05-09","12.77","12.9","12.67","12.74","122100"
"JGW","2014-05-12","12.9","13.47","12.74","13.39","289600"
"JGW","2014-05-13","13.39","13.54","13.24","13.31","141200"
"JGW","2014-05-14","13.1","13.9","9.43","10.51","3998000"
"JGW","2014-05-15","10.6","10.99","10.19","10.2","738300"
"JGW","2014-05-16","10.2","10.35","9.63","9.71","577700"
"JGW","2014-05-19","9.99","10.18","9.78","10.01","349100"
"JGW","2014-05-20","10.05","10.08","9.9","9.98","215900"
"JGW","2014-05-21","9.86","9.98","9.66","9.74","231500"
"JGW","2014-05-22","9.8","11.0","9.79","10.35","736200"
"JGW","2014-05-23","10.29","10.64","10.29","10.38","267100"
"JGW","2014-05-27","10.45","10.68","10.37","10.5","208500"
"JGW","2014-05-28","10.56","10.73","10.15","10.46","296300"
"JGW","2014-05-29","10.44","10.62","10.4","10.5","155300"
"JGW","2014-05-30","10.5","10.78","10.5","10.66","366600"
"JGW","2014-06-02","10.58","10.69","10.34","10.56","268000"
"JGW","2014-06-03","10.53","10.71","10.5","10.61","219400"
"JGW","2014-06-04","10.64","10.7","10.43","10.64","270300"
"JGW","2014-06-05","10.69","10.8","10.49","10.76","221000"
"JGW","2014-06-06","10.73","11.09","10.73","10.99","231300"
"JGW","2014-06-09","11.0","11.3","10.98","11.18","212100"
"JGW","2014-06-10","11.17","11.18","10.87","10.94","142800"
"JGW","2014-06-11","10.97","11.02","10.78","10.97","106200"
"JGW","2014-06-12","10.93","11.04","10.75","10.79","142300"
"JGW","2014-06-13","10.76","11.04","10.76","11.01","170300"
"JGW","2014-06-16","11.06","11.17","10.81","10.99","115600"
"JGW","2014-06-17","10.98","11.22","10.89","11.15","111700"
"JGW","2014-06-18","11.19","11.22","10.96","11.11","255400"
"JGW","2014-06-19","11.11","11.2","11.04","11.19","97100"
"JGW","2014-06-20","11.25","11.31","10.96","11.06","146500"
"JGW","2014-06-23","11.11","11.19","10.93","11.05","159700"
"JGW","2014-06-24","11.1","11.18","10.91","10.96","224100"
"JGW","2014-06-25","10.95","11.15","10.94","11.08","161700"
"JGW","2014-06-26","11.04","11.18","10.9","11.11","96800"
"JGW","2014-06-27","11.04","11.33","10.93","11.3","547000"
"JGW","2014-06-30","11.25","11.31","11.14","11.26","138900"
"JGW","2014-07-01","11.31","11.47","11.18","11.24","268100"
"JGW","2014-07-02","11.25","11.51","11.25","11.39","86600"
"JGW","2014-07-03","11.4","11.43","11.26","11.35","32900"
"JGW","2014-07-07","11.28","11.38","10.89","11.0","98400"
"JGW","2014-07-08","11.01","11.07","10.85","10.96","183100"
"JGW","2014-07-09","11.0","11.07","10.8","11.0","100500"
"JGW","2014-07-10","10.86","11.04","10.8","11.0","193800"
"JGW","2014-07-11","10.96","11.03","10.91","11.01","105000"
"JGW","2014-07-14","11.04","11.1","10.99","11.03","109700"
"JGW","2014-07-15","11.05","11.42","10.97","11.15","373100"
"JGW","2014-07-16","11.24","11.26","10.94","11.01","154800"
"JGW","2014-07-17","11.03","11.05","10.9","10.94","121000"
"JGW","2014-07-18","10.9","11.02","10.9","10.99","188700"
"JGW","2014-07-21","11.0","11.1","10.9","11.1","577200"
"JGW","2014-07-22","11.15","11.19","11.01","11.05","84000"
"JGW","2014-07-23","11.04","11.05","10.93","11.0","43900"
"JGW","2014-07-24","10.97","11.05","10.97","11.01","127900"
"JGW","2014-07-25","10.96","11.08","10.93","11.03","115200"
"JGW","2014-07-28","11.0","11.09","10.85","11.06","219300"
"JGW","2014-07-29","11.05","11.14","10.98","11.06","144400"
"JGW","2014-07-30","11.08","11.15","10.94","11.14","68900"
"JGW","2014-07-31","11.1","11.13","10.82","11.11","127800"
"JGW","2014-08-01","11.07","11.11","10.81","10.91","73800"
"JGW","2014-08-04","10.91","11.0","10.82","10.96","77800"
"JGW","2014-08-05","10.96","11.05","10.85","10.98","381000"
"JGW","2014-08-06","10.91","11.35","10.89","11.22","70600"
"JGW","2014-08-07","11.28","11.32","11.03","11.11","30300"
"JGW","2014-08-08","11.18","11.25","11.0","11.09","107400"
"JGW","2014-08-11","11.15","11.46","11.12","11.46","102700"
"JGW","2014-08-12","11.41","11.41","10.96","11.15","348000"
"JGW","2014-08-13","11.14","11.31","11.14","11.3","131600"
"JGW","2014-08-14","11.75","13.45","11.75","12.41","758000"
"JGW","2014-08-15","12.5","13.59","12.5","13.13","348900"
