"symbol","date","open","high","low","close","volume"
"JPS","2002-09-24","15.0","15.03","15.0","5.12","991000"
"JPS","2002-09-25","15.03","15.09","15.0","5.15","345300"
"JPS","2002-09-26","15.22","15.23","15.05","5.16","258800"
"JPS","2002-09-27","15.12","15.19","15.08","5.15","222400"
"JPS","2002-09-30","15.19","15.19","15.0","5.18","279900"
"JPS","2002-10-01","15.19","15.19","15.05","5.16","196000"
"JPS","2002-10-02","15.09","15.19","15.06","5.15","251200"
"JPS","2002-10-03","15.16","15.19","15.06","5.17","313800"
"JPS","2002-10-04","15.19","15.19","15.11","5.17","180600"
"JPS","2002-10-07","15.17","15.17","15.05","5.15","231400"
"JPS","2002-10-08","15.06","15.14","15.0","5.16","293800"
"JPS","2002-10-09","15.16","15.16","15.0","5.11","227100"
"JPS","2002-10-10","15.0","15.09","15.0","5.12","324900"
"JPS","2002-10-11","15.06","15.08","15.0","5.13","173200"
"JPS","2002-10-14","15.05","15.08","15.0","5.11","402400"
"JPS","2002-10-15","15.0","15.05","15.0","5.11","359300"
"JPS","2002-10-16","15.0","15.05","15.0","5.12","181100"
"JPS","2002-10-17","15.06","15.06","15.0","5.12","243500"
"JPS","2002-10-18","15.0","15.02","15.0","5.11","277200"
"JPS","2002-10-21","15.02","15.05","15.0","5.12","295800"
"JPS","2002-10-22","15.0","15.02","15.0","5.11","236000"
"JPS","2002-10-23","15.0","15.02","15.0","5.11","234500"
"JPS","2002-10-24","15.0","15.03","15.0","5.12","212200"
"JPS","2002-10-25","15.0","15.02","15.0","5.11","258500"
"JPS","2002-10-28","15.0","15.02","15.0","5.11","1088700"
"JPS","2002-10-29","15.0","15.02","15.0","5.11","431000"
"JPS","2002-10-30","15.0","15.02","15.0","5.11","517800"
"JPS","2002-10-31","15.0","15.02","15.0","5.12","313100"
"JPS","2002-11-01","15.0","15.02","15.0","5.11","183300"
"JPS","2002-11-04","15.0","15.03","15.0","5.12","198000"
"JPS","2002-11-05","15.02","15.03","15.0","5.12","172400"
"JPS","2002-11-06","15.02","15.03","15.0","5.12","199100"
"JPS","2002-11-07","15.05","15.05","15.0","5.13","183300"
"JPS","2002-11-08","15.0","15.05","15.0","5.11","132500"
"JPS","2002-11-11","15.0","15.05","15.0","5.11","165800"
"JPS","2002-11-12","15.05","15.05","15.0","5.13","200800"
"JPS","2002-11-13","15.0","15.05","15.0","5.15","363000"
"JPS","2002-11-14","15.0","15.05","14.34","4.92","505300"
"JPS","2002-11-15","14.41","14.88","14.41","5.05","313300"
"JPS","2002-11-18","14.89","14.94","14.56","5.03","149700"
"JPS","2002-11-19","14.66","14.77","14.53","5.0","205900"
"JPS","2002-11-20","14.59","14.66","14.53","5.03","183000"
"JPS","2002-11-21","14.59","14.62","14.5","4.98","269600"
"JPS","2002-11-22","14.16","14.38","13.92","4.85","435200"
"JPS","2002-11-25","14.16","14.45","14.06","4.92","344400"
"JPS","2002-11-26","14.41","14.64","14.34","4.98","193800"
"JPS","2002-11-27","14.55","14.75","14.5","5.02","99100"
"JPS","2002-11-29","14.7","14.73","14.5","4.98","37500"
"JPS","2002-12-02","14.7","14.7","14.5","5.04","224500"
"JPS","2002-12-03","14.64","14.8","14.52","5.0","162600"
"JPS","2002-12-04","14.52","14.95","14.5","5.06","204000"
"JPS","2002-12-05","14.66","14.88","14.66","5.07","163000"
"JPS","2002-12-06","14.88","14.92","14.59","5.05","129200"
"JPS","2002-12-09","14.62","14.88","14.62","5.07","156800"
"JPS","2002-12-10","14.83","14.88","14.67","5.06","207000"
"JPS","2002-12-11","14.66","14.8","14.48","5.03","174800"
"JPS","2002-12-12","14.66","14.8","14.66","5.05","138500"
"JPS","2002-12-13","14.77","14.81","14.69","5.06","148700"
"JPS","2002-12-16","14.8","14.84","14.52","5.04","214200"
"JPS","2002-12-17","14.66","14.8","14.56","5.05","194800"
"JPS","2002-12-18","14.66","14.83","14.66","5.06","272000"
