"symbol","date","open","high","low","close","volume"
"JW.B","1995-10-19","29.88","30.25","29.88","6.25","1600"
"JW.B","1995-10-20","30.12","30.12","30.12","6.22","800"
"JW.B","1995-10-23","30.12","30.12","30.12","6.22","0"
"JW.B","1995-10-24","30.12","30.12","30.12","6.22","0"
"JW.B","1995-10-25","30.12","30.12","30.12","6.22","0"
"JW.B","1995-10-26","30.12","30.12","30.12","6.22","0"
"JW.B","1995-10-27","30.12","30.12","30.12","6.22","0"
"JW.B","1995-10-30","30.12","30.12","30.12","6.22","0"
"JW.B","1995-10-31","30.12","30.12","30.12","6.22","0"
"JW.B","1995-11-01","30.12","30.12","30.12","6.22","0"
"JW.B","1995-11-02","29.88","29.88","29.88","6.17","1200"
"JW.B","1995-11-03","29.88","29.88","29.88","6.17","0"
"JW.B","1995-11-06","29.88","29.88","29.88","6.17","0"
"JW.B","1995-11-07","29.88","29.88","29.88","6.17","0"
"JW.B","1995-11-08","29.88","29.88","29.88","6.17","0"
"JW.B","1995-11-09","30.12","30.88","30.12","6.3","5200"
"JW.B","1995-11-10","30.5","30.5","30.5","6.3","400"
"JW.B","1995-11-13","30.5","30.5","30.5","6.3","0"
"JW.B","1995-11-14","30.75","31.5","30.75","6.51","2400"
"JW.B","1995-11-15","31.5","31.5","31.0","6.43","8400"
"JW.B","1995-11-16","31.12","31.75","31.12","6.43","10000"
"JW.B","1995-11-17","31.12","31.12","31.12","6.43","0"
"JW.B","1995-11-20","31.12","31.12","31.12","6.43","0"
"JW.B","1995-11-21","31.12","31.12","31.12","6.43","0"
"JW.B","1995-11-22","31.12","31.12","31.12","6.43","0"
"JW.B","1995-11-24","31.0","31.0","30.12","6.22","12800"
"JW.B","1995-11-27","30.12","30.25","30.12","6.25","1200"
"JW.B","1995-11-28","30.62","31.25","30.62","6.45","16000"
"JW.B","1995-11-29","31.62","31.88","31.62","6.58","1600"
"JW.B","1995-11-30","31.88","32.25","31.75","6.56","5600"
"JW.B","1995-12-01","32.0","33.0","32.0","6.76","4800"
"JW.B","1995-12-04","33.12","34.0","33.12","6.97","9600"
"JW.B","1995-12-05","34.0","34.5","34.0","7.13","6800"
"JW.B","1995-12-06","34.75","34.75","34.75","7.18","800"
"JW.B","1995-12-07","34.75","34.75","34.75","7.18","0"
"JW.B","1995-12-08","34.75","34.75","34.75","7.18","0"
"JW.B","1995-12-11","34.5","34.5","33.5","6.92","10000"
