"symbol","date","open","high","low","close","volume"
"KBAL","1990-03-26","21.0","21.75","21.0","3.46","8500"
"KBAL","1990-03-27","21.75","21.75","21.75","3.59","3600"
"KBAL","1990-03-28","21.75","22.0","21.75","3.63","3600"
"KBAL","1990-03-29","21.37","22.0","21.25","3.63","29500"
"KBAL","1990-03-30","21.75","22.5","21.75","3.71","17200"
"KBAL","1990-04-02","22.0","22.25","21.87","3.67","18700"
"KBAL","1990-04-03","22.5","23.0","22.0","3.79","17200"
"KBAL","1990-04-04","23.0","23.0","22.5","3.71","14100"
"KBAL","1990-04-05","22.25","22.75","22.0","3.67","40700"
"KBAL","1990-04-06","22.0","22.25","21.75","3.59","23300"
"KBAL","1990-04-09","21.87","22.25","21.75","3.67","144800"
"KBAL","1990-04-10","22.25","22.25","21.5","3.63","11500"
"KBAL","1990-04-11","22.0","22.0","21.62","3.59","29700"
"KBAL","1990-04-12","21.75","22.0","21.5","3.59","147600"
"KBAL","1990-04-16","22.0","22.25","21.5","3.67","495700"
"KBAL","1990-04-17","21.5","22.75","21.5","3.67","66600"
"KBAL","1990-04-18","22.75","22.75","22.25","3.71","13100"
"KBAL","1990-04-19","22.5","22.75","22.25","3.67","12000"
"KBAL","1990-04-20","22.75","22.75","22.25","3.67","3100"
"KBAL","1990-04-23","22.75","22.75","22.25","3.71","122200"
"KBAL","1990-04-24","22.5","22.5","22.5","3.71","3100"
"KBAL","1990-04-25","22.5","22.75","22.25","3.67","120200"
"KBAL","1990-04-26","22.25","22.5","22.25","3.69","52500"
"KBAL","1990-04-27","22.5","22.5","22.25","3.71","50200"
"KBAL","1990-04-30","22.5","22.5","22.25","3.71","4100"
"KBAL","1990-05-01","22.25","22.75","22.25","3.67","6400"
"KBAL","1990-05-02","22.25","22.75","22.25","3.75","10500"
"KBAL","1990-05-03","22.25","22.75","22.25","3.67","390700"
"KBAL","1990-05-04","22.25","22.75","22.25","3.67","47400"
"KBAL","1990-05-07","22.25","22.75","22.25","3.75","15900"
"KBAL","1990-05-08","22.75","23.0","22.5","3.79","7900"
"KBAL","1990-05-09","22.5","22.5","22.25","3.67","3300"
"KBAL","1990-05-10","23.0","23.0","23.0","3.79","1300"
"KBAL","1990-05-11","23.0","23.0","22.5","3.79","2600"
"KBAL","1990-05-14","22.75","23.25","22.5","3.71","5900"
"KBAL","1990-05-15","23.25","23.25","22.75","3.83","25400"
"KBAL","1990-05-16","23.0","23.75","23.0","3.91","34100"
"KBAL","1990-05-17","23.75","24.25","23.5","3.87","6700"
"KBAL","1990-05-18","23.5","24.0","23.5","3.87","12300"
"KBAL","1990-05-21","23.5","24.0","23.5","3.96","15400"
"KBAL","1990-05-22","23.25","24.0","23.0","3.83","21000"
"KBAL","1990-05-23","22.75","22.75","22.75","3.75","6400"
"KBAL","1990-05-24","22.75","23.0","22.75","3.79","56100"
"KBAL","1990-05-25","22.75","22.75","22.5","3.75","9500"
"KBAL","1990-05-29","22.75","23.0","22.0","3.63","108600"
"KBAL","1990-05-30","21.75","22.5","21.75","3.63","16900"
"KBAL","1990-05-31","22.0","22.75","22.0","3.71","4600"
"KBAL","1990-06-01","21.75","22.5","21.75","3.71","104800"
"KBAL","1990-06-04","22.25","22.75","22.0","3.63","186800"
"KBAL","1990-06-05","22.5","22.5","22.0","3.63","148100"
"KBAL","1990-06-06","22.5","22.5","22.0","3.65","10800"
"KBAL","1990-06-07","22.0","22.12","22.0","3.65","56400"
"KBAL","1990-06-08","22.0","22.5","21.87","3.67","646600"
"KBAL","1990-06-11","22.0","22.5","22.0","3.71","5900"
"KBAL","1990-06-12","22.5","22.5","22.0","3.63","6700"
"KBAL","1990-06-13","22.5","23.0","22.0","3.79","25900"
"KBAL","1990-06-14","23.0","23.0","22.5","3.71","8200"
"KBAL","1990-06-15","22.25","23.0","22.25","3.79","7700"
"KBAL","1990-06-18","23.0","23.0","22.5","3.71","4900"
"KBAL","1990-06-19","22.5","22.5","22.5","3.73","6100"
"KBAL","1990-06-20","22.5","22.5","22.5","3.73","1000"
"KBAL","1990-06-21","23.0","23.0","22.5","3.73","800"
"KBAL","1990-06-22","23.0","23.0","22.75","3.78","29500"
"KBAL","1990-06-25","22.87","23.0","22.75","3.78","23600"
"KBAL","1990-06-26","22.75","22.75","22.75","3.78","1500"
"KBAL","1990-06-27","23.25","23.25","23.0","3.86","38400"
"KBAL","1990-06-28","23.0","23.25","23.0","3.82","105000"
"KBAL","1990-06-29","22.75","23.5","22.75","3.82","1500"
"KBAL","1990-07-02","23.5","23.5","23.0","3.9","31300"
"KBAL","1990-07-03","23.0","23.25","23.0","3.82","37700"
"KBAL","1990-07-05","22.75","22.75","22.25","3.71","40700"
"KBAL","1990-07-06","22.25","22.25","21.75","3.65","32300"
"KBAL","1990-07-09","22.0","22.0","21.75","3.61","4900"
"KBAL","1990-07-10","21.75","21.75","20.5","3.44","50000"
"KBAL","1990-07-11","21.0","21.5","20.75","3.44","25600"
"KBAL","1990-07-12","21.25","21.25","20.62","3.53","207000"
"KBAL","1990-07-13","20.75","21.5","20.75","3.53","31500"
"KBAL","1990-07-16","21.0","21.75","21.0","3.48","3600"
"KBAL","1990-07-17","21.75","21.75","21.0","3.48","52000"
