"symbol","date","open","high","low","close","volume"
"KCC","2001-04-18","25.0","25.0","24.7","25.0","13900"
"KCC","2001-04-19","25.0","25.0","24.8","24.8","11600"
"KCC","2001-04-20","25.05","25.15","24.81","25.15","3500"
"KCC","2001-04-23","25.25","25.25","24.8","24.8","2500"
"KCC","2001-04-24","24.75","25.0","24.5","25.0","4200"
"KCC","2001-04-25","25.1","25.1","24.75","25.0","2000"
"KCC","2001-04-26","25.05","25.05","24.8","24.8","1300"
"KCC","2001-04-27","25.0","25.15","25.0","25.1","4300"
"KCC","2001-04-30","25.1","25.1","24.91","24.91","6300"
"KCC","2001-05-01","25.03","25.03","24.9","25.03","1600"
"KCC","2001-05-02","24.9","25.0","24.9","24.9","1200"
"KCC","2001-05-03","25.03","25.03","24.9","24.98","5200"
"KCC","2001-05-04","25.01","25.01","24.9","24.9","2200"
"KCC","2001-05-07","25.1","25.1","24.9","24.9","2600"
"KCC","2001-05-08","25.0","25.0","24.75","24.8","2000"
"KCC","2001-05-09","25.0","25.1","24.8","25.1","4700"
"KCC","2001-05-10","25.2","25.2","24.8","24.8","5000"
"KCC","2001-05-11","24.9","25.0","24.9","24.95","2500"
"KCC","2001-05-14","25.05","25.05","24.8","24.9","2400"
"KCC","2001-05-15","25.0","25.1","25.0","25.0","2200"
"KCC","2001-05-16","25.2","25.2","25.0","25.0","3100"
"KCC","2001-05-17","25.15","25.15","25.05","25.05","1700"
"KCC","2001-05-18","25.1","25.1","25.1","25.1","300"
"KCC","2001-05-21","25.15","25.15","25.1","25.1","1100"
"KCC","2001-05-22","25.2","25.2","24.75","25.05","2600"
"KCC","2001-05-23","25.2","25.2","25.2","25.2","400"
"KCC","2001-05-24","25.2","25.2","24.85","24.9","3400"
"KCC","2001-05-25","25.05","25.05","24.85","24.85","3600"
"KCC","2001-05-29","25.0","25.0","24.75","24.9","3200"
"KCC","2001-05-30","25.05","25.05","24.75","24.75","3100"
"KCC","2001-05-31","24.85","25.25","24.85","25.0","3500"
"KCC","2001-06-01","25.1","25.1","24.9","24.9","1600"
"KCC","2001-06-04","25.0","25.0","24.65","24.65","4600"
"KCC","2001-06-05","24.75","24.9","24.75","24.9","1300"
"KCC","2001-06-06","25.0","25.0","24.5","24.5","4100"
"KCC","2001-06-07","24.25","24.45","24.25","24.3","3500"
"KCC","2001-06-08","24.4","24.4","24.25","24.25","4000"
"KCC","2001-06-11","24.35","24.45","24.25","24.45","1900"
"KCC","2001-06-12","24.4","24.4","24.35","24.35","400"
"KCC","2001-06-13","24.6","24.6","24.55","24.6","3500"
"KCC","2001-06-14","24.8","24.8","24.8","24.8","300"
"KCC","2001-06-15","24.95","25.0","24.9","24.9","2100"
"KCC","2001-06-18","25.0","25.0","24.9","24.9","4200"
"KCC","2001-06-19","25.0","25.0","24.95","24.95","3100"
"KCC","2001-06-20","25.15","25.15","24.8","24.85","1600"
"KCC","2001-06-21","25.0","25.0","24.6","24.73","4600"
"KCC","2001-06-22","24.75","25.0","24.75","24.75","2000"
"KCC","2001-06-25","24.95","25.05","24.8","24.9","5000"
"KCC","2001-06-26","24.9","25.0","24.9","25.0","1400"
"KCC","2001-06-27","25.0","25.15","25.0","25.15","2500"
"KCC","2001-06-28","25.2","25.2","25.15","25.15","1600"
"KCC","2001-06-29","25.2","25.2","25.15","25.15","6700"
"KCC","2001-07-02","25.25","25.25","25.0","25.0","900"
"KCC","2001-07-03","25.25","25.25","25.0","25.0","500"
"KCC","2001-07-05","25.15","25.15","25.09","25.1","2700"
"KCC","2001-07-06","25.2","25.2","25.0","25.1","3200"
"KCC","2001-07-09","25.2","25.2","24.9","25.0","8600"
"KCC","2001-07-10","25.2","25.2","25.01","25.01","2200"
"KCC","2001-07-11","25.15","25.25","25.1","25.1","2200"
"KCC","2001-07-12","25.2","25.2","25.0","25.15","5300"
"KCC","2001-07-13","25.15","25.15","25.11","25.11","3700"
"KCC","2001-07-16","25.2","25.3","25.02","25.15","10200"
"KCC","2001-07-17","25.25","25.25","25.07","25.07","900"
"KCC","2001-07-18","25.25","25.25","25.05","25.05","3600"
"KCC","2001-07-19","25.2","25.25","25.03","25.05","4300"
"KCC","2001-07-20","25.2","25.2","25.2","25.2","300"
"KCC","2001-07-23","25.25","25.25","25.02","25.25","6400"
"KCC","2001-07-24","25.3","25.3","25.1","25.1","1800"
"KCC","2001-07-25","25.35","25.35","25.1","25.1","1200"
"KCC","2001-07-26","25.35","25.35","25.25","25.25","4800"
"KCC","2001-07-27","25.5","25.5","25.5","25.5","2600"
"KCC","2001-07-30","25.5","25.5","25.1","25.1","6300"
"KCC","2001-07-31","25.35","25.45","25.1","25.2","11800"
"KCC","2001-08-01","25.45","25.45","25.16","25.3","3800"
"KCC","2001-08-02","25.45","25.55","25.2","25.55","10700"
"KCC","2001-08-03","25.55","25.55","25.35","25.35","6400"
