"symbol","date","open","high","low","close","volume"
"KEX","1991-08-21","12.12","12.38","12.12","6.19","164600"
"KEX","1991-08-22","12.25","12.62","12.25","6.31","209200"
"KEX","1991-08-23","14.0","14.88","13.62","7.25","2553800"
"KEX","1991-08-26","14.38","14.38","13.75","7.0","449600"
"KEX","1991-08-27","14.0","14.12","13.88","7.06","403800"
"KEX","1991-08-28","14.25","14.88","14.25","7.31","263800"
"KEX","1991-08-29","14.62","15.12","14.62","7.5","491200"
"KEX","1991-08-30","15.0","15.0","14.62","7.38","62400"
"KEX","1991-09-03","14.75","14.75","14.12","7.06","109000"
"KEX","1991-09-04","14.12","14.62","14.12","7.25","182600"
"KEX","1991-09-05","14.25","14.62","14.25","7.19","66400"
"KEX","1991-09-06","14.5","14.75","14.5","7.31","190200"
"KEX","1991-09-09","14.75","14.75","14.62","7.38","419400"
"KEX","1991-09-10","14.62","14.75","14.5","7.38","338200"
"KEX","1991-09-11","14.62","14.75","14.62","7.31","29600"
"KEX","1991-09-12","14.75","14.75","14.5","7.31","51200"
"KEX","1991-09-13","14.5","14.75","14.5","7.31","28000"
"KEX","1991-09-16","14.5","14.62","14.5","7.31","169400"
"KEX","1991-09-17","14.62","14.62","14.5","7.31","190600"
"KEX","1991-09-18","14.5","14.75","14.5","7.31","62200"
"KEX","1991-09-19","14.62","15.0","14.5","7.44","66600"
"KEX","1991-09-20","14.88","15.62","14.75","7.75","168200"
"KEX","1991-09-23","15.38","15.5","15.12","7.56","163800"
"KEX","1991-09-24","15.12","16.0","15.12","7.88","429200"
"KEX","1991-09-25","15.75","15.75","15.5","7.75","260200"
"KEX","1991-09-26","15.62","15.62","15.38","7.81","52600"
"KEX","1991-09-27","15.62","15.75","15.5","7.88","42000"
"KEX","1991-09-30","15.62","15.62","15.5","7.81","214800"
"KEX","1991-10-01","15.62","16.0","15.5","7.88","113200"
"KEX","1991-10-02","15.62","15.88","15.62","7.94","143800"
"KEX","1991-10-03","16.0","16.12","15.88","7.94","49800"
"KEX","1991-10-04","15.88","16.12","15.75","8.0","68200"
"KEX","1991-10-07","16.12","16.12","15.88","8.0","319800"
"KEX","1991-10-08","15.88","15.88","15.75","7.94","41800"
"KEX","1991-10-09","15.88","16.0","15.88","8.0","242000"
"KEX","1991-10-10","15.88","16.12","15.88","8.0","85600"
"KEX","1991-10-11","15.88","15.88","15.75","7.94","18600"
"KEX","1991-10-14","15.88","15.88","15.62","7.81","85000"
"KEX","1991-10-15","15.75","15.75","15.62","7.81","127400"
"KEX","1991-10-16","15.75","15.75","14.38","7.31","233400"
"KEX","1991-10-17","14.75","15.25","14.5","7.25","640000"
"KEX","1991-10-18","14.5","14.5","14.0","7.0","466000"
"KEX","1991-10-21","14.12","14.38","14.12","7.12","174800"
"KEX","1991-10-22","14.25","14.38","14.25","7.12","70000"
"KEX","1991-10-23","14.25","14.25","14.0","7.0","107200"
"KEX","1991-10-24","14.0","14.0","13.5","6.75","155400"
"KEX","1991-10-25","13.5","13.5","13.0","6.69","1312200"
"KEX","1991-10-28","13.38","13.38","13.25","6.69","105800"
"KEX","1991-10-29","13.25","14.5","13.25","7.25","185400"
"KEX","1991-10-30","14.62","14.75","14.5","7.31","258800"
"KEX","1991-10-31","14.75","15.0","14.75","7.5","491200"
"KEX","1991-11-01","15.0","15.25","14.75","7.62","122000"
"KEX","1991-11-04","15.12","15.12","14.5","7.31","87600"
"KEX","1991-11-05","14.62","14.88","14.38","7.44","73200"
"KEX","1991-11-06","14.75","14.88","14.75","7.44","10400"
"KEX","1991-11-07","14.75","14.88","14.62","7.38","13000"
"KEX","1991-11-08","14.75","15.25","14.75","7.5","92400"
"KEX","1991-11-11","15.0","15.0","14.88","7.44","55200"
"KEX","1991-11-12","14.88","15.0","14.88","7.5","58800"
"KEX","1991-11-13","14.88","14.88","14.75","7.38","93600"
"KEX","1991-11-14","14.62","14.75","14.62","7.31","44200"
"KEX","1991-11-15","14.62","14.62","13.62","6.81","47600"
"KEX","1991-11-18","12.75","12.75","11.5","6.0","629800"
"KEX","1991-11-19","11.88","11.88","10.12","5.38","1115800"
"KEX","1991-11-20","10.88","11.5","10.88","5.56","680400"
"KEX","1991-11-21","11.25","11.25","10.88","5.56","363600"
"KEX","1991-11-22","11.25","11.5","11.25","5.69","139600"
"KEX","1991-11-25","11.25","11.5","11.25","5.75","222000"
"KEX","1991-11-26","11.5","11.5","11.12","5.56","92600"
"KEX","1991-11-27","11.12","11.12","11.0","5.5","51000"
"KEX","1991-11-29","10.88","10.88","10.25","5.12","210200"
"KEX","1991-12-02","10.0","11.0","9.75","5.5","418000"
"KEX","1991-12-03","11.0","11.12","10.62","5.38","127600"
"KEX","1991-12-04","10.75","10.88","10.62","5.44","89400"
"KEX","1991-12-05","10.88","11.0","10.75","5.38","190800"
"KEX","1991-12-06","10.75","10.88","10.75","5.44","102000"
"KEX","1991-12-09","11.0","11.0","10.75","5.38","22800"
"KEX","1991-12-10","10.75","10.88","10.5","5.25","437800"
"KEX","1991-12-11","10.62","10.62","10.5","5.31","59800"
"KEX","1991-12-12","10.75","10.75","10.62","5.38","94400"
"KEX","1991-12-13","10.75","11.0","10.75","5.5","37400"
"KEX","1991-12-16","10.88","11.0","10.62","5.31","235600"
"KEX","1991-12-17","10.62","10.75","10.5","5.38","56000"
"KEX","1991-12-18","10.62","10.88","10.5","5.31","77200"
"KEX","1991-12-19","10.5","10.62","10.5","5.25","61800"
"KEX","1991-12-20","10.5","10.75","10.38","5.25","248400"
"KEX","1991-12-23","10.5","10.75","10.38","5.31","206200"
"KEX","1991-12-24","10.62","10.75","10.5","5.38","202400"
"KEX","1991-12-26","10.62","10.88","10.62","5.38","128200"
"KEX","1991-12-27","10.88","10.88","10.62","5.31","134400"
"KEX","1991-12-30","10.75","11.5","10.75","5.75","257400"
"KEX","1991-12-31","11.5","12.25","11.5","6.12","96200"
"KEX","1992-01-02","12.0","12.0","11.88","6.0","270600"
"KEX","1992-01-03","12.0","12.0","11.62","5.88","155600"
"KEX","1992-01-06","11.88","12.0","11.88","6.0","267000"
"KEX","1992-01-07","12.0","12.38","12.0","6.12","122200"
"KEX","1992-01-08","12.5","13.75","12.5","6.81","672000"
"KEX","1992-01-09","13.88","14.12","13.5","7.0","184600"
"KEX","1992-01-10","13.88","13.88","13.38","6.75","297400"
"KEX","1992-01-13","13.25","13.88","13.12","6.88","162000"
"KEX","1992-01-14","13.88","14.0","13.75","7.0","238600"
"KEX","1992-01-15","14.0","14.0","13.75","6.94","178800"
"KEX","1992-01-16","13.88","14.12","13.75","6.94","273600"
"KEX","1992-01-17","14.0","14.5","14.0","7.19","171800"
"KEX","1992-01-20","14.38","14.38","14.25","7.12","11000"
"KEX","1992-01-21","14.12","14.12","13.62","6.88","218800"
"KEX","1992-01-22","13.75","13.75","13.62","6.81","26800"
"KEX","1992-01-23","13.75","13.75","13.62","6.81","14600"
"KEX","1992-01-24","13.75","13.88","13.75","6.88","61000"
"KEX","1992-01-27","13.75","14.38","13.75","7.19","79600"
"KEX","1992-01-28","14.25","14.5","14.25","7.19","56400"
"KEX","1992-01-29","14.38","14.5","14.38","7.19","51200"
"KEX","1992-01-30","14.25","14.62","14.25","7.31","110800"
"KEX","1992-01-31","14.62","14.88","14.62","7.38","16400"
"KEX","1992-02-03","14.75","14.75","14.75","7.38","183600"
"KEX","1992-02-04","14.75","14.75","14.75","7.38","37200"
"KEX","1992-02-05","14.75","15.12","14.62","7.5","95400"
"KEX","1992-02-06","15.25","15.25","14.88","7.44","68600"
"KEX","1992-02-07","15.0","15.38","15.0","7.62","65800"
"KEX","1992-02-10","15.25","15.25","15.0","7.56","160600"
"KEX","1992-02-11","15.0","15.12","15.0","7.5","407000"
"KEX","1992-02-12","15.12","15.25","15.0","7.62","46000"
"KEX","1992-02-13","15.25","15.38","15.0","7.5","41200"
"KEX","1992-02-14","15.0","15.12","15.0","7.56","102600"
"KEX","1992-02-18","15.0","15.12","14.88","7.5","27600"
"KEX","1992-02-19","15.0","15.0","14.88","7.44","60600"
"KEX","1992-02-20","15.0","15.0","14.75","7.44","137000"
"KEX","1992-02-21","14.75","14.75","13.88","7.0","643000"
"KEX","1992-02-24","14.0","14.0","13.5","6.81","105400"
"KEX","1992-02-25","13.62","13.62","13.25","6.62","41400"
"KEX","1992-02-26","13.0","13.12","12.25","6.5","647400"
"KEX","1992-02-27","12.88","13.0","12.62","6.38","516400"
"KEX","1992-02-28","12.62","13.0","12.12","6.06","202800"
"KEX","1992-03-02","12.25","12.25","12.12","6.12","187200"
"KEX","1992-03-03","12.25","12.25","12.12","6.06","80800"
"KEX","1992-03-04","12.12","12.12","11.88","6.06","224600"
"KEX","1992-03-05","12.0","12.0","11.88","6.0","11400"
"KEX","1992-03-06","12.0","12.12","11.88","5.94","31600"
"KEX","1992-03-09","12.0","12.12","11.75","5.88","104600"
"KEX","1992-03-10","11.75","11.88","11.62","5.81","103200"
"KEX","1992-03-11","11.75","11.88","11.62","5.81","123200"
"KEX","1992-03-12","11.75","11.75","11.5","5.81","137400"
"KEX","1992-03-13","11.5","11.5","11.25","5.62","365000"
"KEX","1992-03-16","11.0","11.5","11.0","5.69","121200"
"KEX","1992-03-17","11.25","11.25","11.0","5.56","39200"
"KEX","1992-03-18","11.12","11.25","11.12","5.62","52600"
"KEX","1992-03-19","11.25","11.75","11.25","5.81","548600"
"KEX","1992-03-20","11.75","11.88","11.75","5.94","216200"
"KEX","1992-03-23","12.0","12.5","12.0","6.25","129000"
"KEX","1992-03-24","12.5","12.5","12.38","6.25","26800"
"KEX","1992-03-25","12.38","12.38","12.12","6.06","35800"
"KEX","1992-03-26","12.12","12.38","11.62","5.88","88800"
"KEX","1992-03-27","11.62","11.62","11.38","5.81","185800"
"KEX","1992-03-30","11.75","12.38","11.75","6.12","64600"
"KEX","1992-03-31","12.25","12.25","12.12","6.12","39800"
"KEX","1992-04-01","12.12","12.12","11.25","5.75","126800"
"KEX","1992-04-02","11.5","11.5","11.38","5.75","122600"
