"symbol","date","open","high","low","close","volume"
"KFY","1999-02-11","14.12","14.31","12.75","13.0","7954500"
"KFY","1999-02-12","12.88","12.88","11.0","11.25","1095700"
"KFY","1999-02-16","12.0","12.25","11.75","11.75","377100"
"KFY","1999-02-17","11.69","11.69","11.5","11.56","266600"
"KFY","1999-02-18","11.69","11.81","11.5","11.75","135000"
"KFY","1999-02-19","11.75","12.0","11.75","11.81","166300"
"KFY","1999-02-22","11.88","11.88","11.56","11.62","138100"
"KFY","1999-02-23","11.62","11.75","11.5","11.69","305000"
"KFY","1999-02-24","11.69","11.75","11.31","11.5","311900"
"KFY","1999-02-25","11.44","11.5","11.12","11.38","175100"
"KFY","1999-02-26","11.44","11.44","11.38","11.38","40600"
"KFY","1999-03-01","11.38","11.5","11.38","11.38","22100"
"KFY","1999-03-02","11.5","11.75","11.38","11.75","48900"
"KFY","1999-03-03","11.75","11.81","11.5","11.5","85600"
"KFY","1999-03-04","11.38","11.75","11.38","11.69","106100"
"KFY","1999-03-05","11.75","12.06","11.69","12.0","134900"
"KFY","1999-03-08","12.31","12.38","12.06","12.06","80800"
"KFY","1999-03-09","12.19","12.25","12.0","12.0","132400"
"KFY","1999-03-10","12.06","12.06","11.12","11.12","142200"
"KFY","1999-03-11","11.44","12.62","11.44","12.56","717300"
"KFY","1999-03-12","12.56","12.94","12.44","12.81","506800"
"KFY","1999-03-15","12.81","13.38","12.75","13.31","410500"
"KFY","1999-03-16","13.38","13.38","12.12","13.12","88600"
"KFY","1999-03-17","13.12","13.44","12.94","13.38","104700"
"KFY","1999-03-18","13.44","13.44","12.56","12.81","255200"
"KFY","1999-03-19","12.69","12.88","12.31","12.5","38800"
"KFY","1999-03-22","12.62","12.88","12.12","12.12","175100"
"KFY","1999-03-23","12.12","12.12","11.5","11.69","77600"
"KFY","1999-03-24","11.56","11.88","11.25","11.81","62300"
"KFY","1999-03-25","12.0","12.94","11.88","12.88","488300"
"KFY","1999-03-26","12.88","12.94","12.56","12.62","873800"
"KFY","1999-03-29","12.62","12.88","12.38","12.69","119200"
"KFY","1999-03-30","12.69","12.94","12.62","12.75","38600"
"KFY","1999-03-31","12.69","13.12","12.69","13.12","63300"
"KFY","1999-04-01","13.38","13.75","13.25","13.75","139200"
"KFY","1999-04-05","13.75","14.0","13.5","13.5","95100"
"KFY","1999-04-06","13.5","13.75","13.5","13.5","246400"
"KFY","1999-04-07","13.5","13.88","13.5","13.56","129900"
"KFY","1999-04-08","13.56","14.0","13.56","14.0","142000"
"KFY","1999-04-09","13.88","13.88","13.69","13.75","71900"
"KFY","1999-04-12","13.81","14.06","13.69","13.81","66800"
