"symbol","date","open","high","low","close","volume"
"KIM","1991-11-22","20.0","20.12","19.88","1.32","6522600"
"KIM","1991-11-25","20.0","20.0","19.88","1.32","868800"
"KIM","1991-11-26","20.0","20.0","20.0","1.32","165000"
"KIM","1991-11-27","20.0","20.0","19.88","1.32","93600"
"KIM","1991-11-29","20.0","20.0","19.88","1.32","151400"
"KIM","1991-12-02","20.0","20.0","19.75","1.31","420200"
"KIM","1991-12-03","19.88","20.0","19.75","1.31","154800"
"KIM","1991-12-04","20.0","20.0","19.88","1.31","189200"
"KIM","1991-12-05","19.88","19.88","19.88","1.31","173600"
"KIM","1991-12-06","19.88","19.88","19.75","1.3","270200"
"KIM","1991-12-09","19.75","19.88","19.75","1.3","54200"
"KIM","1991-12-10","19.75","19.88","19.75","1.3","177600"
"KIM","1991-12-11","19.5","19.75","19.25","1.3","302600"
"KIM","1991-12-12","19.75","19.75","19.62","1.3","72800"
"KIM","1991-12-13","19.75","19.88","19.75","1.3","157800"
"KIM","1991-12-16","19.88","19.88","19.75","1.3","49400"
"KIM","1991-12-17","19.88","19.88","19.75","1.31","63200"
"KIM","1991-12-18","19.88","19.88","19.75","1.31","24200"
"KIM","1991-12-19","19.75","20.0","19.75","1.32","62000"
"KIM","1991-12-20","20.0","20.12","20.0","1.32","137600"
"KIM","1991-12-23","20.0","20.5","20.0","1.35","158600"
"KIM","1991-12-24","20.5","20.5","20.25","1.34","62400"
"KIM","1991-12-26","20.5","20.88","20.5","1.37","83600"
"KIM","1991-12-27","20.75","20.75","20.5","1.36","183000"
"KIM","1991-12-30","20.75","20.75","20.62","1.36","101600"
"KIM","1991-12-31","20.75","21.5","20.75","1.42","126000"
"KIM","1992-01-02","21.38","21.75","21.12","1.42","173000"
"KIM","1992-01-03","21.5","21.87","21.5","1.43","215000"
"KIM","1992-01-06","21.75","22.5","21.75","1.46","198000"
"KIM","1992-01-07","22.13","22.63","22.13","1.47","434000"
"KIM","1992-01-08","22.25","22.37","22.13","1.47","131600"
"KIM","1992-01-09","22.25","22.25","22.13","1.46","149400"
"KIM","1992-01-10","22.13","22.5","22.13","1.48","184400"
"KIM","1992-01-13","22.37","22.63","22.37","1.48","92600"
"KIM","1992-01-14","22.5","22.87","22.5","1.51","153000"
"KIM","1992-01-15","22.75","23.13","22.75","1.52","106200"
"KIM","1992-01-16","23.37","23.5","23.13","1.52","73200"
"KIM","1992-01-17","23.0","23.25","23.0","1.53","116000"
"KIM","1992-01-20","23.25","23.37","23.13","1.52","60200"
"KIM","1992-01-21","23.13","23.37","23.13","1.53","37800"
"KIM","1992-01-22","23.13","23.37","23.13","1.53","36000"
"KIM","1992-01-23","23.13","23.37","23.13","1.53","50600"
"KIM","1992-01-24","23.13","23.37","23.0","1.54","44000"
"KIM","1992-01-27","23.25","23.25","23.0","1.53","35400"
"KIM","1992-01-28","23.37","23.37","23.13","1.55","31400"
"KIM","1992-01-29","23.75","24.12","23.5","1.56","222600"
"KIM","1992-01-30","23.5","23.62","23.5","1.57","224400"
"KIM","1992-01-31","23.5","23.75","23.5","1.57","32600"
"KIM","1992-02-03","23.62","24.0","23.5","1.58","148400"
"KIM","1992-02-04","23.75","24.38","23.75","1.59","55800"
"KIM","1992-02-05","24.0","24.25","24.0","1.61","30600"
"KIM","1992-02-06","24.25","24.62","24.25","1.61","129000"
"KIM","1992-02-07","24.25","24.62","24.25","1.63","152400"
"KIM","1992-02-10","24.5","24.75","24.38","1.63","49400"
"KIM","1992-02-11","24.75","24.75","24.38","1.62","37800"
"KIM","1992-02-12","24.25","24.38","24.12","1.62","321200"
"KIM","1992-02-13","24.25","24.25","24.0","1.6","263600"
"KIM","1992-02-14","24.0","24.12","24.0","1.6","41400"
"KIM","1992-02-18","24.25","24.25","24.0","1.59","26000"
"KIM","1992-02-19","24.0","24.0","23.88","1.58","36200"
"KIM","1992-02-20","23.62","23.88","23.62","1.58","138600"
"KIM","1992-02-21","23.62","23.75","23.62","1.58","4800"
"KIM","1992-02-24","23.75","23.88","23.75","1.58","117000"
"KIM","1992-02-25","23.88","24.0","23.75","1.59","65600"
"KIM","1992-02-26","23.88","23.88","23.75","1.58","101000"
"KIM","1992-02-27","24.0","24.25","24.0","1.61","96600"
"KIM","1992-02-28","24.12","24.12","24.0","1.59","5600"
"KIM","1992-03-02","24.25","24.62","24.25","1.63","162200"
"KIM","1992-03-03","24.88","25.38","24.88","1.66","96200"
"KIM","1992-03-04","25.12","25.38","25.0","1.67","43400"
"KIM","1992-03-05","25.0","25.12","24.5","1.63","31800"
"KIM","1992-03-06","24.62","24.62","24.0","1.6","174000"
"KIM","1992-03-09","24.12","24.88","24.12","1.63","29600"
"KIM","1992-03-10","24.62","24.62","24.25","1.61","503400"
"KIM","1992-03-11","24.38","24.38","24.25","1.61","13400"
"KIM","1992-03-12","24.5","24.5","24.12","1.6","23400"
"KIM","1992-03-13","24.12","24.38","24.12","1.62","311400"
"KIM","1992-03-16","24.25","24.25","24.12","1.6","36000"
"KIM","1992-03-17","24.12","24.12","23.88","1.59","46800"
"KIM","1992-03-18","24.0","24.12","24.0","1.59","79200"
"KIM","1992-03-19","24.25","24.25","24.12","1.61","16200"
"KIM","1992-03-20","24.25","24.25","24.0","1.59","28200"
"KIM","1992-03-23","24.0","24.12","24.0","1.6","16200"
"KIM","1992-03-24","24.0","24.12","23.75","1.58","204600"
"KIM","1992-03-25","24.0","24.0","23.5","1.57","63800"
"KIM","1992-03-26","23.5","23.62","23.5","1.56","7200"
"KIM","1992-03-27","23.5","23.5","23.5","1.56","40400"
"KIM","1992-03-30","23.5","23.5","23.37","1.56","9200"
"KIM","1992-03-31","23.37","23.62","23.37","1.57","56600"
"KIM","1992-04-01","23.5","23.62","23.5","1.56","147600"
"KIM","1992-04-02","23.5","23.5","23.37","1.55","120600"
"KIM","1992-04-03","23.5","23.5","23.37","1.55","2000"
"KIM","1992-04-06","23.5","23.5","23.25","1.54","46800"
"KIM","1992-04-07","23.37","23.37","22.75","1.51","55800"
"KIM","1992-04-08","22.63","22.75","22.13","1.49","65600"
"KIM","1992-04-09","22.37","22.63","22.25","1.48","108800"
"KIM","1992-04-10","22.25","22.37","22.13","1.48","174000"
"KIM","1992-04-13","22.37","22.75","22.25","1.5","219600"
"KIM","1992-04-14","22.87","23.0","22.87","1.53","115400"
"KIM","1992-04-15","23.13","23.25","23.13","1.54","99800"
"KIM","1992-04-16","23.25","23.25","23.25","1.54","4400"
"KIM","1992-04-20","23.25","23.5","23.25","1.56","11600"
"KIM","1992-04-21","23.62","23.62","23.62","1.57","12600"
"KIM","1992-04-22","23.62","23.75","23.62","1.58","17400"
"KIM","1992-04-23","23.5","23.5","23.37","1.55","390600"
"KIM","1992-04-24","22.87","23.37","22.87","1.58","9000"
"KIM","1992-04-27","23.62","23.75","23.5","1.6","21800"
"KIM","1992-04-28","23.5","23.62","23.5","1.6","44000"
"KIM","1992-04-29","23.62","23.88","23.62","1.61","8400"
"KIM","1992-04-30","24.0","24.38","24.0","1.65","21600"
"KIM","1992-05-01","24.38","24.38","24.12","1.65","144000"
"KIM","1992-05-04","24.25","24.38","24.25","1.65","6200"
"KIM","1992-05-05","24.38","25.25","24.38","1.7","100800"
"KIM","1992-05-06","25.0","25.38","24.88","1.68","36200"
"KIM","1992-05-07","24.88","25.25","24.88","1.71","15600"
"KIM","1992-05-08","25.25","25.25","25.12","1.71","16200"
"KIM","1992-05-11","25.12","25.5","25.12","1.72","10800"
"KIM","1992-05-12","25.5","26.0","25.5","1.76","53400"
"KIM","1992-05-13","25.75","25.88","25.62","1.73","22400"
"KIM","1992-05-14","25.5","25.5","25.38","1.72","26400"
"KIM","1992-05-15","25.12","25.12","24.88","1.68","27200"
"KIM","1992-05-18","25.0","25.25","24.88","1.71","21600"
"KIM","1992-05-19","25.25","25.38","25.25","1.72","20000"
"KIM","1992-05-20","25.12","25.38","25.0","1.71","62000"
"KIM","1992-05-21","25.25","25.38","25.25","1.71","28800"
"KIM","1992-05-22","25.25","25.75","25.25","1.72","101600"
"KIM","1992-05-26","25.5","25.62","25.5","1.73","33200"
"KIM","1992-05-27","25.5","25.75","25.5","1.74","15600"
"KIM","1992-05-28","25.62","25.75","25.5","1.74","66000"
"KIM","1992-05-29","25.88","25.88","25.75","1.74","9800"
"KIM","1992-06-01","25.75","26.0","25.75","1.76","100200"
"KIM","1992-06-02","25.88","25.88","25.75","1.74","76800"
"KIM","1992-06-03","25.62","25.75","25.62","1.73","47000"
"KIM","1992-06-04","25.75","25.88","25.62","1.74","15600"
"KIM","1992-06-05","25.75","25.75","25.62","1.74","49400"
"KIM","1992-06-08","25.5","25.62","25.38","1.73","43200"
"KIM","1992-06-09","25.62","25.62","25.62","1.73","39600"
"KIM","1992-06-10","25.5","25.5","25.25","1.71","43400"
"KIM","1992-06-11","25.25","25.38","25.25","1.72","33600"
"KIM","1992-06-12","25.25","25.38","25.25","1.72","3800"
"KIM","1992-06-15","25.38","25.62","25.25","1.73","50600"
"KIM","1992-06-16","25.5","25.75","25.5","1.74","154200"
"KIM","1992-06-17","25.75","25.75","25.75","1.74","31800"
"KIM","1992-06-18","25.62","25.75","25.62","1.74","89000"
"KIM","1992-06-19","25.5","25.62","25.5","1.73","16400"
"KIM","1992-06-22","25.62","25.75","25.5","1.74","55800"
"KIM","1992-06-23","25.62","25.75","25.62","1.74","1200"
"KIM","1992-06-24","25.62","25.75","25.62","1.73","7200"
"KIM","1992-06-25","25.75","25.88","25.75","1.74","118800"
"KIM","1992-06-26","25.88","25.88","25.75","1.74","30600"
"KIM","1992-06-29","25.88","25.88","25.5","1.73","124200"
"KIM","1992-06-30","25.62","25.62","25.0","1.72","189200"
"KIM","1992-07-01","25.38","25.38","25.25","1.72","2468600"
"KIM","1992-07-02","25.25","25.5","25.25","1.72","1092800"
"KIM","1992-07-06","25.38","25.38","25.25","1.72","242000"
"KIM","1992-07-07","25.38","25.5","25.38","1.72","261800"
"KIM","1992-07-08","25.5","25.5","25.38","1.72","181200"
"KIM","1992-07-09","25.5","25.62","25.5","1.73","314000"
"KIM","1992-07-10","25.62","25.88","25.5","1.75","335000"
"KIM","1992-07-13","26.0","26.25","26.0","1.78","321200"
"KIM","1992-07-14","26.13","26.25","26.0","1.78","444600"
"KIM","1992-07-15","26.25","26.37","26.13","1.77","44000"
"KIM","1992-07-16","26.13","26.25","26.0","1.77","97200"
"KIM","1992-07-17","26.25","26.25","25.88","1.76","125000"
"KIM","1992-07-20","25.75","26.0","25.75","1.76","82200"
"KIM","1992-07-21","26.13","26.25","25.88","1.77","45800"
"KIM","1992-07-22","26.25","26.37","26.13","1.78","80000"
"KIM","1992-07-23","26.25","26.63","26.25","1.79","146600"
"KIM","1992-07-24","26.13","26.25","25.75","1.78","107000"
"KIM","1992-07-27","25.88","26.25","25.88","1.8","18800"
"KIM","1992-07-28","26.13","26.25","26.0","1.8","223400"
"KIM","1992-07-29","26.25","26.37","26.13","1.81","97200"
"KIM","1992-07-30","26.25","26.75","26.13","1.83","185400"
"KIM","1992-07-31","26.63","27.75","26.63","1.87","86400"
"KIM","1992-08-03","27.25","27.37","26.87","1.87","106200"
"KIM","1992-08-04","27.0","27.0","26.87","1.85","35400"
"KIM","1992-08-05","26.5","26.63","26.37","1.82","60200"
"KIM","1992-08-06","26.5","26.5","26.0","1.8","189000"
"KIM","1992-08-07","26.13","26.37","26.13","1.81","46200"
"KIM","1992-08-10","26.37","26.37","26.25","1.81","17400"
"KIM","1992-08-11","26.13","26.25","25.88","1.81","138000"
"KIM","1992-08-12","26.25","26.37","26.25","1.81","9000"
"KIM","1992-08-13","26.37","26.63","26.25","1.82","68600"
"KIM","1992-08-14","26.5","26.5","26.25","1.81","9000"
"KIM","1992-08-17","26.37","26.37","26.13","1.81","24200"
"KIM","1992-08-18","26.37","26.37","26.25","1.81","7400"
"KIM","1992-08-19","26.13","26.63","26.13","1.82","39600"
"KIM","1992-08-20","26.63","26.63","26.37","1.81","10800"
