"symbol","date","open","high","low","close","volume"
"KMF","2010-11-24","25.0","25.01","25.0","19.98","526200"
"KMF","2010-11-26","25.01","25.01","25.0","19.98","3400"
"KMF","2010-11-29","25.0","25.01","25.0","19.98","51000"
"KMF","2010-11-30","25.01","25.01","25.0","19.99","17400"
"KMF","2010-12-01","25.0","25.05","25.0","20.02","47200"
"KMF","2010-12-02","25.05","25.08","25.0","19.98","103300"
"KMF","2010-12-03","25.05","25.06","25.0","19.98","50200"
"KMF","2010-12-06","25.03","25.03","25.0","19.98","76300"
"KMF","2010-12-07","25.04","25.04","25.0","19.99","25400"
"KMF","2010-12-08","25.01","25.02","25.0","19.98","31300"
"KMF","2010-12-09","24.99","25.01","23.6","19.99","511500"
"KMF","2010-12-10","25.0","25.01","25.0","19.98","67800"
"KMF","2010-12-13","25.01","25.02","25.0","19.98","39700"
"KMF","2010-12-14","25.0","25.03","25.0","19.98","21400"
"KMF","2010-12-15","25.05","25.05","25.0","19.99","33800"
"KMF","2010-12-16","25.02","25.15","25.0","20.1","21300"
"KMF","2010-12-17","25.13","25.13","25.03","20.06","7200"
"KMF","2010-12-20","25.1","25.54","25.0","20.37","29200"
"KMF","2010-12-21","25.4","25.4","25.0","19.99","38500"
"KMF","2010-12-22","25.1","25.1","24.9","19.99","64800"
"KMF","2010-12-23","25.09","25.09","25.0","19.99","20400"
"KMF","2010-12-27","24.8","25.03","24.8","19.98","59100"
"KMF","2010-12-28","24.86","25.01","24.86","19.98","49900"
"KMF","2010-12-29","25.01","25.06","25.0","19.99","34800"
"KMF","2010-12-30","25.11","25.11","25.0","19.98","57000"
"KMF","2010-12-31","25.0","25.02","25.0","19.98","28700"
"KMF","2011-01-03","25.05","25.43","25.01","20.23","26100"
"KMF","2011-01-04","25.1","25.1","24.5","19.78","90100"
"KMF","2011-01-05","24.93","24.94","24.5","19.9","38700"
"KMF","2011-01-06","24.78","24.86","24.43","19.79","80100"
"KMF","2011-01-07","24.84","25.02","24.72","19.99","96000"
"KMF","2011-01-10","25.0","25.05","24.64","20.02","125100"
"KMF","2011-01-11","25.09","25.09","24.8","19.83","58600"
"KMF","2011-01-12","25.3","25.3","24.6","19.83","104700"
"KMF","2011-01-13","24.74","25.11","24.72","19.98","78000"
"KMF","2011-01-14","25.0","25.0","24.63","19.75","48200"
"KMF","2011-01-18","24.61","24.8","24.55","19.74","67400"
"KMF","2011-01-19","24.63","24.86","24.45","19.74","59900"
"KMF","2011-01-20","24.57","24.65","24.1","19.43","103900"
"KMF","2011-01-21","24.45","24.56","24.25","19.42","92500"
"KMF","2011-01-24","24.42","24.67","24.34","19.54","101700"
"KMF","2011-01-25","24.4","24.45","24.22","19.43","153100"
"KMF","2011-01-26","24.38","24.48","24.16","19.42","97900"
"KMF","2011-01-27","24.3","24.84","24.3","19.71","106500"
"KMF","2011-01-28","24.62","24.72","24.31","19.52","45300"
"KMF","2011-01-31","24.51","24.75","24.3","19.77","50500"
"KMF","2011-02-01","24.75","24.95","24.64","19.81","53500"
"KMF","2011-02-02","24.79","24.99","24.57","19.78","79700"
"KMF","2011-02-03","24.83","24.9","24.6","19.79","101200"
"KMF","2011-02-04","24.83","24.88","24.64","19.69","78400"
"KMF","2011-02-07","24.64","24.88","24.61","19.78","92200"
"KMF","2011-02-08","24.71","24.97","24.51","19.65","133600"
"KMF","2011-02-09","24.64","24.86","24.64","19.79","112800"
"KMF","2011-02-10","24.84","25.0","24.79","19.83","80800"
"KMF","2011-02-11","24.94","24.99","24.77","19.95","66500"
