"symbol","date","open","high","low","close","volume"
"KMG","1997-01-28","5.0","5.0","5.0","3.92","0"
"KMG","1997-01-29","5.0","5.0","5.0","3.92","0"
"KMG","1997-01-30","5.0","5.0","5.0","3.92","0"
"KMG","1997-01-31","5.0","5.0","5.0","3.92","0"
"KMG","1997-02-03","5.0","5.0","5.0","3.92","400"
"KMG","1997-02-04","5.0","5.0","5.0","3.92","0"
"KMG","1997-02-05","5.0","5.0","5.0","3.92","100"
"KMG","1997-02-06","4.0","4.0","4.0","3.14","1300"
"KMG","1997-02-07","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-10","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-11","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-12","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-13","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-14","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-18","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-19","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-20","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-21","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-24","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-25","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-26","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-27","4.0","4.0","4.0","3.14","0"
"KMG","1997-02-28","4.0","4.0","4.0","3.14","0"
"KMG","1997-03-03","4.0","4.0","4.0","3.14","0"
"KMG","1997-03-04","3.5","3.5","3.0","2.75","700"
"KMG","1997-03-05","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-06","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-07","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-10","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-11","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-12","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-13","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-14","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-17","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-18","3.5","3.5","3.5","2.75","400"
"KMG","1997-03-19","3.5","3.5","3.5","2.75","400"
"KMG","1997-03-20","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-21","3.5","3.5","3.5","2.75","300"
"KMG","1997-03-24","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-25","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-26","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-27","3.5","3.5","3.5","2.75","0"
"KMG","1997-03-31","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-01","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-02","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-03","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-04","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-07","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-08","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-09","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-10","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-11","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-14","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-15","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-16","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-17","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-18","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-21","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-22","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-23","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-24","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-25","3.5","3.5","3.5","2.75","0"
"KMG","1997-04-28","3.5","3.5","3.5","2.75","0"
