"symbol","date","open","high","low","close","volume"
"KONA","2005-08-16","13.0","13.89","12.5","12.7","2496500"
"KONA","2005-08-17","12.99","12.99","12.15","12.52","221200"
"KONA","2005-08-18","12.55","12.8","12.15","12.2","152200"
"KONA","2005-08-19","12.69","12.69","12.3","12.4","88200"
"KONA","2005-08-22","12.44","12.55","12.0","12.0","123600"
"KONA","2005-08-23","12.35","12.49","12.0","12.3","64500"
"KONA","2005-08-24","12.5","12.5","12.25","12.3","33800"
"KONA","2005-08-25","12.5","12.55","12.25","12.35","21000"
"KONA","2005-08-26","12.4","12.4","12.28","12.34","23600"
"KONA","2005-08-29","12.45","12.45","12.25","12.29","57000"
"KONA","2005-08-30","12.25","12.4","12.25","12.31","16500"
"KONA","2005-08-31","12.37","12.39","12.2","12.21","46500"
"KONA","2005-09-01","12.2","12.2","11.87","12.0","79400"
"KONA","2005-09-02","11.98","12.2","11.98","12.08","21700"
"KONA","2005-09-06","12.1","12.1","11.4","11.78","61500"
"KONA","2005-09-07","11.45","11.76","11.4","11.52","33300"
"KONA","2005-09-08","11.92","11.92","11.3","11.64","32000"
"KONA","2005-09-09","11.74","11.74","11.4","11.65","16600"
"KONA","2005-09-12","11.65","12.15","11.49","11.67","39100"
"KONA","2005-09-13","11.55","11.8","11.52","11.61","13700"
"KONA","2005-09-14","11.59","11.7","11.52","11.7","9900"
"KONA","2005-09-15","11.7","11.7","11.5","11.54","35700"
"KONA","2005-09-16","11.5","11.6","11.4","11.43","49900"
"KONA","2005-09-19","11.45","11.55","11.0","11.4","43000"
"KONA","2005-09-20","11.55","11.55","11.15","11.39","39900"
"KONA","2005-09-21","11.25","11.3","11.0","11.1","54900"
"KONA","2005-09-22","11.36","11.36","11.07","11.18","14000"
"KONA","2005-09-23","11.15","11.25","11.15","11.2","41900"
"KONA","2005-09-26","11.4","11.65","11.2","11.56","51300"
"KONA","2005-09-27","11.65","11.74","11.15","11.26","56000"
"KONA","2005-09-28","11.5","11.5","11.1","11.34","37800"
"KONA","2005-09-29","11.3","11.34","11.21","11.28","19700"
"KONA","2005-09-30","11.5","11.5","11.25","11.25","19000"
"KONA","2005-10-03","11.25","11.41","11.25","11.25","16500"
"KONA","2005-10-04","11.25","11.3","11.2","11.2","29300"
"KONA","2005-10-05","11.4","11.4","11.0","11.05","67300"
"KONA","2005-10-06","11.2","11.2","10.7","10.79","49500"
"KONA","2005-10-07","10.56","10.97","10.5","10.8","12700"
"KONA","2005-10-10","10.75","10.75","9.98","10.23","18900"
"KONA","2005-10-11","10.25","10.68","10.2","10.4","6900"
"KONA","2005-10-12","10.9","10.9","9.75","10.03","25500"
"KONA","2005-10-13","10.13","10.13","9.6","9.93","11200"
"KONA","2005-10-14","10.1","10.1","9.91","10.02","5700"
"KONA","2005-10-17","10.02","10.14","10.02","10.1","2200"
"KONA","2005-10-18","10.1","10.11","9.91","9.91","55700"
"KONA","2005-10-19","9.9","10.08","9.9","10.0","5300"
"KONA","2005-10-20","10.15","10.34","10.07","10.09","21200"
"KONA","2005-10-21","10.2","10.68","10.09","10.09","46500"
"KONA","2005-10-24","10.72","10.73","10.1","10.13","10300"
"KONA","2005-10-25","10.25","10.75","9.8","9.97","12400"
"KONA","2005-10-26","9.75","10.25","9.75","9.9","12300"
"KONA","2005-10-27","9.91","10.0","9.78","9.78","3200"
"KONA","2005-10-28","9.75","10.0","9.75","9.92","8400"
"KONA","2005-10-31","10.0","10.0","9.84","10.0","7300"
"KONA","2005-11-01","10.04","10.11","10.04","10.11","2500"
"KONA","2005-11-02","10.25","10.7","10.19","10.64","11500"
"KONA","2005-11-03","10.9","10.95","10.85","10.95","11500"
"KONA","2005-11-04","11.0","11.0","10.2","10.99","14200"
"KONA","2005-11-07","9.75","10.68","9.75","10.36","10200"
"KONA","2005-11-08","11.25","11.25","9.6","10.5","13000"
"KONA","2005-11-09","10.51","11.0","10.51","10.85","10600"
"KONA","2005-11-10","10.56","10.94","10.51","10.94","2000"
"KONA","2005-11-11","11.0","11.0","10.66","10.71","4400"
"KONA","2005-11-14","10.7","10.75","10.45","10.7","6600"
"KONA","2005-11-15","10.38","10.43","10.13","10.3","5200"
"KONA","2005-11-16","10.16","10.22","10.12","10.22","1500"
"KONA","2005-11-17","10.37","10.55","10.22","10.3","29700"
"KONA","2005-11-18","10.52","10.52","10.26","10.31","2000"
"KONA","2005-11-21","10.25","10.58","10.25","10.58","14500"
"KONA","2005-11-22","10.58","10.67","10.45","10.67","9500"
"KONA","2005-11-23","10.63","10.7","10.63","10.7","600"
"KONA","2005-11-25","10.38","10.79","10.38","10.79","300"
"KONA","2005-11-28","10.8","10.8","10.7","10.7","600"
"KONA","2005-11-29","10.55","10.75","10.55","10.75","7900"
"KONA","2005-11-30","10.75","10.8","10.7","10.7","7400"
"KONA","2005-12-01","10.7","10.8","10.7","10.7","9500"
"KONA","2005-12-02","10.71","10.8","10.7","10.8","4700"
"KONA","2005-12-05","10.75","10.84","10.75","10.84","3700"
"KONA","2005-12-06","10.75","10.85","10.75","10.84","5000"
"KONA","2005-12-07","10.8","10.9","10.8","10.9","5500"
"KONA","2005-12-08","10.63","10.9","10.63","10.85","9400"
"KONA","2005-12-09","10.75","10.78","10.75","10.78","200"
"KONA","2005-12-12","10.78","10.8","10.67","10.74","1300"
"KONA","2005-12-13","10.75","10.89","10.75","10.8","9200"
"KONA","2005-12-14","10.65","10.8","10.65","10.8","5500"
"KONA","2005-12-15","10.77","10.77","10.65","10.65","2100"
"KONA","2005-12-16","10.65","10.65","10.23","10.46","5200"
"KONA","2005-12-19","10.89","10.89","9.98","10.4","21900"
"KONA","2005-12-20","10.2","10.5","10.2","10.5","6600"
"KONA","2005-12-21","10.26","10.31","10.1","10.1","6300"
"KONA","2005-12-22","10.12","10.15","10.03","10.08","2200"
"KONA","2005-12-23","10.03","10.15","9.75","9.75","8500"
"KONA","2005-12-27","9.99","9.99","8.8","9.01","49400"
"KONA","2005-12-28","9.0","9.08","8.75","8.75","20200"
"KONA","2005-12-29","7.5","8.31","7.25","8.31","255300"
"KONA","2005-12-30","8.28","8.8","8.25","8.5","87400"
"KONA","2006-01-03","8.5","9.94","8.5","9.6","66900"
"KONA","2006-01-04","9.5","9.88","9.5","9.6","18700"
"KONA","2006-01-05","9.45","9.85","9.4","9.7","12900"
"KONA","2006-01-06","9.05","10.5","9.05","9.93","31300"
"KONA","2006-01-09","10.16","10.19","9.5","9.68","20100"
"KONA","2006-01-10","9.51","9.72","9.27","9.37","15900"
"KONA","2006-01-11","9.5","10.0","9.5","9.65","6200"
"KONA","2006-01-12","9.51","10.16","9.51","10.1","14000"
"KONA","2006-01-13","10.22","10.27","9.66","9.75","23000"
"KONA","2006-01-17","9.94","9.94","8.91","8.95","46900"
"KONA","2006-01-18","8.85","9.26","8.56","8.78","44700"
"KONA","2006-01-19","9.0","9.0","8.58","8.58","10900"
"KONA","2006-01-20","8.56","8.75","8.5","8.6","11400"
"KONA","2006-01-23","8.7","9.38","8.7","9.08","14400"
"KONA","2006-01-24","9.15","9.73","9.01","9.19","15800"
"KONA","2006-01-25","9.35","9.73","9.05","9.5","40800"
"KONA","2006-01-26","9.36","9.74","9.33","9.6","19600"
"KONA","2006-01-27","9.7","9.93","9.6","9.7","23100"
"KONA","2006-01-30","9.7","9.7","9.23","9.6","9300"
"KONA","2006-01-31","9.49","9.6","9.41","9.6","49400"
"KONA","2006-02-01","9.6","9.75","9.58","9.6","32500"
"KONA","2006-02-02","9.0","9.11","8.5","8.84","190400"
"KONA","2006-02-03","8.82","8.85","8.56","8.75","32800"
"KONA","2006-02-06","8.93","9.0","8.67","8.94","4800"
"KONA","2006-02-07","9.0","9.35","8.85","9.0","7500"
"KONA","2006-02-08","9.0","9.05","8.74","8.76","52000"
"KONA","2006-02-09","8.79","8.8","8.43","8.43","7600"
"KONA","2006-02-10","8.47","8.5","8.25","8.35","28000"
"KONA","2006-02-13","8.3","8.85","8.3","8.57","2600"
"KONA","2006-02-14","8.39","8.96","8.3","8.59","12900"
"KONA","2006-02-15","8.44","8.8","8.44","8.8","4900"
"KONA","2006-02-16","8.79","8.87","8.55","8.74","3400"
"KONA","2006-02-17","8.86","9.1","8.86","9.05","28400"
"KONA","2006-02-21","9.0","9.19","8.94","9.19","13400"
"KONA","2006-02-22","9.18","9.18","8.88","8.88","69900"
"KONA","2006-02-23","8.87","8.87","8.4","8.52","54800"
"KONA","2006-02-24","8.8","9.05","8.5","9.05","33600"
"KONA","2006-02-27","9.1","9.1","9.0","9.05","33900"
"KONA","2006-02-28","9.04","9.09","9.0","9.09","9000"
"KONA","2006-03-01","9.0","9.24","9.0","9.24","15100"
"KONA","2006-03-02","9.06","9.22","8.7","9.2","41900"
"KONA","2006-03-03","9.25","9.3","9.2","9.29","43400"
"KONA","2006-03-06","9.09","9.29","9.05","9.06","11900"
"KONA","2006-03-07","9.15","9.49","9.0","9.05","80500"
"KONA","2006-03-08","8.95","8.99","8.71","8.9","18500"
"KONA","2006-03-09","8.99","9.05","8.84","9.0","74200"
"KONA","2006-03-10","9.09","9.18","8.91","9.09","58900"
"KONA","2006-03-13","9.1","9.15","9.01","9.15","74200"
"KONA","2006-03-14","9.1","9.1","9.0","9.07","12500"
"KONA","2006-03-15","9.1","9.15","9.05","9.1","64600"
"KONA","2006-03-16","9.05","9.1","9.05","9.1","8900"
"KONA","2006-03-17","9.1","9.15","9.01","9.05","50600"
"KONA","2006-03-20","9.15","9.25","9.14","9.2","30300"
"KONA","2006-03-21","9.19","9.2","9.1","9.15","6600"
"KONA","2006-03-22","9.15","10.79","9.15","10.04","137700"
"KONA","2006-03-23","10.15","10.15","9.8","10.0","37500"
"KONA","2006-03-24","10.05","10.05","9.9","10.0","5300"
"KONA","2006-03-27","9.81","10.05","9.81","10.0","24100"
"KONA","2006-03-28","10.05","10.26","10.0","10.15","19400"
"KONA","2006-03-29","10.1","10.75","10.1","10.75","28400"
"KONA","2006-03-30","10.8","11.22","10.65","11.16","41100"
"KONA","2006-03-31","11.05","11.28","11.0","11.15","22300"
"KONA","2006-04-03","11.33","11.45","11.11","11.4","58000"
"KONA","2006-04-04","11.47","11.47","11.25","11.45","2600"
"KONA","2006-04-05","11.4","11.5","11.18","11.4","16000"
"KONA","2006-04-06","11.4","11.5","11.26","11.4","10900"
"KONA","2006-04-07","11.21","12.0","11.0","11.35","69700"
"KONA","2006-04-10","11.4","11.5","11.3","11.48","22500"
"KONA","2006-04-11","11.28","11.31","11.02","11.2","41700"
"KONA","2006-04-12","11.21","11.34","11.17","11.27","7100"
"KONA","2006-04-13","11.2","11.35","11.0","11.22","4600"
"KONA","2006-04-17","11.04","11.3","11.0","11.0","10100"
"KONA","2006-04-18","11.33","11.33","11.0","11.22","4700"
"KONA","2006-04-19","11.02","11.1","10.79","10.95","8200"
"KONA","2006-04-20","10.99","11.05","10.88","10.88","12500"
"KONA","2006-04-21","10.78","11.0","10.66","11.0","14800"
"KONA","2006-04-24","10.82","11.0","10.72","11.0","12400"
"KONA","2006-04-25","11.15","11.19","11.13","11.19","10700"
"KONA","2006-04-26","11.19","11.19","10.8","10.95","10000"
"KONA","2006-04-27","10.75","11.19","10.73","11.1","13800"
"KONA","2006-04-28","11.15","11.38","11.15","11.38","30600"
"KONA","2006-05-01","11.4","11.57","11.4","11.57","16300"
"KONA","2006-05-02","11.57","11.9","11.45","11.45","15400"
"KONA","2006-05-03","11.5","11.7","11.0","11.7","42800"
"KONA","2006-05-04","11.68","12.65","11.1","12.64","35000"
"KONA","2006-05-05","12.53","12.71","12.4","12.5","31500"
"KONA","2006-05-08","12.4","12.4","11.55","11.9","17600"
"KONA","2006-05-09","11.91","12.05","11.8","12.05","2100"
"KONA","2006-05-10","12.15","13.0","11.9","12.9","21800"
"KONA","2006-05-11","13.0","13.1","12.4","12.42","10800"
"KONA","2006-05-12","12.23","12.93","12.0","12.8","31700"
"KONA","2006-05-15","12.75","12.8","12.55","12.8","22000"
"KONA","2006-05-16","12.9","12.9","12.61","12.61","1800"
"KONA","2006-05-17","12.63","12.75","12.46","12.5","1500"
"KONA","2006-05-18","12.66","12.66","11.96","12.59","7600"
"KONA","2006-05-19","12.04","12.41","12.04","12.41","4100"
"KONA","2006-05-22","12.16","12.34","12.15","12.34","1700"
"KONA","2006-05-23","12.15","12.34","12.15","12.34","2500"
"KONA","2006-05-24","12.15","12.3","12.0","12.28","11700"
"KONA","2006-05-25","12.14","12.3","11.7","12.28","3600"
"KONA","2006-05-26","11.86","12.25","11.72","12.25","7400"
"KONA","2006-05-30","12.05","12.39","12.05","12.38","7400"
"KONA","2006-05-31","12.4","12.5","12.1","12.5","10300"
"KONA","2006-06-01","12.5","12.5","12.19","12.45","7100"
"KONA","2006-06-02","12.23","12.45","12.23","12.39","3300"
"KONA","2006-06-05","12.29","12.31","12.0","12.01","20200"
"KONA","2006-06-06","12.01","12.01","11.75","11.83","5400"
"KONA","2006-06-07","11.75","12.23","11.62","12.0","2400"
"KONA","2006-06-08","11.99","12.0","11.1","11.24","19400"
"KONA","2006-06-09","11.01","11.21","11.01","11.04","5200"
"KONA","2006-06-12","11.03","11.03","10.48","10.49","21300"
"KONA","2006-06-13","10.41","11.49","10.41","10.99","15200"
"KONA","2006-06-14","10.44","10.74","10.21","10.32","4800"
"KONA","2006-06-15","10.74","11.75","10.2","11.2","24100"
"KONA","2006-06-16","11.41","11.9","11.2","11.84","24200"
"KONA","2006-06-19","11.49","11.49","11.4","11.4","11600"
"KONA","2006-06-20","11.41","11.42","11.4","11.4","400"
"KONA","2006-06-21","11.4","11.91","11.4","11.6","5200"
"KONA","2006-06-22","11.65","11.94","11.65","11.94","500"
"KONA","2006-06-23","11.75","11.95","11.7","11.8","4600"
"KONA","2006-06-26","12.0","12.18","11.74","12.17","7400"
"KONA","2006-06-27","12.13","12.25","12.0","12.25","1500"
"KONA","2006-06-28","12.0","12.25","12.0","12.25","5800"
"KONA","2006-06-29","12.25","12.44","12.25","12.4","20100"
"KONA","2006-06-30","12.4","13.0","12.4","13.0","20000"
"KONA","2006-07-03","12.5","12.97","12.5","12.5","9700"
"KONA","2006-07-05","12.86","12.86","12.0","12.12","10200"
"KONA","2006-07-06","12.0","12.12","12.0","12.0","1800"
"KONA","2006-07-07","12.41","12.5","12.21","12.49","4500"
"KONA","2006-07-10","12.45","12.59","12.26","12.27","8300"
"KONA","2006-07-11","12.27","12.88","12.0","12.81","18600"
"KONA","2006-07-12","12.7","12.81","12.01","12.1","6900"
"KONA","2006-07-13","12.0","12.2","11.91","11.91","5300"
"KONA","2006-07-14","11.91","12.3","11.85","12.3","6800"
"KONA","2006-07-17","12.06","12.07","11.97","12.07","2900"
"KONA","2006-07-18","11.9","12.1","11.9","12.1","4200"
"KONA","2006-07-19","12.09","12.09","12.09","12.09","100"
"KONA","2006-07-20","12.08","12.21","12.0","12.2","6100"
"KONA","2006-07-21","12.1","12.25","12.0","12.23","9400"
"KONA","2006-07-24","12.25","12.25","12.05","12.08","23100"
"KONA","2006-07-25","12.0","12.35","12.0","12.35","11700"
"KONA","2006-07-26","12.25","12.35","12.0","12.34","15400"
"KONA","2006-07-27","12.11","12.5","11.93","12.25","10500"
"KONA","2006-07-28","12.0","12.5","11.98","12.48","15300"
"KONA","2006-07-31","12.45","12.45","12.02","12.34","1900"
"KONA","2006-08-01","12.35","13.19","12.12","12.97","180800"
"KONA","2006-08-02","13.0","13.48","12.82","12.88","11800"
"KONA","2006-08-03","12.9","13.0","12.75","12.88","29200"
"KONA","2006-08-04","12.75","12.81","12.4","12.55","7600"
"KONA","2006-08-07","12.55","12.95","12.55","12.95","4300"
"KONA","2006-08-08","12.8","12.98","12.15","12.95","20200"
"KONA","2006-08-09","12.91","12.91","12.87","12.9","2100"
"KONA","2006-08-10","13.0","13.0","12.74","12.78","13300"
"KONA","2006-08-11","12.8","12.91","12.65","12.91","5200"
"KONA","2006-08-14","12.9","12.91","12.7","12.83","9100"
"KONA","2006-08-15","12.15","13.02","12.15","12.93","14600"
"KONA","2006-08-16","13.15","13.15","12.75","13.14","7700"
"KONA","2006-08-17","13.11","13.48","12.83","13.48","9000"
"KONA","2006-08-18","13.21","13.4","13.1","13.1","7600"
"KONA","2006-08-21","13.21","13.48","13.21","13.48","4400"
"KONA","2006-08-22","13.49","13.49","13.0","13.1","17100"
"KONA","2006-08-23","13.21","13.48","12.99","13.48","18600"
"KONA","2006-08-24","13.06","13.3","13.0","13.3","1700"
"KONA","2006-08-25","13.01","13.2","13.0","13.2","2300"
"KONA","2006-08-28","13.0","13.47","13.0","13.31","10500"
"KONA","2006-08-29","13.42","14.8","13.24","14.73","72100"
"KONA","2006-08-30","14.74","15.4","14.45","15.13","30200"
"KONA","2006-08-31","15.44","15.44","14.83","15.13","13200"
"KONA","2006-09-01","15.25","15.25","14.96","15.09","5200"
"KONA","2006-09-05","15.0","15.0","14.48","15.0","92300"
"KONA","2006-09-06","15.0","15.0","14.2","14.89","12500"
"KONA","2006-09-07","14.19","14.22","14.0","14.18","7400"
"KONA","2006-09-08","14.03","14.38","14.03","14.1","2300"
"KONA","2006-09-11","14.0","14.0","13.71","13.95","5400"
"KONA","2006-09-12","13.95","14.43","13.95","14.08","7200"
"KONA","2006-09-13","14.39","14.39","14.18","14.27","400"
"KONA","2006-09-14","14.5","14.59","14.21","14.35","7700"
"KONA","2006-09-15","14.45","14.99","14.45","14.83","8600"
"KONA","2006-09-18","15.0","15.0","14.7","14.86","4900"
"KONA","2006-09-19","14.98","14.98","14.26","14.35","3700"
"KONA","2006-09-20","14.91","14.91","14.3","14.6","5300"
"KONA","2006-09-21","14.87","14.88","14.51","14.71","7000"
"KONA","2006-09-22","14.87","15.0","14.8","15.0","5400"
"KONA","2006-09-25","14.97","14.99","14.82","14.99","8900"
"KONA","2006-09-26","15.0","15.25","14.75","14.91","10400"
"KONA","2006-09-27","14.64","14.89","14.5","14.89","1600"
"KONA","2006-09-28","14.85","14.85","14.6","14.85","1500"
"KONA","2006-09-29","14.85","15.08","14.85","14.99","11100"
"KONA","2006-10-02","14.93","14.93","14.53","14.6","9100"
"KONA","2006-10-03","14.88","14.99","14.68","14.88","3000"
"KONA","2006-10-04","15.04","15.04","14.82","14.82","4600"
